date,open,high,low,close,volume,empty
2025-01-17T00:00:00+0530,99,99.2,98,99.02,4810839,0
2025-01-20T00:00:00+0530,98.7,100.4,98,98.81,1494575,0
2025-01-21T00:00:00+0530,98.2,99.44,98.2,99.01,1240857,0
2025-01-22T00:00:00+0530,99.01,99.25,98.5,98.94,1057586,0
2025-01-23T00:00:00+0530,98.71,99.1,98.71,99.01,334487,0
2025-01-24T00:00:00+0530,98.75,99.1,98.75,98.99,366899,0
2025-01-27T00:00:00+0530,98.75,99.04,98.71,98.92,373381,0
2025-01-28T00:00:00+0530,98.75,99.1,98.75,99,774397,0
2025-01-29T00:00:00+0530,98.75,99.12,98.75,99.06,509979,0
2025-01-30T00:00:00+0530,98.75,99.15,98.75,99.09,573694,0
2025-01-31T00:00:00+0530,98.65,99.3,98.65,99.17,353312,0
2025-02-01T00:00:00+0530,99,99.08,98.75,98.78,99043,0
2025-02-03T00:00:00+0530,98.75,99.05,98.15,99.02,163976,0
2025-02-04T00:00:00+0530,98.66,99,98.56,98.9,310260,0
2025-02-05T00:00:00+0530,98.66,99.3,98.66,99.16,176904,0
2025-02-06T00:00:00+0530,99,99.25,98.86,99.01,91405,0
2025-02-07T00:00:00+0530,99.01,99.35,98.87,99.15,182680,0
2025-02-10T00:00:00+0530,99,99.18,99,99.1,1416341,0
2025-02-11T00:00:00+0530,99.02,101,99.01,99.14,233229,0
2025-02-12T00:00:00+0530,99.22,99.34,98.91,99.14,212794,0
2025-02-13T00:00:00+0530,99.05,99.3,99.05,99.27,69789,0
2025-02-14T00:00:00+0530,99.27,99.34,99.06,99.2,122020,0
2025-02-17T00:00:00+0530,99.07,99.5,99.02,99.2,208444,0
2025-02-18T00:00:00+0530,99,99.37,99,99.2,51380,0
2025-02-19T00:00:00+0530,99.03,99.61,99.03,99.28,67899,0
2025-02-20T00:00:00+0530,99.1,99.53,99.1,99.48,79664,0
2025-02-21T00:00:00+0530,99.3,99.85,99.21,99.63,276361,0
2025-02-24T00:00:00+0530,99.54,99.89,99.5,99.79,91280,0
2025-02-25T00:00:00+0530,99.84,100.1,99.75,100.04,100107,0
2025-02-27T00:00:00+0530,100,100.71,99.99,100.04,369065,0
2025-02-28T00:00:00+0530,100.95,102.3,100.05,101.97,779854,0
2025-03-03T00:00:00+0530,105.99,108.95,104.01,105.67,1734437,0
2025-03-04T00:00:00+0530,97.5,97.5,92.05,95.6,325384,0
2025-03-05T00:00:00+0530,95,95.44,90,90.69,283480,0
2025-03-06T00:00:00+0530,92,92.39,90.5,91.11,118708,0
2025-03-07T00:00:00+0530,91.69,93.5,90.51,92.92,138417,0
2025-03-10T00:00:00+0530,93,94.2,91.5,92.89,265025,0
2025-03-11T00:00:00+0530,92.68,93.5,88.8,92.95,92495,0
2025-03-12T00:00:00+0530,92.95,93.6,90.16,91.88,94972,0
2025-03-13T00:00:00+0530,92,92.85,89,89.71,183988,0
2025-03-17T00:00:00+0530,89.71,90.45,88,88.33,280912,0
2025-03-18T00:00:00+0530,88.99,89.5,87.05,87.86,72382,0
2025-03-19T00:00:00+0530,88.7,89.99,87.84,89.54,36147,0
2025-03-20T00:00:00+0530,88.71,90,88.71,89.72,29378,0
2025-03-21T00:00:00+0530,89.73,90,88.5,89.96,126456,0
2025-03-24T00:00:00+0530,89.21,90,89,89.22,49407,0
2025-03-25T00:00:00+0530,89.5,89.5,88.92,89.29,1358106,0
2025-03-26T00:00:00+0530,89.49,89.5,88.5,88.78,54296,0
2025-03-27T00:00:00+0530,88.78,90.75,87.88,88.67,222518,0
2025-03-28T00:00:00+0530,89.8,89.8,87.1,88.51,559006,0
2025-04-01T00:00:00+0530,87.8,87.99,87.1,87.61,105208,0
2025-04-02T00:00:00+0530,87.76,88.69,86.85,87.04,154284,0
2025-04-03T00:00:00+0530,87.04,90,86.57,89.75,474264,0
2025-04-04T00:00:00+0530,90,91.75,87.75,90,150446,0
2025-04-07T00:00:00+0530,88.01,90,80.56,86.96,261258,0
2025-04-08T00:00:00+0530,89.5,89.5,87.02,87.99,69518,0
2025-04-09T00:00:00+0530,88.26,88.26,87.5,87.82,145044,0
2025-04-11T00:00:00+0530,87.85,90,87.3,87.39,174406,0
2025-04-15T00:00:00+0530,87.45,89.6,86,87.88,77420,0
2025-04-16T00:00:00+0530,88.5,88.5,87.42,88.19,258802,0
2025-04-17T00:00:00+0530,89.5,89.5,87.53,88,51982,0
2025-04-21T00:00:00+0530,87.75,89,87.51,87.85,31054,0
2025-04-22T00:00:00+0530,88,89.5,87.85,88.6,12618,0
2025-04-23T00:00:00+0530,88.5,89.4,88.4,88.8,26563,0
2025-04-24T00:00:00+0530,88.15,90,88.15,89.94,47509,0
2025-04-25T00:00:00+0530,89.94,89.94,88.7,89.56,45848,0
2025-04-28T00:00:00+0530,89.01,91,89.01,89.5,264179,0
2025-04-29T00:00:00+0530,89.51,90,88.5,88.59,41356,0
2025-04-30T00:00:00+0530,89.88,89.88,88.01,89.47,112373,0
2025-05-02T00:00:00+0530,88.72,90.95,88.72,88.82,9382,0
