date,open,high,low,close,volume,empty
2023-09-28T00:00:00+0530,9.2,9.65,8.8,9.65,17688000,0
2023-09-29T00:00:00+0530,10.15,10.15,10.15,10.15,468000,0
2023-10-03T00:00:00+0530,10.65,10.65,10.65,10.65,624000,0
2023-10-04T00:00:00+0530,11.2,11.2,11.2,11.2,1380000,0
2023-10-05T00:00:00+0530,11.75,11.75,11.75,11.75,612000,0
2023-10-06T00:00:00+0530,12.3,12.3,12.3,12.3,708000,0
2023-10-09T00:00:00+0530,12.95,12.95,11.8,12.95,11808000,0
2023-10-10T00:00:00+0530,12.95,13.5,12.5,13.2,9168000,0
2023-10-11T00:00:00+0530,12.95,13.9,12.7,13.8,4188000,0
2023-10-12T00:00:00+0530,13.8,14.45,13.6,14.45,2568000,0
2023-10-13T00:00:00+0530,15.2,16.3,14,15.45,5712000,0
2023-10-16T00:00:00+0530,15.4,16.55,15.4,16.15,3564000,0
2023-10-17T00:00:00+0530,16.7,17.45,16.35,17.15,2892000,0
2023-10-18T00:00:00+0530,17.7,18.55,15.85,18.05,4452000,0
2023-10-19T00:00:00+0530,18.1,18.9,17.8,18.1,1488000,0
2023-10-20T00:00:00+0530,18.5,18.8,17.65,17.9,996000,0
2023-10-23T00:00:00+0530,18.3,18.3,16.75,17.1,1560000,0
2023-10-25T00:00:00+0530,17.5,19.2,17.1,18.7,2748000,0
2023-10-26T00:00:00+0530,20,20.2,18.55,19.75,2844000,0
2023-10-27T00:00:00+0530,20.8,22,20.5,21.35,3528000,0
2023-10-30T00:00:00+0530,21.5,25.6,21.5,25.5,5520000,0
2023-10-31T00:00:00+0530,26.3,26.9,23.3,24.2,3840000,0
2023-11-01T00:00:00+0530,24.2,25.3,23.55,24,1092000,0
2023-11-02T00:00:00+0530,24.4,24.4,21.6,21.95,3120000,0
2023-11-03T00:00:00+0530,22.5,23,20.5,22,2388000,0
2023-11-06T00:00:00+0530,22,22.4,21.2,21.45,564000,0
2023-11-07T00:00:00+0530,22,22.15,20.8,21.4,1152000,0
2023-11-08T00:00:00+0530,21.8,23.5,21.65,22.35,1560000,0
2023-11-09T00:00:00+0530,22.4,22.4,21.85,22,204000,0
2023-11-10T00:00:00+0530,22,22.2,21.55,22,552000,0
2023-11-12T00:00:00+0530,23.1,23.5,22,23.05,1596000,0
2023-11-13T00:00:00+0530,22.7,24.3,22.55,24.1,2172000,0
2023-11-15T00:00:00+0530,24.15,24.75,24,24.05,744000,0
2023-11-16T00:00:00+0530,24.5,24.5,23.7,23.85,708000,0
2023-11-17T00:00:00+0530,23.95,24.1,23.1,23.25,1152000,0
2023-11-20T00:00:00+0530,22.35,23.5,22.35,22.8,276000,0
2023-11-21T00:00:00+0530,22.65,23,22.35,22.4,660000,0
2023-11-22T00:00:00+0530,22.8,23,22.1,22.9,312000,0
2023-11-23T00:00:00+0530,23.35,23.6,22.4,22.4,324000,0
2023-11-24T00:00:00+0530,22.6,22.8,22.5,22.65,132000,0
2023-11-28T00:00:00+0530,22.8,23.6,22.5,22.8,564000,0
2023-11-29T00:00:00+0530,22.9,22.9,22.1,22.4,372000,0
2023-11-30T00:00:00+0530,22.6,22.7,21.5,21.85,324000,0
2023-12-01T00:00:00+0530,22,23.35,21.5,21.95,2628000,0
2023-12-04T00:00:00+0530,22.65,24.15,22.6,24.15,1896000,0
2023-12-05T00:00:00+0530,25.5,26.35,25,25.6,1896000,0
2023-12-06T00:00:00+0530,25.85,26.7,25.35,25.65,624000,0
2023-12-07T00:00:00+0530,25.2,26.7,24.9,26.05,528000,0
2023-12-08T00:00:00+0530,26.5,28,25.7,25.95,1176000,0
2023-12-11T00:00:00+0530,25.95,25.95,23.2,25.1,1740000,0
2023-12-12T00:00:00+0530,25.65,25.65,22.8,23,2064000,0
2023-12-13T00:00:00+0530,23,23.9,22.5,23.6,684000,0
2023-12-14T00:00:00+0530,23.15,24.55,22.8,22.95,840000,0
2023-12-15T00:00:00+0530,23.3,26,23.3,25.3,1356000,0
2023-12-18T00:00:00+0530,25.9,27.2,25,25.75,1872000,0
2023-12-19T00:00:00+0530,26.7,26.7,25,25.2,1200000,0
2023-12-20T00:00:00+0530,25.7,26.4,24.1,25.65,3276000,0
2023-12-21T00:00:00+0530,25.2,27,25.2,26.65,3180000,0
2023-12-22T00:00:00+0530,26.7,27.35,26.3,26.4,948000,0
2023-12-26T00:00:00+0530,26.95,29.85,26.3,28.9,2028000,0
2023-12-27T00:00:00+0530,29.9,30.9,29,30.4,2640000,0
2023-12-28T00:00:00+0530,31.3,35.5,31.3,32.4,2220000,0
2023-12-29T00:00:00+0530,33,33,29.6,31.8,4812000,0
2024-01-01T00:00:00+0530,32.25,32.25,29.75,30.05,1860000,0
2024-01-02T00:00:00+0530,30.4,30.4,28.7,29.7,1620000,0
2024-01-03T00:00:00+0530,29.5,31.35,29,31,2364000,0
2024-01-04T00:00:00+0530,31.3,31.55,30.2,31.1,564000,0
2024-01-05T00:00:00+0530,31,31.55,30.15,30.4,468000,0
2024-01-08T00:00:00+0530,30.4,30.6,29.55,29.8,396000,0
2024-01-09T00:00:00+0530,29.75,30.75,29.75,29.9,576000,0
2024-01-10T00:00:00+0530,30.3,31.45,29.8,31.3,2520000,0
2024-01-11T00:00:00+0530,32.25,32.5,30.8,31.3,1164000,0
2024-01-12T00:00:00+0530,31.5,32,30.75,31.3,396000,0
2024-01-15T00:00:00+0530,31.35,31.9,30.6,31.35,552000,0
2024-01-16T00:00:00+0530,31.5,31.5,31.1,31.15,372000,0
2024-01-17T00:00:00+0530,30.35,31.65,30.35,30.85,492000,0
2024-01-18T00:00:00+0530,30.9,30.9,29.55,29.9,648000,0
2024-01-19T00:00:00+0530,30.95,31.45,28.6,29,1356000,0
2024-01-20T00:00:00+0530,29.2,30,28.7,29.6,528000,0
2024-01-23T00:00:00+0530,29.8,30,28.5,28.95,564000,0
2024-01-24T00:00:00+0530,30,30.6,29.6,30,1392000,0
2024-01-25T00:00:00+0530,30.5,30.5,28.4,29.4,1116000,0
2024-01-29T00:00:00+0530,29.6,29.9,28.5,28.7,732000,0
2024-01-30T00:00:00+0530,29.5,29.5,28,28.6,504000,0
2024-01-31T00:00:00+0530,29,29.5,28.5,28.8,324000,0
2024-02-01T00:00:00+0530,28.8,29.4,28.8,29.15,360000,0
2024-02-02T00:00:00+0530,28.55,29.5,27.5,27.7,828000,0
2024-02-05T00:00:00+0530,27.8,31.9,27.8,28.75,2244000,0
2024-02-06T00:00:00+0530,29.1,31.6,29.1,31.05,4440000,0
2024-02-07T00:00:00+0530,31.4,31.9,29.8,31.15,2904000,0
2024-02-08T00:00:00+0530,31,31.7,30.05,30.6,588000,0
2024-02-09T00:00:00+0530,30.2,30.6,29.1,30.2,324000,0
2024-02-12T00:00:00+0530,30.65,30.65,29.1,29.7,252000,0
2024-02-13T00:00:00+0530,29.2,29.45,28.2,28.9,336000,0
2024-02-14T00:00:00+0530,28.9,29,28.5,28.95,144000,0
2024-02-15T00:00:00+0530,29,29.4,29,29.05,144000,0
2024-02-16T00:00:00+0530,29.05,29.6,29,29.55,192000,0
2024-02-19T00:00:00+0530,29.7,29.7,28.8,29.2,180000,0
2024-02-20T00:00:00+0530,29,29.2,28.5,28.8,276000,0
2024-02-21T00:00:00+0530,28.5,28.95,28.35,28.4,204000,0
2024-02-22T00:00:00+0530,28.9,29.35,28.7,29.2,348000,0
2024-02-23T00:00:00+0530,28.95,29.9,28.75,29.25,732000,0
2024-02-26T00:00:00+0530,29.25,29.25,28.4,28.7,696000,0
2024-02-27T00:00:00+0530,29,29.3,28.4,28.5,336000,0
2024-02-28T00:00:00+0530,28.8,29.3,26.9,27.85,1872000,0
2024-02-29T00:00:00+0530,27.7,28.3,26.5,28.25,1152000,0
2024-03-01T00:00:00+0530,28.3,28.95,27.35,28.1,456000,0
2024-03-02T00:00:00+0530,27.5,27.5,26.7,26.7,756000,0
2024-03-04T00:00:00+0530,25.1,25.1,21.35,24,5904000,0
2024-03-05T00:00:00+0530,23.6,26.5,22.5,25.8,2064000,0
2024-03-06T00:00:00+0530,24.9,24.9,22.65,24.2,1020000,0
2024-03-07T00:00:00+0530,23.4,24.5,22.85,23.85,696000,0
2024-03-11T00:00:00+0530,23.45,23.5,19.1,19.15,2724000,0
2024-03-12T00:00:00+0530,17.1,18.4,15.3,17.4,6276000,0
2024-03-13T00:00:00+0530,18.35,18.65,16,16.2,1332000,0
2024-03-14T00:00:00+0530,15.6,17.8,15.05,17.8,2076000,0
2024-03-15T00:00:00+0530,17.7,17.8,16.35,17.3,984000,0
2024-03-18T00:00:00+0530,17.5,18.25,17.35,18.05,408000,0
2024-03-19T00:00:00+0530,18.2,19.45,18,19.25,516000,0
2024-03-20T00:00:00+0530,19.3,20.5,18.8,20.05,1392000,0
2024-03-21T00:00:00+0530,20.9,21,19.5,20.8,2532000,0
2024-03-22T00:00:00+0530,20.8,21.85,20.7,21.15,984000,0
2024-03-26T00:00:00+0530,21.7,21.7,20.15,20.5,492000,0
