date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,17.65,20.8,17.25,20.7,634963,0
2023-01-03T00:00:00+0530,21.3,21.7,19.75,20.8,753160,0
2023-01-04T00:00:00+0530,20.75,20.8,19.5,19.9,92955,0
2023-01-05T00:00:00+0530,20,22.5,20,21,493026,0
2023-01-06T00:00:00+0530,21,22.75,20.95,21.85,439430,0
2023-01-09T00:00:00+0530,22,22.65,20.8,21.25,127465,0
2023-01-10T00:00:00+0530,21.35,21.85,20.55,20.65,56382,0
2023-01-11T00:00:00+0530,21.1,21.4,19.3,20.05,122096,0
2023-01-12T00:00:00+0530,19.2,20.5,19.2,19.45,36719,0
2023-01-13T00:00:00+0530,20.2,20.2,19,19.2,28136,0
2023-01-16T00:00:00+0530,18.85,19.8,18.8,19.2,12353,0
2023-01-17T00:00:00+0530,20,20,18.6,18.9,15053,0
2023-01-18T00:00:00+0530,18.9,19.25,18.5,18.65,12229,0
2023-01-19T00:00:00+0530,18.9,19,18.1,18.8,27805,0
2023-01-20T00:00:00+0530,18.55,19.35,18.3,18.8,28340,0
2023-01-23T00:00:00+0530,19,19.25,18.55,18.9,9072,0
2023-01-24T00:00:00+0530,18.5,19.5,18.5,18.95,7629,0
2023-01-25T00:00:00+0530,18.5,18.95,18.1,18.8,10716,0
2023-01-27T00:00:00+0530,18.65,18.75,17.9,17.9,42095,0
2023-01-30T00:00:00+0530,17.6,18.7,17.4,18.25,20413,0
2023-01-31T00:00:00+0530,18.85,18.85,17.6,18.45,10632,0
2023-02-01T00:00:00+0530,18,19.3,17.75,18,11993,0
2023-02-02T00:00:00+0530,18,18.6,17.55,17.9,6547,0
2023-02-03T00:00:00+0530,17.9,18.55,17,17.7,35118,0
2023-02-06T00:00:00+0530,17.5,18.4,17.3,17.9,10169,0
2023-02-07T00:00:00+0530,17.5,18.3,17,17.35,27281,0
2023-02-08T00:00:00+0530,17.35,17.95,16.65,17.9,17354,0
2023-02-09T00:00:00+0530,17.85,17.95,17.2,17.65,12215,0
2023-02-10T00:00:00+0530,17.5,17.9,17.2,17.7,4831,0
2023-02-13T00:00:00+0530,18.05,18.05,17,17.15,21500,0
2023-02-14T00:00:00+0530,17.15,17.6,17,17,11651,0
2023-02-15T00:00:00+0530,17,17.4,16.25,17.25,9021,0
2023-02-16T00:00:00+0530,17.25,17.75,17,17.15,5596,0
2023-02-17T00:00:00+0530,17.2,17.5,16.3,16.7,39026,0
2023-02-20T00:00:00+0530,16.95,17.35,16.85,16.9,15023,0
2023-02-21T00:00:00+0530,16.9,17.3,16.8,16.9,20294,0
2023-02-22T00:00:00+0530,16.8,17.25,16.05,16.4,31737,0
2023-02-23T00:00:00+0530,16.05,16.6,15.8,15.9,22684,0
2023-02-24T00:00:00+0530,15.9,15.9,15.1,15.2,29198,0
2023-02-27T00:00:00+0530,15.15,15.4,14.45,14.45,19250,0
2023-02-28T00:00:00+0530,14.45,15.15,13.75,13.9,39001,0
2023-03-01T00:00:00+0530,14,14.55,13.9,14.55,17138,0
2023-03-02T00:00:00+0530,15.25,15.25,15.25,15.25,4698,0
2023-03-03T00:00:00+0530,16,16,15.6,16,19447,0
2023-03-06T00:00:00+0530,16.45,16.75,15.5,15.55,25499,0
2023-03-08T00:00:00+0530,16.15,16.15,15.2,15.7,16547,0
2023-03-09T00:00:00+0530,16.4,16.4,15.05,15.1,40681,0
2023-03-10T00:00:00+0530,15.55,15.55,15,15.45,16234,0
2023-03-13T00:00:00+0530,15.45,15.75,14.9,15,11315,0
2023-03-14T00:00:00+0530,15,15,14.25,14.25,28444,0
2023-03-15T00:00:00+0530,14.8,14.8,13.55,13.55,46645,0
2023-03-16T00:00:00+0530,13.5,13.5,12.9,13.25,50013,0
2023-03-17T00:00:00+0530,13.65,13.7,12.9,13.2,23910,0
2023-03-20T00:00:00+0530,12.9,13.4,12.55,12.65,28834,0
2023-03-21T00:00:00+0530,12.95,13,12.05,12.15,76989,0
2023-03-22T00:00:00+0530,12.15,12.2,11.6,11.7,55530,0
2023-03-23T00:00:00+0530,11.7,12,11.3,11.45,60844,0
2023-03-24T00:00:00+0530,11.15,12,11.15,11.45,68602,0
2023-03-27T00:00:00+0530,11.45,11.45,10.9,10.9,63697,0
2023-03-28T00:00:00+0530,10.8,11.25,10.35,10.35,36840,0
2023-03-29T00:00:00+0530,9.9,10.4,9.85,9.85,63124,0
2023-03-31T00:00:00+0530,9.85,10.25,9.35,9.35,79914,0
2023-04-03T00:00:00+0530,9.75,9.8,9.3,9.6,50550,0
2023-04-05T00:00:00+0530,10,10.05,9.7,10.05,27022,0
2023-04-06T00:00:00+0530,10.45,10.55,10.45,10.55,6389,0
2023-04-10T00:00:00+0530,11.05,11.05,11.05,11.05,7080,0
2023-04-11T00:00:00+0530,11.6,11.6,11.6,11.6,7042,0
2023-04-12T00:00:00+0530,12.15,12.15,12.15,12.15,15065,0
2023-04-13T00:00:00+0530,12.75,12.75,12.3,12.75,80961,0
2023-04-17T00:00:00+0530,12.8,13,12.15,12.15,43574,0
2023-04-18T00:00:00+0530,11.55,12.45,11.55,12.25,71076,0
2023-04-19T00:00:00+0530,12.5,12.8,12.1,12.5,25879,0
2023-04-20T00:00:00+0530,12.9,13.1,12.7,12.75,9190,0
2023-04-21T00:00:00+0530,13.05,13.35,12.5,13.25,24900,0
2023-04-24T00:00:00+0530,12.8,13.8,12.6,13.2,15898,0
2023-04-25T00:00:00+0530,13.5,13.65,12.9,13.35,12417,0
2023-04-26T00:00:00+0530,13.35,13.35,12.7,12.8,51851,0
2023-04-27T00:00:00+0530,12.8,13,12.2,12.7,14691,0
2023-04-28T00:00:00+0530,12.8,12.95,12.25,12.7,12190,0
2023-05-02T00:00:00+0530,12.95,13,12.15,12.9,36334,0
2023-05-03T00:00:00+0530,12.9,12.9,12.4,12.5,12763,0
2023-05-04T00:00:00+0530,12.7,12.7,12.25,12.5,9452,0
2023-05-05T00:00:00+0530,12.75,12.8,11.9,12.05,16093,0
2023-05-08T00:00:00+0530,12.3,12.5,11.6,12.45,14216,0
2023-05-09T00:00:00+0530,12.5,12.7,12.15,12.2,5523,0
2023-05-10T00:00:00+0530,12.6,12.6,12.05,12.3,10161,0
2023-05-11T00:00:00+0530,12.55,12.9,12.1,12.7,18620,0
2023-05-12T00:00:00+0530,12.7,12.85,12.5,12.7,9840,0
2023-05-15T00:00:00+0530,12.7,12.7,12.1,12.3,20584,0
2023-05-16T00:00:00+0530,12.45,12.7,12.25,12.45,14964,0
2023-05-22T00:00:00+0530,11.85,11.85,11.85,11.85,7345,0
2023-05-29T00:00:00+0530,11.25,11.25,11.25,11.25,6196,0
2023-06-05T00:00:00+0530,10.7,10.7,10.7,10.7,18495,0
2023-06-12T00:00:00+0530,10.3,10.3,10.2,10.2,18645,0
2023-06-19T00:00:00+0530,9.7,9.7,9.7,9.7,41586,0
2023-06-26T00:00:00+0530,9.25,9.25,9.25,9.25,17711,0
2023-07-03T00:00:00+0530,8.8,8.8,8.8,8.8,27276,0
2023-07-10T00:00:00+0530,8.4,8.4,8.4,8.4,18168,0
2023-07-17T00:00:00+0530,8,8,8,8,20512,0
