date,open,high,low,close,volume,empty
2023-01-16T00:00:00+0530,68,68,64.6,64.6,3108000,0
2023-01-17T00:00:00+0530,61.4,61.4,61.4,61.4,60000,0
2023-01-18T00:00:00+0530,58.35,58.35,58.35,58.35,51000,0
2023-01-19T00:00:00+0530,55.45,55.45,55.45,55.45,120000,0
2023-01-20T00:00:00+0530,55.15,58.2,55.15,58.2,1230000,0
2023-01-23T00:00:00+0530,59.8,61.1,58.2,60.75,756000,0
2023-01-24T00:00:00+0530,57.75,59.45,57.75,57.85,519000,0
2023-01-25T00:00:00+0530,58.95,60.4,55.5,57.05,258000,0
2023-01-27T00:00:00+0530,59,59,54.2,56.55,231000,0
2023-01-30T00:00:00+0530,57.95,57.95,53.8,54.95,138000,0
2023-01-31T00:00:00+0530,55,55,50.25,53.3,180000,0
2023-02-01T00:00:00+0530,54.5,63.95,52.3,63.5,1029000,0
2023-02-02T00:00:00+0530,62.95,64,57.05,59.25,327000,0
2023-02-03T00:00:00+0530,60,60,56.75,58.55,165000,0
2023-02-06T00:00:00+0530,58,62.8,58,60,114000,0
2023-02-07T00:00:00+0530,59.6,59.6,56.15,57.05,189000,0
2023-02-08T00:00:00+0530,57.4,57.95,54.2,54.8,174000,0
2023-02-09T00:00:00+0530,55.9,56.65,54.9,55.55,87000,0
2023-02-10T00:00:00+0530,55.35,58,55.35,57.55,87000,0
2023-02-13T00:00:00+0530,57.05,57.6,55.45,56.85,72000,0
2023-02-14T00:00:00+0530,57,57,55.1,55.6,93000,0
2023-02-15T00:00:00+0530,55,56.4,54.2,54.9,33000,0
2023-02-16T00:00:00+0530,54.35,54.35,51.95,52.05,165000,0
2023-02-17T00:00:00+0530,52.05,53,51,51.6,78000,0
2023-02-20T00:00:00+0530,52,59.5,52,55.5,375000,0
2023-02-21T00:00:00+0530,55.4,56.95,54,54,33000,0
2023-02-22T00:00:00+0530,53,53.95,52.5,52.65,27000,0
2023-02-23T00:00:00+0530,52,52.15,50,50.65,75000,0
2023-02-24T00:00:00+0530,50.2,50.2,49.1,49.6,54000,0
2023-02-27T00:00:00+0530,49.5,49.5,47.2,48.4,57000,0
2023-02-28T00:00:00+0530,48,49,46.3,46.9,63000,0
2023-03-01T00:00:00+0530,46.4,47.65,45,47.15,93000,0
2023-03-02T00:00:00+0530,46.4,49.8,46.4,49.3,60000,0
2023-03-03T00:00:00+0530,48.6,49.65,47.8,48.95,60000,0
2023-03-06T00:00:00+0530,47.6,49.1,47.6,48.7,33000,0
2023-03-08T00:00:00+0530,49.45,50.6,46.4,49.8,78000,0
2023-03-09T00:00:00+0530,49,49.95,49,49.95,9000,0
2023-03-10T00:00:00+0530,47.55,48.3,47,48,39000,0
2023-03-13T00:00:00+0530,48,48,46,46.25,45000,0
2023-03-14T00:00:00+0530,45.2,46.3,42.7,44.05,69000,0
2023-03-15T00:00:00+0530,42.75,45,42.3,43,90000,0
2023-03-16T00:00:00+0530,42,42.8,41.5,41.65,54000,0
2023-03-17T00:00:00+0530,42.85,42.9,42,42.5,21000,0
2023-03-20T00:00:00+0530,41,42.5,40.7,41.35,45000,0
2023-03-21T00:00:00+0530,42,46.95,42,46.05,117000,0
2023-03-22T00:00:00+0530,45.2,46.95,44.15,44.45,75000,0
2023-03-23T00:00:00+0530,44,44.45,41.6,41.65,81000,0
2023-03-24T00:00:00+0530,40.3,42.9,40.25,41.75,48000,0
2023-03-27T00:00:00+0530,40.7,41.3,40.3,40.5,234000,0
2023-03-28T00:00:00+0530,40.85,41.65,40.1,40.1,63000,0
2023-03-29T00:00:00+0530,40.5,43,40.5,41.15,90000,0
2023-03-31T00:00:00+0530,41,42.25,41,41.5,72000,0
2023-04-03T00:00:00+0530,41.5,42.25,41.45,42.15,39000,0
2023-04-05T00:00:00+0530,42.5,45.1,42.5,44.9,60000,0
2023-04-06T00:00:00+0530,44,44.95,44,44.75,12000,0
2023-04-10T00:00:00+0530,46.4,46.65,46,46,33000,0
2023-04-11T00:00:00+0530,47,47,46.5,46.65,12000,0
