date,open,high,low,close,volume,empty
2023-10-18T00:00:00+0530,82,86.1,82,86.1,1630400,0
2023-10-19T00:00:00+0530,85,87,81.8,81.8,406400,0
2023-10-20T00:00:00+0530,79,85.45,77.75,82.8,585600,0
2023-10-23T00:00:00+0530,83.15,83.5,78.7,78.7,232000,0
2023-10-25T00:00:00+0530,75.5,78,74.8,74.8,120000,0
2023-10-26T00:00:00+0530,71.15,71.9,71.1,71.1,38400,0
2023-10-27T00:00:00+0530,67.55,74.65,67.55,72.4,225600,0
2023-10-30T00:00:00+0530,72,72.9,69.15,70.6,49600,0
2023-10-31T00:00:00+0530,72.7,72.7,67.1,67.5,112000,0
2023-11-01T00:00:00+0530,68.9,70.85,68,70.85,33600,0
2023-11-02T00:00:00+0530,76.9,76.9,71.05,73.4,67200,0
2023-11-03T00:00:00+0530,74.5,74.5,71.25,72,33600,0
2023-11-06T00:00:00+0530,74,74,69.65,71.9,40000,0
2023-11-07T00:00:00+0530,72,72,69,70.45,49600,0
2023-11-08T00:00:00+0530,69.65,71.8,69.65,71,19200,0
2023-11-09T00:00:00+0530,71,71.55,69.65,71,30400,0
2023-11-10T00:00:00+0530,70.3,70.3,69.3,70.05,32000,0
2023-11-12T00:00:00+0530,71.95,72,71,71,9600,0
2023-11-13T00:00:00+0530,71,71.4,70.3,70.9,17600,0
2023-11-15T00:00:00+0530,71,71.45,67.3,68.9,49600,0
2023-11-16T00:00:00+0530,68,68.9,67.25,67.8,41600,0
2023-11-17T00:00:00+0530,67.85,68.5,66.3,66.65,65600,0
2023-11-20T00:00:00+0530,66.75,66.75,61.35,61.75,86400,0
2023-11-21T00:00:00+0530,61.75,64,61.4,62.7,43200,0
2023-11-22T00:00:00+0530,62.7,63.8,62.7,63,35200,0
2023-11-23T00:00:00+0530,63.9,63.9,63.1,63.6,22400,0
2023-11-24T00:00:00+0530,63.9,64.5,63.5,63.5,12800,0
2023-11-28T00:00:00+0530,65,65,62,62.65,62400,0
2023-11-29T00:00:00+0530,64.9,64.9,61.5,61.75,38400,0
2023-11-30T00:00:00+0530,61.9,62.5,58.5,59.6,115200,0
2023-12-01T00:00:00+0530,59.55,61,58,58.2,51200,0
2023-12-04T00:00:00+0530,57.65,57.65,55.4,56,65600,0
2023-12-05T00:00:00+0530,56,56.95,55.1,56.3,64000,0
2023-12-06T00:00:00+0530,57,57.3,55.6,55.75,38400,0
2023-12-07T00:00:00+0530,56.5,56.5,55,55.5,40000,0
