date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,595.5,597.55,589.95,592.2,491791,0
2023-01-03T00:00:00+0530,594.4,602.2,592,595.2,1173429,0
2023-01-04T00:00:00+0530,595.2,597.75,581.7,584.25,831885,0
2023-01-05T00:00:00+0530,587.2,595,584,592.75,912742,0
2023-01-06T00:00:00+0530,595.7,597.6,583.45,589.15,1202298,0
2023-01-09T00:00:00+0530,592.1,601.95,589.35,597.75,1498066,0
2023-01-10T00:00:00+0530,596,596.8,569.9,577.7,2226818,0
2023-01-11T00:00:00+0530,576,581.3,571.3,577,1797199,0
2023-01-12T00:00:00+0530,581.6,588,573.3,577.7,2435215,0
2023-01-13T00:00:00+0530,578.4,579.6,563.2,570.45,1878562,0
2023-01-16T00:00:00+0530,570.45,576.7,563.25,567,2220065,0
2023-01-17T00:00:00+0530,564,564.8,552.9,556.35,2497325,0
2023-01-18T00:00:00+0530,556,567.75,554.05,564.1,2424154,0
2023-01-19T00:00:00+0530,564.1,570.8,562.4,569.25,1225069,0
2023-01-20T00:00:00+0530,569.25,573.2,562.1,564.5,1129625,0
2023-01-23T00:00:00+0530,564.75,565.4,554.6,560.7,1690119,0
2023-01-24T00:00:00+0530,552.5,552.5,541.6,544.3,4197701,0
2023-01-25T00:00:00+0530,542.8,543.95,516,519.7,4893241,0
2023-01-27T00:00:00+0530,521.6,521.6,501.75,512.1,3891358,0
2023-01-30T00:00:00+0530,511.2,512,496.4,500.15,3907288,0
2023-01-31T00:00:00+0530,504,504.8,497.05,502.75,5211671,0
2023-02-01T00:00:00+0530,510.4,510.9,479.9,489.1,3934886,0
2023-02-02T00:00:00+0530,487.2,491.3,476.1,486.5,3714562,0
2023-02-03T00:00:00+0530,491.2,491.6,473,490.5,1467878,0
2023-02-06T00:00:00+0530,484.8,494.65,483.45,492.95,1496456,0
2023-02-07T00:00:00+0530,496,502.8,491.9,499.75,2243279,0
2023-02-08T00:00:00+0530,499.1,499.1,481.85,493.1,2431608,0
2023-02-09T00:00:00+0530,495.2,495.7,488,493.95,685178,0
2023-02-10T00:00:00+0530,493.6,494.4,484.1,487.55,2246184,0
2023-02-13T00:00:00+0530,487.3,500,487.3,492.65,1619535,0
2023-02-14T00:00:00+0530,492.8,496.55,487.2,492.3,690204,0
2023-02-15T00:00:00+0530,494,499.1,492.3,497,1131009,0
2023-02-16T00:00:00+0530,500,500,488.8,490.65,1333536,0
2023-02-17T00:00:00+0530,488.7,490.95,480.5,485.8,1900109,0
2023-02-20T00:00:00+0530,487.2,489.4,483.65,487.45,1483444,0
2023-02-21T00:00:00+0530,492,492,475.35,476.7,2337685,0
2023-02-22T00:00:00+0530,477,477,467.55,469.5,5644905,0
2023-02-23T00:00:00+0530,470.4,471.9,464.05,470.15,1719076,0
2023-02-24T00:00:00+0530,472.65,480,471.3,475.25,3099916,0
2023-02-27T00:00:00+0530,475.25,475.6,466,472.2,1577111,0
2023-02-28T00:00:00+0530,474.6,479.55,470.15,472.4,1875792,0
2023-03-01T00:00:00+0530,472.8,481.35,472.8,479.35,1936694,0
2023-03-02T00:00:00+0530,480,482.15,474.4,475.45,1811174,0
2023-03-03T00:00:00+0530,477.4,488.2,476.8,484.1,3072410,0
2023-03-06T00:00:00+0530,486.75,489.65,481,481.8,1827120,0
2023-03-08T00:00:00+0530,483.55,486.9,476.7,485,2066998,0
2023-03-09T00:00:00+0530,485.8,487.45,474.4,475.9,1440760,0
2023-03-10T00:00:00+0530,474,474,467.4,468.1,1292090,0
2023-03-13T00:00:00+0530,468,469.6,461.1,464.1,1107282,0
2023-03-14T00:00:00+0530,460,470.4,459.85,468.5,1331464,0
2023-03-15T00:00:00+0530,474.25,474.25,465,471.9,1354391,0
2023-03-16T00:00:00+0530,471.95,475,466.1,473.9,871176,0
2023-03-17T00:00:00+0530,475.95,477.1,469.9,475.7,1548226,0
2023-03-20T00:00:00+0530,478.7,478.7,465.3,474.45,1485758,0
2023-03-21T00:00:00+0530,475.85,478.5,471,476.5,1171811,0
2023-03-22T00:00:00+0530,477.6,480,472.95,474.9,802002,0
2023-03-23T00:00:00+0530,472.9,475.1,469.15,472.2,749456,0
2023-03-24T00:00:00+0530,470.3,472.35,464.2,466.6,1044386,0
2023-03-27T00:00:00+0530,464.5,469,457.4,463.25,860062,0
2023-03-28T00:00:00+0530,464,465.55,448,450.6,1247389,0
2023-03-29T00:00:00+0530,448,458,444,455.75,1637419,0
2023-03-31T00:00:00+0530,463.95,467.2,456.3,464.2,728370,0
2023-04-03T00:00:00+0530,468.75,468.75,460.4,464.7,673059,0
2023-04-05T00:00:00+0530,466.3,466.3,456,458.4,1337715,0
2023-04-06T00:00:00+0530,458.4,460.1,455.1,456.5,1060312,0
2023-04-10T00:00:00+0530,459.2,465.55,457.35,461.9,1392200,0
2023-04-11T00:00:00+0530,464.8,478.4,464,473.5,5915168,0
2023-04-12T00:00:00+0530,475.9,482,472.1,480.75,1427141,0
2023-04-13T00:00:00+0530,481.05,484.95,475.3,483.7,1341179,0
2023-04-17T00:00:00+0530,482.4,487.2,478.4,484.05,656336,0
2023-04-18T00:00:00+0530,484.25,489.3,481.35,486.9,1055435,0
2023-04-19T00:00:00+0530,488.8,488.8,478.4,479.5,708535,0
2023-04-20T00:00:00+0530,493.55,499.05,486.55,489.3,4351476,0
2023-04-21T00:00:00+0530,490.55,492.3,482.9,486.55,959854,0
2023-04-24T00:00:00+0530,486.55,487.8,480.6,482.5,503438,0
2023-04-25T00:00:00+0530,482.5,484.8,480.05,483.5,698706,0
2023-04-26T00:00:00+0530,481.55,489.6,479.2,488.5,1173085,0
2023-04-27T00:00:00+0530,489.2,489.85,482,485.45,881488,0
2023-04-28T00:00:00+0530,486.8,491.6,485.75,489.35,1267131,0
2023-05-02T00:00:00+0530,491.9,498.65,489.1,496.7,1308632,0
2023-05-03T00:00:00+0530,496.5,500.7,494.15,498.9,1877954,0
2023-05-04T00:00:00+0530,498.35,507.15,498.35,506.4,1657121,0
2023-05-05T00:00:00+0530,508.8,508.85,496.1,498.95,997256,0
2023-05-08T00:00:00+0530,498.95,509.5,498.55,508.7,1187371,0
2023-05-09T00:00:00+0530,511.05,512.8,503.9,507.9,901325,0
2023-05-10T00:00:00+0530,508.8,514.4,504,511.7,553396,0
2023-05-11T00:00:00+0530,513.5,516.6,509.5,513.65,885626,0
2023-05-12T00:00:00+0530,513.65,517.1,508.2,510.6,668275,0
2023-05-15T00:00:00+0530,510.4,517.95,508.85,517.5,935905,0
2023-05-16T00:00:00+0530,516.8,519.7,512.1,514.55,1129940,0
2023-05-17T00:00:00+0530,514.4,518,508.4,511.45,1287502,0
2023-05-18T00:00:00+0530,514.7,514.7,502.55,505.1,2097452,0
