date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,36.55,36.75,33.4,36.05,2793,0
2023-01-03T00:00:00+0530,37.7,37.7,34.3,36.95,1817,0
2023-01-04T00:00:00+0530,37.1,37.1,35.55,36.45,761,0
2023-01-05T00:00:00+0530,36.45,36.45,36.45,36.45,265,0
2023-01-06T00:00:00+0530,37,37,34.75,34.9,2459,0
2023-01-09T00:00:00+0530,35.95,35.95,35.1,35.8,72,0
2023-01-10T00:00:00+0530,34.35,35.85,34.35,35.25,3198,0
2023-01-11T00:00:00+0530,34.2,35.9,34.2,35.1,5026,0
2023-01-12T00:00:00+0530,35,35.7,33.75,35,1166,0
2023-01-13T00:00:00+0530,35.1,35.2,35,35.05,266,0
2023-01-16T00:00:00+0530,35.9,35.9,34.5,35.9,408,0
2023-01-17T00:00:00+0530,35.85,35.9,34.8,35.2,581,0
2023-01-18T00:00:00+0530,35,35.2,34.85,35,334,0
2023-01-19T00:00:00+0530,36.75,36.75,34.8,35.7,1046,0
2023-01-20T00:00:00+0530,35.7,35.7,35.65,35.65,56,0
2023-01-23T00:00:00+0530,35.65,35.65,34.1,35,1411,0
2023-01-24T00:00:00+0530,35.8,35.8,34.15,34.75,580,0
2023-01-25T00:00:00+0530,35,35.8,35,35.05,2337,0
2023-01-27T00:00:00+0530,34.05,35,34.05,35,1238,0
2023-01-30T00:00:00+0530,35.5,35.5,35,35,557,0
2023-01-31T00:00:00+0530,34.5,35,34,35,337,0
2023-02-01T00:00:00+0530,35,35,35,35,2292,0
2023-02-02T00:00:00+0530,35,35,34.95,35,287,0
2023-02-03T00:00:00+0530,35.1,35.9,33.25,35,9096,0
2023-02-06T00:00:00+0530,33.25,35,33.25,34.95,2499,0
2023-02-07T00:00:00+0530,34.95,35,33.2,34.95,3580,0
2023-02-08T00:00:00+0530,33.2,34.95,33.2,34.95,873,0
2023-02-09T00:00:00+0530,34.85,34.85,34.5,34.5,165,0
2023-02-10T00:00:00+0530,34.9,35.5,34.6,34.6,232,0
2023-02-13T00:00:00+0530,33.7,35.45,33.7,35.45,100,0
2023-02-14T00:00:00+0530,34.55,34.55,33.7,33.9,554,0
2023-02-15T00:00:00+0530,34.95,35,33.7,33.8,588,0
2023-02-16T00:00:00+0530,35,35.45,35,35,325,0
2023-02-17T00:00:00+0530,35,35.9,35,35,108,0
2023-02-20T00:00:00+0530,34.9,34.9,33.9,33.9,151,0
2023-02-21T00:00:00+0530,33.9,35.55,32.2,34.05,3574,0
2023-02-22T00:00:00+0530,35.3,35.5,33.25,33.5,2024,0
2023-02-23T00:00:00+0530,34.35,34.8,33.05,33.9,606,0
2023-02-24T00:00:00+0530,35.2,35.2,34.95,34.95,547,0
2023-02-27T00:00:00+0530,34.9,34.9,33.25,33.25,9,0
2023-02-28T00:00:00+0530,32.4,34.9,32,34.5,2459,0
2023-03-01T00:00:00+0530,34.5,34.5,33,33.95,939,0
2023-03-02T00:00:00+0530,34.45,35.5,33.1,35.15,273,0
2023-03-03T00:00:00+0530,33.55,35,33.4,33.75,1515,0
2023-03-06T00:00:00+0530,35.35,35.35,32.2,32.85,6851,0
2023-03-08T00:00:00+0530,32.9,34,32.15,32.4,152,0
2023-03-09T00:00:00+0530,33.45,33.65,32.25,32.75,1995,0
2023-03-10T00:00:00+0530,34.25,34.25,32.6,33.1,544,0
2023-03-13T00:00:00+0530,34.3,34.3,31.45,32,10472,0
2023-03-14T00:00:00+0530,31.6,33.4,31.6,32.7,2781,0
2023-03-15T00:00:00+0530,33.5,33.5,32.7,32.7,305,0
2023-03-16T00:00:00+0530,32.05,32.8,32.05,32.2,1146,0
2023-03-17T00:00:00+0530,31.3,33.7,30.6,30.95,14477,0
2023-03-20T00:00:00+0530,31.35,31.85,29.45,29.6,2721,0
2023-03-21T00:00:00+0530,30,30.8,29.15,30.15,873,0
2023-03-22T00:00:00+0530,31.05,31.4,29.75,30.05,288,0
2023-03-23T00:00:00+0530,31.05,31.45,29,31.25,3409,0
2023-03-24T00:00:00+0530,31.1,32.7,31.1,32.5,1504,0
2023-03-27T00:00:00+0530,32.5,32.5,30.9,30.9,513,0
2023-03-28T00:00:00+0530,30.05,32.4,29.95,32.25,11831,0
2023-03-29T00:00:00+0530,31,33.85,31,33.8,6964,0
2023-03-31T00:00:00+0530,34,35.45,33.85,35.45,9639,0
2023-04-03T00:00:00+0530,36.85,36.85,35.75,36.65,1513,0
2023-04-05T00:00:00+0530,38,38,35.6,37.9,4384,0
2023-04-06T00:00:00+0530,36.05,39.7,36,37.9,1797,0
2023-04-10T00:00:00+0530,36.15,39.75,36.15,38,1263,0
2023-04-11T00:00:00+0530,39.6,39.9,38.5,39.9,6430,0
2023-04-12T00:00:00+0530,39.95,39.95,37.9,39.55,7771,0
2023-04-13T00:00:00+0530,40.4,40.4,39.1,40.35,4477,0
2023-04-17T00:00:00+0530,40.35,40.35,38.55,39.65,3844,0
2023-04-18T00:00:00+0530,38.1,41.45,38.1,39.9,16493,0
2023-04-19T00:00:00+0530,38.15,40,38.15,39,12354,0
2023-04-20T00:00:00+0530,38.25,39,38,38.05,2863,0
2023-04-21T00:00:00+0530,39,39,37.5,37.9,5857,0
2023-04-24T00:00:00+0530,37.15,38.95,37,38.6,2717,0
2023-04-25T00:00:00+0530,38.6,38.9,36.95,37.65,3707,0
2023-04-26T00:00:00+0530,37.25,37.85,37,37.55,368,0
2023-04-27T00:00:00+0530,37.55,38.95,36.65,38.7,1581,0
2023-04-28T00:00:00+0530,37.5,38.75,37.5,38.1,26,0
2023-05-02T00:00:00+0530,38.1,38.1,36.2,37.35,5197,0
2023-05-03T00:00:00+0530,37.4,38.3,36.7,36.95,839,0
2023-05-04T00:00:00+0530,36.85,38.15,36.15,36.35,5713,0
2023-05-05T00:00:00+0530,37.45,37.45,36,37.2,459,0
2023-05-08T00:00:00+0530,35.6,37.75,35.6,37.1,142,0
2023-05-09T00:00:00+0530,35.8,37,35.8,36.9,1135,0
2023-05-10T00:00:00+0530,36.95,36.95,36.05,36.8,95,0
2023-05-11T00:00:00+0530,36.85,36.95,36,36.05,678,0
2023-05-12T00:00:00+0530,34.3,36.85,34.3,36.1,293,0
2023-05-15T00:00:00+0530,36.15,36.95,34.3,36.05,9353,0
2023-05-16T00:00:00+0530,34.55,35.65,34.25,34.25,1275,0
2023-05-17T00:00:00+0530,35.65,35.65,34.3,35.45,1160,0
2023-05-18T00:00:00+0530,36.5,36.5,34.5,35.2,866,0
2023-05-19T00:00:00+0530,35.15,36,34.1,35.7,478,0
2023-05-22T00:00:00+0530,35.45,35.5,34.15,34.25,278,0
2023-05-23T00:00:00+0530,35.9,35.95,34.05,34.8,1409,0
2023-05-24T00:00:00+0530,36,36,33.55,34.15,1366,0
2023-05-25T00:00:00+0530,34,35.8,33.3,34.3,2982,0
2023-05-26T00:00:00+0530,36,36,35.05,35.95,1233,0
2023-05-29T00:00:00+0530,35.5,35.8,34.25,35.2,1154,0
2023-05-30T00:00:00+0530,33.8,36.95,33.8,34.65,2813,0
2023-05-31T00:00:00+0530,36.35,36.35,36,36.05,1356,0
2023-06-01T00:00:00+0530,36,37.85,36,37,1045,0
2023-06-02T00:00:00+0530,37,38.85,36.65,38.85,4842,0
2023-06-05T00:00:00+0530,38.85,40.75,38.85,39.35,23046,0
2023-06-06T00:00:00+0530,37.4,41.3,37.4,41.3,19232,0
2023-06-07T00:00:00+0530,42.35,43.35,42,43.3,59294,0
2023-06-08T00:00:00+0530,44.85,44.85,41.15,42.65,15663,0
