date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,803.7,820,803.7,816.4,50886,0
2023-01-03T00:00:00+0530,820.5,824.05,811.25,820,67779,0
2023-01-04T00:00:00+0530,818,818.6,801,807.35,120943,0
2023-01-05T00:00:00+0530,803.55,821.1,802.2,818.3,194822,0
2023-01-06T00:00:00+0530,821,821,803.35,812.55,106386,0
2023-01-09T00:00:00+0530,816.65,832.65,812.55,830.3,115809,0
2023-01-10T00:00:00+0530,834,852,830.2,841.25,259664,0
2023-01-11T00:00:00+0530,841.25,857.3,841.25,847.45,149059,0
2023-01-12T00:00:00+0530,849.85,889,827.2,883.3,1273365,0
2023-01-13T00:00:00+0530,889.9,917.95,873.85,877.5,2038029,0
2023-01-16T00:00:00+0530,881.9,905.9,881.05,890.4,414919,0
2023-01-17T00:00:00+0530,899,900.25,880.1,886.2,303631,0
2023-01-18T00:00:00+0530,889,900,878.1,881.3,192024,0
2023-01-19T00:00:00+0530,880.7,893.95,870,874.85,170131,0
2023-01-20T00:00:00+0530,876.95,887.15,869.2,873.9,225093,0
2023-01-23T00:00:00+0530,878.4,884.25,872.7,875.15,136646,0
2023-01-24T00:00:00+0530,879.7,887.95,863.3,868.95,156988,0
2023-01-25T00:00:00+0530,870.8,874.95,845.3,849.2,388406,0
2023-01-27T00:00:00+0530,848.9,870.6,841.4,856.2,262283,0
2023-01-30T00:00:00+0530,854.75,877.05,831.5,838.55,423035,0
2023-01-31T00:00:00+0530,846.85,885,840.55,879.85,356917,0
2023-02-01T00:00:00+0530,880,896.75,856,861.15,210890,0
2023-02-02T00:00:00+0530,859.8,894,859.8,891.05,164683,0
2023-02-03T00:00:00+0530,895,915.9,885.25,897.85,667704,0
2023-02-06T00:00:00+0530,901,927.4,901,922.6,412895,0
2023-02-07T00:00:00+0530,927.15,927.75,878.1,886.9,197941,0
2023-02-08T00:00:00+0530,891.1,928.8,891.1,909.95,742772,0
2023-02-09T00:00:00+0530,911.05,934.45,911.05,918.25,546312,0
2023-02-10T00:00:00+0530,920,932.75,906.2,923,155670,0
2023-02-13T00:00:00+0530,923.55,929.95,885,891,237690,0
2023-02-14T00:00:00+0530,892,947.7,892,917.5,1028985,0
2023-02-15T00:00:00+0530,919.85,942,908.7,917.05,227633,0
2023-02-16T00:00:00+0530,921.9,934.95,907.4,910.3,388957,0
2023-02-17T00:00:00+0530,906.95,926.7,906.6,923.5,153498,0
2023-02-20T00:00:00+0530,928.45,947.45,917.65,938.95,394668,0
2023-02-21T00:00:00+0530,941,955,930,952.8,413404,0
2023-02-22T00:00:00+0530,951.55,979.95,941.15,973.8,784693,0
2023-02-23T00:00:00+0530,975,983,965,978.55,346756,0
2023-02-24T00:00:00+0530,979.9,985,961,966.6,214659,0
2023-02-27T00:00:00+0530,964.8,973,948.6,966,338123,0
2023-02-28T00:00:00+0530,967.5,967.9,940,944.3,258367,0
2023-03-01T00:00:00+0530,944.7,964.25,942.35,952.25,131810,0
2023-03-02T00:00:00+0530,955.15,963,945,958.1,117376,0
2023-03-03T00:00:00+0530,960,964.2,948.9,956.95,180468,0
2023-03-06T00:00:00+0530,964,972,945.75,955.15,225926,0
2023-03-08T00:00:00+0530,962,965,943.6,949.5,126531,0
2023-03-09T00:00:00+0530,949.95,961.45,948,956.6,142569,0
2023-03-10T00:00:00+0530,949.65,960,936.8,952.1,196125,0
2023-03-13T00:00:00+0530,943,950.95,926.9,930.75,205005,0
2023-03-14T00:00:00+0530,925.1,939.35,910,929.7,125586,0
2023-03-15T00:00:00+0530,938.9,954.9,931.25,949.6,165526,0
2023-03-16T00:00:00+0530,948.95,952,920.05,946.15,144282,0
2023-03-17T00:00:00+0530,972,984.7,960,963,470506,0
2023-03-20T00:00:00+0530,955,968,945,950.95,350395,0
2023-03-21T00:00:00+0530,953.6,968.95,941.2,946.8,178717,0
2023-03-22T00:00:00+0530,949.5,958.7,942,944.9,211960,0
2023-03-23T00:00:00+0530,942.4,959,932.15,944.05,274033,0
2023-03-24T00:00:00+0530,942.4,1009.9,942,1001.2,1935257,0
2023-03-27T00:00:00+0530,1006.95,1026,995.9,1008.2,844655,0
2023-03-28T00:00:00+0530,1000,1005.95,988,993.2,247889,0
2023-03-29T00:00:00+0530,990,994.05,959.5,985.55,305111,0
2023-03-31T00:00:00+0530,986.05,1042.45,986.05,995.25,687167,0
2023-04-03T00:00:00+0530,1000,1007,987.85,994.7,265435,0
2023-04-05T00:00:00+0530,998,1064.3,998,1054.3,1300805,0
2023-04-06T00:00:00+0530,1054,1060,1031,1051.3,454778,0
2023-04-10T00:00:00+0530,1050.7,1080.9,1043.2,1074.6,377081,0
2023-04-11T00:00:00+0530,1077.85,1089,1060.8,1081.7,277769,0
2023-04-12T00:00:00+0530,1076.95,1099.7,1068.05,1095.5,258818,0
2023-04-13T00:00:00+0530,1090,1092.25,1055.15,1069.75,215314,0
2023-04-17T00:00:00+0530,1065,1084.8,1057.75,1080.15,337087,0
2023-04-18T00:00:00+0530,1080.15,1120,1079,1108.65,593983,0
2023-04-19T00:00:00+0530,1108.6,1108.6,1061.3,1068.7,333167,0
2023-04-20T00:00:00+0530,1068.7,1105,1064,1091.25,398014,0
2023-04-21T00:00:00+0530,1140,1193.7,1126.15,1159.65,6026418,0
2023-04-24T00:00:00+0530,1164,1230.2,1151,1172.85,2499076,0
2023-04-25T00:00:00+0530,1170,1188.5,1141.65,1157.6,1067766,0
2023-04-26T00:00:00+0530,1156.05,1184,1150,1164.85,831408,0
2023-04-27T00:00:00+0530,1164,1173.65,1152,1166.35,324031,0
2023-04-28T00:00:00+0530,1170,1185,1162.55,1179.95,322850,0
2023-05-02T00:00:00+0530,1185.95,1206.3,1152,1169.85,316919,0
2023-05-03T00:00:00+0530,1164.85,1178.9,1161,1168.25,185956,0
2023-05-04T00:00:00+0530,1165,1182,1158.9,1178.6,232224,0
2023-05-05T00:00:00+0530,1184.35,1203,1182.05,1200.5,276106,0
2023-05-08T00:00:00+0530,1208,1216,1192.2,1205.85,192765,0
2023-05-09T00:00:00+0530,1214.4,1214.4,1159.5,1162.8,309080,0
2023-05-10T00:00:00+0530,1168.85,1275.55,1168.8,1257.35,1995152,0
2023-05-11T00:00:00+0530,1257,1273.95,1222,1235,640210,0
2023-05-12T00:00:00+0530,1245,1246,1188.65,1209.05,340473,0
2023-05-15T00:00:00+0530,1210,1281.85,1210,1271.6,757967,0
2023-05-16T00:00:00+0530,1283,1283,1217,1230.15,918460,0
2023-05-17T00:00:00+0530,1236.5,1293.85,1236,1287.25,1384507,0
2023-05-18T00:00:00+0530,1270,1299,1260.15,1287.45,822724,0
2023-05-19T00:00:00+0530,1287.45,1318.05,1287,1299.75,774790,0
2023-05-22T00:00:00+0530,1309.25,1416,1309.25,1386.75,2219874,0
2023-05-23T00:00:00+0530,1384.05,1410.85,1353,1360.35,1064674,0
2023-05-24T00:00:00+0530,1362.6,1362.6,1310.5,1321.3,401000,0
2023-05-25T00:00:00+0530,1320.45,1327.85,1282.65,1305.05,862823,0
2023-05-26T00:00:00+0530,1315,1345.75,1297.05,1309.65,574592,0
2023-05-29T00:00:00+0530,1314.8,1329,1286.1,1292.85,247068,0
2023-05-30T00:00:00+0530,1290,1293.8,1264.65,1281.65,347776,0
2023-05-31T00:00:00+0530,1276.5,1351,1276.5,1297.9,813429,0
2023-06-01T00:00:00+0530,1308.35,1408.8,1303.55,1372,1267897,0
2023-06-02T00:00:00+0530,1391,1524.75,1391,1459,5618427,0
2023-06-05T00:00:00+0530,1477,1488.7,1381,1393.1,1750300,0
2023-06-06T00:00:00+0530,1398,1398,1330.05,1339.15,1132629,0
2023-06-07T00:00:00+0530,1345.05,1374.9,1345.05,1352.8,736384,0
2023-06-08T00:00:00+0530,1358.2,1372.8,1345.5,1357.5,418752,0
2023-06-09T00:00:00+0530,1360.4,1396,1360.4,1386.15,539102,0
2023-06-12T00:00:00+0530,1373,1452,1367.1,1438.35,1079895,0
2023-06-13T00:00:00+0530,1434.9,1504.9,1431.5,1468.5,1232801,0
2023-06-14T00:00:00+0530,1470,1525,1467.2,1497.8,856839,0
2023-06-15T00:00:00+0530,1498.4,1512.8,1459,1466.45,516679,0
2023-06-16T00:00:00+0530,1473.75,1506.5,1453.7,1487.4,486094,0
2023-06-19T00:00:00+0530,1490,1524,1461.05,1514.55,475192,0
2023-06-20T00:00:00+0530,1515,1522.1,1487.05,1496.65,245049,0
2023-06-21T00:00:00+0530,1502.1,1523.7,1455,1465.75,464042,0
2023-06-22T00:00:00+0530,1470,1504.1,1442.25,1490.8,476703,0
2023-06-23T00:00:00+0530,1484,1487,1451,1460.3,245846,0
2023-06-26T00:00:00+0530,1460.3,1474.15,1440.55,1459.7,181257,0
2023-06-27T00:00:00+0530,1471.9,1485.9,1460.05,1467.3,221584,0
2023-06-28T00:00:00+0530,1475.8,1488.9,1456.05,1477.25,247652,0
2023-06-30T00:00:00+0530,1463.8,1532.8,1463.8,1500.7,621952,0
2023-07-03T00:00:00+0530,1516.15,1555,1505,1512.95,501460,0
2023-07-04T00:00:00+0530,1512.95,1525,1494,1512.55,176405,0
2023-07-05T00:00:00+0530,1495,1512.45,1495,1505.9,237911,0
2023-07-06T00:00:00+0530,1514.95,1515.85,1478.9,1486.35,198368,0
2023-07-07T00:00:00+0530,1498.5,1498.5,1462,1481.65,228647,0
2023-07-10T00:00:00+0530,1494,1496.05,1392.1,1401,468704,0
2023-07-11T00:00:00+0530,1414.7,1474.75,1403.05,1448.55,1065257,0
2023-07-12T00:00:00+0530,1448,1448.15,1400,1410.3,420679,0
2023-07-13T00:00:00+0530,1419.3,1447.8,1417,1427.25,366680,0
2023-07-14T00:00:00+0530,1433,1446.3,1415.05,1440.7,516712,0
2023-07-17T00:00:00+0530,1450,1492.95,1447.55,1455.9,677484,0
2023-07-18T00:00:00+0530,1461.4,1479,1436.2,1457.2,217099,0
2023-07-19T00:00:00+0530,1461,1498,1458,1486.1,425177,0
2023-07-20T00:00:00+0530,1490,1500.4,1462.05,1470.2,212204,0
2023-07-21T00:00:00+0530,1456,1492.35,1440.45,1476.15,244279,0
2023-07-24T00:00:00+0530,1470,1490,1420.1,1482.35,359416,0
2023-07-25T00:00:00+0530,1482.35,1487.95,1460,1466.55,143831,0
2023-07-26T00:00:00+0530,1445.05,1485,1439.35,1462.35,335021,0
2023-07-27T00:00:00+0530,1470,1476.3,1422.9,1433.65,276729,0
2023-07-28T00:00:00+0530,1441.2,1468.65,1436.25,1463,242928,0
2023-07-31T00:00:00+0530,1473,1474.55,1430.45,1467.05,416936,0
2023-08-01T00:00:00+0530,1472,1482.95,1452,1461.75,180490,0
2023-08-02T00:00:00+0530,1462.7,1529.9,1452,1518.1,1065085,0
2023-08-03T00:00:00+0530,1519.6,1519.6,1485.2,1502.75,330752,0
2023-08-04T00:00:00+0530,1509.9,1573.25,1499,1561.75,933404,0
2023-08-07T00:00:00+0530,1574.7,1654.4,1570.05,1641.35,1064807,0
2023-08-08T00:00:00+0530,1652.05,1653.5,1566.9,1588.8,527925,0
2023-08-09T00:00:00+0530,1596,1602.5,1550,1559.7,255553,0
2023-08-10T00:00:00+0530,1565.6,1579.7,1536.4,1542.25,214564,0
2023-08-11T00:00:00+0530,1550.9,1550.9,1515.15,1542.95,190740,0
2023-08-14T00:00:00+0530,1547.4,1564,1515.85,1553.5,204990,0
2023-08-16T00:00:00+0530,1561.5,1584.1,1524.05,1529.75,212228,0
2023-08-17T00:00:00+0530,1534.25,1554,1530.1,1546.25,204636,0
2023-08-18T00:00:00+0530,1535,1559,1505,1541.9,341910,0
2023-08-21T00:00:00+0530,1541.85,1548.4,1533.25,1541.9,148936,0
2023-08-22T00:00:00+0530,1547.2,1565,1534,1551.05,158910,0
2023-08-23T00:00:00+0530,1554.7,1565.1,1536.7,1547.4,125980,0
2023-08-24T00:00:00+0530,1560.6,1597.8,1552,1585.1,290326,0
2023-08-25T00:00:00+0530,1585.3,1593.85,1543,1589.3,241929,0
