date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,213.5,217.35,211.8,215.25,2391543,0
2023-01-03T00:00:00+0530,215.8,218.45,215.1,216.7,1764051,0
2023-01-04T00:00:00+0530,216.3,216.8,212.15,213.3,1422706,0
2023-01-05T00:00:00+0530,213,214.5,210.5,214.05,1618137,0
2023-01-06T00:00:00+0530,213.6,214.9,208.35,210.25,1430687,0
2023-01-09T00:00:00+0530,211.35,213.7,209.85,210.95,1088680,0
2023-01-10T00:00:00+0530,210.95,211.8,206.65,208.55,1010820,0
2023-01-11T00:00:00+0530,209.4,210.9,208,209.8,760570,0
2023-01-12T00:00:00+0530,209.6,211.45,207.15,208.4,908648,0
2023-01-13T00:00:00+0530,209.1,212.7,206.85,211.65,1589521,0
2023-01-16T00:00:00+0530,212.65,215.7,211,215.15,2030334,0
2023-01-17T00:00:00+0530,216.2,216.55,208,211.3,5822305,0
2023-01-18T00:00:00+0530,201.9,205.6,196.2,203.3,7733754,0
2023-01-19T00:00:00+0530,202.9,203.95,199.5,199.95,2319512,0
2023-01-20T00:00:00+0530,199.95,203.2,196.3,201.75,2098415,0
2023-01-23T00:00:00+0530,202.7,207,200.75,204.95,2510163,0
2023-01-24T00:00:00+0530,205,212,204.55,211.45,3774667,0
2023-01-25T00:00:00+0530,210,212,199,200.2,4072883,0
2023-01-27T00:00:00+0530,200.8,202.3,186.7,190.1,4106109,0
2023-01-30T00:00:00+0530,192,195.9,187.15,189.2,3290271,0
2023-01-31T00:00:00+0530,190.9,197.1,187.85,196.3,4460837,0
2023-02-01T00:00:00+0530,196.95,203.35,192.1,195.75,3211318,0
2023-02-02T00:00:00+0530,194,197.55,190.55,191.9,2991381,0
2023-02-03T00:00:00+0530,192.25,194.35,186.5,189.95,2057413,0
2023-02-06T00:00:00+0530,189.8,192.65,189,190.8,2446673,0
2023-02-07T00:00:00+0530,191,191.55,188,189.3,2512920,0
2023-02-08T00:00:00+0530,189.85,195,185.65,193.75,2508416,0
2023-02-09T00:00:00+0530,193.5,197.9,190.45,196.8,3192510,0
2023-02-10T00:00:00+0530,196.5,206.45,194.7,204.2,4557692,0
2023-02-13T00:00:00+0530,204,205.9,201.3,204.75,2732475,0
2023-02-14T00:00:00+0530,205.7,207.75,202,202.6,2189647,0
2023-02-15T00:00:00+0530,201.1,204.45,201.05,203.6,1326636,0
2023-02-16T00:00:00+0530,203.1,205.55,202.1,204.4,1689694,0
2023-02-17T00:00:00+0530,203.9,205.5,201.35,202.8,1137922,0
2023-02-20T00:00:00+0530,203.5,203.75,195.6,196.1,3613228,0
2023-02-21T00:00:00+0530,197,198.15,191.55,192.35,2102653,0
2023-02-22T00:00:00+0530,192,193.95,188,189.05,1643064,0
2023-02-23T00:00:00+0530,190,190.2,183,187,3224670,0
2023-02-24T00:00:00+0530,187.95,188.7,183,183.9,1656269,0
2023-02-27T00:00:00+0530,183.9,184,179.65,181.65,1696533,0
2023-02-28T00:00:00+0530,182,188.4,181.3,187.8,2579734,0
2023-03-01T00:00:00+0530,188,197.2,186.5,196.1,3789390,0
2023-03-02T00:00:00+0530,194.95,199.2,194.3,196.2,2248032,0
2023-03-03T00:00:00+0530,197,198.9,196.7,197.5,1685550,0
2023-03-06T00:00:00+0530,197.95,202.3,197.4,197.75,1845536,0
2023-03-08T00:00:00+0530,195.5,200.2,193.35,199.8,1955215,0
2023-03-09T00:00:00+0530,199,205.45,198.55,203.25,5098306,0
2023-03-10T00:00:00+0530,201.85,201.85,193.25,195.35,2649223,0
2023-03-13T00:00:00+0530,194.35,196.35,187,188,1521563,0
2023-03-14T00:00:00+0530,188.25,190.8,185,189.95,2021999,0
2023-03-15T00:00:00+0530,191.5,193,186.9,187.75,1382464,0
2023-03-16T00:00:00+0530,187.75,194.3,184.5,192.5,2589069,0
2023-03-17T00:00:00+0530,193.5,200.85,193.1,198.9,3610010,0
2023-03-20T00:00:00+0530,196.5,200.4,192.2,194.5,1962327,0
2023-03-21T00:00:00+0530,196,196.8,192.35,195.95,1586948,0
2023-03-22T00:00:00+0530,196.2,197.95,192.6,193.3,1106780,0
2023-03-23T00:00:00+0530,192.8,193.75,188.2,189,2038109,0
2023-03-24T00:00:00+0530,188,190.95,184,185.35,1973776,0
2023-03-27T00:00:00+0530,185.95,187.65,181,181.7,1701336,0
2023-03-28T00:00:00+0530,182.65,182.65,175,175.7,2809780,0
2023-03-29T00:00:00+0530,175.7,178.5,173.7,177.75,2378343,0
2023-03-31T00:00:00+0530,178.65,183.35,178.55,180.7,2353282,0
2023-04-03T00:00:00+0530,182,188.4,181.9,187.75,2678945,0
2023-04-05T00:00:00+0530,188.15,192,186.55,190.65,2013986,0
2023-04-06T00:00:00+0530,190.95,192.5,189,191.4,1621739,0
2023-04-10T00:00:00+0530,192.05,195.4,190.95,194.85,3427505,0
2023-04-11T00:00:00+0530,193.65,196.05,187.25,189,5630610,0
2023-04-12T00:00:00+0530,187.3,192.5,187.3,190.6,7470672,0
2023-04-13T00:00:00+0530,189.25,191.25,188.5,190.25,1630025,0
2023-04-17T00:00:00+0530,190.25,192.9,190.05,191.35,1499538,0
2023-04-18T00:00:00+0530,191.8,193.7,191.55,193.3,1902576,0
2023-04-19T00:00:00+0530,193.45,193.55,190.05,190.55,1316088,0
2023-04-20T00:00:00+0530,190.7,196.95,190,193.4,4280522,0
2023-04-21T00:00:00+0530,193,195.9,192.55,194.75,1652573,0
2023-04-24T00:00:00+0530,195,199.75,194.9,196.9,3218964,0
2023-04-25T00:00:00+0530,197.15,202.4,197.15,198.7,3287191,0
2023-04-26T00:00:00+0530,198.35,201.2,198.2,199.8,1620540,0
2023-04-27T00:00:00+0530,199.75,201,196.9,197.9,1235502,0
2023-04-28T00:00:00+0530,199.4,205.25,199,204.7,3678875,0
2023-05-02T00:00:00+0530,205,210.35,204.7,209.3,2999652,0
2023-05-03T00:00:00+0530,208.4,214,207.15,211.75,2749449,0
2023-05-04T00:00:00+0530,211.45,214.1,211,213.65,1331714,0
2023-05-05T00:00:00+0530,211.75,214.55,208.8,211.2,1990729,0
2023-05-08T00:00:00+0530,211.2,214,210,212.75,1176042,0
2023-05-09T00:00:00+0530,213,214,206,206.95,4440868,0
2023-05-10T00:00:00+0530,206.55,208.45,204,205.1,806583,0
2023-05-11T00:00:00+0530,205.1,212.1,205.1,210.6,2540781,0
2023-05-12T00:00:00+0530,211.05,220,210.7,217.7,7242556,0
2023-05-15T00:00:00+0530,219,225,217,223.95,4619171,0
2023-05-16T00:00:00+0530,224.95,230.45,223.05,227,3963511,0
2023-05-17T00:00:00+0530,227.8,229.75,221.7,226.2,2096869,0
2023-05-18T00:00:00+0530,227,227.5,219.45,222.05,1678665,0
2023-05-19T00:00:00+0530,222.05,222.7,217,219.3,1450043,0
2023-05-22T00:00:00+0530,219.3,223.7,217,222.2,1280846,0
2023-05-23T00:00:00+0530,224.5,237.5,220.55,235.85,11988143,0
2023-05-24T00:00:00+0530,234.05,236.45,232.15,233.65,3120872,0
2023-05-25T00:00:00+0530,233.65,240.45,232.8,236.8,6513837,0
2023-05-26T00:00:00+0530,237.5,244.8,235.05,236,5142918,0
2023-05-29T00:00:00+0530,237.8,242,233.95,240.5,4434804,0
2023-05-30T00:00:00+0530,241,244,239.65,241.05,3172859,0
2023-05-31T00:00:00+0530,239.9,243,236.1,242.6,2344769,0
2023-06-01T00:00:00+0530,243,244.9,241.15,242.05,1358763,0
