date,open,high,low,close,volume,empty
2023-06-02T00:00:00+0530,211,221.55,211,221.55,1803000,0
2023-06-05T00:00:00+0530,232.6,232.6,232.6,232.6,183000,0
2023-06-06T00:00:00+0530,239,244.2,221,244.2,777000,0
2023-06-07T00:00:00+0530,235,248,232,232,204000,0
2023-06-08T00:00:00+0530,220.4,231,220.4,225.15,191000,0
2023-06-09T00:00:00+0530,226.95,236.4,216.1,234.85,121000,0
2023-06-12T00:00:00+0530,239,246.55,235,246.55,98000,0
2023-06-13T00:00:00+0530,258.85,258.85,245.25,250.75,126000,0
2023-06-14T00:00:00+0530,244.95,244.95,238.25,244,42000,0
2023-06-15T00:00:00+0530,244,256.2,240,256.2,123000,0
2023-06-16T00:00:00+0530,255.4,255.5,244,245.75,134000,0
2023-06-19T00:00:00+0530,245,252,237,247.85,62000,0
2023-06-20T00:00:00+0530,250,253.45,243.05,250,28000,0
2023-06-21T00:00:00+0530,250.5,277.95,250.5,274.15,109000,0
2023-06-22T00:00:00+0530,276.1,299.7,276.1,289.1,306000,0
2023-06-23T00:00:00+0530,297,308.7,287,303.45,273000,0
2023-06-26T00:00:00+0530,303.45,309.7,301,307.45,22000,0
2023-06-27T00:00:00+0530,307.7,314.85,304,304,18000,0
2023-06-28T00:00:00+0530,305,305,280.1,290,52000,0
2023-06-30T00:00:00+0530,291.25,344.9,290,327.85,578000,0
2023-07-03T00:00:00+0530,358.95,393.4,343.9,392.35,551000,0
2023-07-04T00:00:00+0530,412.5,422,370,378.9,290000,0
2023-07-05T00:00:00+0530,379,393.5,370,372.15,126000,0
2023-07-06T00:00:00+0530,376.8,377,365,367.45,80000,0
2023-07-07T00:00:00+0530,374,376.9,368,370.65,28000,0
2023-07-10T00:00:00+0530,378.1,379.9,369.2,376.4,26000,0
2023-07-11T00:00:00+0530,379,401,379,388.1,80000,0
2023-07-12T00:00:00+0530,397.95,400,380.2,383.8,62000,0
2023-07-13T00:00:00+0530,393,393,369,371.75,39000,0
2023-07-14T00:00:00+0530,374,401.6,374,394.95,67000,0
2023-07-17T00:00:00+0530,402.95,402.95,388,389.85,45000,0
2023-07-18T00:00:00+0530,395.95,399.7,390,392.9,41000,0
2023-07-19T00:00:00+0530,402,404,383.1,391.1,89000,0
2023-07-20T00:00:00+0530,391,392.75,366.5,367.4,54000,0
2023-07-21T00:00:00+0530,366.6,370,359.5,360.85,26000,0
2023-07-24T00:00:00+0530,359,389.5,357.05,384.35,128000,0
2023-07-25T00:00:00+0530,395.6,398,382,386.9,72000,0
2023-07-26T00:00:00+0530,394.45,394.45,378.1,382.65,32000,0
2023-07-27T00:00:00+0530,380,386.9,373.05,378,39000,0
2023-07-28T00:00:00+0530,380,382.5,370,380.15,37000,0
2023-07-31T00:00:00+0530,387,389.8,381,381.15,49000,0
2023-08-01T00:00:00+0530,385.9,386,375,375.5,150000,0
2023-08-02T00:00:00+0530,383,426.6,383,409.2,186000,0
2023-08-03T00:00:00+0530,419.4,453,416,441.8,217000,0
2023-08-04T00:00:00+0530,466.95,488,463.5,468.95,99000,0
2023-08-07T00:00:00+0530,468.95,475,437.05,441.35,58000,0
2023-08-08T00:00:00+0530,440,440,421.1,431.95,44000,0
2023-08-09T00:00:00+0530,436,448.8,427,443.45,24000,0
2023-08-10T00:00:00+0530,446,490,443,479.15,88000,0
2023-08-11T00:00:00+0530,486.95,486.95,461,469.35,30000,0
2023-08-14T00:00:00+0530,451.3,465,450.05,461.9,15000,0
2023-08-16T00:00:00+0530,471.5,476,453.15,467.7,28000,0
2023-08-17T00:00:00+0530,457,465,452.15,453.7,21000,0
2023-08-18T00:00:00+0530,451,461.9,450,457.55,30000,0
2023-08-21T00:00:00+0530,457.55,461.5,457,457,7000,0
2023-08-22T00:00:00+0530,467,467,455,457.4,9000,0
2023-08-23T00:00:00+0530,460,471.85,456.25,461.25,21000,0
2023-08-24T00:00:00+0530,464,464,450,451,21000,0
2023-08-25T00:00:00+0530,455.1,455.1,449,451.5,34000,0
2023-08-28T00:00:00+0530,460,464.65,454.05,461.15,19000,0
2023-08-29T00:00:00+0530,458,515,458,511.35,201000,0
2023-08-30T00:00:00+0530,519,553.9,500,505.75,77000,0
2023-08-31T00:00:00+0530,486.2,508.5,486.2,491.95,16000,0
2023-09-01T00:00:00+0530,490,504,490,493.55,12000,0
2023-09-04T00:00:00+0530,499.95,505,485.3,485.3,21000,0
2023-09-05T00:00:00+0530,497.95,501,490,490.5,19000,0
2023-09-06T00:00:00+0530,498,499,487,493,12000,0
2023-09-07T00:00:00+0530,488.9,489,477,478,11000,0
2023-09-08T00:00:00+0530,478,478,469.6,470,10000,0
2023-09-11T00:00:00+0530,470,470,451.1,460,24000,0
2023-09-12T00:00:00+0530,453.6,458.9,449,450,49000,0
2023-09-13T00:00:00+0530,450,460,442,458.2,63000,0
2023-09-14T00:00:00+0530,453.5,453.5,450,450.25,10000,0
2023-09-15T00:00:00+0530,450.05,454.45,450,450,14000,0
2023-09-18T00:00:00+0530,450,452.95,450,452.95,2000,0
2023-09-20T00:00:00+0530,449.75,450,430.05,448.6,25000,0
2023-09-21T00:00:00+0530,450,450,430.15,431,128000,0
2023-09-22T00:00:00+0530,435,435,430,430,38000,0
2023-09-25T00:00:00+0530,430,434.45,424.3,426.85,9000,0
2023-09-26T00:00:00+0530,406,407,382.8,386.35,161000,0
2023-09-27T00:00:00+0530,396,425.9,395,424,49000,0
2023-09-28T00:00:00+0530,443.1,443.1,422.1,424.95,42000,0
2023-09-29T00:00:00+0530,425,432,424,425.25,8000,0
2023-10-03T00:00:00+0530,433,443,417.05,439,24000,0
2023-10-04T00:00:00+0530,433,433,420,426.5,17000,0
2023-10-05T00:00:00+0530,419.9,423,417,419.5,8000,0
2023-10-06T00:00:00+0530,456.95,456.95,425.95,432.65,11000,0
2023-10-09T00:00:00+0530,430.9,430.9,427,427,5000,0
2023-10-10T00:00:00+0530,433,473,433,461.65,53000,0
2023-10-11T00:00:00+0530,470,493.75,470,471,37000,0
2023-10-12T00:00:00+0530,475,491.5,475,480,37000,0
2023-10-13T00:00:00+0530,480,497,450,491.25,49000,0
2023-10-16T00:00:00+0530,501.95,543,482.05,536.45,135000,0
2023-10-17T00:00:00+0530,556.55,574,523,530.15,106000,0
2023-10-18T00:00:00+0530,530.5,530.5,483.3,492.85,53000,0
2023-10-19T00:00:00+0530,482.6,500,482.6,486.05,17000,0
2023-10-20T00:00:00+0530,503.95,503.95,487,487,10000,0
2023-10-23T00:00:00+0530,489.1,489.1,457.6,460,29000,0
2023-10-25T00:00:00+0530,474,487,453.65,453.65,25000,0
2023-10-26T00:00:00+0530,455.1,460,449,458.65,27000,0
2023-10-27T00:00:00+0530,478.8,478.8,465.05,466.25,26000,0
2023-10-30T00:00:00+0530,477.95,494.75,477.95,483.35,52500,0
2023-10-31T00:00:00+0530,490,490,470.05,486.95,25000,0
2023-11-01T00:00:00+0530,496,534.95,492,507.3,87500,0
2023-11-02T00:00:00+0530,518.3,525.1,500,513.1,30250,0
2023-11-03T00:00:00+0530,521.7,521.7,506.65,508.75,22250,0
2023-11-06T00:00:00+0530,525.9,526,495,501.05,69000,0
2023-11-07T00:00:00+0530,514,514,491,497.8,35250,0
2023-11-08T00:00:00+0530,508,589.95,508,575.4,155750,0
2023-11-09T00:00:00+0530,590,597.95,553.5,558.85,35000,0
2023-11-10T00:00:00+0530,560,617.95,560,591.55,57500,0
2023-11-12T00:00:00+0530,619,638.3,608.25,622.4,25500,0
2023-11-13T00:00:00+0530,635,635,607,611.3,22750,0
2023-11-15T00:00:00+0530,623.95,624.4,604.2,606,22500,0
2023-11-16T00:00:00+0530,610.05,615,584.5,596.05,30250,0
2023-11-17T00:00:00+0530,592,601,581,586.9,31250,0
2023-11-20T00:00:00+0530,598.95,620.1,585.1,611.7,32750,0
2023-11-21T00:00:00+0530,605,622.35,604,618.85,15500,0
2023-11-22T00:00:00+0530,619,619,587,605.45,11000,0
2023-11-23T00:00:00+0530,600,605,591.2,598.95,8750,0
2023-11-24T00:00:00+0530,598,600,592,595,7500,0
2023-11-28T00:00:00+0530,608.95,610,594,594.5,5500,0
2023-11-29T00:00:00+0530,612,625,600.05,620.85,20750,0
2023-11-30T00:00:00+0530,625,628.95,607,607.1,17500,0
2023-12-01T00:00:00+0530,615,625,605,620.4,11500,0
2023-12-04T00:00:00+0530,630,712,629.9,676.6,85250,0
2023-12-05T00:00:00+0530,686,710,668,688.4,34750,0
2023-12-06T00:00:00+0530,700,711,672.05,681.4,22250,0
2023-12-07T00:00:00+0530,687,714,684,708.75,20000,0
2023-12-08T00:00:00+0530,721.1,730,708.75,720,20750,0
2023-12-11T00:00:00+0530,725,725,685,691.8,21250,0
2023-12-12T00:00:00+0530,698,698.95,671,674.9,10750,0
2023-12-13T00:00:00+0530,678,678,640.15,646.1,18500,0
2023-12-14T00:00:00+0530,665,669,641,652.55,19000,0
2023-12-15T00:00:00+0530,665,674,650,657.75,8750,0
2023-12-18T00:00:00+0530,651,661.05,651,656.85,11250,0
2023-12-19T00:00:00+0530,661.05,673,661.05,665,8500,0
2023-12-20T00:00:00+0530,674,675,615,623.4,37250,0
2023-12-21T00:00:00+0530,620,633.95,610,625.65,15250,0
2023-12-22T00:00:00+0530,639,654,639,652.65,9500,0
2023-12-26T00:00:00+0530,640,649.95,630,633.65,4750,0
2023-12-27T00:00:00+0530,649,649,596,606.55,23250,0
2023-12-28T00:00:00+0530,606.55,611.9,592.3,602,12000,0
2023-12-29T00:00:00+0530,602,630,602,618.75,7500,0
2024-01-01T00:00:00+0530,611,630,611,625,8500,0
2024-01-02T00:00:00+0530,616,626,603.55,618.35,4250,0
2024-01-03T00:00:00+0530,618.35,621.95,611,620.7,3500,0
2024-01-04T00:00:00+0530,614.15,640,614.15,625.8,11750,0
2024-01-05T00:00:00+0530,626.3,635,626.3,630.8,6000,0
2024-01-08T00:00:00+0530,630.8,652,630.8,650.75,11500,0
2024-01-09T00:00:00+0530,689,689,650.1,658.45,10750,0
2024-01-10T00:00:00+0530,674.95,674.95,655,660,8250,0
2024-01-11T00:00:00+0530,660,669,636.8,658,8000,0
2024-01-12T00:00:00+0530,660,675,639.95,642.15,8250,0
2024-01-15T00:00:00+0530,650,668,630,633.8,9750,0
2024-01-16T00:00:00+0530,649,649,625,629.95,9000,0
2024-01-17T00:00:00+0530,625.1,640,608.35,625.6,8000,0
2024-01-18T00:00:00+0530,615,635.9,615,632.2,3750,0
2024-01-19T00:00:00+0530,635,666,620,654.75,11000,0
2024-01-20T00:00:00+0530,633.4,665,633.4,646,5500,0
2024-01-23T00:00:00+0530,625.1,649,612.5,619.65,13250,0
2024-01-24T00:00:00+0530,620,625,615,616,8750,0
2024-01-25T00:00:00+0530,611.1,625,611.1,618.9,5000,0
2024-01-29T00:00:00+0530,610,625,590,599.6,19250,0
2024-01-30T00:00:00+0530,604.9,604.9,595,595,8500,0
2024-01-31T00:00:00+0530,594,600,570,576.1,24000,0
2024-02-01T00:00:00+0530,570,590,554,569.65,22750,0
2024-02-02T00:00:00+0530,579.9,596,570,574.35,12250,0
2024-02-05T00:00:00+0530,570,573,550,555,12750,0
2024-02-06T00:00:00+0530,562.95,562.95,527,532.1,20000,0
2024-02-07T00:00:00+0530,535,544.9,528,532.05,19750,0
2024-02-08T00:00:00+0530,553,574.95,535.2,563.2,19500,0
2024-02-09T00:00:00+0530,574.7,575,551.55,573,6750,0
2024-02-12T00:00:00+0530,574,574,521,531.2,17500,0
2024-02-13T00:00:00+0530,531,535,511,522.75,8750,0
2024-02-14T00:00:00+0530,525,548,525,531.55,8750,0
2024-02-15T00:00:00+0530,535,558,535,548,6750,0
2024-02-16T00:00:00+0530,548,569.9,548,569.9,4500,0
2024-02-19T00:00:00+0530,570,570,555,569.95,3750,0
2024-02-20T00:00:00+0530,565,579.75,561.1,575,6000,0
2024-02-21T00:00:00+0530,565,577,562,562,3250,0
2024-02-22T00:00:00+0530,569.8,572,565,565,1750,0
2024-02-23T00:00:00+0530,555,555,555,555,250,0
2024-02-26T00:00:00+0530,554.05,554.05,511,515.9,20000,0
2024-02-27T00:00:00+0530,515.9,532.5,496.5,530.95,41250,0
2024-02-28T00:00:00+0530,530,530,505,509.25,8250,0
2024-02-29T00:00:00+0530,505,510,501,504,12500,0
2024-03-01T00:00:00+0530,504,510,480,507.75,34000,0
2024-03-02T00:00:00+0530,500.05,515,490.1,495.35,13000,0
2024-03-04T00:00:00+0530,490,509.5,480,496,11250,0
2024-03-05T00:00:00+0530,505,505,485,498,20000,0
2024-03-06T00:00:00+0530,492.4,492.4,459.95,465.25,43750,0
2024-03-07T00:00:00+0530,473,482.65,465,467.35,12750,0
2024-03-11T00:00:00+0530,475,515,435.1,460.2,28500,0
2024-03-12T00:00:00+0530,460,477.9,440,441.95,9000,0
2024-03-13T00:00:00+0530,440,441.05,401,430.65,34000,0
2024-03-14T00:00:00+0530,435,465,411,452.5,17750,0
2024-03-15T00:00:00+0530,451,474,437.05,458.4,18000,0
2024-03-18T00:00:00+0530,450,497.5,450,491,11000,0
2024-03-19T00:00:00+0530,481,537,481,509.55,57000,0
2024-03-20T00:00:00+0530,519.85,519.85,500,506.5,12000,0
2024-03-21T00:00:00+0530,512,522,510.05,512.5,3750,0
2024-03-22T00:00:00+0530,506,512,505,509.35,7500,0
2024-03-26T00:00:00+0530,510,510,470.1,478.75,16500,0
2024-03-27T00:00:00+0530,474.95,480,461,479.65,16250,0
2024-03-28T00:00:00+0530,501.1,504,489,490.3,7000,0
2024-04-01T00:00:00+0530,503,514,490.3,510.3,6500,0
2024-04-02T00:00:00+0530,518,518,510,516.35,5500,0
2024-04-03T00:00:00+0530,501.25,521.3,501.25,520,3000,0
2024-04-04T00:00:00+0530,521.05,521.2,517.95,520,2750,0
2024-04-05T00:00:00+0530,515,531,515,525.35,6750,0
2024-04-08T00:00:00+0530,599,604.9,566,583.5,79500,0
2024-04-09T00:00:00+0530,580,598.95,555,568.75,13250,0
2024-04-10T00:00:00+0530,568.75,586.95,555,573.9,13000,0
2024-04-12T00:00:00+0530,577,580,530,534.8,19000,0
2024-04-15T00:00:00+0530,520,534.65,502.55,519.7,20000,0
2024-04-16T00:00:00+0530,504.05,540,504,525.75,6500,0
2024-04-18T00:00:00+0530,525.75,586,525.75,548.6,22000,0
2024-04-19T00:00:00+0530,543,559.9,528.6,547.6,12500,0
2024-04-22T00:00:00+0530,554.95,555,545,553.7,9250,0
2024-04-23T00:00:00+0530,565,565,538.1,540.9,10250,0
2024-04-24T00:00:00+0530,540.9,540.9,515,519.3,15750,0
2024-04-25T00:00:00+0530,527.85,527.85,515,518.95,9000,0
2024-04-26T00:00:00+0530,527.95,580,520,555.25,22750,0
2024-04-29T00:00:00+0530,556.5,574.5,532.55,548.15,13500,0
2024-04-30T00:00:00+0530,550.15,550.15,532,536.3,12500,0
2024-05-02T00:00:00+0530,539.95,543.4,524.2,527.25,9750,0
2024-05-03T00:00:00+0530,530,534.6,515.7,520.7,19500,0
2024-05-06T00:00:00+0530,522.55,537.25,521.15,529.85,7750,0
2024-05-07T00:00:00+0530,523,528.85,503.1,511,10500,0
2024-05-08T00:00:00+0530,500.8,518.5,481.05,510.85,5500,0
2024-05-09T00:00:00+0530,510,530,501,522,8750,0
2024-05-10T00:00:00+0530,533,533,518,520,5750,0
2024-05-13T00:00:00+0530,505.05,523.8,505.05,521,6250,0
2024-05-14T00:00:00+0530,531.8,531.85,500,526.95,12500,0
2024-05-15T00:00:00+0530,580,580,505,509.65,20500,0
2024-05-16T00:00:00+0530,515,578.7,508,552.8,53750,0
2024-05-17T00:00:00+0530,563,578.65,550,563.2,41500,0
2024-05-18T00:00:00+0530,559.95,564.9,547,559.75,13750,0
2024-05-21T00:00:00+0530,559.75,568.55,542.5,543.65,14000,0
2024-05-22T00:00:00+0530,553.5,567,553.5,563.45,18750,0
2024-05-23T00:00:00+0530,570,589,565.6,578.9,32500,0
2024-05-24T00:00:00+0530,575,579,550,555.75,21750,0
2024-05-27T00:00:00+0530,568,569.6,545.1,547.1,12500,0
2024-05-28T00:00:00+0530,540,543.5,533.65,541.4,17250,0
2024-05-29T00:00:00+0530,532,540,524.05,529.1,14250,0
2024-05-30T00:00:00+0530,528,535,523.35,527.3,11500,0
2024-05-31T00:00:00+0530,525,534,520,532.9,14750,0
2024-06-03T00:00:00+0530,535.55,542,528.25,534.95,15500,0
2024-06-04T00:00:00+0530,545,545,480,486.6,64000,0
2024-06-05T00:00:00+0530,496.75,535,496,530.55,30750,0
2024-06-06T00:00:00+0530,541.2,550,524,526.4,22500,0
2024-06-07T00:00:00+0530,536,548,528.15,536.6,16500,0
2024-06-10T00:00:00+0530,563.65,638,560,612.9,59500,0
2024-06-11T00:00:00+0530,629,648.25,611.4,617.1,27750,0
2024-06-12T00:00:00+0530,615,685,615,667.75,42000,0
2024-06-13T00:00:00+0530,688,688,640,655.1,40250,0
2024-06-14T00:00:00+0530,655.1,655.1,635.35,639.65,10750,0
2024-06-18T00:00:00+0530,640,674.8,622.65,640.65,20250,0
2024-06-19T00:00:00+0530,660,660,615.05,621.3,15500,0
2024-06-20T00:00:00+0530,600,630,600,614.4,8750,0
2024-06-21T00:00:00+0530,628,628,587,602.75,20750,0
2024-06-24T00:00:00+0530,602.75,602.75,585,592.4,13500,0
2024-06-25T00:00:00+0530,598.9,610.45,590,592.95,15750,0
2024-06-26T00:00:00+0530,607.95,608.95,598,607,10250,0
2024-06-27T00:00:00+0530,607,607,585,593.7,12250,0
2024-06-28T00:00:00+0530,581.7,603,581.4,598,4750,0
2024-07-01T00:00:00+0530,608,618,595,604.65,17500,0
2024-07-02T00:00:00+0530,629,639,595,613.9,16000,0
2024-07-03T00:00:00+0530,613.9,615.7,597.5,605.35,17500,0
2024-07-04T00:00:00+0530,610,610,593,593.8,14750,0
