date,open,high,low,close,volume,empty
2023-09-25T00:00:00+0530,542.95,544.5,527,529.9,4167,0
2023-09-26T00:00:00+0530,525.05,545,525.05,535.6,5576,0
2023-09-27T00:00:00+0530,537,539.95,522,528.15,5870,0
2023-09-28T00:00:00+0530,524.3,543.45,524.3,529.05,9491,0
2023-09-29T00:00:00+0530,528.7,538.45,521,532.25,5918,0
2023-10-03T00:00:00+0530,531.9,540,527,529.8,5880,0
2023-10-04T00:00:00+0530,518.1,539,518.1,526.35,7405,0
2023-10-05T00:00:00+0530,539,539,520,526.05,5016,0
2023-10-06T00:00:00+0530,530.5,535,526.1,532.4,5217,0
2023-10-09T00:00:00+0530,515,525.3,509.3,515.45,9272,0
2023-10-10T00:00:00+0530,517.3,522.05,514.1,516.75,4084,0
2023-10-11T00:00:00+0530,509.35,533,509.35,522,5617,0
2023-10-12T00:00:00+0530,526.2,526.8,515,516.75,3059,0
2023-10-13T00:00:00+0530,521.1,525.5,501.1,511.1,6411,0
2023-10-16T00:00:00+0530,520,524.95,505,519.85,6369,0
2023-10-17T00:00:00+0530,526.35,531.35,514.6,526.35,6833,0
2023-10-18T00:00:00+0530,533,533.95,515,520.1,4448,0
2023-10-19T00:00:00+0530,518.9,528,514.8,519.7,4233,0
2023-10-20T00:00:00+0530,524.65,524.65,505.3,511.4,4235,0
2023-10-23T00:00:00+0530,510,513.45,481.1,489.65,15943,0
2023-10-25T00:00:00+0530,497,498,456.1,474.95,15818,0
2023-10-26T00:00:00+0530,474.45,496.45,457.05,486.2,8112,0
2023-10-27T00:00:00+0530,494,496.5,479,482.2,5285,0
2023-10-30T00:00:00+0530,490,495.15,478.95,488.9,6283,0
2023-10-31T00:00:00+0530,493.8,499.8,487.05,496.25,2964,0
2023-11-01T00:00:00+0530,503.9,508.55,485,486.8,5435,0
2023-11-02T00:00:00+0530,494.15,499.45,476.8,484.15,5202,0
2023-11-03T00:00:00+0530,487.15,494.45,483,486.45,3366,0
