date,open,high,low,close,volume,empty
2024-10-04T00:00:00+0530,193.5,203.17,193.05,203.17,2801953,0
2024-10-07T00:00:00+0530,213.32,213.32,213.32,213.32,943611,0
2024-10-08T00:00:00+0530,223.98,223.98,223.98,223.98,237895,0
2024-10-09T00:00:00+0530,235.17,235.17,235.17,235.17,189748,0
2024-10-10T00:00:00+0530,246.92,246.92,246.92,246.92,106928,0
2024-10-11T00:00:00+0530,259.26,259.26,234.57,259.21,2434627,0
2024-10-14T00:00:00+0530,246.24,262.4,246.24,258.31,943182,0
2024-10-15T00:00:00+0530,253,271.22,250,271.22,471947,0
2024-10-16T00:00:00+0530,284.78,284.78,272,284.78,361056,0
2024-10-17T00:00:00+0530,299.01,299.01,290.1,299.01,531677,0
2024-10-18T00:00:00+0530,302,351.45,271.2,340.25,3689574,0
2024-10-21T00:00:00+0530,337.02,408.3,335.12,408.3,3362282,0
2024-10-22T00:00:00+0530,420,489.96,416.53,489.69,4850552,0
2024-10-23T00:00:00+0530,479,479,440.72,440.72,1528963,0
2024-10-24T00:00:00+0530,396.64,396.64,396.64,396.64,28131,0
2024-10-25T00:00:00+0530,356.97,356.97,356.97,356.97,18568,0
2024-10-28T00:00:00+0530,339.12,364.72,339.12,339.12,2149731,0
2024-10-29T00:00:00+0530,339.1,343,322.16,322.16,763637,0
2024-10-30T00:00:00+0530,315,338.26,310.1,338.26,611393,0
2024-10-31T00:00:00+0530,355.17,355.17,355.17,355.17,199988,0
2024-11-01T00:00:00+0530,363,372.95,351.9,368.2,848038,0
2024-11-04T00:00:00+0530,349.8,355,349.8,349.8,211040,0
2024-11-05T00:00:00+0530,332.35,342.45,332.35,332.8,768384,0
2024-11-06T00:00:00+0530,339,349.4,332.1,338.3,884023,0
2024-11-07T00:00:00+0530,341,346,329,330.4,343360,0
2024-11-08T00:00:00+0530,333.3,346.9,324.1,328.7,566576,0
2024-11-11T00:00:00+0530,332.9,343.35,325,332.15,278867,0
2024-11-12T00:00:00+0530,335.8,336,317,320.1,155613,0
2024-11-13T00:00:00+0530,329,329,304.1,304.1,353565,0
2024-11-14T00:00:00+0530,305.95,307,288.9,296.15,337137,0
2024-11-18T00:00:00+0530,295.5,310.95,281.35,310.95,288810,0
2024-11-19T00:00:00+0530,320.05,326.45,317,326.45,115690,0
2024-11-21T00:00:00+0530,331.8,331.8,310.15,310.15,304711,0
2024-11-22T00:00:00+0530,306,316,295,303.4,289985,0
2024-11-25T00:00:00+0530,308.5,313.45,301.05,301.95,115850,0
2024-11-26T00:00:00+0530,312.5,313.5,301.35,305.6,95781,0
2024-11-27T00:00:00+0530,308,320.8,301.35,309.45,236539,0
2024-11-28T00:00:00+0530,310.5,315.7,308.15,312.5,101344,0
2024-11-29T00:00:00+0530,312.5,312.5,302.25,307.65,90051,0
2024-12-02T00:00:00+0530,305.65,323,302.5,322.75,133199,0
2024-12-03T00:00:00+0530,331.75,336.7,325.85,333.9,191632,0
2024-12-04T00:00:00+0530,340,350.55,330.4,349.55,295449,0
2024-12-05T00:00:00+0530,350,363.7,340.6,351.15,265391,0
2024-12-06T00:00:00+0530,355,365,342.6,362.05,182610,0
2024-12-09T00:00:00+0530,367,367.65,351,353,141729,0
2024-12-10T00:00:00+0530,352.9,358.7,335.35,336.9,214101,0
2024-12-11T00:00:00+0530,339.5,348.6,334,340.2,114809,0
2024-12-12T00:00:00+0530,341.4,357.2,339.45,352.25,170519,0
2024-12-13T00:00:00+0530,352.8,356.45,336,347.7,191362,0
2024-12-16T00:00:00+0530,345.6,365.05,345,365.05,134504,0
2024-12-17T00:00:00+0530,383.3,383.3,365.05,383.3,299934,0
2024-12-18T00:00:00+0530,394.4,397,364.15,364.15,178461,0
2024-12-19T00:00:00+0530,345.95,356.9,345.95,346.2,214897,0
2024-12-20T00:00:00+0530,352.4,363.5,331.05,334.5,378418,0
2024-12-23T00:00:00+0530,336.4,341.45,322.7,324.4,78254,0
2024-12-24T00:00:00+0530,325.5,340.6,322.1,339.25,108612,0
2024-12-26T00:00:00+0530,340,346,329.75,331.7,103426,0
2024-12-27T00:00:00+0530,331.25,339,328,329.7,44563,0
2024-12-30T00:00:00+0530,332,334.5,320,323.35,45987,0
2024-12-31T00:00:00+0530,320,336.6,317.55,332.55,76335,0
2025-01-01T00:00:00+0530,332.5,336.4,327.75,331.4,62670,0
2025-01-02T00:00:00+0530,333,344.4,327,339.9,61024,0
2025-01-03T00:00:00+0530,342.2,356.85,340.25,356.45,191796,0
2025-01-06T00:00:00+0530,360,364.7,338.65,338.65,159569,0
2025-01-07T00:00:00+0530,338,348,330.05,336.1,73241,0
2025-01-08T00:00:00+0530,336,343.45,331.05,337.2,60117,0
2025-01-09T00:00:00+0530,333.5,338.95,322,324,73171,0
2025-01-10T00:00:00+0530,324,329.45,307.8,311.1,57398,0
2025-01-13T00:00:00+0530,312.5,316.8,295.55,299.95,59724,0
2025-01-14T00:00:00+0530,303.85,309.25,297.55,306.65,60736,0
2025-01-15T00:00:00+0530,312,314.95,300.55,302.95,33149,0
2025-01-16T00:00:00+0530,304,318.05,304,314.65,65654,0
2025-01-17T00:00:00+0530,316,325,312.05,318.55,43531,0
2025-01-20T00:00:00+0530,324,328,315.15,323.85,36150,0
2025-01-21T00:00:00+0530,324.6,327.85,315.25,317.7,34407,0
2025-01-22T00:00:00+0530,323,325,304.45,306.7,40064,0
2025-01-23T00:00:00+0530,312.5,318.55,307,311.05,27706,0
2025-01-24T00:00:00+0530,312,315.95,297.45,299.75,30046,0
2025-01-27T00:00:00+0530,298.8,309.6,284.8,284.8,49865,0
2025-01-28T00:00:00+0530,281,293.75,270.6,270.6,146705,0
2025-01-29T00:00:00+0530,270.6,279.95,269.6,271.1,77836,0
2025-01-30T00:00:00+0530,273.1,284,262.35,267.2,67350,0
2025-01-31T00:00:00+0530,269.45,280.55,266.55,280.55,68621,0
2025-02-01T00:00:00+0530,291.9,293.2,275,281.2,108933,0
2025-02-03T00:00:00+0530,281.95,281.95,270.9,274.25,70632,0
2025-02-04T00:00:00+0530,277,286,271,279.8,48851,0
