date,open,high,low,close,volume,empty
2023-01-03T00:00:00+0530,74,74,74,74,6400,0
2023-01-04T00:00:00+0530,74.1,74.1,74.1,74.1,6400,0
2023-01-06T00:00:00+0530,74.2,74.2,74.2,74.2,6400,0
2023-01-11T00:00:00+0530,74.5,74.5,74.5,74.5,6400,0
2023-01-12T00:00:00+0530,74.5,74.5,74.5,74.5,12800,0
2023-01-13T00:00:00+0530,74.4,74.4,74.4,74.4,12800,0
2023-01-19T00:00:00+0530,74.5,74.5,74.5,74.5,1600,0
2023-01-20T00:00:00+0530,74.5,74.5,74.5,74.5,9600,0
2023-01-24T00:00:00+0530,74.5,74.5,74.5,74.5,6400,0
2023-01-25T00:00:00+0530,89.4,89.4,74.5,74.5,9600,0
2023-02-01T00:00:00+0530,74.5,74.5,74.5,74.5,6400,0
2023-02-03T00:00:00+0530,74.5,74.5,74.5,74.5,6400,0
2023-02-08T00:00:00+0530,74.5,74.5,74.5,74.5,6400,0
2023-02-14T00:00:00+0530,89.4,89.4,89.4,89.4,3200,0
2023-02-23T00:00:00+0530,75,75,75,75,8000,0
2023-02-24T00:00:00+0530,79,85,79,85,3200,0
2023-03-01T00:00:00+0530,80,80,80,80,3200,0
2023-03-02T00:00:00+0530,74.5,74.5,74.5,74.5,6400,0
2023-03-03T00:00:00+0530,74.5,74.5,74.5,74.5,6400,0
2023-03-06T00:00:00+0530,71,84,71,84,16000,0
2023-03-08T00:00:00+0530,74.6,74.6,74.6,74.6,6400,0
2023-03-09T00:00:00+0530,74.6,74.6,68.05,70,9600,0
2023-03-10T00:00:00+0530,74.55,74.6,74.55,74.6,6400,0
2023-03-13T00:00:00+0530,75,75,75,75,1600,0
2023-03-14T00:00:00+0530,70,70,70,70,1600,0
2023-03-15T00:00:00+0530,74.5,74.5,74.5,74.5,6400,0
2023-03-16T00:00:00+0530,72,74.5,72,74.5,8000,0
2023-03-17T00:00:00+0530,74.5,74.5,74.5,74.5,6400,0
2023-03-21T00:00:00+0530,75.1,75.1,75.1,75.1,6400,0
2023-03-22T00:00:00+0530,89,89.95,89,89.95,3200,0
2023-04-05T00:00:00+0530,107.9,107.9,107.9,107.9,1600,0
2023-04-06T00:00:00+0530,129.45,129.45,129.45,129.45,1600,0
2023-04-10T00:00:00+0530,141.35,141.35,141.35,141.35,1600,0
2023-05-03T00:00:00+0530,151,151,151,151,1600,0
2023-05-17T00:00:00+0530,151,151,151,151,1600,0
2024-04-04T00:00:00+0530,151.1,151.1,151.1,151.1,1600,0
2024-04-12T00:00:00+0530,151.1,151.1,151.1,151.1,800,0
2024-06-18T00:00:00+0530,148,148,148,148,800,0
2024-06-19T00:00:00+0530,145.5,145.5,118.4,118.4,2400,0
2024-06-20T00:00:00+0530,142,142,142,142,800,0
2024-06-21T00:00:00+0530,141,141,141,141,800,0
2024-06-24T00:00:00+0530,141,141,139,139,1600,0
2024-06-25T00:00:00+0530,137,137,137,137,800,0
2024-06-27T00:00:00+0530,135,135,135,135,800,0
2024-07-01T00:00:00+0530,133,133,133,133,800,0
2024-07-02T00:00:00+0530,131,131,131,131,800,0
2024-07-03T00:00:00+0530,128.5,128.5,128.5,128.5,800,0
2024-07-04T00:00:00+0530,126,126,126,126,800,0
2024-07-18T00:00:00+0530,123,123,123,123,800,0
2024-07-19T00:00:00+0530,120,120,120,120,800,0
2024-07-23T00:00:00+0530,117,117,117,117,800,0
2024-07-24T00:00:00+0530,114,114,114,114,800,0
2024-07-25T00:00:00+0530,111,111,111,111,800,0
2024-07-26T00:00:00+0530,108,108,108,108,800,0
2024-08-08T00:00:00+0530,105,105,105,105,800,0
2024-08-09T00:00:00+0530,102,102,102,102,800,0
2024-08-12T00:00:00+0530,99,99,99,99,800,0
2024-08-13T00:00:00+0530,96,96,96,96,800,0
2024-08-14T00:00:00+0530,93,93,93,93,800,0
2024-08-20T00:00:00+0530,90,111.6,76,111,24800,0
2024-08-23T00:00:00+0530,133.2,133.2,133.2,133.2,1600,0
2024-09-02T00:00:00+0530,146.5,146.5,146.5,146.5,1600,0
2024-09-03T00:00:00+0530,161.15,161.15,146.5,146.5,7200,0
2024-09-04T00:00:00+0530,161.15,161.15,132,138.5,3200,0
2024-09-05T00:00:00+0530,139,139,125.1,127.85,8800,0
2024-09-06T00:00:00+0530,128,128,116,119,3200,0
2024-09-09T00:00:00+0530,130.9,130.9,120.1,120.1,3200,0
2024-09-12T00:00:00+0530,132.1,132.1,109.5,109.8,5600,0
2024-09-13T00:00:00+0530,115,120.75,102.6,108.75,6400,0
2024-09-16T00:00:00+0530,99,119.6,99,119.6,1600,0
2024-09-17T00:00:00+0530,107.65,108,107.65,108,3200,0
2024-09-18T00:00:00+0530,108,108,98,98,2400,0
2024-09-19T00:00:00+0530,98,98,90.25,91.9,4000,0
2024-09-20T00:00:00+0530,91.9,91.9,88,88,4000,0
2024-09-23T00:00:00+0530,90,92.4,85.25,87.65,3200,0
2024-09-24T00:00:00+0530,83.5,92,83.35,92,84800,0
2024-09-25T00:00:00+0530,87.55,87.55,87.4,87.4,36000,0
2024-09-26T00:00:00+0530,83.55,83.7,83.55,83.6,40000,0
2024-09-27T00:00:00+0530,80.1,86.65,80.1,86.65,85600,0
2024-09-30T00:00:00+0530,83.1,83.1,82.45,82.45,35200,0
2024-10-01T00:00:00+0530,78.35,78.35,78.35,78.35,800,0
2024-10-03T00:00:00+0530,75.35,82.25,75.35,79.8,92800,0
2024-10-04T00:00:00+0530,79.8,83.75,79.8,83.75,21600,0
2024-10-07T00:00:00+0530,84,87.9,80.2,83.5,84800,0
2024-10-08T00:00:00+0530,86.5,86.95,86.5,86.95,48000,0
2024-10-09T00:00:00+0530,82.6,82.65,82.6,82.65,40000,0
2024-10-10T00:00:00+0530,86.75,86.75,86.75,86.75,8800,0
2024-10-11T00:00:00+0530,86,91,86,91,2400,0
2024-10-14T00:00:00+0530,86.45,86.45,86.45,86.45,1600,0
2024-10-16T00:00:00+0530,86,86,86,86,800,0
2024-10-18T00:00:00+0530,82.5,82.5,82.5,82.5,80000,0
2024-10-21T00:00:00+0530,78.4,82.5,78.4,82.5,72000,0
