date,open,high,low,close,volume,empty
2023-10-09T00:00:00+0530,115,120.75,115,120.75,1300800,0
2023-10-10T00:00:00+0530,126.75,126.75,126.75,126.75,96000,0
2023-10-11T00:00:00+0530,126.75,132,120.45,124.45,612800,0
2023-10-12T00:00:00+0530,121,130.65,118.3,130.65,332800,0
2023-10-13T00:00:00+0530,137.15,137.15,137.15,137.15,99200,0
2023-10-16T00:00:00+0530,144,144,137.15,144,124800,0
2023-10-17T00:00:00+0530,149.8,151.2,148,151.2,52800,0
2023-10-18T00:00:00+0530,158.75,158.75,150,158.75,411200,0
2023-10-19T00:00:00+0530,156,156,150.85,150.85,99200,0
2023-10-20T00:00:00+0530,148.25,158.35,145.1,158.35,172800,0
2023-10-23T00:00:00+0530,160.05,170.95,145,148.35,161600,0
2023-10-25T00:00:00+0530,156,157.85,146,148.2,59200,0
2023-10-26T00:00:00+0530,145.15,147.2,132,146.15,100800,0
2023-10-27T00:00:00+0530,147,165.75,147,160.4,144000,0
2023-10-30T00:00:00+0530,160.9,165,157,161.25,64000,0
2023-10-31T00:00:00+0530,163,163,153,161.5,112000,0
2023-11-01T00:00:00+0530,166,174.25,160,173.05,140800,0
2023-11-02T00:00:00+0530,173.5,175,161.1,163.35,51200,0
2023-11-03T00:00:00+0530,173.9,181,157.55,177.15,160000,0
2023-11-06T00:00:00+0530,181.2,186.5,142.2,149.1,355200,0
2023-11-07T00:00:00+0530,141,152.9,135,145.45,219200,0
2023-11-08T00:00:00+0530,151.95,165.9,148,159.6,179200,0
2023-11-09T00:00:00+0530,165,165,157.05,158.9,123200,0
2023-11-10T00:00:00+0530,160,172.6,160,170.35,105600,0
2023-11-12T00:00:00+0530,177.95,177.95,172,174.65,32000,0
2023-11-13T00:00:00+0530,170,173,169,170.1,43200,0
2023-11-15T00:00:00+0530,174,174,168,172.9,62400,0
2023-11-16T00:00:00+0530,170.05,170.05,158.5,159.8,65600,0
2023-11-17T00:00:00+0530,156.3,164.5,155,163.5,44800,0
2023-11-20T00:00:00+0530,162,166.9,162,165.85,44800,0
2023-11-21T00:00:00+0530,165.45,170,162.15,165.8,54400,0
2023-11-22T00:00:00+0530,170,173.3,161.55,165.15,54400,0
2023-11-23T00:00:00+0530,167,168.45,161.55,165.9,89600,0
2023-11-24T00:00:00+0530,170.7,199.05,167,199.05,382400,0
2023-11-28T00:00:00+0530,202.7,208,190.2,193.2,161600,0
2023-11-29T00:00:00+0530,198.9,201,191.25,192.8,67200,0
2023-11-30T00:00:00+0530,191.55,194.95,191.5,192.55,35200,0
2023-12-01T00:00:00+0530,196.95,199,190.2,190.2,40000,0
2023-12-04T00:00:00+0530,190,194.85,188,190.95,40000,0
2023-12-05T00:00:00+0530,188.05,189,182.75,184.55,16000,0
2023-12-06T00:00:00+0530,190,190,183.05,183.05,17600,0
2023-12-07T00:00:00+0530,195.9,195.9,179.05,179.05,35200,0
2023-12-08T00:00:00+0530,179,183,173.95,182.65,49600,0
2023-12-11T00:00:00+0530,189,189,175,176.25,62400,0
2023-12-12T00:00:00+0530,177.8,181,176.8,177.05,22400,0
2023-12-13T00:00:00+0530,175.55,185,175.55,178,40000,0
2023-12-14T00:00:00+0530,173,178,166.25,169.65,68800,0
2023-12-15T00:00:00+0530,166.15,168.15,162.8,162.95,54400,0
2023-12-18T00:00:00+0530,163,165,161.25,161.35,24000,0
2023-12-19T00:00:00+0530,165,165,157,164.25,32000,0
2023-12-20T00:00:00+0530,164,164.15,150.5,154.35,54400,0
2023-12-21T00:00:00+0530,151,153.75,146,151.9,70400,0
2023-12-22T00:00:00+0530,150.25,154.7,150.25,154.7,33600,0
2023-12-26T00:00:00+0530,154.1,154.5,152,153.05,28800,0
2023-12-27T00:00:00+0530,156,170,156,168.45,102400,0
2023-12-28T00:00:00+0530,169.95,169.95,161.5,162,27200,0
2023-12-29T00:00:00+0530,162.1,162.1,158.5,158.5,36800,0
2024-01-01T00:00:00+0530,164,164,159.15,162.95,12800,0
2024-01-02T00:00:00+0530,163,163,156.15,156.4,19200,0
2024-01-03T00:00:00+0530,154,154,149,150.7,123200,0
2024-01-04T00:00:00+0530,152.7,154,150,153.4,62400,0
2024-01-05T00:00:00+0530,155.35,156.05,152.05,155.25,40000,0
2024-01-08T00:00:00+0530,164.4,167.8,157.5,163.15,76800,0
2024-01-09T00:00:00+0530,168,171,162.05,163.3,64000,0
2024-01-10T00:00:00+0530,161.1,162.7,159.15,159.8,24000,0
2024-01-11T00:00:00+0530,164,168.8,162,165,36800,0
2024-01-12T00:00:00+0530,164.95,164.95,161.15,161.85,41600,0
2024-01-15T00:00:00+0530,163.05,165,160,164.75,46400,0
2024-01-16T00:00:00+0530,168.9,176.45,168.9,170,104000,0
