date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,36.7,37.5,36.35,36.9,21689,0
2023-01-03T00:00:00+0530,36.9,37,35.6,35.95,33135,0
2023-01-04T00:00:00+0530,36,39.1,35.05,35.8,344616,0
2023-01-05T00:00:00+0530,36.25,36.95,35.1,36.6,60550,0
2023-01-06T00:00:00+0530,36.2,38.75,36.05,37.5,207285,0
2023-01-09T00:00:00+0530,38.8,41,37.55,37.95,423750,0
2023-01-10T00:00:00+0530,38.45,38.45,36.15,36.8,101490,0
2023-01-11T00:00:00+0530,36.85,37.25,35.55,36.05,35232,0
2023-01-12T00:00:00+0530,34.3,35.75,34.25,35,53432,0
2023-01-13T00:00:00+0530,36.4,36.4,34.85,35.6,8756,0
2023-01-16T00:00:00+0530,36,36.3,34.9,35,15583,0
2023-01-17T00:00:00+0530,35,35,34.3,34.65,24360,0
2023-01-18T00:00:00+0530,35,36,34,34.1,44951,0
2023-01-19T00:00:00+0530,34.15,35.45,34.15,34.5,11611,0
2023-01-20T00:00:00+0530,34.95,35,34,34.5,16614,0
2023-01-23T00:00:00+0530,33.9,35,33.9,34.05,23889,0
2023-01-24T00:00:00+0530,34.45,34.45,33.8,33.85,6204,0
2023-01-25T00:00:00+0530,34.45,34.5,33.6,33.95,21277,0
2023-01-27T00:00:00+0530,33.5,34.4,32.95,33.4,12362,0
2023-01-30T00:00:00+0530,33.4,33.9,33.1,33.65,2825,0
2023-01-31T00:00:00+0530,34,34,32.5,33.25,11249,0
2023-02-01T00:00:00+0530,33.9,34.7,32.05,32.75,17048,0
2023-02-02T00:00:00+0530,33.2,33.2,32.5,32.6,9804,0
2023-02-03T00:00:00+0530,32,33.1,31.5,32.05,28836,0
2023-02-06T00:00:00+0530,32.9,33.4,32,32.6,5322,0
2023-02-07T00:00:00+0530,32.95,33.4,32.2,33.05,9298,0
2023-02-08T00:00:00+0530,32.55,33.8,31.6,33.45,32644,0
2023-02-09T00:00:00+0530,33.5,35.1,32.3,35,24897,0
2023-02-10T00:00:00+0530,36.75,36.75,35.6,36.75,87585,0
2023-02-13T00:00:00+0530,38.55,38.55,36,36.5,47724,0
2023-02-14T00:00:00+0530,35.6,36.25,35.15,35.6,28860,0
2023-02-15T00:00:00+0530,35.1,35.4,34.25,34.5,25678,0
2023-02-16T00:00:00+0530,35.2,35.2,33.7,34.2,20840,0
2023-02-17T00:00:00+0530,34,35,34,34.1,6534,0
2023-02-20T00:00:00+0530,35.8,35.8,34.55,35.2,22821,0
2023-02-21T00:00:00+0530,35.15,35.5,34.2,34.55,8359,0
2023-02-22T00:00:00+0530,34.55,34.6,33.35,33.5,18315,0
2023-02-23T00:00:00+0530,33,34.95,33,34,12173,0
2023-02-24T00:00:00+0530,35,35.25,33.5,33.7,9764,0
2023-02-27T00:00:00+0530,35.3,35.3,32.35,33.6,10338,0
2023-02-28T00:00:00+0530,35.2,35.2,31.95,33.85,13772,0
2023-03-01T00:00:00+0530,33.85,34.9,32.55,34.2,19079,0
2023-03-02T00:00:00+0530,34.2,34.65,33.55,33.95,9011,0
2023-03-03T00:00:00+0530,33,34.45,33,33.95,9464,0
2023-03-06T00:00:00+0530,34.2,34.95,33.1,34.05,43515,0
2023-03-08T00:00:00+0530,34,34.7,33,33.9,26825,0
2023-03-09T00:00:00+0530,33.7,34.7,33.4,33.75,6247,0
2023-03-10T00:00:00+0530,34.1,34.1,32.1,33.3,14921,0
2023-03-13T00:00:00+0530,33.95,33.95,32.4,32.65,10618,0
2023-03-14T00:00:00+0530,33,33.45,31.5,31.85,22345,0
2023-03-15T00:00:00+0530,33.3,33.4,31.55,32.2,15086,0
2023-03-16T00:00:00+0530,32.2,32.7,31.4,32.25,14001,0
2023-03-17T00:00:00+0530,32.4,33,32.25,32.5,2409,0
2023-03-20T00:00:00+0530,31.65,33.9,31.2,31.7,14176,0
2023-03-21T00:00:00+0530,31.7,33.25,31.05,31.8,11540,0
2023-03-22T00:00:00+0530,31.75,32.3,31.1,31.55,24741,0
2023-03-23T00:00:00+0530,31.85,31.85,30.65,31,45896,0
2023-03-24T00:00:00+0530,31,31.85,30.65,31,12703,0
2023-03-27T00:00:00+0530,30.55,31,29.45,29.55,41553,0
2023-03-28T00:00:00+0530,30.25,30.45,28.1,28.35,64689,0
2023-03-29T00:00:00+0530,28.9,29.5,27.9,28.8,40401,0
2023-03-31T00:00:00+0530,27.45,29.95,27.45,29.25,22542,0
2023-04-03T00:00:00+0530,30.2,30.7,30.1,30.7,8468,0
2023-04-05T00:00:00+0530,30.75,32.2,30.7,32.2,34332,0
2023-04-06T00:00:00+0530,33.25,33.5,31.55,33.3,43947,0
2023-04-10T00:00:00+0530,33.4,34.9,33,33,36307,0
2023-04-11T00:00:00+0530,33.1,34.8,33.1,34.45,47404,0
2023-04-12T00:00:00+0530,34.8,34.8,33.4,34.3,19244,0
2023-04-13T00:00:00+0530,34.8,35.3,33,34.85,53123,0
2023-04-17T00:00:00+0530,34.85,37,34.85,35.95,72430,0
2023-04-18T00:00:00+0530,35.25,38,35.25,36.95,70174,0
2023-04-19T00:00:00+0530,37,38.05,37,37.7,57893,0
2023-04-20T00:00:00+0530,37.65,38.1,36.6,37.3,35959,0
2023-04-21T00:00:00+0530,37,37.3,35.1,35.6,51217,0
2023-04-24T00:00:00+0530,34.8,36.95,34.8,36.45,15861,0
2023-04-25T00:00:00+0530,36.85,38.4,35.4,37.1,64699,0
2023-04-26T00:00:00+0530,38,38,36.55,36.7,21750,0
2023-04-27T00:00:00+0530,37.55,38.25,36.05,36.6,45299,0
2023-04-28T00:00:00+0530,36,38.3,36,37.5,73958,0
2023-05-02T00:00:00+0530,37.8,38.4,37.25,37.8,36326,0
2023-05-03T00:00:00+0530,38.4,38.4,36.5,36.65,33667,0
2023-05-04T00:00:00+0530,37.85,40.3,36.95,38.9,352817,0
2023-05-05T00:00:00+0530,39.3,39.35,37.6,37.75,58775,0
2023-05-08T00:00:00+0530,37.75,39.7,37.75,38.4,64539,0
2023-05-09T00:00:00+0530,38.35,42.2,37.75,41.9,275900,0
2023-05-10T00:00:00+0530,42.15,44.35,42.15,42.55,162379,0
2023-05-11T00:00:00+0530,42.8,43.2,39.75,40,88626,0
2023-05-12T00:00:00+0530,40.85,41.5,39.2,41,47325,0
2023-05-15T00:00:00+0530,41.85,42,39.2,40.1,61695,0
2023-05-16T00:00:00+0530,39.3,41.9,39.3,41.35,115618,0
2023-05-17T00:00:00+0530,41.35,43,41.35,42.3,63124,0
2023-05-18T00:00:00+0530,42.3,44.25,42.05,42.55,79458,0
2023-05-19T00:00:00+0530,42.55,42.9,42.05,42.1,35116,0
2023-05-22T00:00:00+0530,42.3,43.15,41.25,41.9,96780,0
2023-05-23T00:00:00+0530,42.95,43,41.8,42.1,60916,0
2023-05-24T00:00:00+0530,42.1,44.7,42.1,42.85,114895,0
2023-05-25T00:00:00+0530,43.4,45.4,43.4,44.3,199694,0
2023-05-26T00:00:00+0530,40.05,41.95,39.9,39.9,193260,0
2023-05-29T00:00:00+0530,39,39.9,36.1,38.25,259477,0
2023-05-30T00:00:00+0530,39.7,41.45,38,40.7,87414,0
2023-05-31T00:00:00+0530,41.5,42.8,39.95,40.25,51281,0
2023-06-01T00:00:00+0530,40,41.35,39.15,39.45,37773,0
2023-06-02T00:00:00+0530,39.05,40,39.05,39.5,17366,0
2023-06-05T00:00:00+0530,39,40,37.8,38.15,49951,0
2023-06-06T00:00:00+0530,38.05,39.45,37.6,38,40211,0
2023-06-07T00:00:00+0530,38.45,41.8,38.3,41.4,181119,0
2023-06-08T00:00:00+0530,42,42.5,40.8,41.25,45340,0
2023-06-09T00:00:00+0530,41.25,41.4,39.55,40.4,57293,0
2023-06-12T00:00:00+0530,42.75,42.75,40.2,40.85,26914,0
2023-06-13T00:00:00+0530,40.8,41.8,39.35,40.3,113622,0
2023-06-14T00:00:00+0530,40,41.1,39.2,39.95,69546,0
2023-06-15T00:00:00+0530,39.6,41.7,39.4,39.9,163863,0
2023-06-16T00:00:00+0530,39.95,41.4,39.55,39.8,61910,0
2023-06-19T00:00:00+0530,39.05,40.75,39.05,40.05,58434,0
2023-06-20T00:00:00+0530,40.6,40.6,39.75,40.1,16543,0
2023-06-21T00:00:00+0530,40.1,40.6,39.6,39.95,24293,0
2023-06-22T00:00:00+0530,39.3,40.7,39.3,40.05,68857,0
2023-06-23T00:00:00+0530,40.3,40.35,39.25,39.5,26126,0
2023-06-26T00:00:00+0530,40.05,40.45,39.3,39.8,28519,0
2023-06-27T00:00:00+0530,39.95,40.9,39.05,39.5,29513,0
2023-06-28T00:00:00+0530,39.6,41.3,39.55,40.45,35810,0
2023-06-30T00:00:00+0530,39.5,40.4,39.25,39.8,27609,0
2023-07-03T00:00:00+0530,39.85,40.35,39.6,39.75,30053,0
2023-07-04T00:00:00+0530,40.8,41.1,39.2,39.45,23305,0
2023-07-05T00:00:00+0530,39.5,39.9,39.5,39.7,22685,0
