date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,80.75,83,79.55,82.15,33752,0
2023-01-03T00:00:00+0530,83,87,82,82.9,99711,0
2023-01-04T00:00:00+0530,84.7,84.7,80,81.05,32879,0
2023-01-05T00:00:00+0530,81.1,84.8,80.65,83.6,82238,0
2023-01-06T00:00:00+0530,83.95,87,80.2,81.1,99345,0
2023-01-09T00:00:00+0530,82.1,83.55,80.2,80.8,57479,0
2023-01-10T00:00:00+0530,82.5,82.5,80,80.85,26059,0
2023-01-11T00:00:00+0530,82.5,82.75,80.1,80.4,35686,0
2023-01-12T00:00:00+0530,80.6,82.4,78.5,81.8,69212,0
2023-01-13T00:00:00+0530,82,84.65,79.7,82.3,77619,0
2023-01-16T00:00:00+0530,81.2,92.45,81.2,88.7,620319,0
2023-01-17T00:00:00+0530,88.95,90.45,85.6,86.85,110253,0
2023-01-18T00:00:00+0530,87.7,87.7,85.2,85.6,31596,0
2023-01-19T00:00:00+0530,85.6,87.4,83.55,84.15,74563,0
2023-01-20T00:00:00+0530,85.7,85.7,83.35,83.8,41935,0
2023-01-23T00:00:00+0530,84.1,84.1,82,83.15,28929,0
2023-01-24T00:00:00+0530,82.3,84,82.25,83,30213,0
2023-01-25T00:00:00+0530,82.05,87,81.9,85.6,140349,0
2023-01-27T00:00:00+0530,85.65,85.85,78.9,82.3,108243,0
2023-01-30T00:00:00+0530,81.65,83.5,81.2,82,39952,0
2023-01-31T00:00:00+0530,82.25,85.9,80.6,83.4,125189,0
2023-02-01T00:00:00+0530,83,84.5,80,80.65,44145,0
2023-02-02T00:00:00+0530,80.1,83,79.4,79.9,30945,0
2023-02-03T00:00:00+0530,81.25,81.25,75.15,78.6,54244,0
2023-02-06T00:00:00+0530,79.3,79.45,76.55,77.4,26044,0
2023-02-07T00:00:00+0530,77.2,79.9,77,78.6,28238,0
2023-02-08T00:00:00+0530,78.2,79,76,77.65,33967,0
2023-02-09T00:00:00+0530,77,78.8,77,77.25,23386,0
2023-02-10T00:00:00+0530,78,78.6,76.3,76.5,21258,0
2023-02-13T00:00:00+0530,78.05,78.2,75.8,76.25,14680,0
2023-02-14T00:00:00+0530,77.15,78,72.9,73.95,36776,0
2023-02-15T00:00:00+0530,74.9,74.9,71,71.7,47126,0
2023-02-16T00:00:00+0530,72.5,72.5,69.45,70.6,38323,0
2023-02-17T00:00:00+0530,70.6,72.7,70.5,71.5,27779,0
2023-02-20T00:00:00+0530,72.9,72.9,70.05,70.95,13693,0
2023-02-21T00:00:00+0530,71.15,71.4,70,70.25,11782,0
2023-02-22T00:00:00+0530,69.3,69.45,67.5,68.2,40712,0
2023-02-23T00:00:00+0530,69.2,69.85,68,68.8,22625,0
2023-02-24T00:00:00+0530,69.85,69.9,68.1,68.3,13923,0
2023-02-27T00:00:00+0530,68.1,68.75,66.5,67.15,12982,0
2023-02-28T00:00:00+0530,69.7,69.7,66.75,67.45,14427,0
2023-03-01T00:00:00+0530,68.7,70.75,67.25,68.25,23717,0
2023-03-02T00:00:00+0530,68.6,68.6,66.7,67.95,25401,0
2023-03-03T00:00:00+0530,68.25,69.4,67.4,68.5,24483,0
2023-03-06T00:00:00+0530,68.5,69.45,67,67.95,13779,0
2023-03-08T00:00:00+0530,67.8,68.6,67.1,67.95,15362,0
2023-03-09T00:00:00+0530,68,68.2,65,66.5,26566,0
2023-03-10T00:00:00+0530,67,67.7,66.25,66.85,18413,0
2023-03-13T00:00:00+0530,66.85,68,62.2,63.05,28240,0
2023-03-14T00:00:00+0530,63.85,65.55,63.65,64.35,14502,0
2023-03-15T00:00:00+0530,65,65.85,63.2,63.65,9033,0
2023-03-16T00:00:00+0530,63,63,60.6,61.85,36465,0
2023-03-17T00:00:00+0530,64.45,64.45,60.75,62.1,28915,0
2023-03-20T00:00:00+0530,62.7,63.3,60.7,61.45,53209,0
2023-03-21T00:00:00+0530,61,65.55,61,63.95,29842,0
2023-03-22T00:00:00+0530,63.95,65.5,63.55,64.2,24484,0
2023-03-23T00:00:00+0530,63.6,64.7,60.35,61.2,50871,0
2023-03-24T00:00:00+0530,61.2,61.2,58.3,58.85,53232,0
2023-03-27T00:00:00+0530,58.8,59.6,56,57.55,61740,0
2023-03-28T00:00:00+0530,57.25,57.5,56.8,56.9,17838,0
2023-03-29T00:00:00+0530,56.3,57.75,53.55,57,92175,0
2023-03-31T00:00:00+0530,57.95,65.45,56.85,61.4,83382,0
2023-04-03T00:00:00+0530,64.7,65.45,61.65,62.15,74332,0
2023-04-05T00:00:00+0530,62.7,65.15,62,62.85,55012,0
2023-04-06T00:00:00+0530,63,66.5,63,63.95,76390,0
2023-04-10T00:00:00+0530,63.95,66.5,62.65,64.8,68234,0
2023-04-11T00:00:00+0530,66,74.9,64.55,71.1,523057,0
2023-04-12T00:00:00+0530,72,76,71.15,72.55,243836,0
2023-04-13T00:00:00+0530,72.55,73.45,69.95,72,54789,0
2023-04-17T00:00:00+0530,73.45,73.45,69.1,70.65,26224,0
2023-04-18T00:00:00+0530,71.25,71.85,68.8,69.2,23324,0
2023-04-19T00:00:00+0530,70.55,70.55,67.7,68.2,35299,0
2023-04-20T00:00:00+0530,68.25,69.25,67.8,68.2,15461,0
2023-04-21T00:00:00+0530,68.2,68.65,67.8,68,12682,0
2023-04-24T00:00:00+0530,67.5,69.6,67.5,68.5,12989,0
2023-04-25T00:00:00+0530,67.5,69.8,67.5,69,27100,0
2023-04-26T00:00:00+0530,68.5,71.7,68.4,69.55,26683,0
2023-04-27T00:00:00+0530,70.2,70.65,69.1,69.4,15779,0
2023-04-28T00:00:00+0530,69.25,70.85,69.15,69.8,26805,0
2023-05-02T00:00:00+0530,69.8,71.7,68.25,68.5,29038,0
2023-05-03T00:00:00+0530,69.1,69.15,67.1,67.3,32167,0
2023-05-04T00:00:00+0530,67.05,70.8,67.05,68.15,38948,0
2023-05-05T00:00:00+0530,69.3,69.3,65.8,66.4,51628,0
2023-05-08T00:00:00+0530,66.8,69.5,64.95,68.25,45923,0
2023-05-09T00:00:00+0530,68.65,68.9,67.1,68,15124,0
2023-05-10T00:00:00+0530,68,69,66.05,66.8,18648,0
2023-05-11T00:00:00+0530,67.55,68.8,66.85,67.7,21226,0
2023-05-12T00:00:00+0530,67.7,69,65.65,66.8,16720,0
2023-05-15T00:00:00+0530,68.15,72.4,67.15,71.35,126845,0
2023-05-16T00:00:00+0530,71.35,72.4,69.95,70.45,30225,0
2023-05-17T00:00:00+0530,69.2,70.9,69.2,69.85,8031,0
2023-05-18T00:00:00+0530,70,71.05,68.65,68.9,7126,0
2023-05-19T00:00:00+0530,69,74,67.35,70.8,52416,0
2023-05-22T00:00:00+0530,70,71.9,68.6,69.4,18947,0
2023-05-23T00:00:00+0530,70,70.8,69.05,69.3,9670,0
2023-05-24T00:00:00+0530,70.9,70.9,69.2,69.7,21195,0
2023-05-25T00:00:00+0530,69.7,71.65,69,70.95,32027,0
2023-05-26T00:00:00+0530,72,72,69.85,70.7,13211,0
2023-05-29T00:00:00+0530,70.7,72,68.6,69.15,21483,0
2023-05-30T00:00:00+0530,68.5,71,65.85,68.6,70122,0
2023-05-31T00:00:00+0530,68.1,70,67.35,67.55,46806,0
2023-06-01T00:00:00+0530,68.9,68.9,66.5,67.25,20122,0
2023-06-02T00:00:00+0530,68,68.75,67.1,67.35,20805,0
2023-06-05T00:00:00+0530,67.55,70.6,67.35,68.85,43499,0
2023-06-06T00:00:00+0530,68.95,69,68,68.25,10815,0
2023-06-07T00:00:00+0530,69,71,68.5,69.6,36018,0
2023-06-08T00:00:00+0530,70.5,70.5,68.15,69.15,19670,0
2023-06-09T00:00:00+0530,68.9,69,67.55,68.15,15525,0
2023-06-12T00:00:00+0530,69.75,72,67.85,70.2,75884,0
2023-06-13T00:00:00+0530,69.2,70.75,69,69.45,47197,0
2023-06-14T00:00:00+0530,69.75,73.3,69.75,70.95,143290,0
2023-06-15T00:00:00+0530,71,71,69.25,69.6,43420,0
2023-06-16T00:00:00+0530,69.1,70.7,68.55,69.5,35839,0
2023-06-19T00:00:00+0530,69.5,69.8,69.05,69.3,13251,0
2023-06-20T00:00:00+0530,69.15,73.75,69.05,72.65,174999,0
2023-06-21T00:00:00+0530,73,75,71.25,71.75,83880,0
2023-06-22T00:00:00+0530,72.4,72.75,69.35,69.8,47406,0
2023-06-23T00:00:00+0530,69.85,71.35,67.2,67.6,43478,0
2023-06-26T00:00:00+0530,69.5,69.5,68,68.65,15038,0
2023-06-27T00:00:00+0530,68.7,69.3,68.3,68.8,18629,0
2023-06-28T00:00:00+0530,68.35,69.55,68.2,68.85,41145,0
2023-06-30T00:00:00+0530,69.95,69.95,67.8,68,28714,0
2023-07-03T00:00:00+0530,68.8,71.35,68.1,69.5,76394,0
2023-07-04T00:00:00+0530,68.55,69.9,68.5,68.9,19535,0
