date,open,high,low,close,volume,empty
2024-11-07T00:00:00+0530,46.63,53.9,46.23,47.14,11144,0
2024-11-08T00:00:00+0530,49.26,49.7,46,47.35,51386,0
2024-11-11T00:00:00+0530,47.26,47.26,45.7,46.72,91801,0
2024-11-12T00:00:00+0530,47.37,47.37,45.44,45.62,64388,0
2024-11-13T00:00:00+0530,46.53,46.53,44.21,45.04,97996,0
2024-11-14T00:00:00+0530,45.05,45.05,44.02,44.44,100937,0
2024-11-18T00:00:00+0530,45.33,45.33,44.19,44.36,73564,0
2024-11-19T00:00:00+0530,45.55,46.3,44.55,45.65,11373,0
2024-11-21T00:00:00+0530,45.65,45.65,43.89,44.86,93976,0
2024-11-22T00:00:00+0530,43.96,45.36,43.96,45.23,39669,0
2024-11-25T00:00:00+0530,45.75,46.3,45,46.07,24266,0
2024-11-26T00:00:00+0530,46.07,46.08,45.59,45.98,8372,0
2024-11-27T00:00:00+0530,45.98,46.52,45.72,46.41,28563,0
2024-11-28T00:00:00+0530,46.41,46.83,46.13,46.64,33382,0
2024-11-29T00:00:00+0530,46.65,46.87,46.12,46.73,18499,0
2024-12-02T00:00:00+0530,45.8,47,45.8,46.92,13279,0
2024-12-03T00:00:00+0530,47.7,47.97,46.1,47.47,41991,0
2024-12-04T00:00:00+0530,47.47,47.98,47.11,47.51,26806,0
2024-12-05T00:00:00+0530,47.64,48.49,47.34,47.89,14849,0
2024-12-06T00:00:00+0530,48.28,48.97,47.51,48.46,16111,0
2024-12-09T00:00:00+0530,48.9,49.29,47.84,48.56,51134,0
2024-12-10T00:00:00+0530,49.57,49.57,48.12,48.66,33709,0
2024-12-11T00:00:00+0530,47.2,48.68,47.2,48.39,15265,0
2024-12-12T00:00:00+0530,49.47,49.47,48.03,48.26,16564,0
2024-12-13T00:00:00+0530,48.27,48.69,47.45,48.33,18493,0
2024-12-16T00:00:00+0530,48.33,48.55,47.99,48.53,10141,0
2024-12-17T00:00:00+0530,49.47,49.47,48.03,48.06,15893,0
2024-12-18T00:00:00+0530,49.27,49.27,47.2,47.69,46799,0
2024-12-19T00:00:00+0530,47.69,47.9,46.75,47.28,51740,0
2024-12-20T00:00:00+0530,47.28,48.47,45.82,46.32,46242,0
2024-12-23T00:00:00+0530,47.25,47.57,45.5,45.93,72982,0
2024-12-24T00:00:00+0530,46.18,46.83,45.66,45.78,36738,0
2024-12-26T00:00:00+0530,46.7,46.9,45.25,46.74,34789,0
2024-12-27T00:00:00+0530,46.7,46.83,45.85,45.95,127555,0
2024-12-30T00:00:00+0530,46.7,46.7,45,45.21,76045,0
2024-12-31T00:00:00+0530,45.44,45.95,44.93,45.69,16052,0
2025-01-01T00:00:00+0530,45.7,46.88,45.05,45.73,19504,0
2025-01-02T00:00:00+0530,45.74,46.44,45.27,45.99,24369,0
2025-01-03T00:00:00+0530,45.99,48,45.58,46.38,182381,0
2025-01-06T00:00:00+0530,46.97,46.97,44.75,44.94,169820,0
2025-01-07T00:00:00+0530,45.96,45.96,44.76,44.95,54723,0
2025-01-08T00:00:00+0530,45.37,45.37,43.85,44.22,334985,0
2025-01-09T00:00:00+0530,44.96,44.96,43.75,44,70842,0
2025-01-10T00:00:00+0530,43.99,44.77,43.23,43.8,78896,0
2025-01-13T00:00:00+0530,44.68,44.68,41.66,42.91,179350,0
2025-01-14T00:00:00+0530,43.66,43.8,41.5,41.78,213791,0
2025-01-15T00:00:00+0530,42.59,42.59,41.34,42.08,57813,0
2025-01-16T00:00:00+0530,42.51,42.63,41.98,42.37,48342,0
2025-01-17T00:00:00+0530,42.46,42.92,42.02,42.48,65072,0
2025-01-20T00:00:00+0530,44.6,44.6,42,42.69,54760,0
2025-01-21T00:00:00+0530,42.99,42.99,41.39,41.65,110364,0
2025-01-22T00:00:00+0530,42.2,42.2,40.35,41.03,152854,0
