date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,58.5,60.75,57.65,59.95,2756216,0
2023-01-03T00:00:00+0530,60.2,60.7,59.1,59.35,2478430,0
2023-01-04T00:00:00+0530,62,63.9,59.05,59.65,18992768,0
2023-01-05T00:00:00+0530,60.25,61.1,59,59.15,4162789,0
2023-01-06T00:00:00+0530,59.5,59.9,58,58.7,2938774,0
2023-01-09T00:00:00+0530,59.05,59.15,56.3,57.15,2820391,0
2023-01-10T00:00:00+0530,57.3,57.4,56,56.15,1264616,0
2023-01-11T00:00:00+0530,56.15,56.45,54.85,55.75,1865956,0
2023-01-12T00:00:00+0530,56.2,56.25,55.05,55.8,1460432,0
2023-01-13T00:00:00+0530,55.95,56.5,55.55,55.9,1238916,0
2023-01-16T00:00:00+0530,56.2,56.75,55.9,56.55,1862053,0
2023-01-17T00:00:00+0530,57.1,58.15,55.8,55.95,3317036,0
2023-01-18T00:00:00+0530,55.7,56.9,55.65,56.5,2621645,0
2023-01-19T00:00:00+0530,56.5,57.5,56.05,56.2,2101830,0
2023-01-20T00:00:00+0530,56.2,56.9,55.6,56.6,2175431,0
2023-01-23T00:00:00+0530,56.8,57.15,56.1,56.25,1771616,0
2023-01-24T00:00:00+0530,56.25,56.3,55,55.25,1238350,0
2023-01-25T00:00:00+0530,55.2,55.55,54,54.8,1032285,0
2023-01-27T00:00:00+0530,54.8,55.35,52.9,54.65,2191058,0
2023-01-30T00:00:00+0530,54.6,54.6,52.55,54.1,2633145,0
2023-01-31T00:00:00+0530,54.15,54.85,53.35,54.3,1870139,0
2023-02-01T00:00:00+0530,54.55,57.2,52.7,53.2,4562079,0
2023-02-02T00:00:00+0530,52.7,55.45,52.25,54.9,1527897,0
2023-02-03T00:00:00+0530,53.95,54.95,53.05,53.65,2000730,0
2023-02-06T00:00:00+0530,53.65,54.3,53.25,53.45,1400966,0
2023-02-07T00:00:00+0530,53.8,54.2,53.15,54,1085430,0
2023-02-08T00:00:00+0530,53.9,56.2,53.5,55.75,2627118,0
2023-02-09T00:00:00+0530,58.4,58.85,55.65,58,9581265,0
2023-02-10T00:00:00+0530,59,60.9,57.6,60.05,8099147,0
2023-02-13T00:00:00+0530,60.65,60.75,58.2,59.95,3622626,0
2023-02-14T00:00:00+0530,59.35,59.6,58.05,58.9,2024313,0
2023-02-15T00:00:00+0530,59.05,59.5,58.3,58.8,1527229,0
2023-02-16T00:00:00+0530,60.2,60.2,58.05,58.8,1941269,0
2023-02-17T00:00:00+0530,58.8,59.8,58.2,58.45,1816247,0
2023-02-20T00:00:00+0530,60,63,58.65,61.9,14201419,0
2023-02-21T00:00:00+0530,62.8,64.3,61.25,63.05,9120415,0
2023-02-22T00:00:00+0530,63.05,64,61.85,63.9,5221017,0
2023-02-23T00:00:00+0530,63.9,70.75,63.1,69.55,18138789,0
2023-02-24T00:00:00+0530,69.95,70.25,65,67.15,8443204,0
2023-02-27T00:00:00+0530,67,70.4,66.85,69.45,9703171,0
2023-02-28T00:00:00+0530,70,73.4,69.15,71.5,17366572,0
2023-03-01T00:00:00+0530,72.1,73.5,71.55,72.7,6756085,0
2023-03-02T00:00:00+0530,73,74.8,72.1,73.6,5689399,0
2023-03-03T00:00:00+0530,74.35,76.85,73.7,75.8,6790090,0
2023-03-06T00:00:00+0530,76.2,77.9,72.45,73.3,6712043,0
2023-03-08T00:00:00+0530,73.4,75.65,72,74.95,4498951,0
2023-03-09T00:00:00+0530,75.8,77.4,72.35,73.25,8820989,0
2023-03-10T00:00:00+0530,70,70,63.55,68.7,26226949,0
2023-03-13T00:00:00+0530,67.05,68,64,64.4,13421872,0
2023-03-14T00:00:00+0530,64.4,65.3,61.3,64.65,10654477,0
2023-03-15T00:00:00+0530,65.65,66.65,65,65.9,7166351,0
2023-03-16T00:00:00+0530,65.85,65.85,63,64.5,8572094,0
2023-03-17T00:00:00+0530,64.7,69.7,64.1,68.15,34048920,0
2023-03-20T00:00:00+0530,68.7,69.2,66,66.3,6666533,0
2023-03-21T00:00:00+0530,67,67.75,64.5,64.75,8277618,0
2023-03-22T00:00:00+0530,64.9,66.55,63.95,64.5,9030731,0
2023-03-23T00:00:00+0530,64,65.75,63.75,64.8,6979232,0
2023-03-24T00:00:00+0530,65.1,65.5,62.4,63.8,4637406,0
2023-03-27T00:00:00+0530,64,64.3,61.8,62.3,4836520,0
2023-03-28T00:00:00+0530,62.5,65.1,62.5,64.35,6893085,0
2023-03-29T00:00:00+0530,64,69,63.25,68.05,6900821,0
2023-03-31T00:00:00+0530,68.1,69.35,65.75,67.1,7319884,0
2023-04-03T00:00:00+0530,67,68.7,66.25,68.3,4990845,0
2023-04-05T00:00:00+0530,68.25,69.5,65.1,66.9,3204972,0
2023-04-06T00:00:00+0530,68.4,71.3,67.75,70.55,13364879,0
2023-04-10T00:00:00+0530,71.1,71.75,69.3,71.45,7046408,0
2023-04-11T00:00:00+0530,71.8,72,69.5,70.65,4843355,0
2023-04-12T00:00:00+0530,70.65,71.3,69.15,69.85,2846277,0
2023-04-13T00:00:00+0530,70.25,70.85,67.8,68.25,2582439,0
2023-04-17T00:00:00+0530,68.25,71.2,67.6,70.75,5488473,0
2023-04-18T00:00:00+0530,71.2,72,70.25,71.15,5645360,0
2023-04-19T00:00:00+0530,71.6,71.8,69.1,69.7,2501480,0
2023-04-20T00:00:00+0530,70.5,72,69,69.6,6911890,0
2023-04-21T00:00:00+0530,69.9,70.5,68.5,69.9,2688605,0
2023-04-24T00:00:00+0530,70.4,71.4,68.15,68.6,4049542,0
2023-04-25T00:00:00+0530,68.75,70.3,68.75,69.7,2172942,0
2023-04-26T00:00:00+0530,70.4,70.6,69,69.4,1783913,0
2023-04-27T00:00:00+0530,69.85,69.85,68.65,68.9,1327550,0
2023-04-28T00:00:00+0530,69.5,70.5,68.5,68.95,3935777,0
2023-05-02T00:00:00+0530,69.25,71.7,68.85,70.6,5903957,0
2023-05-03T00:00:00+0530,70.85,73.55,70.1,72.3,6603268,0
2023-05-04T00:00:00+0530,72.75,75.6,72.65,75.15,5798626,0
2023-05-05T00:00:00+0530,75.7,75.95,71.75,72.85,6315340,0
2023-05-08T00:00:00+0530,76,78.4,74.8,76.15,17952365,0
2023-05-09T00:00:00+0530,77,77.95,75.2,76.3,8072298,0
2023-05-10T00:00:00+0530,76.9,80,76.1,79.55,12653092,0
2023-05-11T00:00:00+0530,80.9,80.9,78.15,78.95,6512526,0
2023-05-12T00:00:00+0530,78.9,79.85,77,77.2,8037947,0
2023-05-15T00:00:00+0530,77.65,77.65,74.85,76.8,4029616,0
2023-05-16T00:00:00+0530,77.4,79.3,76.8,78.3,5559912,0
2023-05-17T00:00:00+0530,78.2,82.7,77.85,82.05,10113151,0
2023-05-18T00:00:00+0530,82.6,83.85,81.35,82.8,10587630,0
2023-05-19T00:00:00+0530,83,83,79.5,81.2,6102755,0
2023-05-22T00:00:00+0530,81.25,82,79.1,81.85,4293888,0
2023-05-23T00:00:00+0530,82,82.4,80.9,81.95,4233177,0
2023-05-24T00:00:00+0530,81.2,82.8,80.8,82.35,2970655,0
2023-05-25T00:00:00+0530,82.05,84.4,80.9,83.2,7077796,0
2023-05-26T00:00:00+0530,83.2,84.7,82.1,84.4,6312186,0
2023-05-29T00:00:00+0530,84.8,86.45,83.65,85.4,7805517,0
2023-05-30T00:00:00+0530,85.9,89.4,85,87.85,16819516,0
2023-05-31T00:00:00+0530,88,90.15,85.65,86.4,11397485,0
2023-06-01T00:00:00+0530,86.7,88.75,86.65,87.7,4276423,0
2023-06-02T00:00:00+0530,88.5,89,86.65,87.15,5770482,0
2023-06-05T00:00:00+0530,87.25,88.15,86.2,87.25,5458833,0
2023-06-06T00:00:00+0530,87.7,88.65,87.1,88.35,5127144,0
2023-06-07T00:00:00+0530,88.85,89.25,86.85,87.25,5455940,0
2023-06-08T00:00:00+0530,87.65,88.25,83.55,84.3,4803157,0
2023-06-09T00:00:00+0530,84.75,85.6,83.7,84.3,2901099,0
2023-06-12T00:00:00+0530,84.7,85.85,82.35,85.55,3005257,0
2023-06-13T00:00:00+0530,85.55,87.95,85.55,87.05,5134045,0
2023-06-14T00:00:00+0530,87.6,88.3,85.9,87.8,3674933,0
2023-06-15T00:00:00+0530,86.8,88.05,86.65,87.25,2211331,0
2023-06-16T00:00:00+0530,87.25,88.45,85.6,86.2,14143338,0
2023-06-19T00:00:00+0530,86.1,88.3,85.8,87.9,5485430,0
2023-06-20T00:00:00+0530,87.9,90.4,87.05,88.8,5083907,0
2023-06-21T00:00:00+0530,90,90.95,86.75,87.2,6100700,0
2023-06-22T00:00:00+0530,87.7,88.1,84,84.9,6428857,0
2023-06-23T00:00:00+0530,84.9,85,81.6,82.05,10534525,0
2023-06-26T00:00:00+0530,81.85,85.5,80.1,84.8,10758338,0
2023-06-27T00:00:00+0530,85.6,89.45,85.25,86.25,17262738,0
2023-06-28T00:00:00+0530,87.1,90,86.1,88.6,4095226,0
2023-06-30T00:00:00+0530,89.2,90.9,88.25,90.1,4629374,0
2023-07-03T00:00:00+0530,90.8,92.15,89.7,91,4774215,0
2023-07-04T00:00:00+0530,91.7,91.95,90.35,91.25,5661907,0
2023-07-05T00:00:00+0530,91.5,92.55,89.9,91.65,5982582,0
2023-07-06T00:00:00+0530,92.4,94.9,91.5,93.35,11619338,0
2023-07-07T00:00:00+0530,93.75,94.15,92,93.95,5265707,0
2023-07-10T00:00:00+0530,93.4,94.35,91.25,91.8,3204742,0
2023-07-11T00:00:00+0530,92.2,93.9,91.5,93.5,2707058,0
2023-07-12T00:00:00+0530,93.9,94.4,92.95,93.85,6252835,0
2023-07-13T00:00:00+0530,93.3,97.1,92.85,93.2,5894500,0
2023-07-14T00:00:00+0530,93.7,95.6,93.55,95.15,2500055,0
2023-07-17T00:00:00+0530,95.95,97.1,94.25,96.25,10290519,0
2023-07-18T00:00:00+0530,96.5,96.7,95.7,96.05,5633648,0
2023-07-19T00:00:00+0530,96.4,97.3,95.8,96.2,3440179,0
2023-07-20T00:00:00+0530,96.2,97,96.05,96.45,1877510,0
2023-07-21T00:00:00+0530,96.85,99.15,95.85,96.45,6430753,0
2023-07-24T00:00:00+0530,97.85,99.05,95,95.45,3081021,0
2023-07-25T00:00:00+0530,96.25,97.7,95.3,95.8,1718764,0
2023-07-26T00:00:00+0530,96.15,97.5,95.4,97.1,2940083,0
2023-07-27T00:00:00+0530,97.7,101.2,97,99.15,6259034,0
2023-07-28T00:00:00+0530,99,99.5,96.05,98.7,4437083,0
2023-07-31T00:00:00+0530,99.4,100.8,93.1,94.75,8932465,0
2023-08-01T00:00:00+0530,95.5,95.55,91.55,91.8,14705487,0
2023-08-02T00:00:00+0530,91.5,91.5,88.5,89.85,6085055,0
2023-08-03T00:00:00+0530,89.2,89.5,85,88,9048802,0
2023-08-04T00:00:00+0530,88.9,90.3,87.5,87.95,5414054,0
2023-08-07T00:00:00+0530,88,88.35,85.35,86.4,7237985,0
2023-08-08T00:00:00+0530,87.25,91.45,87,91.15,5097241,0
2023-08-09T00:00:00+0530,91.5,91.75,89.45,91.15,6387886,0
2023-08-10T00:00:00+0530,91.6,91.75,86.3,86.8,8735352,0
2023-08-11T00:00:00+0530,87.5,88.35,86.4,87.3,2710260,0
2023-08-14T00:00:00+0530,88.05,88.05,85.45,85.75,2840535,0
2023-08-16T00:00:00+0530,85.75,86.05,84.2,85.4,3037502,0
2023-08-17T00:00:00+0530,84.8,85,82.9,83.15,4700846,0
2023-08-18T00:00:00+0530,83.15,84.7,82.1,82.6,4964318,0
2023-08-21T00:00:00+0530,82.85,84.85,82.2,82.55,9672010,0
2023-08-22T00:00:00+0530,82.8,86.5,82.6,86.1,4563308,0
2023-08-23T00:00:00+0530,86.25,86.7,84.5,84.65,4047239,0
2023-08-24T00:00:00+0530,85.2,86.15,83.65,85,5691897,0
2023-08-25T00:00:00+0530,85,85.85,83.8,84.2,2443756,0
2023-08-28T00:00:00+0530,84.6,84.75,82.6,82.9,4637465,0
2023-08-29T00:00:00+0530,83,87.25,83,86.85,9477076,0
2023-08-30T00:00:00+0530,87.5,87.75,85.85,86.8,5015790,0
2023-08-31T00:00:00+0530,88,92,86.85,90.5,10912651,0
2023-09-01T00:00:00+0530,91.05,91.7,88,88.8,5253980,0
2023-09-04T00:00:00+0530,89.1,89.45,87.3,87.75,4061334,0
2023-09-05T00:00:00+0530,88.8,88.8,85.6,85.9,5111654,0
2023-09-06T00:00:00+0530,86.7,86.9,84.35,84.7,4698841,0
2023-09-07T00:00:00+0530,85.15,85.35,83.8,84.35,5638772,0
2023-09-08T00:00:00+0530,85.1,88.6,84.7,87.95,10918483,0
2023-09-11T00:00:00+0530,88.75,89.2,87.05,87.2,7061431,0
2023-09-12T00:00:00+0530,87.5,88.1,83.1,83.85,6064356,0
2023-09-13T00:00:00+0530,84.25,86.2,83.7,85.6,2817477,0
2023-09-14T00:00:00+0530,86,86.8,84.7,85,3318160,0
2023-09-15T00:00:00+0530,85.8,86.5,85,85.65,4655148,0
2023-09-18T00:00:00+0530,86,86.1,84.5,84.65,8306946,0
2023-09-20T00:00:00+0530,84.65,85.05,83.5,83.85,3143785,0
2023-09-21T00:00:00+0530,83.85,87.25,83.65,85.4,7853910,0
2023-09-22T00:00:00+0530,86,86,84,84.95,3514659,0
2023-09-25T00:00:00+0530,85.7,86.1,84.2,85.5,11317237,0
2023-09-26T00:00:00+0530,85.95,87.6,84.9,87.25,4462327,0
2023-09-27T00:00:00+0530,88,90,86.7,89.55,9319052,0
2023-09-28T00:00:00+0530,89.75,90.6,89.05,89.6,5432055,0
2023-09-29T00:00:00+0530,90.3,91.3,89.1,89.65,4816158,0
2023-10-03T00:00:00+0530,90.25,94.75,89.95,93.45,10970574,0
2023-10-04T00:00:00+0530,93.75,94.4,89.6,91.4,8126505,0
2023-10-05T00:00:00+0530,91.8,92.7,90.55,91.8,3656884,0
2023-10-06T00:00:00+0530,93,94.1,91.3,93.95,8832053,0
2023-10-09T00:00:00+0530,91.05,92.95,89.8,92.65,5090211,0
2023-10-10T00:00:00+0530,92.5,97,92.25,96.55,7575512,0
2023-10-11T00:00:00+0530,97.35,98.2,96.4,97.35,4049175,0
2023-10-12T00:00:00+0530,97.9,98.1,96.35,97.4,3288014,0
2023-10-13T00:00:00+0530,97.4,97.45,95.25,96,3051228,0
2023-10-16T00:00:00+0530,96.1,98.5,96,96.65,8124018,0
2023-10-17T00:00:00+0530,97.35,100.05,97.15,98.75,7961070,0
2023-10-18T00:00:00+0530,99,100.55,97.8,99.85,6133520,0
2023-10-19T00:00:00+0530,99.95,100.8,98.1,98.6,4092130,0
2023-10-20T00:00:00+0530,100.35,101.85,98.65,100.3,11062113,0
2023-10-23T00:00:00+0530,101.9,101.9,90.95,94.3,9638757,0
2023-10-25T00:00:00+0530,96.25,97.85,91.9,92.65,5377611,0
2023-10-26T00:00:00+0530,92.95,94.3,88.7,93.7,6507185,0
2023-10-27T00:00:00+0530,94.5,95.5,92.5,92.95,2921565,0
2023-10-30T00:00:00+0530,93.3,93.3,90.55,91.35,5882732,0
2023-10-31T00:00:00+0530,91.65,94.05,91.65,92.75,3636809,0
2023-11-01T00:00:00+0530,92.9,95.8,92.75,94.6,5452630,0
2023-11-02T00:00:00+0530,95.1,98,95,97.8,6144339,0
2023-11-03T00:00:00+0530,98.5,99.45,97,97.8,3596919,0
2023-11-06T00:00:00+0530,98.8,98.9,97.1,98.7,2198064,0
2023-11-07T00:00:00+0530,98.45,98.45,95.5,95.8,3814908,0
2023-11-08T00:00:00+0530,95.75,96.8,94.2,96.05,5294182,0
2023-11-09T00:00:00+0530,96.05,98.2,93.5,93.8,6551342,0
2023-11-10T00:00:00+0530,93.8,96,93.15,95.4,1932922,0
2023-11-12T00:00:00+0530,96.25,97.45,96.25,97,942235,0
2023-11-13T00:00:00+0530,96.95,96.95,95.1,96.25,2216826,0
2023-11-15T00:00:00+0530,96.55,99.25,96.55,98,4443592,0
2023-11-16T00:00:00+0530,98.05,98.25,97.15,97.5,2413025,0
2023-11-17T00:00:00+0530,97.2,97.95,95.7,97.3,3174963,0
2023-11-20T00:00:00+0530,97.3,98.1,94.9,95.4,2955199,0
2023-11-21T00:00:00+0530,96,97.45,94.15,95.25,2931028,0
2023-11-22T00:00:00+0530,95.3,95.3,94.3,94.8,1200331,0
2023-11-23T00:00:00+0530,95.25,97,94.55,95.1,1855059,0
2023-11-24T00:00:00+0530,95.3,96.65,94.2,94.35,7997852,0
2023-11-28T00:00:00+0530,94.35,96.15,92.55,93.55,2633291,0
2023-11-29T00:00:00+0530,95,95,92.45,92.85,3696692,0
2023-11-30T00:00:00+0530,93.15,94.4,90.15,93.9,7992583,0
2023-12-01T00:00:00+0530,94.7,95.65,93.15,95.15,3331392,0
2023-12-04T00:00:00+0530,97,97,93.8,94.1,3831911,0
2023-12-05T00:00:00+0530,94.1,95.75,93.8,94.65,2651536,0
2023-12-06T00:00:00+0530,95.75,96.75,93.9,94.1,3976301,0
2023-12-07T00:00:00+0530,94,95,92.75,94.85,2070547,0
2023-12-08T00:00:00+0530,95.25,96.25,94.55,95,3203644,0
2023-12-11T00:00:00+0530,96,96.75,93.1,94.5,4982167,0
2023-12-12T00:00:00+0530,95.3,104.8,95,103.9,39713122,0
2023-12-13T00:00:00+0530,104.85,107.9,102.8,103.65,22464868,0
2023-12-14T00:00:00+0530,106,109.5,104.55,108.95,12831882,0
2023-12-15T00:00:00+0530,109.15,109.7,106.05,108.05,7364694,0
2023-12-18T00:00:00+0530,108,108.05,105.9,106.4,3111938,0
2023-12-19T00:00:00+0530,106.85,107.25,105,105.55,1760790,0
2023-12-20T00:00:00+0530,106.1,113.85,100.5,102.3,12095392,0
2023-12-21T00:00:00+0530,101.45,106.65,99.5,105.05,5546455,0
2023-12-22T00:00:00+0530,106.1,107.9,104.85,106.1,3292656,0
2023-12-26T00:00:00+0530,106.5,106.9,104.15,105.1,1470687,0
