date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,11,11.9,10.65,11.05,105819,0
2023-01-03T00:00:00+0530,11.5,12.15,11.2,12.15,17616,0
2023-01-04T00:00:00+0530,13.2,13.35,13.2,13.35,6580,0
2023-01-05T00:00:00+0530,14.65,14.65,14.65,14.65,5227,0
2023-01-06T00:00:00+0530,15.35,15.35,15.35,15.35,610,0
2023-01-09T00:00:00+0530,14.65,14.65,14.6,14.6,1080,0
2023-01-16T00:00:00+0530,13.9,13.9,13.9,13.9,359,0
2023-04-20T00:00:00+0530,13.2,13.2,13.2,13.2,3107,0
2023-04-21T00:00:00+0530,13,13,12.55,12.55,343,0
2023-04-24T00:00:00+0530,11.95,11.95,11.95,11.95,773,0
2023-04-25T00:00:00+0530,11.35,11.35,11.35,11.35,2339,0
2023-04-26T00:00:00+0530,10.8,11.7,10.8,10.95,10480,0
2023-04-27T00:00:00+0530,10.4,10.95,10.4,10.5,6001,0
2023-04-28T00:00:00+0530,10.3,10.3,10,10,4069,0
2023-05-02T00:00:00+0530,9.9,9.95,9.5,9.95,7233,0
2023-05-03T00:00:00+0530,9.95,10.4,9.45,9.5,3768,0
2023-05-05T00:00:00+0530,9.5,9.5,9.3,9.45,375,0
2023-05-08T00:00:00+0530,9.45,9.9,9.15,9.9,3912,0
2023-05-09T00:00:00+0530,9.95,10.35,9.95,10.35,1473,0
2023-05-10T00:00:00+0530,10.35,10.85,9.85,9.9,13970,0
2023-05-11T00:00:00+0530,9.9,10.35,9.9,10.35,650,0
2023-05-12T00:00:00+0530,10.35,10.35,9.85,9.85,1928,0
2023-05-15T00:00:00+0530,9.85,10.2,9.35,9.35,3954,0
2023-05-16T00:00:00+0530,9.35,9.35,8.9,8.95,658,0
2023-05-17T00:00:00+0530,8.95,8.95,8.95,8.95,268,0
2023-05-18T00:00:00+0530,9.35,9.35,8.9,9.35,4304,0
2023-05-19T00:00:00+0530,9.8,9.8,9.1,9.35,8464,0
2023-05-22T00:00:00+0530,9.8,9.8,9.8,9.8,471,0
2023-05-23T00:00:00+0530,10.25,10.25,10.25,10.25,3421,0
2023-05-24T00:00:00+0530,10.75,10.75,10.75,10.75,223,0
2023-05-25T00:00:00+0530,11.25,11.25,11.25,11.25,1,0
2023-05-26T00:00:00+0530,11.8,11.8,11.8,11.8,140,0
2023-05-29T00:00:00+0530,12.35,12.35,12.35,12.35,3977,0
2023-05-30T00:00:00+0530,12.95,12.95,12.95,12.95,2210,0
2023-05-31T00:00:00+0530,13.55,13.55,13.55,13.55,517,0
2023-06-01T00:00:00+0530,14.2,14.2,12.9,13.35,34188,0
2023-06-02T00:00:00+0530,13.85,14,13.25,14,4241,0
2023-06-05T00:00:00+0530,14.7,14.7,14.7,14.7,3406,0
2023-06-06T00:00:00+0530,14,14,14,14,631,0
2023-06-07T00:00:00+0530,13.5,14,13.3,14,525,0
2023-06-08T00:00:00+0530,13.9,13.9,13.3,13.3,400,0
2023-06-12T00:00:00+0530,12.65,13.3,12.65,13.3,4481,0
2023-06-13T00:00:00+0530,12.65,13.95,12.65,13.65,2119,0
2023-06-14T00:00:00+0530,14.3,14.3,13,13,3099,0
2023-06-15T00:00:00+0530,12.55,13.65,12.55,13.65,1793,0
2023-06-16T00:00:00+0530,14.3,14.3,14,14,501,0
2023-06-19T00:00:00+0530,14.7,14.7,13.3,14,271,0
2023-06-20T00:00:00+0530,14.7,14.7,14.7,14.7,121,0
2023-06-23T00:00:00+0530,15.4,15.4,14,14,141,0
2023-06-27T00:00:00+0530,14,14,14,14,1,0
2023-06-28T00:00:00+0530,14.7,14.7,13.3,13.95,1002,0
2023-07-04T00:00:00+0530,14.6,14.6,14.45,14.45,6,0
2023-07-05T00:00:00+0530,15,15,15,15,1,0
2023-07-06T00:00:00+0530,15,15,15,15,1,0
2023-07-07T00:00:00+0530,15.5,15.5,14.9,14.9,10,0
2023-07-10T00:00:00+0530,15.6,15.6,14.15,14.15,1134,0
2023-07-11T00:00:00+0530,14.15,14.15,13.45,13.45,2480,0
2023-07-12T00:00:00+0530,12.8,12.8,12.8,12.8,4924,0
2023-07-13T00:00:00+0530,12.25,13.25,12.25,13.05,3154,0
2023-07-14T00:00:00+0530,12.5,13,12.4,12.4,714,0
2023-07-17T00:00:00+0530,11.8,11.8,11.8,11.8,1681,0
2023-07-18T00:00:00+0530,11.8,12.35,11.8,12.35,258,0
2023-07-19T00:00:00+0530,12.95,12.95,11.8,11.85,6508,0
2023-07-20T00:00:00+0530,12.4,12.4,11.85,12,2524,0
2023-07-21T00:00:00+0530,12,12.55,12,12.5,2555,0
2023-07-24T00:00:00+0530,13.1,13.1,12.1,12.85,1799,0
2023-07-25T00:00:00+0530,12.85,12.85,12.65,12.65,110,0
2023-07-26T00:00:00+0530,12.65,13.2,12.1,12.2,339,0
2023-07-27T00:00:00+0530,12.4,12.7,12,12,1777,0
2023-07-28T00:00:00+0530,12.25,12.55,11.6,12.5,209,0
2023-07-31T00:00:00+0530,12.5,12.5,11.9,12.45,1162,0
2023-08-01T00:00:00+0530,12.45,12.45,11.85,11.9,3591,0
2023-08-02T00:00:00+0530,11.9,12.3,11.5,12.3,1926,0
2023-08-03T00:00:00+0530,12.9,12.9,11.9,11.9,1817,0
2023-08-04T00:00:00+0530,12.45,12.45,12.45,12.45,1394,0
2023-08-07T00:00:00+0530,12,13,11.85,11.85,7473,0
2023-08-08T00:00:00+0530,12.4,12.4,11.25,12.2,2770,0
2023-08-09T00:00:00+0530,12.15,12.15,11.6,11.95,615,0
2023-08-10T00:00:00+0530,12.5,12.5,11.35,11.5,2714,0
2023-08-11T00:00:00+0530,12.05,12.05,11.15,12.05,1311,0
2023-08-14T00:00:00+0530,12.05,12.05,12,12,172,0
2023-08-16T00:00:00+0530,12,12,11.7,11.7,965,0
2023-08-17T00:00:00+0530,11.8,11.8,11.15,11.8,1923,0
2023-08-18T00:00:00+0530,11.8,11.8,11.8,11.8,3,0
2023-08-21T00:00:00+0530,11.8,11.8,11.75,11.75,4,0
2023-08-22T00:00:00+0530,11.2,11.7,11.2,11.3,612,0
2023-08-23T00:00:00+0530,11.3,11.3,10.75,11.25,1556,0
2023-08-24T00:00:00+0530,11.25,11.25,11.25,11.25,454,0
2023-08-25T00:00:00+0530,11.2,11.2,11.2,11.2,533,0
2023-08-28T00:00:00+0530,11,11.1,10.7,10.75,482,0
2023-08-29T00:00:00+0530,10.8,11,10.8,10.9,63,0
2023-08-30T00:00:00+0530,10.9,10.9,10.8,10.8,594,0
2023-08-31T00:00:00+0530,10.8,10.8,10.3,10.8,1363,0
2023-09-01T00:00:00+0530,11,11.3,10.3,10.4,606,0
2023-09-04T00:00:00+0530,10.4,10.9,10,10.9,4185,0
2023-09-05T00:00:00+0530,10.95,11.4,10.95,11.4,458,0
2023-09-06T00:00:00+0530,11.95,11.95,11.85,11.9,4431,0
2023-09-07T00:00:00+0530,11.9,12.45,11.4,12.35,2959,0
2023-09-08T00:00:00+0530,12.35,12.35,12.35,12.35,6,0
2023-09-11T00:00:00+0530,12.35,12.95,11.8,12.85,5961,0
2023-09-12T00:00:00+0530,12.8,12.8,12.8,12.8,808,0
2023-09-13T00:00:00+0530,12.8,12.8,12.8,12.8,733,0
2023-09-14T00:00:00+0530,12.55,12.55,12.55,12.55,500,0
2023-09-18T00:00:00+0530,12.3,12.3,12.3,12.3,1,0
2023-09-26T00:00:00+0530,12.25,12.25,12.25,12.25,100,0
2023-09-27T00:00:00+0530,12.25,12.25,12.25,12.25,1,0
2023-09-28T00:00:00+0530,12.25,12.25,12,12,43,0
2023-09-29T00:00:00+0530,12,12,11.95,11.95,60,0
2023-10-04T00:00:00+0530,11.95,11.95,11.95,11.95,89,0
2023-10-05T00:00:00+0530,11.95,11.95,11.95,11.95,300,0
2023-10-06T00:00:00+0530,11.95,11.95,11.95,11.95,425,0
2023-10-09T00:00:00+0530,11.95,11.95,11.95,11.95,100,0
2023-10-10T00:00:00+0530,11.95,11.95,11.95,11.95,50,0
2023-10-12T00:00:00+0530,11.95,11.95,11.95,11.95,214,0
2023-10-13T00:00:00+0530,11.95,12.15,11.75,11.75,1235,0
2023-10-16T00:00:00+0530,11.75,12.25,11.7,11.7,954,0
2023-10-17T00:00:00+0530,11.7,11.7,11.5,11.7,1069,0
2023-10-18T00:00:00+0530,11.6,11.6,11.6,11.6,80,0
2023-10-19T00:00:00+0530,11.15,11.15,11.05,11.05,2806,0
2023-10-20T00:00:00+0530,10.6,11.6,10.6,11,715,0
2023-10-23T00:00:00+0530,11.55,11.55,10.5,10.6,1425,0
2023-10-25T00:00:00+0530,10.35,11.1,10.3,10.3,447,0
2023-10-31T00:00:00+0530,10.15,10.5,10.15,10.5,202,0
2023-11-02T00:00:00+0530,10.7,10.7,10.7,10.7,214,0
2023-11-03T00:00:00+0530,10.75,10.75,10.75,10.75,30,0
2023-11-06T00:00:00+0530,10.9,10.9,10.9,10.9,398,0
2023-11-07T00:00:00+0530,10.8,11.1,10.8,11.1,608,0
2023-11-08T00:00:00+0530,11.3,11.3,11.3,11.3,10,0
2023-11-12T00:00:00+0530,11.3,11.3,11.3,11.3,22,0
2023-11-13T00:00:00+0530,11.5,11.5,11.5,11.5,300,0
2023-11-15T00:00:00+0530,11.3,11.3,11.3,11.3,41,0
2023-11-16T00:00:00+0530,11.25,11.25,11.1,11.1,3,0
2023-11-17T00:00:00+0530,10.9,10.9,10.9,10.9,110,0
2023-11-21T00:00:00+0530,10.9,10.9,10.9,10.9,300,0
2023-11-22T00:00:00+0530,10.9,11.1,10.9,11.1,1024,0
2023-11-23T00:00:00+0530,10.9,10.9,10.9,10.9,599,0
2023-11-24T00:00:00+0530,11.1,11.1,11.1,11.1,128,0
2023-11-28T00:00:00+0530,11.1,11.1,11.1,11.1,1,0
