date,open,high,low,close,volume,empty
2024-05-06T00:00:00+0530,2.67,2.74,2.52,2.59,4677235,0
2024-05-07T00:00:00+0530,2.61,2.61,2.48,2.55,3208535,0
2024-05-08T00:00:00+0530,2.49,2.57,2.46,2.48,3663735,0
2024-05-09T00:00:00+0530,2.55,2.59,2.38,2.49,5108405,0
2024-05-10T00:00:00+0530,2.54,2.7,2.43,2.6,15181625,0
2024-05-13T00:00:00+0530,2.67,2.69,2.38,2.41,18707795,0
2024-05-14T00:00:00+0530,2.48,2.52,2.42,2.47,7141345,0
2024-05-15T00:00:00+0530,2.57,2.57,2.43,2.44,4617325,0
2024-05-16T00:00:00+0530,2.49,2.51,2.4,2.41,4713905,0
2024-05-17T00:00:00+0530,2.45,2.47,2.37,2.4,6127470,0
2024-05-18T00:00:00+0530,2.42,2.43,2.37,2.39,2105325,0
2024-05-21T00:00:00+0530,2.44,2.44,2.32,2.34,8682105,0
2024-05-22T00:00:00+0530,2.36,2.37,2.3,2.34,4300000,0
2024-05-23T00:00:00+0530,2.36,2.7,2.34,2.63,44533880,0
2024-05-24T00:00:00+0530,2.69,2.82,2.5,2.79,50010200,0
2024-05-27T00:00:00+0530,2.85,2.86,2.47,2.58,42843195,0
2024-05-28T00:00:00+0530,2.6,2.6,2.41,2.44,13680945,0
2024-05-29T00:00:00+0530,2.46,2.51,2.37,2.39,15861735,0
2024-05-30T00:00:00+0530,2.41,2.45,2.37,2.39,14409110,0
2024-05-31T00:00:00+0530,2.4,2.4,2.26,2.31,11713640,0
2024-06-03T00:00:00+0530,2.48,2.48,2.09,2.12,69943855,0
2024-06-04T00:00:00+0530,2.14,2.25,1.7,2.04,43747455,0
2024-06-05T00:00:00+0530,2.1,2.14,1.93,2.05,13053360,0
2024-06-06T00:00:00+0530,2.1,2.22,2.06,2.19,18046465,0
2024-06-07T00:00:00+0530,2.2,2.29,2.11,2.14,15891110,0
2024-06-10T00:00:00+0530,2.2,2.25,2.1,2.19,14558035,0
2024-06-11T00:00:00+0530,2.22,2.23,2.12,2.19,13545440,0
2024-06-12T00:00:00+0530,2.22,2.4,2.08,2.13,74628615,0
2024-06-13T00:00:00+0530,2.14,2.22,2.14,2.16,15547040,0
2024-06-14T00:00:00+0530,2.19,2.25,2.1,2.13,78008800,0
