date,open,high,low,close,volume,empty
2024-10-04T00:00:00+0530,113,115,107.35,109.35,1065600,0
2024-10-07T00:00:00+0530,108.9,108.9,103.9,103.9,84000,0
2024-10-08T00:00:00+0530,98.7,107,98.7,106,51600,0
2024-10-09T00:00:00+0530,100.95,108.1,100.95,103.8,22800,0
2024-10-10T00:00:00+0530,104,107,102,105.5,26400,0
2024-10-11T00:00:00+0530,102.55,106,102.55,103,15600,0
2024-10-14T00:00:00+0530,102.5,104.5,101.45,102.25,12000,0
2024-10-15T00:00:00+0530,105,107,102.7,103.1,14400,0
2024-10-16T00:00:00+0530,103.1,103.5,102,102.35,55200,0
2024-10-17T00:00:00+0530,102.2,104.5,101.75,104.45,57600,0
2024-10-18T00:00:00+0530,103,107.95,102,105.2,85200,0
2024-10-21T00:00:00+0530,102.1,105,102,102.9,34800,0
2024-10-22T00:00:00+0530,100.05,101.9,95,99.3,15600,0
2024-10-23T00:00:00+0530,99,100,96,99.5,7200,0
2024-10-24T00:00:00+0530,98,98.1,98,98,3600,0
2024-10-25T00:00:00+0530,96.5,98,96,98,3600,0
2024-10-28T00:00:00+0530,99,100,96,97.9,7200,0
2024-10-29T00:00:00+0530,96,96,91.95,94,10800,0
2024-10-30T00:00:00+0530,96,98.5,96,98,7200,0
2024-10-31T00:00:00+0530,97.9,97.9,97.9,97.9,1200,0
2024-11-01T00:00:00+0530,97.75,97.75,96.5,96.95,9600,0
2024-11-04T00:00:00+0530,98,98,80,86.25,56400,0
2024-11-05T00:00:00+0530,87.7,87.8,82.55,84.85,42000,0
2024-11-06T00:00:00+0530,87,88.6,86.25,87.65,20400,0
2024-11-07T00:00:00+0530,87.45,87.5,84.15,87.5,10800,0
2024-11-08T00:00:00+0530,87.9,88,87.5,87.5,8400,0
2024-11-11T00:00:00+0530,88,91,88,90.95,13200,0
2024-11-12T00:00:00+0530,88,92.5,87,88.85,4800,0
2024-11-13T00:00:00+0530,90.5,90.5,85,89,34800,0
2024-11-14T00:00:00+0530,86.8,89.95,85.3,86.15,8400,0
2024-11-18T00:00:00+0530,90,90,86,89.45,12000,0
2024-11-19T00:00:00+0530,85.25,88.95,84.9,84.95,9600,0
2024-11-21T00:00:00+0530,82,83,81.5,83,4800,0
2024-11-22T00:00:00+0530,82.5,82.5,82.5,82.5,1200,0
2024-11-25T00:00:00+0530,85,85,82.5,83.6,9600,0
2024-11-26T00:00:00+0530,89,91.95,88,90,12000,0
2024-11-27T00:00:00+0530,90,90,87,87.65,8400,0
2024-11-28T00:00:00+0530,85.25,88.9,85.25,85.4,6000,0
2024-11-29T00:00:00+0530,85.8,85.8,78.2,83.35,25200,0
2024-12-02T00:00:00+0530,85.9,86.95,84.8,86.5,10800,0
2024-12-03T00:00:00+0530,86.65,89,86,88.5,14400,0
2024-12-04T00:00:00+0530,89,90,84.6,84.6,14400,0
2024-12-05T00:00:00+0530,85.1,89,85.1,89,7200,0
2024-12-06T00:00:00+0530,89,90,89,90,2400,0
2024-12-09T00:00:00+0530,91.5,91.5,90,90.95,7200,0
2024-12-10T00:00:00+0530,92.5,93.5,90.95,90.95,7200,0
2024-12-11T00:00:00+0530,87,87.5,86.5,87.5,3600,0
