date,open,high,low,close,volume,empty
2024-10-15T00:00:00+0530,105,120.99,100.36,106.36,46093111,0
2024-10-16T00:00:00+0530,103.7,109.39,102.29,103.37,7631394,0
2024-10-17T00:00:00+0530,103.85,105.17,100.5,101.28,3110944,0
2024-10-18T00:00:00+0530,101,109,100,105.04,5102719,0
2024-10-21T00:00:00+0530,106,107.28,100.57,101.37,1623284,0
2024-10-22T00:00:00+0530,101.76,101.95,92.35,95.13,2418325,0
2024-10-23T00:00:00+0530,95.99,98,93.37,96.33,865594,0
2024-10-24T00:00:00+0530,97.55,97.79,93.5,94.92,673094,0
2024-10-25T00:00:00+0530,93.8,94.79,88,89.58,995097,0
2024-10-28T00:00:00+0530,89.9,90.75,85.11,87.48,1131627,0
2024-10-29T00:00:00+0530,87.99,91.26,86.85,89.04,538901,0
2024-10-30T00:00:00+0530,89,92.66,88.1,91.31,641884,0
2024-10-31T00:00:00+0530,91.5,92,89.5,89.79,295144,0
2024-11-01T00:00:00+0530,91.7,91.7,89.99,90.73,109398,0
2024-11-04T00:00:00+0530,91.4,91.79,87.96,88.66,209639,0
2024-11-05T00:00:00+0530,88,89.5,84.85,86.09,640719,0
2024-11-06T00:00:00+0530,86.21,90.6,85.68,89.94,487289,0
2024-11-07T00:00:00+0530,90.5,90.59,88.01,88.32,291621,0
2024-11-08T00:00:00+0530,88.2,89.9,85.97,87.26,454962,0
2024-11-11T00:00:00+0530,87.15,88.99,85.3,86.61,317007,0
2024-11-12T00:00:00+0530,87.52,87.89,85.5,86.52,223840,0
2024-11-13T00:00:00+0530,86.65,86.89,83.1,84.1,382950,0
2024-11-14T00:00:00+0530,85.35,85.35,82.32,82.94,283846,0
2024-11-18T00:00:00+0530,83.3,84.76,80.11,82.54,400198,0
2024-11-19T00:00:00+0530,83.56,84.35,81.74,82.65,241124,0
2024-11-21T00:00:00+0530,82.69,84.19,79.79,80.15,216685,0
2024-11-22T00:00:00+0530,81.3,81.35,77.05,77.66,401994,0
2024-11-25T00:00:00+0530,79.8,93.19,78.41,93.19,4156958,0
