date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,50.3,50.32,50.2,50.24,385892,0
2023-01-03T00:00:00+0530,50.24,50.38,50.24,50.33,126129,0
2023-01-04T00:00:00+0530,50.39,50.39,50.29,50.3,38404,0
2023-01-05T00:00:00+0530,50.39,50.4,50.28,50.34,290508,0
2023-01-06T00:00:00+0530,50.37,50.4,50.23,50.29,69386,0
2023-01-09T00:00:00+0530,50.43,50.49,50.38,50.4,51301,0
2023-01-10T00:00:00+0530,50.45,50.52,50.39,50.48,205953,0
2023-01-11T00:00:00+0530,50.48,50.58,50.46,50.52,68355,0
2023-01-12T00:00:00+0530,50.6,50.62,50.51,50.57,40730,0
2023-01-13T00:00:00+0530,50.66,50.69,50.58,50.59,47158,0
2023-01-16T00:00:00+0530,50.64,50.66,50.54,50.56,179322,0
2023-01-17T00:00:00+0530,50.6,50.6,50.5,50.54,60274,0
2023-01-18T00:00:00+0530,50.57,50.65,50.55,50.58,25028,0
2023-01-19T00:00:00+0530,50.69,50.8,50.66,50.69,26053,0
2023-01-20T00:00:00+0530,50.66,50.71,50.59,50.63,113918,0
2023-01-23T00:00:00+0530,50.67,50.72,50.58,50.7,98494,0
2023-01-24T00:00:00+0530,50.7,50.74,50.63,50.7,82860,0
2023-01-25T00:00:00+0530,52.2,52.2,50.71,50.8,64885,0
2023-01-27T00:00:00+0530,50.68,50.79,50.61,50.72,71372,0
2023-01-30T00:00:00+0530,50.67,50.73,50.55,50.62,38867,0
2023-01-31T00:00:00+0530,50.62,50.69,50.57,50.62,27213,0
2023-02-01T00:00:00+0530,50.7,50.93,50.54,50.75,48513,0
2023-02-02T00:00:00+0530,50.91,50.99,50.74,50.81,40331,0
2023-02-03T00:00:00+0530,52.3,52.3,50.79,50.9,50060,0
2023-02-06T00:00:00+0530,50.82,50.94,50.79,50.89,67179,0
2023-02-07T00:00:00+0530,52.4,52.4,50.79,50.91,133898,0
2023-02-08T00:00:00+0530,50.86,50.9,50.73,50.8,47166,0
2023-02-09T00:00:00+0530,50.74,50.79,50.72,50.76,71782,0
2023-02-10T00:00:00+0530,50.64,50.77,50.64,50.72,51887,0
2023-02-13T00:00:00+0530,52.25,52.25,50.6,50.68,64639,0
2023-02-14T00:00:00+0530,49.15,50.69,49.15,50.65,48250,0
2023-02-15T00:00:00+0530,50.63,50.72,50.6,50.61,33969,0
2023-02-16T00:00:00+0530,52.2,52.2,50.68,50.74,68873,0
2023-02-17T00:00:00+0530,50.68,50.73,50.66,50.71,83353,0
2023-02-20T00:00:00+0530,50.66,50.8,50.66,50.75,197815,0
2023-02-21T00:00:00+0530,50.71,50.77,50.66,50.72,202130,0
2023-02-22T00:00:00+0530,50.67,50.7,50.58,50.66,218500,0
2023-02-23T00:00:00+0530,50.63,50.74,50.59,50.73,106318,0
2023-02-24T00:00:00+0530,50.68,50.74,50.62,50.67,129319,0
2023-02-27T00:00:00+0530,52.2,52.2,50.54,50.69,428918,0
2023-02-28T00:00:00+0530,50.65,50.74,50.62,50.65,254630,0
2023-03-01T00:00:00+0530,50.64,50.73,50.64,50.7,738985,0
2023-03-02T00:00:00+0530,50.64,50.75,50.6,50.71,428148,0
2023-03-03T00:00:00+0530,50.64,50.8,50.6,50.66,307184,0
2023-03-06T00:00:00+0530,50.87,53.75,50.66,50.8,785846,0
2023-03-08T00:00:00+0530,51.95,51.95,50.64,50.71,322440,0
2023-03-09T00:00:00+0530,50.73,50.75,50.67,50.72,176380,0
2023-03-10T00:00:00+0530,50.72,50.9,50.69,50.85,419677,0
2023-03-13T00:00:00+0530,52.4,52.4,50.94,51.03,321537,0
2023-03-14T00:00:00+0530,53.58,53.58,50.91,50.98,182982,0
2023-03-15T00:00:00+0530,50.99,51.1,50.92,51.04,195985,0
2023-03-16T00:00:00+0530,49.55,51.2,49.55,51.04,191617,0
2023-03-17T00:00:00+0530,51.02,51.17,51.01,51.07,60682,0
2023-03-20T00:00:00+0530,51.01,51.28,51.01,51.16,292500,0
2023-03-21T00:00:00+0530,51.19,51.24,51.14,51.15,81322,0
2023-03-22T00:00:00+0530,51.24,51.24,51.05,51.18,58577,0
2023-03-23T00:00:00+0530,51.25,51.32,51.17,51.24,121110,0
2023-03-24T00:00:00+0530,49.65,51.31,49.65,51.25,55293,0
2023-03-27T00:00:00+0530,51.3,51.37,51.25,51.32,370660,0
2023-03-28T00:00:00+0530,52.85,52.85,51.27,51.37,595779,0
2023-03-29T00:00:00+0530,51.34,51.5,51.33,51.47,837255,0
2023-03-31T00:00:00+0530,53,53,51.36,51.44,1280897,0
2023-04-03T00:00:00+0530,51.36,51.42,51.24,51.39,636906,0
2023-04-05T00:00:00+0530,51.36,51.43,51.3,51.39,548720,0
2023-04-06T00:00:00+0530,51.48,51.67,51.35,51.55,212734,0
2023-04-10T00:00:00+0530,53.15,53.15,51.64,51.69,681872,0
2023-04-11T00:00:00+0530,50.1,51.72,50.1,51.69,270119,0
2023-04-12T00:00:00+0530,51.67,51.73,51.61,51.69,137215,0
