date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,3.2,3.2,2.9,2.9,56047,0
2023-01-03T00:00:00+0530,2.95,3,2.8,2.9,22143,0
2023-01-04T00:00:00+0530,3,3,2.9,3,11197,0
2023-01-05T00:00:00+0530,3,3.1,2.9,2.9,6485,0
2023-01-06T00:00:00+0530,2.9,3,2.8,2.9,80950,0
2023-01-09T00:00:00+0530,2.8,2.8,2.8,2.8,7142,0
2023-01-10T00:00:00+0530,2.9,2.9,2.8,2.8,6017,0
2023-01-11T00:00:00+0530,2.8,2.8,2.8,2.8,20900,0
2023-01-12T00:00:00+0530,2.8,2.8,2.8,2.8,121,0
2023-01-13T00:00:00+0530,2.8,2.8,2.75,2.75,7350,0
2023-01-16T00:00:00+0530,2.75,2.85,2.75,2.75,393,0
2023-01-17T00:00:00+0530,2.8,2.8,2.65,2.65,3710,0
2023-01-18T00:00:00+0530,2.75,2.75,2.75,2.75,300,0
2023-01-19T00:00:00+0530,2.65,2.85,2.65,2.85,21768,0
2023-01-20T00:00:00+0530,2.85,2.85,2.8,2.8,1735,0
2023-01-23T00:00:00+0530,2.8,2.9,2.8,2.9,874,0
2023-01-24T00:00:00+0530,2.9,2.9,2.85,2.85,1189,0
2023-01-25T00:00:00+0530,2.9,2.9,2.85,2.85,11260,0
2023-01-27T00:00:00+0530,2.8,2.8,2.7,2.7,160,0
2023-01-30T00:00:00+0530,2.6,2.7,2.6,2.65,15895,0
2023-01-31T00:00:00+0530,2.65,2.65,2.65,2.65,871,0
2023-02-01T00:00:00+0530,2.65,2.65,2.65,2.65,2069,0
2023-02-02T00:00:00+0530,2.65,2.75,2.65,2.75,120,0
2023-02-03T00:00:00+0530,2.75,2.75,2.65,2.65,8170,0
2023-02-06T00:00:00+0530,2.65,2.65,2.65,2.65,250,0
2023-02-07T00:00:00+0530,2.65,2.65,2.55,2.65,575,0
2023-02-08T00:00:00+0530,2.6,2.6,2.6,2.6,585,0
2023-02-09T00:00:00+0530,2.6,2.6,2.6,2.6,3002,0
2023-02-10T00:00:00+0530,2.6,2.6,2.6,2.6,513,0
2023-02-13T00:00:00+0530,2.6,2.6,2.6,2.6,5,0
