date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,70.6,70.6,67.65,69.4,3261,0
2023-01-03T00:00:00+0530,72.5,72.5,68.55,70.2,4845,0
2023-01-04T00:00:00+0530,69.2,71.7,68,69,4058,0
2023-01-05T00:00:00+0530,69,69,68,68.4,1215,0
2023-01-06T00:00:00+0530,66.25,68.65,66.25,67.7,1988,0
2023-01-09T00:00:00+0530,69.05,69.05,66.45,67,1228,0
2023-01-10T00:00:00+0530,70.05,70.05,66.25,68.3,637,0
2023-01-11T00:00:00+0530,69.7,69.7,67.05,67.15,1566,0
2023-01-12T00:00:00+0530,67,68.3,66.15,67.75,721,0
2023-01-13T00:00:00+0530,67.15,67.6,64.45,67,3241,0
2023-01-16T00:00:00+0530,67,67.7,65,67.05,650,0
2023-01-17T00:00:00+0530,68.2,68.2,65,66.5,2225,0
2023-01-18T00:00:00+0530,66,67,66,66.3,726,0
2023-01-19T00:00:00+0530,66.3,67.9,65.05,66.5,691,0
2023-01-20T00:00:00+0530,67.85,67.85,64.05,65.8,2524,0
2023-01-23T00:00:00+0530,66.85,66.85,62.6,63.75,2739,0
2023-01-24T00:00:00+0530,65.05,65.8,63,64.5,400,0
2023-01-25T00:00:00+0530,61.7,65,61.7,64.8,398,0
2023-01-27T00:00:00+0530,64.7,64.7,61.6,61.6,3467,0
2023-01-30T00:00:00+0530,63.9,63.9,60.3,60.65,1789,0
2023-01-31T00:00:00+0530,60.3,61,58.2,59,988,0
2023-02-01T00:00:00+0530,59,61.95,59,60.4,4996,0
2023-02-02T00:00:00+0530,61.6,62.35,60,60.95,4277,0
2023-02-03T00:00:00+0530,63.7,63.7,59.5,61,951,0
2023-02-06T00:00:00+0530,61.85,63,61.05,61.9,1745,0
2023-02-07T00:00:00+0530,62.5,62.5,59.55,60.2,787,0
2023-02-08T00:00:00+0530,61,62.5,59.25,61.8,1926,0
2023-02-09T00:00:00+0530,61.05,62.35,60,62.35,795,0
2023-02-10T00:00:00+0530,63.6,63.6,60.55,60.6,1152,0
2023-02-13T00:00:00+0530,58.05,62.9,58.05,60.5,802,0
2023-02-14T00:00:00+0530,59,59.45,57.5,58.3,4989,0
2023-02-15T00:00:00+0530,56.05,61.15,56.05,60.7,6237,0
2023-02-16T00:00:00+0530,60.7,61.65,59.5,60.7,1959,0
2023-02-17T00:00:00+0530,59.5,61.65,59.5,61.2,881,0
2023-02-20T00:00:00+0530,61,61.2,58.15,59.15,2816,0
2023-02-21T00:00:00+0530,60.35,60.35,56.2,58.85,3047,0
2023-02-22T00:00:00+0530,59,60.5,55.9,56.85,2670,0
2023-02-23T00:00:00+0530,58,58,55.9,56.1,714,0
