date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,147,150.65,145.55,146,279089,0
2023-01-03T00:00:00+0530,147.4,147.65,146,146.35,54635,0
2023-01-04T00:00:00+0530,146.75,147.75,143.1,144.4,63005,0
2023-01-05T00:00:00+0530,144.9,146,142.5,143.45,93746,0
2023-01-06T00:00:00+0530,143.45,144.8,138.6,139.65,663435,0
2023-01-09T00:00:00+0530,142.5,143.9,140.5,142.1,656087,0
2023-01-10T00:00:00+0530,142.1,143.85,138.5,142.65,626878,0
2023-01-11T00:00:00+0530,143.35,147.55,142.65,145.1,666028,0
2023-01-12T00:00:00+0530,145.1,146.05,142,142.65,71964,0
2023-01-13T00:00:00+0530,142.65,143.85,142.15,143.1,48036,0
2023-01-16T00:00:00+0530,143.05,147.4,142.35,146.4,119064,0
2023-01-17T00:00:00+0530,147.8,147.8,144.5,145.15,36394,0
2023-01-18T00:00:00+0530,145.2,150,144.15,147.65,86224,0
2023-01-19T00:00:00+0530,147,147,143.65,143.95,47736,0
2023-01-20T00:00:00+0530,145.4,145.95,141.75,142.85,58734,0
2023-01-23T00:00:00+0530,144.3,144.3,142,143.45,44170,0
2023-01-24T00:00:00+0530,145,145,142.05,142.9,31381,0
2023-01-25T00:00:00+0530,142.8,143.1,140,141,61854,0
2023-01-27T00:00:00+0530,141.7,142.25,136,138.45,110738,0
2023-01-30T00:00:00+0530,139.65,139.95,136,137,89100,0
2023-01-31T00:00:00+0530,138.35,141.5,135.6,140.75,54122,0
2023-02-01T00:00:00+0530,143,143.95,136.45,140.85,78406,0
2023-02-02T00:00:00+0530,140.85,142.95,138.1,138.85,44164,0
2023-02-03T00:00:00+0530,138.85,139.95,136.5,138.65,49216,0
2023-02-06T00:00:00+0530,139.2,140.8,134.5,136.2,107463,0
2023-02-07T00:00:00+0530,138.25,138.25,135,136.1,64756,0
2023-02-08T00:00:00+0530,135.55,137.5,135.55,136.9,37722,0
2023-02-09T00:00:00+0530,138.5,140.7,137.05,138.35,60998,0
2023-02-10T00:00:00+0530,140.4,140.75,137.75,140.1,74066,0
2023-02-13T00:00:00+0530,140.1,142.8,138,139.75,52280,0
2023-02-14T00:00:00+0530,140.2,143,137.65,139.2,100489,0
2023-02-15T00:00:00+0530,141.3,144,139.35,142.45,146057,0
2023-02-16T00:00:00+0530,144,147.35,143.3,145.9,156779,0
2023-02-17T00:00:00+0530,145.55,145.75,143.1,144.05,41339,0
2023-02-20T00:00:00+0530,146.5,146.5,141.45,145.15,67884,0
2023-02-21T00:00:00+0530,146,146,142.4,143,65585,0
2023-02-22T00:00:00+0530,143.95,143.95,140,141,57223,0
2023-02-23T00:00:00+0530,141,142.7,139,141.05,46893,0
2023-02-24T00:00:00+0530,142.3,142.9,138.25,138.8,39237,0
2023-02-27T00:00:00+0530,139,139,135.05,136.05,70911,0
2023-02-28T00:00:00+0530,137.5,138.9,134.9,135.6,57417,0
2023-03-01T00:00:00+0530,136.5,138.8,135.5,138,37008,0
2023-03-02T00:00:00+0530,138.4,139.75,135.55,136.5,598813,0
2023-03-03T00:00:00+0530,136.95,139.55,135.9,136.9,112476,0
2023-03-06T00:00:00+0530,138.2,141.65,137,138.7,123318,0
2023-03-08T00:00:00+0530,138.7,148.8,138.7,145.6,565131,0
2023-03-09T00:00:00+0530,150,151.75,146.25,146.95,264282,0
2023-03-10T00:00:00+0530,147.65,147.7,142.5,143.65,95813,0
2023-03-13T00:00:00+0530,141.5,143,138,139.15,105116,0
2023-03-14T00:00:00+0530,139.15,140.15,137.55,139.35,63246,0
2023-03-15T00:00:00+0530,141.4,141.9,139.6,140.95,102035,0
2023-03-16T00:00:00+0530,139,140.8,137.8,139.25,74146,0
2023-03-17T00:00:00+0530,141.35,141.9,137.2,138.5,94172,0
2023-03-20T00:00:00+0530,141.95,141.95,136.35,139.05,116717,0
2023-03-21T00:00:00+0530,140.55,145.85,139.3,143.2,171373,0
2023-03-22T00:00:00+0530,144.65,145.95,142.1,142.9,85427,0
2023-03-23T00:00:00+0530,143.05,143.2,139.35,140.2,59926,0
2023-03-24T00:00:00+0530,140.2,141.35,137.2,139.15,87815,0
2023-03-27T00:00:00+0530,141,141,137,138.25,105001,0
2023-03-28T00:00:00+0530,140,140.45,136.25,136.8,95675,0
2023-03-29T00:00:00+0530,139,139,136.3,137.45,138704,0
2023-03-31T00:00:00+0530,139.5,143.7,138.05,138.95,166473,0
2023-04-03T00:00:00+0530,141.6,146.7,140.05,143,99197,0
2023-04-05T00:00:00+0530,146,146.5,141.25,141.65,381977,0
2023-04-06T00:00:00+0530,141.65,144.75,140.65,142.95,121953,0
2023-04-10T00:00:00+0530,143,144.4,136.85,140.2,216720,0
2023-04-11T00:00:00+0530,143.5,144,139.55,140.1,177917,0
2023-04-12T00:00:00+0530,141.5,153.6,140.9,150.45,1177840,0
2023-04-13T00:00:00+0530,150.9,152.85,146.6,147.3,190247,0
2023-04-17T00:00:00+0530,148,148.7,146,146.55,108918,0
2023-04-18T00:00:00+0530,147.2,148.5,144.8,145.4,97846,0
2023-04-19T00:00:00+0530,146.25,147.7,144.2,145,185604,0
2023-04-20T00:00:00+0530,146.9,149.1,143.75,144.7,198085,0
2023-04-21T00:00:00+0530,145.95,146.7,143.15,143.35,92549,0
2023-04-24T00:00:00+0530,145.85,145.85,140.9,141.8,161182,0
2023-04-25T00:00:00+0530,141.9,144.15,141.05,141.3,111046,0
2023-04-26T00:00:00+0530,141.4,142.5,140.1,140.5,412214,0
2023-04-27T00:00:00+0530,143.25,143.25,140.1,140.3,198112,0
2023-04-28T00:00:00+0530,141.7,147.35,140.85,144.45,417324,0
2023-05-02T00:00:00+0530,145.05,148.55,145.05,147.1,185016,0
2023-05-03T00:00:00+0530,147,149.45,142.7,143.1,462676,0
2023-05-04T00:00:00+0530,144,145.25,142.25,142.7,387973,0
2023-05-05T00:00:00+0530,143.6,159.25,143.4,156.15,1868319,0
2023-05-08T00:00:00+0530,157.05,161.7,157,157.2,841837,0
2023-05-09T00:00:00+0530,157.2,161.65,155.55,157.05,372038,0
2023-05-10T00:00:00+0530,156.55,157.9,153.6,157.1,262915,0
2023-05-11T00:00:00+0530,157.1,159.7,155.5,156.05,180442,0
2023-05-12T00:00:00+0530,157,157.7,153,153.7,131301,0
2023-05-15T00:00:00+0530,154.5,157.2,152.1,154.55,158253,0
2023-05-16T00:00:00+0530,154.6,161,153.8,159.65,380092,0
2023-05-17T00:00:00+0530,160.05,164.6,160.05,161.7,669389,0
2023-05-18T00:00:00+0530,162.75,163,158.05,159.1,152857,0
2023-05-19T00:00:00+0530,160,164,156.85,162.1,135587,0
2023-05-22T00:00:00+0530,162.8,163.1,159.05,159.6,99670,0
2023-05-23T00:00:00+0530,160,165,159.2,163.4,226938,0
2023-05-24T00:00:00+0530,163.75,164.6,161.45,163.45,101044,0
2023-05-25T00:00:00+0530,163.3,163.3,161.5,162.15,68049,0
2023-05-26T00:00:00+0530,162.95,166,161.4,164.1,175341,0
2023-05-29T00:00:00+0530,165,166.9,164,165.2,168677,0
2023-05-30T00:00:00+0530,166.8,166.9,161.9,163.3,155335,0
2023-05-31T00:00:00+0530,159.35,160,154.4,156.25,408502,0
2023-06-01T00:00:00+0530,156.95,163.15,156.7,162.3,333827,0
2023-06-02T00:00:00+0530,164,169.15,163.1,165.5,331960,0
2023-06-05T00:00:00+0530,167.55,168.3,163.45,164.05,197556,0
2023-06-06T00:00:00+0530,164.25,164.8,162.15,162.9,96170,0
