date,open,high,low,close,volume,empty
2023-01-03T00:00:00+0530,17.3,17.3,17.3,17.3,6000,0
2023-01-04T00:00:00+0530,18.15,18.15,18.15,18.15,6000,0
2023-01-19T00:00:00+0530,19.05,19.05,19.05,19.05,6000,0
2023-01-20T00:00:00+0530,20,20,20,20,6000,0
2023-01-27T00:00:00+0530,21,21,21,21,12000,0
2023-01-30T00:00:00+0530,22.05,22.05,22.05,22.05,6000,0
2023-01-31T00:00:00+0530,23.15,23.15,23.15,23.15,6000,0
2023-02-07T00:00:00+0530,23,24.3,23,24.3,12000,0
2023-02-24T00:00:00+0530,25.5,25.5,25.5,25.5,12000,0
2023-03-20T00:00:00+0530,26.75,26.75,26.75,26.75,6000,0
2023-04-05T00:00:00+0530,27.5,28.05,27.5,28.05,12000,0
2023-04-10T00:00:00+0530,29,29.45,27.75,29.45,144000,0
2023-04-11T00:00:00+0530,32.35,32.35,26.6,32.35,186000,0
2023-04-13T00:00:00+0530,35.55,35.55,35.55,35.55,6000,0
2023-04-17T00:00:00+0530,39.1,39.1,39.1,39.1,6000,0
2023-04-18T00:00:00+0530,41.05,41.05,41.05,41.05,6000,0
2023-04-19T00:00:00+0530,43.1,43.1,43.1,43.1,6000,0
2023-04-20T00:00:00+0530,45.25,45.25,45.25,45.25,6000,0
2023-04-21T00:00:00+0530,47.5,47.5,47.5,47.5,6000,0
2023-04-26T00:00:00+0530,49.85,49.85,49.85,49.85,6000,0
2023-04-27T00:00:00+0530,52.3,52.3,47.35,52,216000,0
2023-05-02T00:00:00+0530,54.55,54.55,54.55,54.55,6000,0
2023-06-30T00:00:00+0530,51.85,51.85,51.85,51.85,6000,0
2023-07-26T00:00:00+0530,54,54,54,54,6000,0
2023-08-09T00:00:00+0530,48.6,48.6,48.6,48.6,6000,0
2023-08-10T00:00:00+0530,43.75,43.75,43.75,43.75,6000,0
2023-08-11T00:00:00+0530,39.4,39.4,39.4,39.4,6000,0
2023-09-11T00:00:00+0530,41.35,41.35,41.35,41.35,6000,0
2023-09-15T00:00:00+0530,39.3,39.3,39.3,39.3,6000,0
2023-09-21T00:00:00+0530,37.35,37.35,37.35,37.35,6000,0
2023-09-26T00:00:00+0530,39,39,39,39,6000,0
2023-10-17T00:00:00+0530,40.35,40.35,40.35,40.35,6000,0
2023-11-29T00:00:00+0530,42.35,42.35,42.35,42.35,3000,0
2023-12-08T00:00:00+0530,44.45,44.45,44.45,44.45,3000,0
2024-01-08T00:00:00+0530,46.65,46.65,46.65,46.65,3000,0
2024-01-09T00:00:00+0530,48.95,48.95,48.95,48.95,3000,0
2024-01-30T00:00:00+0530,51,51,51,51,6000,0
2024-02-29T00:00:00+0530,53.55,53.55,53.55,53.55,3000,0
2024-03-04T00:00:00+0530,56,56,56,56,6000,0
2024-03-05T00:00:00+0530,58.8,58.8,58.8,58.8,9000,0
2024-03-06T00:00:00+0530,61.7,61.7,61.7,61.7,3000,0
2024-03-12T00:00:00+0530,64.75,64.75,64.75,64.75,3000,0
2024-04-29T00:00:00+0530,67.95,67.95,67.95,67.95,3000,0
2024-04-30T00:00:00+0530,71.3,71.3,71.3,71.3,3000,0
2024-05-02T00:00:00+0530,74.85,74.85,74.85,74.85,6000,0
2024-05-03T00:00:00+0530,78.55,78.55,78.55,78.55,3000,0
2024-05-06T00:00:00+0530,82.45,82.45,82.45,82.45,12000,0
2024-05-07T00:00:00+0530,86.55,86.55,86.55,86.55,3000,0
2024-05-08T00:00:00+0530,90.85,90.85,90.85,90.85,3000,0
2024-05-09T00:00:00+0530,95.35,95.35,95.35,95.35,3000,0
2024-05-10T00:00:00+0530,100.1,100.1,100.1,100.1,3000,0
2024-05-13T00:00:00+0530,105.1,105.1,105.1,105.1,3000,0
2024-05-15T00:00:00+0530,110.35,110.35,110.35,110.35,6000,0
2024-05-16T00:00:00+0530,115.85,115.85,115.85,115.85,6000,0
2024-05-18T00:00:00+0530,121.6,121.6,121.6,121.6,3000,0
2024-05-22T00:00:00+0530,127.65,127.65,127.65,127.65,3000,0
2024-05-27T00:00:00+0530,127.65,127.65,127.65,127.65,3000,0
2024-05-28T00:00:00+0530,130.85,130.85,124.8,124.8,6000,0
2024-05-29T00:00:00+0530,121.3,121.3,121.3,121.3,3000,0
2024-06-03T00:00:00+0530,121.5,127.35,121.5,127.35,9000,0
2024-07-09T00:00:00+0530,127.4,133.7,127.4,133.7,75000,0
2024-07-10T00:00:00+0530,140.35,140.35,127.05,133.7,39000,0
2024-07-11T00:00:00+0530,127.05,137.5,127.05,137.5,6000,0
2024-07-12T00:00:00+0530,134.5,134.5,132,132,6000,0
2024-07-15T00:00:00+0530,128,132,126,132,282000,0
2024-07-16T00:00:00+0530,132.5,132.5,132.5,132.5,12000,0
2024-07-18T00:00:00+0530,133,135,133,135,12000,0
2024-07-19T00:00:00+0530,136,138,136,137.5,27000,0
2024-07-22T00:00:00+0530,144.35,144.35,130.65,131,48000,0
2024-07-24T00:00:00+0530,133.2,133.2,133.2,133.2,9000,0
2024-07-26T00:00:00+0530,139.85,139.85,126.55,126.85,33000,0
2024-07-29T00:00:00+0530,127.75,127.75,127.75,127.75,3000,0
2024-07-30T00:00:00+0530,127.8,127.8,127.8,127.8,3000,0
2024-07-31T00:00:00+0530,134,134.15,134,134.15,39000,0
2024-08-01T00:00:00+0530,140.85,140.85,135,136,45000,0
2024-08-02T00:00:00+0530,136,136.5,136,136.5,42000,0
2024-08-05T00:00:00+0530,130,130,130,130,39000,0
2024-08-06T00:00:00+0530,132,132,132,132,3000,0
2024-08-07T00:00:00+0530,138.6,138.6,138.6,138.6,60000,0
2024-08-09T00:00:00+0530,145.5,145.5,145.5,145.5,6000,0
2024-08-13T00:00:00+0530,152.75,152.75,152.75,152.75,15000,0
2024-08-14T00:00:00+0530,160.35,160.35,148,160.35,63000,0
2024-08-19T00:00:00+0530,160.35,160.35,160.35,160.35,3000,0
2024-08-20T00:00:00+0530,160.35,160.35,160.35,160.35,3000,0
2024-08-21T00:00:00+0530,153,156,153,156,135000,0
2024-08-22T00:00:00+0530,158,158,148.2,148.2,78000,0
2024-08-26T00:00:00+0530,141.2,141.2,140.8,141,48000,0
2024-08-28T00:00:00+0530,142,142,142,142,3000,0
2024-08-29T00:00:00+0530,142,143,137,142,87000,0
2024-09-02T00:00:00+0530,146.2,146.2,146.2,146.2,3000,0
2024-09-12T00:00:00+0530,153,153,153,153,6000,0
2024-09-13T00:00:00+0530,160,160,160,160,3000,0
2024-09-18T00:00:00+0530,168,168,168,168,3000,0
2024-09-19T00:00:00+0530,176,176,176,176,3000,0
2024-09-23T00:00:00+0530,184.8,184.8,184.8,184.8,3000,0
2024-09-25T00:00:00+0530,194,194,194,194,3000,0
2024-09-26T00:00:00+0530,203.7,203.7,203.7,203.7,3000,0
2024-09-27T00:00:00+0530,213.85,213.85,213.85,213.85,6000,0
2024-10-01T00:00:00+0530,224.5,224.5,224.5,224.5,3000,0
2024-10-04T00:00:00+0530,235.7,235.7,235.7,235.7,3000,0
2024-10-09T00:00:00+0530,233.5,233.5,233.5,233.5,3000,0
2024-10-21T00:00:00+0530,244.9,244.9,233.5,233.5,6000,0
2024-10-29T00:00:00+0530,221.85,233.5,221.85,221.9,21000,0
2024-10-30T00:00:00+0530,210.8,232.95,210.8,227.35,30000,0
2024-10-31T00:00:00+0530,238.7,238.7,238.7,238.7,750,0
2024-11-01T00:00:00+0530,250.6,250.6,250.6,250.6,3000,0
2024-11-04T00:00:00+0530,263.1,263.1,263.1,263.1,750,0
2024-11-05T00:00:00+0530,276.25,276.25,276.25,276.25,3750,0
2024-11-06T00:00:00+0530,290.05,290.05,263,264,55500,0
2024-11-08T00:00:00+0530,258.75,258.75,258.75,258.75,2250,0
2024-11-12T00:00:00+0530,258.75,258.75,258.75,258.75,750,0
2024-11-19T00:00:00+0530,253.6,253.6,253.6,253.6,750,0
2024-12-24T00:00:00+0530,240.95,240.95,240.95,240.95,750,0
2024-12-30T00:00:00+0530,228.9,228.9,228.9,228.9,543000,0
2025-01-16T00:00:00+0530,228.9,228.9,224.5,224.5,18750,0
2025-01-17T00:00:00+0530,213.3,213.3,213.3,213.3,750,0
2025-01-30T00:00:00+0530,202.65,202.65,202.65,202.65,750,0
2025-01-31T00:00:00+0530,192.55,212.75,192.55,212.35,74250,0
2025-02-01T00:00:00+0530,213.3,222.95,213.3,219,6750,0
2025-02-03T00:00:00+0530,220,226,220,223,3000,0
2025-02-04T00:00:00+0530,225,230,225,229,17250,0
2025-02-05T00:00:00+0530,230,231,230,231,1500,0
2025-02-06T00:00:00+0530,232,234,219.45,226.65,40500,0
2025-02-07T00:00:00+0530,216,216,216,216,750,0
2025-02-10T00:00:00+0530,220,220.55,220,220.55,1500,0
2025-02-12T00:00:00+0530,209.6,209.6,209.55,209.55,3000,0
2025-02-14T00:00:00+0530,199.5,199.5,199.5,199.5,750,0
2025-02-17T00:00:00+0530,207,209,207,208.8,8250,0
2025-02-18T00:00:00+0530,210,219.2,210,219.2,21750,0
2025-02-19T00:00:00+0530,210,230,210,230,2250,0
2025-02-21T00:00:00+0530,218.5,218.5,218.5,218.5,750,0
2025-02-24T00:00:00+0530,207.6,207.6,207.6,207.6,750,0
2025-03-11T00:00:00+0530,207.6,217.95,198,214.35,12000,0
2025-03-12T00:00:00+0530,224,224.3,224,224,5250,0
2025-03-19T00:00:00+0530,212.8,235.2,212.8,235.2,2250,0
2025-03-20T00:00:00+0530,245.5,246.95,235.2,235.25,15000,0
2025-03-21T00:00:00+0530,240,242,240,240,3750,0
2025-03-25T00:00:00+0530,228,228,228,228,3000,0
2025-03-28T00:00:00+0530,228,228,228,228,750,0
2025-04-09T00:00:00+0530,229,238,229,238,3750,0
2025-04-11T00:00:00+0530,238,248,238,248,2250,0
2025-04-15T00:00:00+0530,248,248,248,248,750,0
2025-04-16T00:00:00+0530,240,240,236,236,1500,0
2025-04-21T00:00:00+0530,247.8,247.8,247.8,247.8,7500,0
2025-04-23T00:00:00+0530,236,236,236,236,750,0
2025-05-06T00:00:00+0530,225,225,225,225,750,0
2025-05-15T00:00:00+0530,222,222,222,222,2250,0
2025-05-22T00:00:00+0530,223,233.1,223,228.05,1500,0
2025-05-23T00:00:00+0530,239.45,239.45,239.45,239.45,750,0
2025-05-26T00:00:00+0530,250,251,250,251,1500,0
2025-05-27T00:00:00+0530,251,251,251,251,750,0
2025-05-28T00:00:00+0530,260.5,260.5,240,250.9,5250,0
