date,open,high,low,close,volume,empty
2024-05-31T00:00:00+0530,31.4,33,29.95,33,1959985,0
2024-06-03T00:00:00+0530,34.6,34.6,34.6,34.6,118170,0
2024-06-04T00:00:00+0530,36.3,36.3,33.1,36.3,1030927,0
2024-06-05T00:00:00+0530,34.5,34.5,34.5,34.5,97795,0
2024-06-06T00:00:00+0530,33,35.95,32.8,35.1,529726,0
2024-06-07T00:00:00+0530,33.4,36.75,33.4,35.35,191516,0
2024-06-10T00:00:00+0530,34.75,36.3,33.6,33.6,203741,0
2024-06-11T00:00:00+0530,33.7,34.7,31.95,34.5,162992,0
2024-06-12T00:00:00+0530,35.85,35.85,33.75,34.5,81496,0
2024-06-13T00:00:00+0530,33.9,35.6,33.9,35.4,162992,0
2024-06-14T00:00:00+0530,36.3,41.35,35.45,40.5,766065,0
2024-06-18T00:00:00+0530,41.05,48.6,41.05,48.6,639745,0
2024-06-19T00:00:00+0530,53.95,58.3,53,58.3,757915,0
2024-06-20T00:00:00+0530,60.25,64.1,57.45,59.15,957581,0
2024-06-21T00:00:00+0530,60.8,61.55,53.25,53.25,476753,0
2024-06-24T00:00:00+0530,47.95,51.55,47.95,47.95,330060,0
2024-06-25T00:00:00+0530,44.25,52.7,44.25,52.7,880159,0
2024-06-26T00:00:00+0530,54.3,57.5,53.7,54.7,635671,0
2024-06-27T00:00:00+0530,52,54.95,52,52.05,73347,0
2024-06-28T00:00:00+0530,50.05,50.05,49.45,49.45,89646,0
2024-07-01T00:00:00+0530,48.1,51.9,46.95,51.9,191516,0
2024-07-02T00:00:00+0530,51.3,54.4,49.3,49.3,134469,0
2024-07-03T00:00:00+0530,50.05,51.55,48.1,50.7,126319,0
2024-07-04T00:00:00+0530,50.7,52.9,50.55,52.9,44823,0
2024-07-05T00:00:00+0530,51.1,52.75,50.25,50.4,85571,0
2024-07-08T00:00:00+0530,50.35,50.35,47.9,49.1,73347,0
2024-07-09T00:00:00+0530,49.1,49.1,47.85,48.3,24449,0
2024-07-10T00:00:00+0530,48.1,48.1,45.9,45.9,97795,0
2024-07-11T00:00:00+0530,44.75,47.1,44.75,47.05,36673,0
2024-07-12T00:00:00+0530,47.05,47.05,45.45,45.45,12224,0
2024-07-15T00:00:00+0530,45.65,46.15,45.65,45.7,16299,0
2024-07-16T00:00:00+0530,46.15,46.15,44.4,44.5,28524,0
2024-07-18T00:00:00+0530,44.5,44.5,42.4,43.2,57047,0
2024-07-19T00:00:00+0530,43.2,43.2,42.7,42.7,20374,0
2024-07-22T00:00:00+0530,42,43.5,42,43.5,32598,0
2024-07-23T00:00:00+0530,42.7,43.35,42.2,43.35,16299,0
2024-07-24T00:00:00+0530,42.2,42.2,41.9,41.9,8150,0
2024-07-25T00:00:00+0530,41.25,44,40.9,43.25,44823,0
2024-07-26T00:00:00+0530,44,45.4,44,45.4,12224,0
2024-07-29T00:00:00+0530,45.45,47.4,43.9,43.9,44823,0
2024-07-30T00:00:00+0530,45.15,46.05,45.15,46.05,48898,0
2024-07-31T00:00:00+0530,48.1,48.1,47.6,47.6,8150,0
2024-08-01T00:00:00+0530,49.1,49.25,47.6,47.7,57047,0
2024-08-02T00:00:00+0530,48.1,48.3,47.1,48.2,32598,0
2024-08-05T00:00:00+0530,48.1,48.1,45.8,46.2,93721,0
2024-08-06T00:00:00+0530,46.2,47.3,46.2,47.3,16299,0
2024-08-07T00:00:00+0530,47.3,49.65,47.3,49.5,93721,0
2024-08-08T00:00:00+0530,48.1,48.2,48.05,48.2,12224,0
2024-08-09T00:00:00+0530,47.1,50.6,46.45,50.6,101870,0
2024-08-12T00:00:00+0530,51.65,53.1,51.05,53.1,73347,0
2024-08-13T00:00:00+0530,55.75,55.75,54.6,55.75,105945,0
2024-08-14T00:00:00+0530,58.5,58.5,55.85,58.5,395257,0
2024-08-16T00:00:00+0530,61.4,61.4,61.4,61.4,57047,0
2024-08-19T00:00:00+0530,64.45,64.45,64.45,64.45,52973,0
2024-08-20T00:00:00+0530,67.65,67.65,67.65,67.65,85571,0
2024-08-21T00:00:00+0530,70.95,70.95,70.95,70.95,81496,0
2024-08-22T00:00:00+0530,72.35,74.45,67.45,71.35,586773,0
2024-08-23T00:00:00+0530,67.85,71,67.85,68,264863,0
2024-08-26T00:00:00+0530,68.75,71.35,68.75,71.25,228189,0
2024-08-27T00:00:00+0530,74.4,74.8,71.35,74.75,211890,0
2024-08-28T00:00:00+0530,77.45,77.55,75.6,75.7,65197,0
2024-08-29T00:00:00+0530,76.6,77.05,71.9,71.9,110020,0
2024-08-30T00:00:00+0530,75.3,75.3,70.85,73.15,48898,0
2024-09-02T00:00:00+0530,74.2,74.9,73.15,73.4,61122,0
2024-09-03T00:00:00+0530,72.65,75.1,72.65,75.1,57047,0
2024-09-04T00:00:00+0530,75.1,75.1,72.9,75.05,28524,0
