date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,19.6,19.6,19.25,19.59,6410,0
2023-01-03T00:00:00+0530,19.6,19.7,19.18,19.5,4940,0
2023-01-04T00:00:00+0530,19.4,19.44,19.23,19.23,4000,0
2023-01-05T00:00:00+0530,19.46,19.7,19.2,19.22,3200,0
2023-01-06T00:00:00+0530,19.3,19.66,19.11,19.26,100680,0
2023-01-09T00:00:00+0530,19.3,19.56,19.28,19.31,412910,0
2023-01-10T00:00:00+0530,19.4,19.46,19.03,19.05,12010,0
2023-01-11T00:00:00+0530,19.1,19.2,18.95,19.01,1680,0
2023-01-12T00:00:00+0530,19.1,19.29,19.01,19.01,770,0
2023-01-13T00:00:00+0530,18.98,19.39,18.94,19.36,1400,0
2023-01-16T00:00:00+0530,19.7,19.7,19.2,19.22,2330,0
2023-01-17T00:00:00+0530,19.2,19.36,19.02,19.3,48100,0
2023-01-18T00:00:00+0530,19.23,19.31,19,19.02,4010,0
2023-01-19T00:00:00+0530,19.08,19.28,19.02,19.11,520,0
2023-01-20T00:00:00+0530,19.12,19.36,19.1,19.1,870,0
2023-01-23T00:00:00+0530,19.1,19.33,19.01,19.3,12010,0
2023-01-24T00:00:00+0530,19.3,19.3,18.93,18.94,10390,0
2023-01-25T00:00:00+0530,18.94,19.1,18.76,18.8,4860,0
2023-01-27T00:00:00+0530,19.18,19.18,17.93,18.26,7720,0
2023-01-30T00:00:00+0530,18.63,18.63,18,18.49,9070,0
2023-01-31T00:00:00+0530,18.5,18.5,18.4,18.5,3380,0
2023-02-01T00:00:00+0530,18.5,18.86,18.1,18.1,4810,0
2023-02-02T00:00:00+0530,18.2,18.2,17.8,17.98,3230,0
2023-02-03T00:00:00+0530,17.98,18.2,17.8,18.18,23510,0
2023-02-06T00:00:00+0530,18.5,18.5,17.8,17.94,4900,0
2023-02-07T00:00:00+0530,18.2,18.3,18.05,18.29,19120,0
2023-02-08T00:00:00+0530,18.2,18.4,18.2,18.39,13470,0
2023-02-09T00:00:00+0530,18.23,18.4,18.23,18.4,120,0
2023-02-10T00:00:00+0530,18.4,18.5,18.3,18.3,12320,0
2023-02-13T00:00:00+0530,18.23,18.46,18.13,18.32,1470,0
2023-02-14T00:00:00+0530,18.32,18.4,18.11,18.22,266980,0
2023-02-15T00:00:00+0530,18.2,18.5,18.2,18.39,63720,0
2023-02-16T00:00:00+0530,18.4,18.6,18.4,18.41,4370,0
