date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,198.35,198.35,196.01,196.65,18429,0
2023-01-03T00:00:00+0530,198.65,198.65,196.31,197.2,12662,0
2023-01-04T00:00:00+0530,195.01,197.59,195.01,195.64,28004,0
2023-01-05T00:00:00+0530,196.59,196.59,194.25,195.33,16058,0
2023-01-06T00:00:00+0530,195.69,195.71,193.18,194.08,37084,0
2023-01-09T00:00:00+0530,197.99,197.99,194.5,195.9,18965,0
2023-01-10T00:00:00+0530,196.59,196.59,193.94,194.39,40940,0
2023-01-11T00:00:00+0530,195.29,195.29,193.55,194.06,32523,0
2023-01-12T00:00:00+0530,194.51,194.64,192.5,193.74,23791,0
2023-01-13T00:00:00+0530,193.94,195.41,192.91,194.7,29321,0
2023-01-16T00:00:00+0530,195.69,195.69,193.46,194.06,41182,0
2023-01-17T00:00:00+0530,194.59,195.79,193.15,195.47,14502,0
2023-01-18T00:00:00+0530,196.29,197,195.41,196.93,28253,0
2023-01-19T00:00:00+0530,197.09,197.09,195.41,195.88,10826,0
2023-01-20T00:00:00+0530,196.04,196.49,195.32,195.66,9333,0
2023-01-23T00:00:00+0530,195.94,196.76,195.66,196.28,22534,0
2023-01-24T00:00:00+0530,197.19,197.19,195.84,195.96,36016,0
2023-01-25T00:00:00+0530,196.29,196.29,193.61,194.24,105805,0
2023-01-27T00:00:00+0530,194.59,194.59,189.7,191.99,84025,0
2023-01-30T00:00:00+0530,191.84,192.94,189.14,191.26,54489,0
2023-01-31T00:00:00+0530,193.2,193.2,190.34,192.04,22957,0
2023-02-01T00:00:00+0530,194.19,194.45,188.75,190.48,112370,0
2023-02-02T00:00:00+0530,176.01,196.2,176.01,190.84,28540,0
2023-02-03T00:00:00+0530,192.29,193.24,190.61,192.82,20325,0
2023-02-06T00:00:00+0530,192.6,193.8,191.52,192.06,30354,0
2023-02-07T00:00:00+0530,192.34,192.94,190.99,191.71,22714,0
2023-02-08T00:00:00+0530,197.45,197.45,191.87,193.34,11748,0
2023-02-09T00:00:00+0530,193.34,194.39,192.61,194.2,17922,0
2023-02-10T00:00:00+0530,194.2,194.2,192.37,193.29,16836,0
2023-02-13T00:00:00+0530,193.32,193.57,192.06,192.72,24036,0
2023-02-14T00:00:00+0530,193.02,194.67,192.5,194.33,55862,0
2023-02-15T00:00:00+0530,194.89,195.25,193.8,195.06,14818,0
2023-02-16T00:00:00+0530,195.1,196.5,195.1,195.67,52778,0
2023-02-17T00:00:00+0530,195.67,195.67,194,194.68,17213,0
2023-02-20T00:00:00+0530,200.5,200.5,193.25,193.65,36425,0
2023-02-21T00:00:00+0530,194.39,194.39,193.25,193.38,28931,0
2023-02-22T00:00:00+0530,193.29,193.29,190.34,190.61,59867,0
2023-02-23T00:00:00+0530,190.78,191.17,189.49,190.31,30189,0
2023-02-24T00:00:00+0530,196,196,189.01,189.51,56024,0
2023-02-27T00:00:00+0530,189.89,189.9,187.75,188.86,66816,0
2023-02-28T00:00:00+0530,189.59,189.59,186.9,187.7,38336,0
2023-03-01T00:00:00+0530,190,190,187.45,188.85,59641,0
2023-03-02T00:00:00+0530,188.85,194.5,187.84,188.04,61432,0
2023-03-03T00:00:00+0530,188.41,190.79,188.41,190.65,13849,0
2023-03-06T00:00:00+0530,190.64,194.47,190,192.39,78228,0
2023-03-08T00:00:00+0530,191.99,192.5,191.41,192.3,24209,0
2023-03-09T00:00:00+0530,192.89,192.89,191.05,191.29,44942,0
2023-03-10T00:00:00+0530,190.01,190.01,188.02,188.96,72164,0
2023-03-13T00:00:00+0530,189.49,189.99,185.75,186.13,85258,0
2023-03-14T00:00:00+0530,186.39,186.89,184.51,185.25,64177,0
2023-03-15T00:00:00+0530,190.8,190.8,184,184.33,50061,0
2023-03-16T00:00:00+0530,184.69,184.99,182.9,184.34,42896,0
2023-03-17T00:00:00+0530,184.71,185.94,183.91,185.44,57025,0
2023-03-20T00:00:00+0530,185.5,185.7,179.99,184.19,90393,0
2023-03-21T00:00:00+0530,184.16,185.97,184.16,185.74,20979,0
2023-03-22T00:00:00+0530,186.79,186.8,185.25,185.79,10744,0
2023-03-23T00:00:00+0530,186,186.42,184.34,184.98,15814,0
2023-03-24T00:00:00+0530,185.49,185.49,183.5,183.91,50707,0
2023-03-27T00:00:00+0530,184.49,185,183,184.25,81123,0
2023-03-28T00:00:00+0530,184.26,184.79,183.5,183.95,51922,0
2023-03-29T00:00:00+0530,184.79,185,183.83,184.88,33244,0
2023-03-31T00:00:00+0530,185.01,188,185,187.95,57351,0
2023-04-03T00:00:00+0530,189.19,189.5,187.61,188.11,42965,0
2023-04-05T00:00:00+0530,188.99,190.3,188.11,190.03,23722,0
2023-04-06T00:00:00+0530,190.59,191.3,189.62,191.04,29391,0
2023-04-10T00:00:00+0530,191.04,192.4,190.42,190.97,63445,0
2023-04-11T00:00:00+0530,191,192,191,191.81,20230,0
2023-04-12T00:00:00+0530,192.79,192.79,191.88,192.6,10166,0
2023-04-13T00:00:00+0530,192.99,194,191.7,193.58,46082,0
2023-04-17T00:00:00+0530,193.58,193.99,190.81,192.27,87277,0
2023-04-18T00:00:00+0530,192.99,192.99,191.25,191.65,68403,0
2023-04-19T00:00:00+0530,192,192,190.47,191,20461,0
2023-04-20T00:00:00+0530,191.79,191.79,190.31,190.81,22083,0
2023-04-21T00:00:00+0530,191.09,191.4,190.11,191.1,15202,0
2023-04-24T00:00:00+0530,192.6,194.95,190.61,192.01,45847,0
2023-04-25T00:00:00+0530,197.75,197.75,191.67,192.47,15157,0
2023-04-26T00:00:00+0530,192.95,192.95,191.83,192.68,15994,0
2023-04-27T00:00:00+0530,193.01,194.2,192.48,193.61,76762,0
2023-04-28T00:00:00+0530,196,196,193.6,195.29,33251,0
2023-05-02T00:00:00+0530,195.2,197.17,195.2,196.44,53183,0
2023-05-03T00:00:00+0530,196.59,197.3,195.5,195.84,11904,0
2023-05-04T00:00:00+0530,195.85,197.75,195.81,197.44,18867,0
2023-05-05T00:00:00+0530,197,197.58,195.51,196.1,26526,0
2023-05-08T00:00:00+0530,196.6,198.43,196.11,198.24,48535,0
2023-05-09T00:00:00+0530,198.63,199,197.77,198.14,44763,0
2023-05-10T00:00:00+0530,198.89,198.89,197.22,198.04,49446,0
2023-05-11T00:00:00+0530,199.3,199.3,197.86,198.27,22891,0
2023-05-12T00:00:00+0530,198.27,198.54,197.12,198.34,13335,0
2023-05-15T00:00:00+0530,192.4,199.95,192.4,199.34,24683,0
2023-05-16T00:00:00+0530,199.9,199.9,198.74,199.37,55676,0
2023-05-17T00:00:00+0530,199.3,199.3,197.09,197.82,49741,0
2023-05-18T00:00:00+0530,198.4,198.73,196.71,196.79,40379,0
2023-05-19T00:00:00+0530,199,199,196.33,198.06,20449,0
2023-05-22T00:00:00+0530,198.89,199,197.75,198.79,16265,0
2023-05-23T00:00:00+0530,199.79,200.25,198.81,199.68,79743,0
2023-05-24T00:00:00+0530,200.87,200.87,198.6,199.04,12965,0
2023-05-25T00:00:00+0530,199.59,199.7,198.11,199.17,16736,0
2023-05-26T00:00:00+0530,199.9,200.79,199.02,200.47,17179,0
2023-05-29T00:00:00+0530,200.87,202.55,200.87,202.26,38612,0
2023-05-30T00:00:00+0530,202.19,203.08,201.8,202.63,44191,0
2023-05-31T00:00:00+0530,202.26,202.32,201.03,201.73,25266,0
2023-06-01T00:00:00+0530,202.7,202.95,200.39,200.62,24687,0
2023-06-02T00:00:00+0530,202.4,202.4,200.81,201.55,12878,0
2023-06-05T00:00:00+0530,202.57,202.88,201.81,202.67,63870,0
2023-06-06T00:00:00+0530,202.42,202.67,201.2,201.88,23531,0
2023-06-07T00:00:00+0530,202.74,203.5,202.26,203.35,30528,0
2023-06-08T00:00:00+0530,203.35,204,202.22,202.46,79219,0
2023-06-09T00:00:00+0530,202.5,203.29,201.6,201.92,9450,0
2023-06-12T00:00:00+0530,208,208,201.81,202.5,16817,0
2023-06-13T00:00:00+0530,203.14,203.6,202.57,203.02,33885,0
2023-06-14T00:00:00+0530,203.79,203.99,202.86,203.96,21086,0
2023-06-15T00:00:00+0530,204,204.3,203,203.18,12464,0
2023-06-16T00:00:00+0530,203.25,204.9,203.21,204.38,18765,0
2023-06-19T00:00:00+0530,204,205,203.61,204.26,25326,0
2023-06-20T00:00:00+0530,204.18,204.89,202.61,204.23,25503,0
2023-06-21T00:00:00+0530,204.69,205,203.76,204.72,12519,0
2023-06-22T00:00:00+0530,204.96,205.34,204.15,204.53,25536,0
2023-06-23T00:00:00+0530,204.97,204.97,203,203.39,11677,0
2023-06-26T00:00:00+0530,203.94,203.94,202.62,203.49,16434,0
2023-06-27T00:00:00+0530,204,204.5,203.5,204.47,11810,0
2023-06-28T00:00:00+0530,205.45,206.99,204.73,206.67,58941,0
2023-06-30T00:00:00+0530,207.01,208.76,206.93,208.54,71929,0
2023-07-03T00:00:00+0530,208.5,210.77,208.5,210.18,35665,0
2023-07-04T00:00:00+0530,216.5,216.5,210,211.33,38274,0
2023-07-05T00:00:00+0530,211.35,211.68,210.44,211.3,27409,0
2023-07-06T00:00:00+0530,211.22,212.04,210.81,211.64,26327,0
2023-07-07T00:00:00+0530,210.99,212.39,210.33,210.82,41269,0
2023-07-10T00:00:00+0530,212.4,212.4,210.38,211.11,34652,0
2023-07-11T00:00:00+0530,212.2,212.49,211.23,211.76,21067,0
2023-07-12T00:00:00+0530,212.3,212.3,211.4,211.55,15288,0
2023-07-13T00:00:00+0530,212.74,212.99,211.5,211.68,35588,0
2023-07-14T00:00:00+0530,212.79,212.99,211.5,212.66,28445,0
2023-07-17T00:00:00+0530,213.8,215.5,212.65,214.11,29020,0
2023-07-18T00:00:00+0530,215.29,215.69,214.3,214.91,28602,0
2023-07-19T00:00:00+0530,215.62,215.99,214.98,215.9,37273,0
2023-07-20T00:00:00+0530,215.9,217.75,214.84,217.2,39654,0
2023-07-21T00:00:00+0530,216.58,216.69,214.95,215.11,37524,0
