date,open,high,low,close,volume,empty
2024-02-07T00:00:00+0530,65.5,75,65.5,67.24,61253,0
2024-02-08T00:00:00+0530,67.24,70.5,66.99,68.78,155845,0
2024-02-09T00:00:00+0530,68.78,71,66.61,69.68,76613,0
2024-02-12T00:00:00+0530,69.68,70.39,67.05,67.46,55879,0
2024-02-13T00:00:00+0530,67.49,69.17,65.4,67.03,847000,0
2024-02-14T00:00:00+0530,67.47,69.9,66.21,69.33,120434,0
2024-02-15T00:00:00+0530,70.98,79.65,67.61,72.15,98076,0
2024-02-16T00:00:00+0530,73.47,74.69,71.21,71.35,108854,0
2024-02-19T00:00:00+0530,72.51,72.51,71,71.17,50745,0
2024-02-20T00:00:00+0530,71.18,71.69,70.68,71.12,36432,0
2024-02-21T00:00:00+0530,70.99,72.5,70.99,71.55,35229,0
2024-02-22T00:00:00+0530,71.55,71.86,70.25,71.54,26922,0
2024-02-23T00:00:00+0530,71.7,72.65,70.54,70.66,42002,0
2024-02-26T00:00:00+0530,71.67,71.67,70.13,70.4,18246,0
2024-02-27T00:00:00+0530,70.4,70.99,69.5,70.09,13016,0
2024-02-28T00:00:00+0530,70.19,70.25,67.88,68.12,114204,0
2024-02-29T00:00:00+0530,68.65,69.76,67.7,69.67,22543,0
2024-03-01T00:00:00+0530,69.68,70.96,69.42,70.75,17563,0
2024-03-02T00:00:00+0530,70.8,71.46,70.7,71.24,2586,0
2024-03-04T00:00:00+0530,71.24,71.72,70.81,71.25,13946,0
2024-03-05T00:00:00+0530,71.37,73.4,71.35,73.19,48208,0
2024-03-06T00:00:00+0530,73.19,73.65,71.63,73.15,50729,0
2024-03-07T00:00:00+0530,73.97,74,73.01,73.19,24770,0
2024-03-11T00:00:00+0530,75.4,75.4,72.05,72.22,18696,0
2024-03-12T00:00:00+0530,72.23,72.39,70.14,70.34,13625,0
2024-03-13T00:00:00+0530,70.98,70.98,66.6,67.1,402397,0
2024-03-14T00:00:00+0530,67.01,68.64,66.64,67.96,25863,0
2024-03-15T00:00:00+0530,68.67,68.68,66,67.63,28957,0
2024-03-18T00:00:00+0530,67.64,68,67.21,67.77,5956,0
2024-03-19T00:00:00+0530,67.75,68.11,66.51,66.73,14389,0
2024-03-20T00:00:00+0530,67.48,69,65.69,66.89,18933,0
2024-03-21T00:00:00+0530,68.9,68.9,67.76,68.42,13766,0
2024-03-22T00:00:00+0530,68.41,69.16,68.25,69.07,23280,0
2024-03-26T00:00:00+0530,68.9,69.38,68.65,69.14,18234,0
2024-03-27T00:00:00+0530,69.17,69.4,68.19,68.33,3908,0
2024-03-28T00:00:00+0530,68.13,70.5,68.13,69.99,11740,0
2024-04-01T00:00:00+0530,69.99,71.5,69.73,71,12063,0
2024-04-02T00:00:00+0530,70.3,71.86,70,71.65,22142,0
2024-04-03T00:00:00+0530,71.65,73.39,71,72.93,20615,0
2024-04-04T00:00:00+0530,72.93,73.53,72.26,72.62,23879,0
2024-04-05T00:00:00+0530,72.58,73.44,71.42,72.53,35317,0
2024-04-08T00:00:00+0530,72.64,72.93,72.28,72.39,29228,0
2024-04-09T00:00:00+0530,72.39,73,71.4,71.86,6485,0
2024-04-10T00:00:00+0530,71.85,73.19,71.54,72.92,17836,0
2024-04-12T00:00:00+0530,72.77,73,72.05,72.22,11501,0
2024-04-15T00:00:00+0530,72.08,72.08,69.5,70.57,28240,0
2024-04-16T00:00:00+0530,70.58,70.59,69.48,69.72,89785,0
2024-04-18T00:00:00+0530,69.71,70.95,69.3,69.45,4993,0
2024-04-19T00:00:00+0530,68.75,69.54,68.01,69.49,15808,0
2024-04-22T00:00:00+0530,69.96,71.73,69.96,71.52,7325,0
2024-04-23T00:00:00+0530,71.73,72.16,71.41,71.5,4306,0
2024-04-24T00:00:00+0530,71.5,71.56,71.11,71.24,3609,0
2024-04-25T00:00:00+0530,71.36,74.3,71.35,74.02,39658,0
2024-04-26T00:00:00+0530,74.01,74.61,73.34,73.75,17077,0
2024-04-29T00:00:00+0530,73.75,75.99,73.58,75.73,26709,0
2024-04-30T00:00:00+0530,75.88,76.86,75.25,76.12,17120,0
2024-05-02T00:00:00+0530,76.12,76.98,75.76,75.97,7457,0
2024-05-03T00:00:00+0530,75.91,76.13,74.64,75.14,19432,0
2024-05-06T00:00:00+0530,75.97,75.98,72.1,72.61,39720,0
2024-05-07T00:00:00+0530,73.55,73.55,70.09,70.83,55810,0
2024-05-08T00:00:00+0530,71.5,72.84,71,71.44,22085,0
2024-05-09T00:00:00+0530,72,72.31,70.53,70.89,16135,0
2024-05-10T00:00:00+0530,70.85,71.5,70.5,71,8248,0
2024-05-13T00:00:00+0530,71.01,71.68,68.32,70.12,68266,0
2024-05-14T00:00:00+0530,70.5,71.4,69.81,70.73,25878,0
2024-05-15T00:00:00+0530,71.4,72.02,71.01,71.7,565559,0
2024-05-16T00:00:00+0530,71.7,72.48,70.17,71.22,327458,0
2024-05-17T00:00:00+0530,71.22,71.9,70.78,71.27,43677,0
2024-05-18T00:00:00+0530,72.28,72.46,71.13,71.67,4149,0
2024-05-21T00:00:00+0530,73,73,71.14,72.56,47937,0
2024-05-22T00:00:00+0530,72.99,74,71.85,72.55,21976,0
2024-05-23T00:00:00+0530,73.63,74.89,71.7,73.92,50180,0
2024-05-24T00:00:00+0530,74.55,74.78,72.86,74.04,47640,0
2024-05-27T00:00:00+0530,74.1,75.52,73.51,74.88,54196,0
2024-05-28T00:00:00+0530,74.79,75.27,73.48,73.97,18177,0
2024-05-29T00:00:00+0530,75.45,75.45,73.35,73.74,14973,0
2024-05-30T00:00:00+0530,74.98,74.98,71.73,72.83,20140,0
2024-05-31T00:00:00+0530,73.53,74.61,72.53,74.18,18750,0
2024-06-03T00:00:00+0530,75.45,81.65,75.02,79.82,214430,0
2024-06-04T00:00:00+0530,77.45,80.68,68,75.53,162195,0
2024-06-05T00:00:00+0530,76.84,76.98,66.52,70.56,303699,0
2024-06-06T00:00:00+0530,71.17,73.77,69.99,72.18,108973,0
2024-06-07T00:00:00+0530,73.84,73.84,72.25,73.16,33023,0
2024-06-10T00:00:00+0530,74.47,75,72.03,73.38,31536,0
2024-06-11T00:00:00+0530,73.19,74.55,72.31,73.98,28641,0
2024-06-12T00:00:00+0530,74,75,73.68,74.81,51076,0
2024-06-13T00:00:00+0530,73.8,75,73.51,74.58,26176,0
2024-06-14T00:00:00+0530,74.91,75.16,74.41,75.02,22701,0
2024-06-18T00:00:00+0530,75.5,75.8,74.02,75.16,25971,0
2024-06-19T00:00:00+0530,75.89,75.98,74.34,75.2,58783,0
2024-06-20T00:00:00+0530,75.01,75.52,74.81,75.09,35308,0
2024-06-21T00:00:00+0530,74.68,75.53,74,74.2,42153,0
2024-06-24T00:00:00+0530,75.17,75.17,72.9,74.13,50280,0
2024-06-25T00:00:00+0530,75.11,75.11,73.53,74.03,19587,0
2024-06-26T00:00:00+0530,74.77,74.78,73.25,74.03,9940,0
2024-06-27T00:00:00+0530,76.19,76.19,72.55,73.71,27417,0
2024-06-28T00:00:00+0530,74.74,75.4,73.34,74.26,20871,0
2024-07-01T00:00:00+0530,74.27,74.27,73.43,73.74,122499,0
2024-07-02T00:00:00+0530,74.59,74.59,71.96,73.65,181290,0
2024-07-03T00:00:00+0530,73.65,73.7,72.49,73.23,596167,0
2024-07-04T00:00:00+0530,74.59,74.6,72.8,73.3,64144,0
2024-07-05T00:00:00+0530,73.96,74.28,73,74,46743,0
2024-07-08T00:00:00+0530,74.96,74.96,72.9,73.63,63517,0
2024-07-09T00:00:00+0530,73.43,74.3,73.43,73.85,61158,0
2024-07-10T00:00:00+0530,73.79,74.2,72.04,72.86,139132,0
2024-07-11T00:00:00+0530,73.01,73.49,72.61,73.02,88927,0
2024-07-12T00:00:00+0530,73.67,73.68,72.5,72.62,37146,0
2024-07-15T00:00:00+0530,73.94,74.95,72.6,74.76,147506,0
2024-07-16T00:00:00+0530,74.77,75.19,74.1,74.39,35683,0
2024-07-18T00:00:00+0530,75.16,75.35,73.72,74.51,43375,0
2024-07-19T00:00:00+0530,75.24,75.24,72.6,72.99,28124,0
2024-07-22T00:00:00+0530,73.67,74.15,72.99,73.84,23456,0
2024-07-23T00:00:00+0530,74.56,74.56,70.79,72.73,37073,0
2024-07-24T00:00:00+0530,73.37,73.37,71.9,72.54,15766,0
2024-07-25T00:00:00+0530,72.57,72.98,71.39,72.01,41909,0
2024-07-26T00:00:00+0530,72.67,73.48,72.01,72.97,17154,0
2024-07-29T00:00:00+0530,74.45,75.8,73.05,74.64,103461,0
2024-07-30T00:00:00+0530,75.44,75.44,73.53,74.3,22950,0
2024-07-31T00:00:00+0530,74.3,75.07,73,74.34,4927,0
2024-08-01T00:00:00+0530,74.41,75.18,73.35,73.93,16872,0
2024-08-02T00:00:00+0530,74.05,74.05,72.15,72.63,28012,0
2024-08-05T00:00:00+0530,72.59,72.59,68.56,70.16,111416,0
2024-08-06T00:00:00+0530,71.69,71.69,68.35,68.56,49004,0
2024-08-07T00:00:00+0530,69.71,71,68.82,69.81,29646,0
2024-08-08T00:00:00+0530,70.56,70.57,68.9,69.31,26747,0
2024-08-09T00:00:00+0530,70.3,71.05,69.3,70.58,85396,0
2024-08-12T00:00:00+0530,71.38,71.38,69.21,69.66,45303,0
2024-08-13T00:00:00+0530,69.71,71,68.1,68.78,91010,0
2024-08-14T00:00:00+0530,68.99,68.99,68.12,68.33,55988,0
2024-08-16T00:00:00+0530,69.75,70.8,68.41,69.06,40102,0
2024-08-19T00:00:00+0530,70.44,70.45,68.82,69.82,95273,0
2024-08-20T00:00:00+0530,69.83,71.07,69.2,70.96,35616,0
2024-08-21T00:00:00+0530,71.24,71.4,70.21,70.66,47218,0
2024-08-22T00:00:00+0530,71.37,71.37,70.6,71.07,25387,0
2024-08-23T00:00:00+0530,71.51,71.51,70.5,70.78,32668,0
2024-08-26T00:00:00+0530,72.19,72.19,70.2,70.59,62325,0
2024-08-27T00:00:00+0530,71.62,71.62,68.5,70.44,41490,0
2024-08-28T00:00:00+0530,71.85,71.85,69.92,70.1,54481,0
2024-08-29T00:00:00+0530,71.19,71.19,69.5,70.17,37915,0
2024-08-30T00:00:00+0530,70.67,70.68,69.9,70.43,32305,0
2024-09-02T00:00:00+0530,71.49,71.49,69.23,70.78,29995,0
2024-09-03T00:00:00+0530,70.35,70.99,70.05,70.41,28444,0
2024-09-04T00:00:00+0530,70.89,70.89,69.16,69.35,33533,0
2024-09-05T00:00:00+0530,69.88,70,69,69.55,10499,0
2024-09-06T00:00:00+0530,69.55,69.56,66.93,67.19,221582,0
2024-09-09T00:00:00+0530,69.2,69.2,65.99,66.98,101706,0
2024-09-10T00:00:00+0530,67.5,67.5,66.8,66.92,50652,0
2024-09-11T00:00:00+0530,67.69,67.69,65.55,65.79,121254,0
2024-09-12T00:00:00+0530,67.19,67.69,66,66.88,55478,0
2024-09-13T00:00:00+0530,66.88,68.19,66.88,67.68,45581,0
2024-09-16T00:00:00+0530,67.68,68.48,66.59,67.69,58213,0
2024-09-17T00:00:00+0530,68.09,68.1,67.04,67.31,92859,0
2024-09-18T00:00:00+0530,67.65,67.65,67,67.28,43266,0
2024-09-19T00:00:00+0530,68.08,68.08,66.08,66.93,42599,0
2024-09-20T00:00:00+0530,67.69,67.69,66.3,66.9,42892,0
2024-09-23T00:00:00+0530,68.29,69.01,66.91,68.81,86948,0
2024-09-24T00:00:00+0530,69,69.14,68.18,68.44,26816,0
2024-09-25T00:00:00+0530,68.98,68.98,67.5,67.91,34713,0
2024-09-26T00:00:00+0530,67.95,68.65,66.99,68.44,36238,0
2024-09-27T00:00:00+0530,68.05,68.99,68.05,68.77,45423,0
2024-09-30T00:00:00+0530,68.2,69.19,67.9,68.02,31898,0
2024-10-01T00:00:00+0530,68.03,68.97,68.01,68.18,21127,0
2024-10-03T00:00:00+0530,68.18,69.48,66.52,67.82,65800,0
