date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,21.96,22.24,21.8,22.11,1680,0
2023-01-03T00:00:00+0530,22.1,22.27,22.1,22.1,630,0
2023-01-04T00:00:00+0530,22.1,22.2,21.75,21.76,6330,0
2023-01-05T00:00:00+0530,21.8,21.96,21.44,21.52,1860,0
2023-01-06T00:00:00+0530,21.6,21.9,21.5,21.78,260,0
2023-01-09T00:00:00+0530,21.59,21.81,21.57,21.8,1820,0
2023-01-10T00:00:00+0530,21.59,21.6,21.34,21.47,1150,0
2023-01-11T00:00:00+0530,21.48,21.67,21.38,21.64,2220,0
2023-01-12T00:00:00+0530,22.29,22.29,21.28,21.29,1180,0
2023-01-13T00:00:00+0530,21.3,21.69,21.19,21.68,620,0
2023-01-16T00:00:00+0530,21.6,21.62,21.6,21.62,60,0
2023-01-17T00:00:00+0530,21.62,21.62,21.25,21.36,2990,0
2023-01-18T00:00:00+0530,21.4,21.76,21.4,21.76,12970,0
2023-01-19T00:00:00+0530,21.67,21.67,21.21,21.28,10590,0
2023-01-20T00:00:00+0530,21.32,22.02,21.32,21.8,3110,0
2023-01-23T00:00:00+0530,21.8,21.94,21.58,21.78,1660,0
2023-01-24T00:00:00+0530,21.6,22.21,21.58,21.59,1150,0
2023-01-25T00:00:00+0530,21.54,21.54,21.2,21.24,1040,0
2023-01-27T00:00:00+0530,21.4,21.5,20.62,21.44,68490,0
2023-01-30T00:00:00+0530,20.89,23,20.28,21.55,39250,0
2023-01-31T00:00:00+0530,21.06,21.06,20.58,20.66,13430,0
2023-02-01T00:00:00+0530,20.7,21.3,20.7,21.2,13900,0
2023-02-02T00:00:00+0530,21.01,21.6,20.69,21,6660,0
2023-02-03T00:00:00+0530,21.41,21.41,21,21.17,240,0
2023-02-06T00:00:00+0530,21.17,21.58,20.95,20.99,4020,0
2023-02-07T00:00:00+0530,21.1,21.4,20.96,21.16,340,0
2023-02-08T00:00:00+0530,21.2,21.8,21.1,21.75,2790,0
2023-02-09T00:00:00+0530,21.26,21.26,21.07,21.07,2080,0
2023-02-10T00:00:00+0530,20.78,21.48,20.78,21.48,3440,0
2023-02-13T00:00:00+0530,21.68,21.68,20.89,21.03,4980,0
2023-02-14T00:00:00+0530,21.1,21.9,21.07,21.22,90,0
2023-02-15T00:00:00+0530,21.2,21.2,21.04,21.05,1530,0
2023-02-17T00:00:00+0530,21.06,21.07,20.79,20.81,2530,0
2023-02-20T00:00:00+0530,21.2,21.3,20.89,21,690,0
2023-02-21T00:00:00+0530,20.83,21.2,20.68,20.75,11040,0
2023-02-22T00:00:00+0530,20.73,21.2,20.49,21.19,6010,0
2023-02-23T00:00:00+0530,22,22,20.25,20.48,16140,0
2023-02-24T00:00:00+0530,20.6,20.6,20.11,20.15,10820,0
2023-02-27T00:00:00+0530,20.24,20.56,20.24,20.51,6770,0
2023-02-28T00:00:00+0530,20.53,20.8,20.51,20.8,2740,0
2023-03-01T00:00:00+0530,20.66,21.07,20.66,21.07,4520,0
2023-03-02T00:00:00+0530,20.8,21.07,20.7,21.01,4860,0
2023-03-03T00:00:00+0530,21,21.1,21,21.1,530,0
2023-03-06T00:00:00+0530,21.1,21.25,20.93,20.96,650,0
2023-03-08T00:00:00+0530,21,21.31,21,21.1,1350,0
