date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,158,163.4,156.4,156.65,17874,0
2023-01-03T00:00:00+0530,157,159.45,155.35,156,2855,0
2023-01-04T00:00:00+0530,156.7,158,155.75,157.95,910,0
2023-01-05T00:00:00+0530,151.05,157.95,151.05,155,49216,0
2023-01-06T00:00:00+0530,159.45,159.75,156.1,156.1,519,0
2023-01-09T00:00:00+0530,160.1,160.1,155.1,157.1,1002,0
2023-01-10T00:00:00+0530,154.05,157,154.05,156.8,3619,0
2023-01-11T00:00:00+0530,156.1,157.85,152.1,156.25,3065,0
2023-01-12T00:00:00+0530,156.3,159.6,153.5,155,3823,0
2023-01-13T00:00:00+0530,154.1,158.9,154,157.7,3150,0
2023-01-16T00:00:00+0530,162.8,162.8,153.1,155.65,1449,0
2023-01-17T00:00:00+0530,153.5,157.9,153.35,153.7,2037,0
2023-01-18T00:00:00+0530,154.95,156.9,151,152,8032,0
2023-01-19T00:00:00+0530,154,158.9,152.3,157.9,26288,0
2023-01-20T00:00:00+0530,158,158.85,153.3,155.9,36536,0
2023-01-23T00:00:00+0530,156.05,158.9,153.95,157.7,7219,0
2023-01-24T00:00:00+0530,157.15,158,152.25,153.5,2479,0
2023-01-25T00:00:00+0530,157,158,153.55,156.5,4150,0
2023-01-27T00:00:00+0530,156.85,156.85,150.35,155.1,3492,0
2023-01-30T00:00:00+0530,156.8,156.85,152.5,152.9,2110,0
2023-01-31T00:00:00+0530,154.95,155.9,153.05,153.05,1204,0
2023-02-01T00:00:00+0530,154.35,157.95,152.05,152.3,4986,0
2023-02-02T00:00:00+0530,155.4,157.95,153.2,157.35,5766,0
2023-02-03T00:00:00+0530,156.1,157.8,152.65,157.15,3216,0
2023-02-06T00:00:00+0530,154.25,157.9,154,154.95,1281,0
2023-02-07T00:00:00+0530,156.05,158,153.95,155.6,3407,0
2023-02-08T00:00:00+0530,154.3,155.85,153.2,153.5,3477,0
2023-02-09T00:00:00+0530,154,156.75,151.05,154.4,2648,0
2023-02-10T00:00:00+0530,154.55,157,153.05,155.75,1493,0
2023-02-13T00:00:00+0530,157.6,157.6,154,154.15,377,0
2023-02-14T00:00:00+0530,153.5,155.7,151.1,152.8,1946,0
2023-02-15T00:00:00+0530,152.6,154.5,152.1,153.45,4717,0
2023-02-16T00:00:00+0530,154.9,155,153.05,154.15,680,0
2023-02-17T00:00:00+0530,154.4,157.9,151.1,153.85,11499,0
2023-02-20T00:00:00+0530,154.1,156.85,151.5,154,24403,0
2023-02-21T00:00:00+0530,155.35,155.7,154,154.05,3517,0
2023-02-22T00:00:00+0530,152.9,154.9,152.25,152.6,1852,0
2023-02-23T00:00:00+0530,152.4,154.15,152.35,152.55,1186,0
2023-02-24T00:00:00+0530,150.8,156.5,150.1,155.25,966,0
2023-02-27T00:00:00+0530,153.4,156,151.6,153,2388,0
2023-02-28T00:00:00+0530,153,154.75,152.6,152.9,798,0
2023-03-01T00:00:00+0530,153,153.6,151.1,151.2,1706,0
2023-03-02T00:00:00+0530,152.8,154,150,153.15,1774,0
2023-03-03T00:00:00+0530,148.5,153.5,148,153.15,3714,0
2023-03-06T00:00:00+0530,153.15,155,151.55,151.6,13781,0
2023-03-08T00:00:00+0530,151.7,153.6,150,152.15,10803,0
2023-03-09T00:00:00+0530,152.55,152.95,149.35,151,3338,0
2023-03-10T00:00:00+0530,152.3,153.45,150.3,153.25,2431,0
2023-03-13T00:00:00+0530,150.15,154.45,150.15,153.1,2328,0
2023-03-14T00:00:00+0530,152.65,152.7,150.3,151.2,1747,0
2023-03-15T00:00:00+0530,150.6,153.9,150.3,153.05,3833,0
