date,open,high,low,close,volume,empty
2023-09-28T00:00:00+0530,77,80.85,75.45,80.85,2016000,0
2023-09-29T00:00:00+0530,84.85,84.85,84.85,84.85,102400,0
2023-10-03T00:00:00+0530,89.05,89.05,89.05,89.05,112000,0
2023-10-04T00:00:00+0530,93.5,93.5,93.5,93.5,81600,0
2023-10-05T00:00:00+0530,98.15,98.15,94.05,98.15,1288000,0
2023-10-06T00:00:00+0530,103.05,103.05,103.05,103.05,64000,0
2023-10-09T00:00:00+0530,108.2,108.2,97.9,108.2,620800,0
2023-10-10T00:00:00+0530,113.6,113.6,113.6,113.6,60800,0
2023-10-11T00:00:00+0530,119.25,119.25,119.25,119.25,20800,0
2023-10-12T00:00:00+0530,125.2,125.2,125.2,125.2,147200,0
2023-10-13T00:00:00+0530,137.7,137.7,120.05,137.7,1539200,0
2023-10-16T00:00:00+0530,145,151.45,141.3,149.7,806400,0
2023-10-17T00:00:00+0530,150,158.25,139.25,142.8,843200,0
2023-10-18T00:00:00+0530,140.05,148.4,133.05,136.4,504000,0
2023-10-19T00:00:00+0530,136.4,141,126.05,140.3,348800,0
2023-10-20T00:00:00+0530,138,154.3,138,154.3,451200,0
2023-10-23T00:00:00+0530,161,169.7,158.4,162.8,766400,0
2023-10-25T00:00:00+0530,172,173.5,158,165.3,313600,0
2023-10-26T00:00:00+0530,160.1,161.9,148.8,158,483200,0
2023-10-27T00:00:00+0530,158,163.65,148.3,151.1,262400,0
2023-10-30T00:00:00+0530,154.8,160.8,148,152.8,187200,0
2023-10-31T00:00:00+0530,153.5,159,152.1,152.6,100800,0
2023-11-01T00:00:00+0530,153,156.7,147.1,148.55,120000,0
2023-11-02T00:00:00+0530,152.25,154.5,140,151.4,352000,0
2023-11-03T00:00:00+0530,151.4,156.5,146.2,155.15,214400,0
2023-11-06T00:00:00+0530,139.65,148.7,139.65,140,684800,0
2023-11-07T00:00:00+0530,134,142.5,134,135.65,216000,0
2023-11-08T00:00:00+0530,135.1,141.7,134.9,137.95,153600,0
2023-11-09T00:00:00+0530,141.5,141.5,135.15,136,67200,0
2023-11-10T00:00:00+0530,136.95,139.4,134.5,134.95,54400,0
2023-11-12T00:00:00+0530,138.85,142,135.15,140.75,68800,0
2023-11-13T00:00:00+0530,140.75,140.75,136.5,136.65,64000,0
2023-11-15T00:00:00+0530,141.85,148,137.75,146.65,161600,0
2023-11-16T00:00:00+0530,148,160,148,152.85,324800,0
2023-11-17T00:00:00+0530,152.85,158,149,149.45,129600,0
2023-11-20T00:00:00+0530,149.45,152.2,142.1,143.85,83200,0
2023-11-21T00:00:00+0530,145.95,148.85,144.8,148.8,68800,0
2023-11-22T00:00:00+0530,151,152,144.5,147.4,94400,0
2023-11-23T00:00:00+0530,149.85,150,146,147.35,57600,0
2023-11-24T00:00:00+0530,148.95,156.85,148.65,154.45,132800,0
2023-11-28T00:00:00+0530,157.8,169.85,157.8,169.85,193600,0
2023-11-29T00:00:00+0530,186.8,186.8,177.1,186.8,576000,0
2023-11-30T00:00:00+0530,192,196.2,179.35,181.65,225600,0
2023-12-01T00:00:00+0530,183,186.7,173.1,176.4,97600,0
2023-12-04T00:00:00+0530,180,180,166.75,173.25,184000,0
