date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,133.75,152.95,132.95,144,323096,0
2023-01-03T00:00:00+0530,148.8,151,141,144.45,112110,0
2023-01-04T00:00:00+0530,144,145.65,138.85,140.25,52257,0
2023-01-05T00:00:00+0530,139.2,148,139.2,141.9,16432,0
2023-01-06T00:00:00+0530,142.5,148.5,141.8,144.65,42837,0
2023-01-09T00:00:00+0530,151.5,151.85,143.1,144.15,36147,0
2023-01-10T00:00:00+0530,145.2,147.75,140,143.2,36709,0
2023-01-11T00:00:00+0530,144.05,149.8,143,143.55,51095,0
2023-01-12T00:00:00+0530,144,144.95,139.9,142.85,18032,0
2023-01-13T00:00:00+0530,144.8,144.9,140.6,143.6,9818,0
2023-01-16T00:00:00+0530,145.55,145.55,142.25,143.05,10618,0
2023-01-17T00:00:00+0530,144.7,144.7,140.2,142.65,10167,0
2023-01-18T00:00:00+0530,143,145.55,141,145.4,27605,0
2023-01-19T00:00:00+0530,144.05,171,143.35,160.4,635503,0
2023-01-20T00:00:00+0530,162,192.45,162,186.5,1643621,0
2023-01-23T00:00:00+0530,185,188.55,172.05,173.65,331666,0
2023-01-24T00:00:00+0530,175.9,181.8,173.95,178.25,160058,0
2023-01-25T00:00:00+0530,178.25,178.45,165.1,167.1,84462,0
2023-01-27T00:00:00+0530,170.3,170.3,155.3,159.65,110557,0
2023-01-30T00:00:00+0530,157,161.95,155.2,158,65191,0
2023-01-31T00:00:00+0530,158.2,160.35,152,156.5,70445,0
2023-02-01T00:00:00+0530,158.3,165.95,151.1,154.8,74193,0
2023-02-02T00:00:00+0530,156.85,159.3,152.6,153.55,24583,0
2023-02-03T00:00:00+0530,152.2,157.75,145,149.6,57737,0
2023-02-06T00:00:00+0530,151.55,156.9,145.65,153.55,31777,0
2023-02-07T00:00:00+0530,153.5,157.8,150,151.35,46033,0
2023-02-08T00:00:00+0530,151.6,177,151.6,171.85,215493,0
2023-02-09T00:00:00+0530,179.95,188.5,175.4,178.65,331865,0
2023-02-10T00:00:00+0530,180,183.65,167.1,169.15,131527,0
2023-02-13T00:00:00+0530,168.85,169.1,158.4,159.7,92949,0
2023-02-14T00:00:00+0530,160.7,162.1,151,152.1,40698,0
2023-02-15T00:00:00+0530,156.3,156.3,150.15,152.05,28817,0
2023-02-16T00:00:00+0530,153,156.9,150.2,151,47029,0
2023-02-17T00:00:00+0530,150.8,153.4,148.5,150.75,28979,0
2023-02-20T00:00:00+0530,152.9,156.75,144.2,146.4,86658,0
2023-02-21T00:00:00+0530,142.3,147.8,141.05,142,49751,0
2023-02-22T00:00:00+0530,143,144.85,136.25,136.45,33788,0
2023-02-23T00:00:00+0530,136.8,148.6,135.75,143.85,125749,0
2023-02-24T00:00:00+0530,144.3,147.95,139.65,141.35,38467,0
2023-02-27T00:00:00+0530,140.1,140.6,133,134.3,39790,0
2023-02-28T00:00:00+0530,135,137.85,131.25,132.2,39202,0
2023-03-01T00:00:00+0530,133.95,140.65,133.9,137.35,44891,0
2023-03-02T00:00:00+0530,139.05,143.3,136.55,141.95,39451,0
2023-03-03T00:00:00+0530,143.35,148.95,141.6,145.8,79027,0
2023-03-06T00:00:00+0530,145.75,149.5,142.6,146.05,29763,0
2023-03-08T00:00:00+0530,145.75,148.9,144.2,145.55,19714,0
2023-03-09T00:00:00+0530,147,153.05,143,143.75,40667,0
2023-03-10T00:00:00+0530,142,145.4,139.55,142.05,20187,0
2023-03-13T00:00:00+0530,141,145.85,131.55,133.35,62025,0
2023-03-14T00:00:00+0530,134.05,137.95,133.75,134.8,35172,0
2023-03-15T00:00:00+0530,135.8,143.8,134.6,139.7,50467,0
2023-03-16T00:00:00+0530,137.9,137.9,134.85,136.3,18943,0
2023-03-17T00:00:00+0530,138.25,139,134.1,135.95,14003,0
2023-03-20T00:00:00+0530,147.95,148,130.2,131.6,34752,0
2023-03-21T00:00:00+0530,133.55,136.5,132.05,134.7,22632,0
2023-03-22T00:00:00+0530,136.6,136.6,131,131.55,7721,0
2023-03-23T00:00:00+0530,133.4,135.85,130,130.3,26408,0
2023-03-24T00:00:00+0530,131.85,134.65,123,126.95,25432,0
2023-03-27T00:00:00+0530,128.8,129.3,120.4,121.1,48298,0
2023-03-28T00:00:00+0530,121.8,123.15,118,120.4,18342,0
2023-03-29T00:00:00+0530,116.5,124.65,116.5,122.8,22710,0
2023-03-31T00:00:00+0530,124.55,129.7,124,125.6,26848,0
2023-04-03T00:00:00+0530,127.45,129.15,124.45,127.65,12312,0
2023-04-05T00:00:00+0530,125.3,136.4,124.3,130.05,37513,0
2023-04-06T00:00:00+0530,129.5,132.85,128.5,131,10149,0
2023-04-10T00:00:00+0530,132.95,134.5,130.1,131.85,10420,0
2023-04-11T00:00:00+0530,133,134.9,132.5,132.9,14764,0
2023-04-12T00:00:00+0530,133.05,134.7,132.1,134.05,12455,0
2023-04-13T00:00:00+0530,133.9,136.5,129.15,131.95,16569,0
2023-04-17T00:00:00+0530,132.2,140,131.5,136,18323,0
2023-04-18T00:00:00+0530,135,137.7,134.95,136.4,5922,0
2023-04-19T00:00:00+0530,135.15,144.4,135.15,139.2,45845,0
2023-04-20T00:00:00+0530,139.7,141.6,132.1,134.4,28594,0
2023-04-21T00:00:00+0530,135,139.1,134.25,134.65,14713,0
2023-04-24T00:00:00+0530,134.5,139.85,132.55,138.9,27464,0
2023-04-25T00:00:00+0530,138.9,140.85,136,138.65,16453,0
2023-04-26T00:00:00+0530,138.45,140,136,136.95,5395,0
2023-04-27T00:00:00+0530,138.65,143.15,137.1,141.1,18256,0
2023-04-28T00:00:00+0530,143.15,144.8,138,142.7,16428,0
2023-05-02T00:00:00+0530,142.7,144.5,138.5,140.75,20241,0
2023-05-03T00:00:00+0530,140.4,143.4,137,138.6,18540,0
2023-05-04T00:00:00+0530,139.55,144.45,139.5,142.85,12399,0
2023-05-05T00:00:00+0530,141.6,144.1,139,139.85,7454,0
2023-05-08T00:00:00+0530,140.5,143.85,139.1,140.2,9973,0
2023-05-09T00:00:00+0530,139.4,143.9,139.35,140.8,15285,0
2023-05-10T00:00:00+0530,140.7,142.45,139,140.6,3990,0
2023-05-11T00:00:00+0530,139,143.5,139,141.85,10286,0
2023-05-12T00:00:00+0530,140.25,143.75,140.05,141.8,2809,0
2023-05-15T00:00:00+0530,144.3,144.3,138.1,139.6,20801,0
2023-05-16T00:00:00+0530,139.1,142.95,138.05,139.3,6720,0
2023-05-17T00:00:00+0530,139.05,141.9,137.1,138.25,15756,0
2023-05-18T00:00:00+0530,138.55,144.4,138.3,139.6,20859,0
2023-05-19T00:00:00+0530,140.5,142.3,137.35,138.85,8516,0
2023-05-22T00:00:00+0530,140,142.7,136.3,142.05,18160,0
2023-05-23T00:00:00+0530,140.1,162.8,139.3,153.2,244872,0
2023-05-24T00:00:00+0530,153.25,158.7,153,154.6,48583,0
2023-05-25T00:00:00+0530,155.55,159.85,153.2,155.7,38326,0
2023-05-26T00:00:00+0530,153.95,170.75,153.95,163.8,150489,0
2023-05-29T00:00:00+0530,159.75,159.75,142.6,143.95,150132,0
2023-05-30T00:00:00+0530,143.95,147,138,139,52017,0
2023-05-31T00:00:00+0530,141.05,142.2,137.35,139.8,26368,0
2023-06-01T00:00:00+0530,141.8,143.8,139.2,140.7,16930,0
2023-06-02T00:00:00+0530,142,142.7,137.25,138.7,24094,0
2023-06-05T00:00:00+0530,138,141.7,135.2,136.8,44281,0
2023-06-06T00:00:00+0530,136.95,138.8,136.05,137.1,21268,0
2023-06-07T00:00:00+0530,137.3,150.9,137.3,144.45,125939,0
2023-06-08T00:00:00+0530,148.25,149,143.3,144.95,56085,0
2023-06-09T00:00:00+0530,146.5,146.5,142.1,143.95,11290,0
2023-06-12T00:00:00+0530,145.5,145.5,142.1,143.35,20631,0
2023-06-13T00:00:00+0530,144.95,148.8,144.05,144.9,42057,0
2023-06-14T00:00:00+0530,144.95,148,142.5,143,33286,0
2023-06-15T00:00:00+0530,144.95,144.95,141.85,143.9,14257,0
2023-06-16T00:00:00+0530,144.15,145.45,142.1,142.75,6747,0
2023-06-19T00:00:00+0530,143.5,144.75,142.05,142.65,12864,0
2023-06-20T00:00:00+0530,144.15,144.45,141.05,143.6,6480,0
2023-06-21T00:00:00+0530,143.75,144,142.15,142.2,4588,0
2023-06-22T00:00:00+0530,143.3,146.8,141,141.8,15648,0
2023-06-23T00:00:00+0530,141.25,142.2,136.85,138.1,17074,0
2023-06-26T00:00:00+0530,138.15,140,137.1,137.85,3828,0
2023-06-27T00:00:00+0530,138.8,141.45,137.55,138.6,5854,0
2023-06-28T00:00:00+0530,139.1,141.5,137.3,137.8,11053,0
2023-06-30T00:00:00+0530,139,139.2,136.3,137.2,6648,0
2023-07-03T00:00:00+0530,139.25,139.25,134.15,135,21993,0
2023-07-04T00:00:00+0530,134.6,138,134.6,135.45,12290,0
2023-07-05T00:00:00+0530,137.45,147,137.45,143.45,91586,0
2023-07-06T00:00:00+0530,144.9,146.95,142.6,145.55,45769,0
2023-07-07T00:00:00+0530,145.9,147.6,143.1,144,34921,0
2023-07-10T00:00:00+0530,145,162.95,142,153.05,246221,0
2023-07-11T00:00:00+0530,155.5,167.5,153.9,162.3,244401,0
2023-07-12T00:00:00+0530,162.95,170,162.5,164.5,99925,0
2023-07-13T00:00:00+0530,165.6,168,158,161.4,74596,0
2023-07-14T00:00:00+0530,163.7,164.95,160.05,161.85,16828,0
2023-07-17T00:00:00+0530,164.5,164.5,159.55,160.05,45776,0
2023-07-18T00:00:00+0530,161.55,162.15,151.25,153.05,51577,0
2023-07-19T00:00:00+0530,152.45,158.8,151.2,156.15,24918,0
2023-07-20T00:00:00+0530,154.2,158.45,152.6,153.7,36408,0
2023-07-21T00:00:00+0530,154.85,157.2,153.05,153.4,15755,0
2023-07-24T00:00:00+0530,152.05,155.35,151.5,151.9,12362,0
2023-07-25T00:00:00+0530,153,162.95,152.7,156.6,130818,0
2023-07-26T00:00:00+0530,157.9,159.85,155.3,157.05,30635,0
2023-07-27T00:00:00+0530,159.2,159.2,153.1,154,46155,0
2023-07-28T00:00:00+0530,154.1,155.55,151,152.05,29931,0
2023-07-31T00:00:00+0530,157,157,152.35,154.7,35204,0
2023-08-01T00:00:00+0530,154.25,156.8,152.7,153.35,45109,0
2023-08-02T00:00:00+0530,151.45,155,146.05,148.2,31078,0
2023-08-03T00:00:00+0530,153,153,147.5,148.65,30528,0
2023-08-04T00:00:00+0530,152.35,152.95,146.5,147.6,42807,0
2023-08-07T00:00:00+0530,150.9,177.1,145.65,177.1,593523,0
2023-08-08T00:00:00+0530,209.95,212.5,183.2,212.5,858075,0
2023-08-09T00:00:00+0530,223,251.9,221.4,224.2,1125003,0
2023-08-10T00:00:00+0530,221,221,203.2,208.25,112252,0
2023-08-11T00:00:00+0530,201.8,207.7,197.85,197.85,26623,0
2023-08-14T00:00:00+0530,188.15,188.15,187.95,187.95,7724,0
2023-08-16T00:00:00+0530,178.55,193,178.55,183.05,31717,0
2023-08-17T00:00:00+0530,180,183.95,173.9,176,39363,0
2023-08-18T00:00:00+0530,176,176,167.2,167.4,33372,0
2023-08-21T00:00:00+0530,168.55,174.9,168,168.9,28152,0
2023-08-22T00:00:00+0530,170,173.3,168,171.75,10702,0
2023-08-23T00:00:00+0530,171.75,178.9,171.75,177.75,15950,0
2023-08-24T00:00:00+0530,178,186.6,174,186.6,22824,0
2023-08-25T00:00:00+0530,189.95,195.9,189,194.3,41200,0
2023-08-28T00:00:00+0530,194.3,204,187.1,201.3,28983,0
2023-08-29T00:00:00+0530,198,198,197.3,197.3,5608,0
2023-08-30T00:00:00+0530,193.35,193.35,193.35,193.35,1582,0
2023-08-31T00:00:00+0530,189.5,189.5,189.5,189.5,1802,0
2023-09-01T00:00:00+0530,185.75,185.75,185.75,185.75,3460,0
2023-09-04T00:00:00+0530,185.4,185.4,182.05,182.3,1641,0
2023-09-05T00:00:00+0530,180,180,178.65,178.65,1899,0
2023-09-06T00:00:00+0530,175.5,175.5,175.1,175.1,1839,0
2023-09-07T00:00:00+0530,178.6,178.6,178.4,178.5,9096,0
2023-09-08T00:00:00+0530,177.9,177.9,174.95,174.95,1900,0
2023-09-11T00:00:00+0530,170.5,171.5,170.5,171,7250,0
2023-09-12T00:00:00+0530,169.9,169.9,167.6,167.6,1615,0
2023-09-13T00:00:00+0530,165,166,164.25,166,8061,0
2023-09-14T00:00:00+0530,167,167.85,167,167.85,6544,0
2023-09-15T00:00:00+0530,167.85,169.85,167.85,169,3636,0
2023-09-18T00:00:00+0530,168.9,168.9,167,167,2339,0
2023-09-20T00:00:00+0530,168,168,165,168,4242,0
2023-09-21T00:00:00+0530,169.75,169.75,166.1,166.1,321,0
2023-09-22T00:00:00+0530,162.8,164,162.8,163,5228,0
2023-09-25T00:00:00+0530,165.45,165.45,164,164.05,1276,0
2023-09-26T00:00:00+0530,162.45,162.95,161.65,161.65,2051,0
2023-09-27T00:00:00+0530,159.5,161.65,159.5,161.65,2050,0
2023-09-28T00:00:00+0530,162.95,162.95,160.15,160.15,4345,0
2023-09-29T00:00:00+0530,162.95,163,161.5,162.9,1990,0
