date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,621.95,621.95,612,615.9,12168,0
2023-01-03T00:00:00+0530,617.95,620,602,613.6,9781,0
2023-01-04T00:00:00+0530,615,619.15,591,595.8,21129,0
2023-01-05T00:00:00+0530,597,604.8,567.15,580.8,30204,0
2023-01-06T00:00:00+0530,587.4,609,570,598,25403,0
2023-01-09T00:00:00+0530,613.95,613.95,581,595,17428,0
2023-01-10T00:00:00+0530,599.5,602,573,589.25,16259,0
2023-01-11T00:00:00+0530,581.1,591.95,576.1,583.05,9613,0
2023-01-12T00:00:00+0530,583.05,589.8,575,577.55,13028,0
2023-01-13T00:00:00+0530,582.4,582.4,570,576.75,9563,0
2023-01-16T00:00:00+0530,578,584.4,573,579.75,7646,0
2023-01-17T00:00:00+0530,577.1,585,571.2,576.2,11627,0
2023-01-18T00:00:00+0530,582.4,584,572,580.65,8310,0
2023-01-19T00:00:00+0530,583.4,584.8,575,581.3,7216,0
2023-01-20T00:00:00+0530,576.15,590,576,583.3,10876,0
2023-01-23T00:00:00+0530,583.35,589.95,580.1,585.45,9926,0
2023-01-24T00:00:00+0530,591,594.3,582,591.25,8776,0
2023-01-25T00:00:00+0530,597.85,597.9,570.1,585.6,13175,0
2023-01-27T00:00:00+0530,589.95,589.95,556.35,567.5,18990,0
2023-01-30T00:00:00+0530,551.05,569.75,548,555.5,19350,0
2023-01-31T00:00:00+0530,555,568.8,540,563,14583,0
2023-02-01T00:00:00+0530,572.95,580,535.1,551.45,26443,0
2023-02-02T00:00:00+0530,566.8,569.9,536,548.8,14873,0
2023-02-03T00:00:00+0530,561.45,561.7,540,545.25,11356,0
2023-02-06T00:00:00+0530,552.3,572.5,546,557.5,21614,0
2023-02-07T00:00:00+0530,568.9,570,551.5,555.65,19438,0
2023-02-08T00:00:00+0530,563.9,583.4,550,583.4,18944,0
2023-02-09T00:00:00+0530,589,590,556,576.6,13963,0
2023-02-10T00:00:00+0530,581.9,595,568,581.7,14453,0
2023-02-13T00:00:00+0530,592,592,579.5,587.25,14358,0
2023-02-14T00:00:00+0530,594.7,604,580,601.1,15174,0
2023-02-15T00:00:00+0530,603.95,605.9,590,599.9,65403,0
