date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,74.65,76.45,74.55,76,237735,0
2023-01-03T00:00:00+0530,76.4,76.45,75.6,76.2,188865,0
2023-01-04T00:00:00+0530,76.95,84,73.15,81.4,6084555,0
2023-01-05T00:00:00+0530,81.6,81.6,78,78.45,1046100,0
2023-01-06T00:00:00+0530,78.2,78.65,74.7,75.35,662505,0
2023-01-09T00:00:00+0530,75.2,77.6,75.05,76.6,424330,0
2023-01-10T00:00:00+0530,77.15,77.9,76,77.25,272505,0
2023-01-11T00:00:00+0530,77.2,77.7,74.55,74.95,391110,0
2023-01-12T00:00:00+0530,75.5,75.5,74,74.35,187525,0
2023-01-13T00:00:00+0530,74.55,76.4,74.2,75.35,263890,0
2023-01-16T00:00:00+0530,76.1,76.1,74.55,74.75,198450,0
2023-01-17T00:00:00+0530,73.7,75.15,73.7,74.65,174080,0
2023-01-18T00:00:00+0530,74.8,76.5,74.5,75.4,227305,0
2023-01-19T00:00:00+0530,75.55,77,75,75.65,264260,0
2023-01-20T00:00:00+0530,76.15,77.55,75.4,76.7,317615,0
2023-01-23T00:00:00+0530,77,78.65,76.05,77.05,317605,0
2023-01-24T00:00:00+0530,76.9,78.9,75.35,76.75,493180,0
2023-01-25T00:00:00+0530,77.1,77.1,75.2,75.45,165840,0
2023-01-27T00:00:00+0530,75.8,75.85,71.35,71.95,514460,0
2023-01-30T00:00:00+0530,71.95,73.2,69.4,70.5,381270,0
2023-01-31T00:00:00+0530,70.5,71.2,69.75,70.2,229965,0
2023-02-01T00:00:00+0530,70.9,72,67.6,68.4,370900,0
2023-02-02T00:00:00+0530,68.75,69,66.9,67.45,389310,0
2023-02-03T00:00:00+0530,67.75,68.6,64,67.2,438080,0
2023-02-06T00:00:00+0530,67.4,67.8,66.55,67.4,212210,0
2023-02-07T00:00:00+0530,68,70.2,66.6,68.1,311920,0
2023-02-08T00:00:00+0530,68.75,71.2,67.8,69.65,360280,0
2023-02-09T00:00:00+0530,70.2,70.2,68,68.4,484610,0
2023-02-10T00:00:00+0530,67.7,69.55,67.65,68.85,673475,0
2023-02-13T00:00:00+0530,72,72,68.85,69.5,843555,0
2023-02-14T00:00:00+0530,70.3,70.3,67.4,68,220660,0
2023-02-15T00:00:00+0530,67.5,68.95,67.5,68.7,378725,0
2023-02-16T00:00:00+0530,69.1,70.45,68.2,69,900335,0
2023-02-17T00:00:00+0530,68.8,69.9,68.3,69,481590,0
2023-02-20T00:00:00+0530,68.4,69.05,67.6,68.8,415805,0
2023-02-21T00:00:00+0530,68.4,68.4,66.6,66.8,615395,0
2023-02-22T00:00:00+0530,66.8,66.8,64.35,65.45,216655,0
2023-02-23T00:00:00+0530,66,66,64.4,65.25,305860,0
2023-02-24T00:00:00+0530,65.2,65.55,64.4,64.8,452120,0
2023-02-27T00:00:00+0530,65.4,65.4,62.45,63.4,296995,0
2023-02-28T00:00:00+0530,63.4,63.9,62,62.55,361300,0
2023-03-01T00:00:00+0530,62,64.3,62,63.2,349210,0
2023-03-02T00:00:00+0530,63.2,63.4,61.8,62.3,181300,0
2023-03-03T00:00:00+0530,62.3,66.5,62.3,65.6,475025,0
2023-03-06T00:00:00+0530,66.4,71.1,66,68.9,804550,0
2023-03-08T00:00:00+0530,68.2,73.2,67.75,72.65,1017760,0
2023-03-09T00:00:00+0530,72.65,74.5,72,72.9,493185,0
2023-03-10T00:00:00+0530,71.2,74.55,71.2,73.4,682960,0
2023-03-13T00:00:00+0530,74,74.4,71.15,72.45,581090,0
2023-03-14T00:00:00+0530,72,72.8,71,71.25,195570,0
2023-03-15T00:00:00+0530,71.95,72.25,70.2,70.35,215980,0
2023-03-16T00:00:00+0530,70.8,70.8,68.05,68.5,289470,0
2023-03-17T00:00:00+0530,69,70.8,67.35,68.2,216025,0
2023-03-20T00:00:00+0530,67.6,68.75,67,68,137225,0
2023-03-21T00:00:00+0530,68.55,70.95,68.2,69.85,297440,0
2023-03-22T00:00:00+0530,70.55,71.4,69.4,70.2,246965,0
2023-03-23T00:00:00+0530,69.6,70.15,69.4,69.45,267935,0
2023-03-24T00:00:00+0530,68.75,70.8,68.4,69.15,269700,0
2023-03-27T00:00:00+0530,68.1,69.4,67,67.05,219400,0
2023-03-28T00:00:00+0530,67.05,67.4,65,65.45,231635,0
2023-03-29T00:00:00+0530,65.3,67.45,65.3,66.9,580820,0
2023-03-31T00:00:00+0530,67.05,74.9,66.3,72.95,1568480,0
2023-04-03T00:00:00+0530,71.8,73.55,70.5,71.3,522470,0
2023-04-05T00:00:00+0530,71.95,75.7,71.1,74.3,804845,0
2023-04-06T00:00:00+0530,74.9,77.6,74,74.7,429190,0
2023-04-10T00:00:00+0530,75,75.55,73.65,74.2,273465,0
2023-04-11T00:00:00+0530,74.8,74.9,73.45,74.05,406705,0
2023-04-12T00:00:00+0530,74.8,75.9,74.15,75.25,262435,0
2023-04-13T00:00:00+0530,75.2,75.5,73.35,73.7,162735,0
2023-04-17T00:00:00+0530,73.8,74.05,72.6,73.6,250270,0
2023-04-18T00:00:00+0530,73.35,74.3,73.05,73.85,174655,0
2023-04-19T00:00:00+0530,73.6,74.4,73.3,73.5,130895,0
2023-04-20T00:00:00+0530,72.6,74.6,72.6,73.55,158095,0
2023-04-21T00:00:00+0530,74.25,74.25,72.1,72.8,371810,0
2023-04-24T00:00:00+0530,73.5,73.5,71.45,72,165275,0
2023-04-25T00:00:00+0530,72.4,72.9,71.25,71.6,324645,0
2023-04-26T00:00:00+0530,72.2,72.2,70.2,70.4,155765,0
2023-04-27T00:00:00+0530,70,77,69.4,76.6,1507665,0
2023-04-28T00:00:00+0530,77.35,77.35,74.45,74.85,275055,0
2023-05-02T00:00:00+0530,74.8,76.4,74.25,74.55,189890,0
2023-05-03T00:00:00+0530,75.15,78.4,74,77.4,581445,0
2023-05-04T00:00:00+0530,77.6,77.95,76.05,76.4,196695,0
2023-05-05T00:00:00+0530,77,79.6,75.65,78.85,337615,0
2023-05-08T00:00:00+0530,79.5,79.5,77.2,78.05,352515,0
2023-05-09T00:00:00+0530,78,79.6,77.15,77.7,265095,0
2023-05-10T00:00:00+0530,78.4,80.8,77.15,79.9,463585,0
2023-05-11T00:00:00+0530,80.35,84.4,79.35,81.3,5298630,0
2023-05-12T00:00:00+0530,81.3,82.3,79.9,80.95,995595,0
2023-05-15T00:00:00+0530,81.9,82.3,80.2,81.45,2073530,0
2023-05-16T00:00:00+0530,80.4,83,80.4,81.15,1457475,0
2023-05-17T00:00:00+0530,81.7,83,81.3,82.25,554610,0
2023-05-18T00:00:00+0530,82.8,84.7,81.95,83,873475,0
2023-05-19T00:00:00+0530,83,83.45,81,81.55,137650,0
2023-05-22T00:00:00+0530,83,83.2,80.95,81.85,470420,0
2023-05-23T00:00:00+0530,81.6,85.2,81.6,83.7,524385,0
2023-05-24T00:00:00+0530,84.4,86.9,82.6,83.55,794050,0
2023-05-25T00:00:00+0530,83.55,84.4,83.2,83.4,191750,0
2023-05-26T00:00:00+0530,84.4,84.7,82.55,83.8,187170,0
2023-05-29T00:00:00+0530,85,86.3,83.4,85,493030,0
2023-05-30T00:00:00+0530,85.7,86.65,84.8,85.25,292500,0
2023-05-31T00:00:00+0530,85.6,86,84.2,84.35,279355,0
2023-06-01T00:00:00+0530,84.2,85.55,83.7,84.15,174235,0
2023-06-02T00:00:00+0530,84.15,88.75,83.95,87.7,716800,0
2023-06-05T00:00:00+0530,87.55,89.5,86.95,87.8,814040,0
2023-06-06T00:00:00+0530,88.7,90.3,87.2,87.85,488475,0
2023-06-07T00:00:00+0530,88,88.4,84.8,87.25,1151780,0
2023-06-08T00:00:00+0530,87.6,87.9,85.45,87,328785,0
2023-06-09T00:00:00+0530,87.8,87.8,85,85.85,239810,0
2023-06-12T00:00:00+0530,86,87.8,82.4,84.05,942910,0
2023-06-13T00:00:00+0530,84.05,87.55,84,85.95,348235,0
2023-06-14T00:00:00+0530,86,90.95,85.85,89.7,1173245,0
2023-06-15T00:00:00+0530,90.25,90.9,87.6,88.9,556230,0
2023-06-16T00:00:00+0530,89.9,91.1,88,88.35,295695,0
2023-06-19T00:00:00+0530,88.8,90.4,87.8,89.35,218005,0
2023-06-20T00:00:00+0530,89.8,90.25,87.6,87.95,244945,0
2023-06-21T00:00:00+0530,88.6,91,87.75,88.9,652105,0
2023-06-22T00:00:00+0530,88.2,91.9,88.2,89.3,440165,0
2023-06-23T00:00:00+0530,90.1,90.1,84.2,85.65,293630,0
2023-06-26T00:00:00+0530,86,88.2,86,86.5,204100,0
2023-06-27T00:00:00+0530,86.6,88.05,85.8,86.5,198735,0
2023-06-28T00:00:00+0530,86.7,87.95,86.25,87.25,463305,0
2023-06-30T00:00:00+0530,87.5,88.1,85.05,85.4,200875,0
2023-07-03T00:00:00+0530,86,89.7,85.35,88.4,750400,0
