date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,101,101.3,99.5,100.25,1369235,0
2023-01-03T00:00:00+0530,100,101.7,99.5,99.7,954107,0
2023-01-04T00:00:00+0530,100,100.15,97.3,97.85,1167478,0
2023-01-05T00:00:00+0530,98.15,98.5,96.1,97.3,1174086,0
2023-01-06T00:00:00+0530,97.7,98.4,93.9,95.9,1449000,0
2023-01-09T00:00:00+0530,96.75,98.5,95,95.7,1567631,0
2023-01-10T00:00:00+0530,95.95,97.4,94.7,95.55,1548557,0
2023-01-11T00:00:00+0530,95.65,96.4,94.4,95.15,859241,0
2023-01-12T00:00:00+0530,95.4,95.9,92.9,93.65,1344559,0
2023-01-13T00:00:00+0530,93.95,97.25,93,95.3,2056456,0
2023-01-16T00:00:00+0530,95.8,95.8,93.75,94.1,1017562,0
2023-01-17T00:00:00+0530,93.8,94.4,91.6,92.15,1944933,0
2023-01-18T00:00:00+0530,92.6,96.75,92.6,96,3010555,0
2023-01-19T00:00:00+0530,95.25,96.5,94.2,94.6,1170982,0
2023-01-20T00:00:00+0530,95,95.1,93.25,93.85,991448,0
2023-01-23T00:00:00+0530,94.3,94.65,93.2,93.35,608599,0
2023-01-24T00:00:00+0530,93.65,94.9,92.85,93.2,770106,0
2023-01-25T00:00:00+0530,92.75,93.15,89.55,90,1444163,0
2023-01-27T00:00:00+0530,93,93.4,86.5,90.9,2258062,0
2023-01-30T00:00:00+0530,90.9,92.7,88.7,90.05,1249410,0
2023-01-31T00:00:00+0530,90.5,94,89.5,92.55,1209129,0
2023-02-01T00:00:00+0530,93.3,93.8,87.95,89.55,1327884,0
2023-02-02T00:00:00+0530,89,91.35,88.6,89.2,814452,0
2023-02-03T00:00:00+0530,89.2,90.1,85.8,87.45,1455133,0
2023-02-06T00:00:00+0530,87.4,88.9,86.6,87.15,896966,0
2023-02-07T00:00:00+0530,87.45,89.5,87.2,87.65,1066822,0
2023-02-08T00:00:00+0530,87.7,89.45,87.7,89.2,937066,0
2023-02-09T00:00:00+0530,89.35,91.6,89.2,90.9,1114915,0
2023-02-10T00:00:00+0530,90.35,93.5,90.3,91.95,1248990,0
2023-02-13T00:00:00+0530,95,95,91.7,92.4,2285959,0
2023-02-14T00:00:00+0530,92.4,92.65,86.35,87.35,2468497,0
2023-02-15T00:00:00+0530,87.3,88.9,87,88.4,926770,0
2023-02-16T00:00:00+0530,88.3,91.45,88.25,90.75,1374071,0
2023-02-17T00:00:00+0530,90.7,91.65,89.35,90.3,1071093,0
2023-02-20T00:00:00+0530,90.35,90.75,88.8,89.05,635017,0
2023-02-21T00:00:00+0530,88.9,88.9,87.25,87.85,570385,0
2023-02-22T00:00:00+0530,87.25,87.55,85.15,85.6,902844,0
