date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,199.9,207,199.75,205,68522,0
2023-01-03T00:00:00+0530,205.35,206.45,200.5,201.75,49022,0
2023-01-04T00:00:00+0530,200,202.95,198.35,201.1,26037,0
2023-01-05T00:00:00+0530,202.15,203.4,198.6,201.5,49172,0
2023-01-06T00:00:00+0530,203.4,203.4,197.55,199.95,33169,0
2023-01-09T00:00:00+0530,200.05,206,200.05,204.95,74850,0
2023-01-10T00:00:00+0530,205.05,206.2,200,202.1,38544,0
2023-01-11T00:00:00+0530,202.1,205.85,199.95,200.75,61757,0
2023-01-12T00:00:00+0530,200.75,202.6,198.15,199.15,152687,0
2023-01-13T00:00:00+0530,201.05,201.05,194.75,196.3,140067,0
2023-01-16T00:00:00+0530,195,199.7,194.9,196.6,50034,0
2023-01-17T00:00:00+0530,197,198.9,195.25,197.55,37251,0
2023-01-18T00:00:00+0530,197.9,201.8,196.8,200.25,56300,0
2023-01-19T00:00:00+0530,198.95,200.3,196.6,197.45,15851,0
2023-01-20T00:00:00+0530,198.8,198.8,196.3,197.25,20887,0
2023-01-23T00:00:00+0530,195.05,198.35,193.2,197.1,41901,0
2023-01-24T00:00:00+0530,197.1,198.25,196,196.7,19229,0
2023-01-25T00:00:00+0530,196.7,199.95,195.9,199.15,39775,0
2023-01-27T00:00:00+0530,198.25,198.5,190.95,194.95,46272,0
2023-01-30T00:00:00+0530,196.85,197.8,192.05,193.65,25840,0
2023-01-31T00:00:00+0530,194.15,197.15,193.05,196.45,23280,0
2023-02-01T00:00:00+0530,198.35,199.4,195,197.05,45395,0
2023-02-02T00:00:00+0530,197,199.35,195.35,196.3,19946,0
2023-02-03T00:00:00+0530,196.55,198,194.3,196.7,23663,0
2023-02-06T00:00:00+0530,197.5,204.7,195.8,200.1,77264,0
2023-02-07T00:00:00+0530,208,214.7,208,210.35,486724,0
2023-02-08T00:00:00+0530,209.9,211,204.25,206.45,116441,0
2023-02-09T00:00:00+0530,206.5,207.95,205.05,207.25,36753,0
2023-02-10T00:00:00+0530,207.25,209.4,204.65,207.1,304630,0
2023-02-13T00:00:00+0530,208.5,209.2,202.55,205.85,124406,0
2023-02-14T00:00:00+0530,207.9,207.9,202.05,202.5,33456,0
2023-02-15T00:00:00+0530,203.3,203.75,201,201.85,29563,0
2023-02-16T00:00:00+0530,201.85,204,197.35,199.05,95683,0
2023-02-17T00:00:00+0530,199,203,197.5,198.95,24339,0
2023-02-20T00:00:00+0530,197.7,199,195.3,196.9,99418,0
2023-02-21T00:00:00+0530,195.6,211.45,195.6,205.7,174733,0
2023-02-22T00:00:00+0530,207,207,202,203.85,47651,0
2023-02-23T00:00:00+0530,204.7,207.6,201.55,204.4,54463,0
2023-02-24T00:00:00+0530,201.4,208,201.05,201.9,23599,0
2023-02-27T00:00:00+0530,202,203.5,195.25,197.9,41683,0
2023-02-28T00:00:00+0530,197.05,199.45,196.75,197.6,36745,0
2023-03-01T00:00:00+0530,197,198.55,195.25,197.75,27374,0
2023-03-02T00:00:00+0530,198.3,202,197.05,198.15,20562,0
2023-03-03T00:00:00+0530,197.55,203.5,197.55,201.6,37822,0
2023-03-06T00:00:00+0530,199.6,203.7,198.5,200.05,33646,0
2023-03-08T00:00:00+0530,200.05,200.95,195.6,197.65,36559,0
2023-03-09T00:00:00+0530,200,205,197.95,199.4,41135,0
2023-03-10T00:00:00+0530,198.4,200.45,197.05,199,21860,0
2023-03-13T00:00:00+0530,199,199,195.1,197.15,62228,0
2023-03-14T00:00:00+0530,197.15,198.85,194.35,196.3,42738,0
2023-03-15T00:00:00+0530,198.25,198.25,193.05,193.7,59676,0
2023-03-16T00:00:00+0530,194.15,195.75,190.05,195,22924,0
2023-03-17T00:00:00+0530,195.05,196.45,192.5,194.5,16243,0
2023-03-20T00:00:00+0530,197.7,200,190.5,192.7,39088,0
2023-03-21T00:00:00+0530,194.5,197.55,192.55,196.7,39439,0
2023-03-22T00:00:00+0530,195.85,201,195.4,198.4,51037,0
2023-03-23T00:00:00+0530,198.2,200,196.85,198.5,24591,0
2023-03-24T00:00:00+0530,199.95,199.95,193,193.95,38021,0
2023-03-27T00:00:00+0530,194,194.85,191.5,191.8,61105,0
2023-03-28T00:00:00+0530,191.05,191.8,189.05,189.4,53303,0
2023-03-29T00:00:00+0530,189,189.65,187.5,188.75,53161,0
2023-03-31T00:00:00+0530,190,192.6,189.1,189.5,43858,0
2023-04-03T00:00:00+0530,190,195.9,189,192.6,38132,0
2023-04-05T00:00:00+0530,193.55,204.55,193.55,203.55,88526,0
2023-04-06T00:00:00+0530,205,207.05,200.15,201.4,70185,0
2023-04-10T00:00:00+0530,203.35,204.7,200,203,25511,0
2023-04-11T00:00:00+0530,203.55,205,198.15,200.05,40278,0
2023-04-12T00:00:00+0530,201.25,208.75,201,205.95,110636,0
2023-04-13T00:00:00+0530,205.95,212.15,204.3,211.05,126767,0
2023-04-17T00:00:00+0530,210.55,215.5,208.9,214.75,152371,0
2023-04-18T00:00:00+0530,215,219.95,214.6,219,157768,0
2023-04-19T00:00:00+0530,219,229,219,221.7,275287,0
2023-04-20T00:00:00+0530,222.8,225,212.35,216.25,147772,0
2023-04-21T00:00:00+0530,216.8,222.55,213.05,220.05,68997,0
2023-04-24T00:00:00+0530,219.5,224,216.25,222.35,45200,0
2023-04-25T00:00:00+0530,221,230.2,221,224.35,138553,0
2023-04-26T00:00:00+0530,221,239.9,221,231.3,891639,0
2023-04-27T00:00:00+0530,233.35,234.55,224.4,225.15,211207,0
2023-04-28T00:00:00+0530,227,231,223.05,228.15,192268,0
2023-05-02T00:00:00+0530,228,228.05,221.1,221.9,106998,0
2023-05-03T00:00:00+0530,222.15,226.75,221.9,223.8,115063,0
2023-05-04T00:00:00+0530,224.75,227,224,224.8,40325,0
2023-05-05T00:00:00+0530,226.75,227,223.6,225.1,50193,0
2023-05-08T00:00:00+0530,225.1,229,225,226.4,58500,0
2023-05-09T00:00:00+0530,228,229.4,225.75,226.6,46357,0
2023-05-10T00:00:00+0530,226.6,232.65,226.55,228.3,91233,0
2023-05-11T00:00:00+0530,228.95,230.55,228,228.65,81709,0
2023-05-12T00:00:00+0530,229,235,228.05,231.95,139392,0
2023-05-15T00:00:00+0530,232,236,229,229.7,96523,0
2023-05-16T00:00:00+0530,230.05,233.85,230.05,232.6,71587,0
2023-05-17T00:00:00+0530,232.6,241.8,229,240,276675,0
2023-05-18T00:00:00+0530,240.7,266,236.25,259,1386940,0
2023-05-19T00:00:00+0530,259,272.5,253.15,264,1161712,0
2023-05-22T00:00:00+0530,264.6,266.6,248.35,255.05,307797,0
2023-05-23T00:00:00+0530,257.8,268.5,256.15,266.45,307648,0
2023-05-24T00:00:00+0530,266.45,267.7,262.8,265.8,93589,0
2023-05-25T00:00:00+0530,266,269.9,262.5,264.55,88417,0
2023-05-26T00:00:00+0530,265.7,266.6,261,263.15,54746,0
2023-05-29T00:00:00+0530,262,273.15,260.3,264.8,114241,0
2023-05-30T00:00:00+0530,264.7,298,262.75,285.6,296345,0
2023-05-31T00:00:00+0530,280,287,274.1,285.2,212381,0
2023-06-01T00:00:00+0530,282.35,285.9,278.4,281.35,190053,0
2023-06-02T00:00:00+0530,281.35,291.95,280.25,287.75,160520,0
2023-06-05T00:00:00+0530,290,290.55,273.95,276.9,93611,0
2023-06-06T00:00:00+0530,278.45,282.3,271.9,273.2,184616,0
2023-06-07T00:00:00+0530,275.9,275.9,263.55,266.4,84634,0
2023-06-08T00:00:00+0530,267.3,273.45,262.2,263.4,196534,0
2023-06-09T00:00:00+0530,264.5,267.95,261.35,261.7,47382,0
2023-06-12T00:00:00+0530,262.2,270.7,261.3,266.7,346254,0
2023-06-13T00:00:00+0530,269,269,260.2,261.85,70773,0
2023-06-14T00:00:00+0530,262.5,273.5,262.2,271.5,129617,0
2023-06-15T00:00:00+0530,272.1,282.6,271.5,280.25,161941,0
2023-06-16T00:00:00+0530,282,286.5,279.3,285.05,191753,0
2023-06-19T00:00:00+0530,286,289,272,285.15,226892,0
2023-06-20T00:00:00+0530,285.15,287.6,279.5,280.55,50770,0
2023-06-21T00:00:00+0530,279.5,290,279.35,284,98680,0
2023-06-22T00:00:00+0530,284,287.1,272,275.75,96528,0
2023-06-23T00:00:00+0530,278,278.05,271.35,272.9,62230,0
2023-06-26T00:00:00+0530,272.9,281.7,272.25,278.65,73956,0
2023-06-27T00:00:00+0530,281.45,281.6,274.2,275.9,49049,0
2023-06-28T00:00:00+0530,275.9,279.8,272.05,274.25,48835,0
2023-06-30T00:00:00+0530,274.25,277.2,272,273.1,25690,0
2023-07-03T00:00:00+0530,272.25,275.45,268.2,274.4,43674,0
2023-07-04T00:00:00+0530,275,277.1,270.35,273.1,39326,0
2023-07-05T00:00:00+0530,273.1,283.05,273.1,276.6,78045,0
2023-07-06T00:00:00+0530,276.6,279.55,275.3,277.45,30959,0
2023-07-07T00:00:00+0530,279,283,277.1,278,66490,0
2023-07-10T00:00:00+0530,278,295,277,286.25,275507,0
2023-07-11T00:00:00+0530,286.9,292.95,286.5,287.05,98288,0
