date,open,high,low,close,volume,empty
2024-10-07T00:00:00+0530,486,508,461.7,490.35,279600,0
2024-10-08T00:00:00+0530,467,500,465.85,482.5,63600,0
2024-10-09T00:00:00+0530,477,499,473,491.65,32700,0
2024-10-10T00:00:00+0530,497,516.2,492,516.2,27900,0
2024-10-11T00:00:00+0530,541.8,542,541,542,7800,0
2024-10-14T00:00:00+0530,569.1,569.1,562,569.1,62700,0
2024-10-15T00:00:00+0530,591,597.55,580,597.55,15000,0
2024-10-16T00:00:00+0530,627.4,627.4,627.4,627.4,8100,0
2024-10-17T00:00:00+0530,658.75,658.75,658.75,658.75,4200,0
2024-10-18T00:00:00+0530,691.65,691.65,691.65,691.65,12600,0
2024-10-21T00:00:00+0530,730,730,606,616.3,104700,0
2024-10-22T00:00:00+0530,605.05,610,510,522.3,64200,0
2024-10-23T00:00:00+0530,540,614,531,590.25,30000,0
2024-10-24T00:00:00+0530,600,629.7,541.5,562.45,28200,0
2024-10-25T00:00:00+0530,576.55,606,532.15,598.4,27900,0
2024-10-28T00:00:00+0530,609.9,609.9,560,585,11100,0
2024-10-29T00:00:00+0530,585,585,560,570,3300,0
2024-10-30T00:00:00+0530,561.05,585,560,572,5100,0
2024-10-31T00:00:00+0530,563.05,592.7,563.05,578,4200,0
2024-11-01T00:00:00+0530,580,585,580,583.75,1500,0
2024-11-04T00:00:00+0530,570,614.95,562,578.7,7800,0
2024-11-05T00:00:00+0530,580.05,619,580.05,613.55,11400,0
2024-11-06T00:00:00+0530,590.1,670,590.1,646,11100,0
2024-11-07T00:00:00+0530,646,664.95,627,629.4,4200,0
2024-11-08T00:00:00+0530,631,633.95,610,610.05,3600,0
2024-11-11T00:00:00+0530,610.05,624,610,613.25,3300,0
2024-11-12T00:00:00+0530,616,624,603,608.25,3300,0
2024-11-13T00:00:00+0530,599,645,565.05,597.65,14700,0
2024-11-14T00:00:00+0530,572.25,596,570,590.85,7200,0
2024-11-18T00:00:00+0530,588,588.8,571.05,571.05,2400,0
2024-11-19T00:00:00+0530,572,590,569.9,570.3,8100,0
2024-11-21T00:00:00+0530,571,579.95,525,540.8,15000,0
2024-11-22T00:00:00+0530,562.95,569.55,551,551,3900,0
2024-11-25T00:00:00+0530,556.35,584,556,565,7500,0
2024-11-26T00:00:00+0530,575,575,550.55,557.4,2100,0
2024-11-27T00:00:00+0530,551.05,574,550,574,2100,0
2024-11-28T00:00:00+0530,565.2,565.2,557.15,557.55,3600,0
2024-11-29T00:00:00+0530,560.05,565,560,562.5,2700,0
2024-12-02T00:00:00+0530,550.35,588.35,550.35,583.8,6900,0
2024-12-03T00:00:00+0530,605,614.95,601,601,2100,0
2024-12-04T00:00:00+0530,610,612,590.05,600.85,5400,0
2024-12-05T00:00:00+0530,597.75,605,597.75,605,1500,0
2024-12-06T00:00:00+0530,600,600,600,600,300,0
2024-12-09T00:00:00+0530,580.9,584.95,575.1,578.7,2100,0
2024-12-10T00:00:00+0530,567.6,579.9,562.55,576.95,5100,0
