date,open,high,low,close,volume,empty
2024-08-28T00:00:00+0530,132.1,138.7,132.1,138.7,476000,0
2024-08-29T00:00:00+0530,145.6,145.6,138.7,145.6,668000,0
2024-08-30T00:00:00+0530,138.35,144,138.35,140.9,337000,0
2024-09-02T00:00:00+0530,143,143,133.85,133.85,98000,0
2024-09-03T00:00:00+0530,127.15,127.15,127.15,127.15,23000,0
2024-09-04T00:00:00+0530,120.8,124.95,120.8,120.8,217000,0
2024-09-05T00:00:00+0530,114.8,120.8,114.8,114.8,231000,0
2024-09-06T00:00:00+0530,109.5,114.85,109.1,109.1,68000,0
2024-09-09T00:00:00+0530,103.65,103.65,103.65,103.65,27000,0
2024-09-10T00:00:00+0530,98.5,108.8,98.5,108.8,168000,0
2024-09-11T00:00:00+0530,115,126,115,116.15,374000,0
2024-09-12T00:00:00+0530,116.5,116.5,102.5,104.5,101000,0
2024-09-13T00:00:00+0530,109,109,102.55,103.95,80000,0
2024-09-16T00:00:00+0530,103.95,103.95,96.3,100.25,43000,0
2024-09-17T00:00:00+0530,101,105,97.5,103.45,47000,0
2024-09-18T00:00:00+0530,102,102,99.25,100,30000,0
2024-09-19T00:00:00+0530,102,102,97.1,99.25,13000,0
2024-09-20T00:00:00+0530,104.5,104.5,98.8,99.45,25000,0
2024-09-23T00:00:00+0530,100,100.15,97.95,98.1,26000,0
2024-09-24T00:00:00+0530,96.65,97.9,95,97.35,35000,0
2024-09-25T00:00:00+0530,98.4,99.1,97.35,98.5,10000,0
2024-09-26T00:00:00+0530,99.95,100.9,95.5,98,9000,0
2024-09-27T00:00:00+0530,99,100.5,96,97,14000,0
2024-09-30T00:00:00+0530,96.5,100.5,95,99.5,12000,0
2024-10-01T00:00:00+0530,100,101,98,99.9,16000,0
2024-10-03T00:00:00+0530,99,99.55,91.55,95.75,66000,0
2024-10-04T00:00:00+0530,97,99.5,96,96.8,12000,0
2024-10-07T00:00:00+0530,99,100.5,93.15,93.2,31000,0
2024-10-08T00:00:00+0530,92,99,92,97,26000,0
2024-10-09T00:00:00+0530,109,109,97.75,97.75,23000,0
