date,open,high,low,close,volume,empty
2025-05-05T00:00:00+0530,980,980,980,980,10,0
2025-05-19T00:00:00+0530,979.9,979.9,979.9,979.9,10,0
2025-05-20T00:00:00+0530,980,980,980,980,1,0
2025-05-21T00:00:00+0530,980,980,980,980,10,0
2025-05-22T00:00:00+0530,980,980,980,980,35,0
2025-05-26T00:00:00+0530,980,980,980,980,4,0
2025-06-02T00:00:00+0530,980,980,980,980,10,0
2025-06-03T00:00:00+0530,980,980,980,980,100,0
2025-06-10T00:00:00+0530,980,983.72,980,983,30,0
2025-06-17T00:00:00+0530,980,982.5,977,982,14013,0
2025-06-20T00:00:00+0530,1000,1000,1000,1000,1,0
2025-06-26T00:00:00+0530,1000,1000,1000,1000,10,0
2025-07-02T00:00:00+0530,996,996,996,996,113,0
2025-07-25T00:00:00+0530,1000,1000,1000,1000,50,0
2025-08-26T00:00:00+0530,1016.25,1016.25,1016.25,1016.25,499,0
2025-09-02T00:00:00+0530,1025.8,1025.8,1025.8,1025.8,9,0
2025-09-05T00:00:00+0530,1025.8,1025.8,1025.8,1025.8,5,0
