date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,22.65,23.15,22,22.55,6766,0
2023-01-03T00:00:00+0530,22.5,22.85,22.25,22.3,2474,0
2023-01-04T00:00:00+0530,22.25,24.6,21.9,23.2,55287,0
2023-01-05T00:00:00+0530,23.65,27.8,22.8,27.8,191296,0
2023-01-06T00:00:00+0530,29.6,32.7,28.35,28.9,1201738,0
2023-01-09T00:00:00+0530,29.3,30.4,26.5,27.15,161342,0
2023-01-10T00:00:00+0530,27.4,27.55,24.5,24.8,217812,0
2023-01-11T00:00:00+0530,25.9,26.3,24.5,25,50573,0
2023-01-12T00:00:00+0530,25,25,23.75,24.6,20732,0
2023-01-13T00:00:00+0530,24.75,25.7,23.65,25.2,29047,0
2023-01-16T00:00:00+0530,24.2,25.15,24,24.75,16714,0
2023-01-17T00:00:00+0530,24.9,24.9,24.1,24.25,10811,0
2023-01-18T00:00:00+0530,23.85,24.75,23.5,23.7,24047,0
2023-01-19T00:00:00+0530,23.8,24.35,23.25,23.6,11669,0
2023-01-20T00:00:00+0530,23.9,24.2,23.3,23.45,5056,0
2023-01-23T00:00:00+0530,23.45,23.7,22.5,23.2,25228,0
2023-01-24T00:00:00+0530,23.45,23.45,22.6,23,8819,0
2023-01-25T00:00:00+0530,23.15,23.6,22.3,22.5,7947,0
2023-01-27T00:00:00+0530,22.5,22.95,21.5,21.9,7898,0
2023-01-30T00:00:00+0530,21.5,21.9,21.05,21.7,9670,0
2023-01-31T00:00:00+0530,21.75,22.15,21,21.1,8635,0
2023-02-01T00:00:00+0530,21.6,22.05,21.45,21.5,1617,0
2023-02-02T00:00:00+0530,21.9,21.9,21,21.3,2630,0
2023-02-03T00:00:00+0530,21,21.75,21,21.5,2367,0
2023-02-06T00:00:00+0530,22,22,20.6,21.4,1913,0
2023-02-07T00:00:00+0530,21.4,21.95,20.8,20.95,8939,0
2023-02-08T00:00:00+0530,20.1,21.8,20.1,21.05,6500,0
2023-02-09T00:00:00+0530,22.1,22.1,21.65,22.1,12312,0
2023-02-10T00:00:00+0530,22.6,23.2,22.5,23,18755,0
2023-02-13T00:00:00+0530,23.85,23.85,21.85,21.85,11655,0
2023-02-14T00:00:00+0530,21.5,22.55,21.05,22.25,3065,0
2023-02-15T00:00:00+0530,21.75,22.25,21.3,21.8,3392,0
2023-02-16T00:00:00+0530,21.8,22.25,20.75,21.55,16637,0
2023-02-17T00:00:00+0530,21,21.95,21,21.85,3121,0
2023-02-20T00:00:00+0530,21.1,22.2,21.1,22,3417,0
2023-02-21T00:00:00+0530,21.5,22,21.35,21.65,2539,0
2023-02-22T00:00:00+0530,21.25,21.75,21,21.25,2840,0
2023-02-23T00:00:00+0530,21.25,21.7,20.5,21.1,525,0
2023-02-24T00:00:00+0530,21.1,21.4,20.3,20.95,6186,0
2023-02-27T00:00:00+0530,20.95,20.95,20.25,20.45,3231,0
2023-02-28T00:00:00+0530,20.85,20.85,20.1,20.25,2141,0
2023-03-01T00:00:00+0530,20.25,21.25,19.75,20.65,17971,0
2023-03-02T00:00:00+0530,20.55,20.55,20.2,20.3,3178,0
2023-03-03T00:00:00+0530,21.15,21.15,20.3,20.6,16772,0
2023-03-06T00:00:00+0530,20.15,20.95,19.75,20.35,15930,0
2023-03-08T00:00:00+0530,20.65,20.85,20.05,20.4,1975,0
2023-03-09T00:00:00+0530,20.45,20.8,19.95,20.1,1179,0
2023-03-10T00:00:00+0530,20.1,20.5,19.95,20.35,1637,0
2023-03-13T00:00:00+0530,20.65,20.95,19.85,20.65,9731,0
2023-03-14T00:00:00+0530,20.15,20.7,20,20.35,2676,0
2023-03-15T00:00:00+0530,19.75,21,19.75,20.05,14101,0
2023-03-16T00:00:00+0530,19.8,20.8,19.75,20.1,4063,0
2023-03-17T00:00:00+0530,20.7,20.75,19.75,20,2805,0
2023-03-20T00:00:00+0530,20,20.5,19.5,20.4,2575,0
2023-03-21T00:00:00+0530,20.5,20.85,19.85,20.05,4651,0
2023-03-22T00:00:00+0530,19.8,20.5,19.5,20,5408,0
2023-03-23T00:00:00+0530,20.1,20.45,19.65,19.75,5039,0
2023-03-24T00:00:00+0530,19.75,20.55,19.5,19.85,3090,0
2023-03-27T00:00:00+0530,19.85,20.45,19.05,19.75,6093,0
2023-03-28T00:00:00+0530,19.75,19.8,18.9,19,8350,0
2023-03-29T00:00:00+0530,19.7,19.7,18.2,18.65,6136,0
2023-03-31T00:00:00+0530,18.65,19.55,18.2,18.25,12848,0
2023-04-03T00:00:00+0530,19.15,19.15,18.5,18.9,15202,0
2023-04-05T00:00:00+0530,18.55,19.5,18.55,19.4,7676,0
2023-04-06T00:00:00+0530,19.8,20.3,18.7,19.75,13774,0
2023-04-10T00:00:00+0530,20.6,20.6,19.1,19.35,9928,0
2023-04-11T00:00:00+0530,19.5,19.8,19.15,19.35,1537,0
2023-04-12T00:00:00+0530,19.3,20,19.3,19.65,3176,0
2023-04-13T00:00:00+0530,19.8,20.25,19.8,19.85,13918,0
2023-04-17T00:00:00+0530,20.45,20.8,19.3,20.6,9945,0
2023-04-18T00:00:00+0530,20.65,21,20.4,20.6,4830,0
2023-04-19T00:00:00+0530,20.6,20.9,19.9,20.4,3201,0
2023-04-20T00:00:00+0530,20.35,21.25,20.35,20.6,4804,0
2023-04-21T00:00:00+0530,20.6,21.35,20.05,20.3,4258,0
2023-04-24T00:00:00+0530,19.55,21.05,19.55,20.4,1904,0
2023-04-25T00:00:00+0530,20.1,21.1,19.5,20.4,6375,0
2023-04-26T00:00:00+0530,20.3,20.8,19.7,20.3,19420,0
2023-04-27T00:00:00+0530,20.55,20.55,20.05,20.4,5566,0
2023-04-28T00:00:00+0530,20.1,20.85,19.55,20.1,12146,0
2023-05-02T00:00:00+0530,20.6,20.65,20.15,20.3,5017,0
2023-05-03T00:00:00+0530,20.15,20.55,19.85,20.45,2704,0
2023-05-04T00:00:00+0530,20.55,20.7,20.1,20.35,7173,0
2023-05-05T00:00:00+0530,20.35,20.8,20,20.25,4316,0
2023-05-08T00:00:00+0530,21,21,20.1,20.5,6198,0
2023-05-09T00:00:00+0530,20.45,20.85,20.2,20.65,8723,0
2023-05-10T00:00:00+0530,20.1,21,20.1,20.8,5249,0
