date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,414,423.9,408,412.65,437953,0
2023-01-03T00:00:00+0530,414,420.8,408.15,410.65,75448,0
2023-01-04T00:00:00+0530,411.55,411.55,388.15,398.65,170307,0
2023-01-05T00:00:00+0530,399.05,405.75,393.25,396.8,51991,0
2023-01-06T00:00:00+0530,398.7,398.7,390.6,394.1,22483,0
2023-01-09T00:00:00+0530,410,413.3,401.6,406.15,181852,0
2023-01-10T00:00:00+0530,406.15,409.05,398,400.9,22785,0
2023-01-11T00:00:00+0530,401,402.9,393.05,396.3,43880,0
2023-01-12T00:00:00+0530,395.6,402.8,395.6,398,51460,0
2023-01-13T00:00:00+0530,399.9,402.8,396.3,398.65,34821,0
2023-01-16T00:00:00+0530,398.65,404,396,396.75,31847,0
2023-01-17T00:00:00+0530,397.6,401.8,390.45,393.65,37611,0
2023-01-18T00:00:00+0530,394.7,400.65,393.35,398.4,57837,0
2023-01-19T00:00:00+0530,397.8,398.8,392,394.4,28527,0
2023-01-20T00:00:00+0530,395.15,395.15,390.4,391.5,26874,0
2023-01-23T00:00:00+0530,394.8,409.8,391.6,404.75,455326,0
2023-01-24T00:00:00+0530,404.45,408.45,359,362.9,804060,0
2023-01-25T00:00:00+0530,361.75,361.75,346,348.6,341401,0
2023-01-27T00:00:00+0530,349.55,352.7,336.3,339,141943,0
2023-01-30T00:00:00+0530,339,343.35,331,338.9,96474,0
2023-01-31T00:00:00+0530,337,345,324.6,327.6,122740,0
2023-02-01T00:00:00+0530,327.6,340.2,320.2,325.05,151968,0
2023-02-02T00:00:00+0530,325.1,349.85,318.45,337.55,159764,0
2023-02-03T00:00:00+0530,339.25,344,322,335.6,167832,0
2023-02-06T00:00:00+0530,336,338.8,325.15,335,128419,0
2023-02-07T00:00:00+0530,335,339.55,330.05,335.55,72380,0
2023-02-08T00:00:00+0530,337,338.3,332.8,336.7,47836,0
2023-02-09T00:00:00+0530,337.95,337.95,331,332.25,47294,0
2023-02-10T00:00:00+0530,333,369,332.45,364.95,1402350,0
2023-02-13T00:00:00+0530,360,381.6,357.85,367.1,631482,0
2023-02-14T00:00:00+0530,361,373.9,357.25,369.15,193456,0
2023-02-15T00:00:00+0530,370.55,377.7,366.1,372.3,194452,0
2023-02-16T00:00:00+0530,372.3,377.25,371.65,374.2,72235,0
2023-02-17T00:00:00+0530,371,379.8,371,375.7,74517,0
2023-02-20T00:00:00+0530,375.15,377.15,365.6,367.95,95626,0
2023-02-21T00:00:00+0530,368.2,375.05,364.3,368.25,75668,0
2023-02-22T00:00:00+0530,368.25,378.55,356.8,362.3,120810,0
2023-02-23T00:00:00+0530,361.4,369,360.05,362.45,72849,0
2023-02-24T00:00:00+0530,364.3,365.05,345.05,346.75,87065,0
2023-02-27T00:00:00+0530,347,365,333.6,353.85,168474,0
2023-02-28T00:00:00+0530,355.65,370.95,355.55,359.05,775915,0
2023-03-01T00:00:00+0530,359.05,361.9,349.55,354.05,201906,0
2023-03-02T00:00:00+0530,347,355.6,335.7,339.15,107816,0
2023-03-03T00:00:00+0530,344.75,347.35,337.4,340.65,146313,0
2023-03-06T00:00:00+0530,341.5,345.25,337,341.95,95160,0
2023-03-08T00:00:00+0530,339.8,345,338.2,341.15,84651,0
2023-03-09T00:00:00+0530,342.1,345.3,338.65,342.4,76244,0
2023-03-10T00:00:00+0530,342.05,345.75,336.4,338.3,73571,0
2023-03-13T00:00:00+0530,342.5,344.3,328.4,332.85,97724,0
2023-03-14T00:00:00+0530,333.15,356,333.15,348.9,639746,0
2023-03-15T00:00:00+0530,349.15,351.7,342,344.95,185138,0
2023-03-16T00:00:00+0530,346.7,348.7,317.2,320.35,414714,0
2023-03-17T00:00:00+0530,320.5,325.65,320.05,321.75,114585,0
2023-03-20T00:00:00+0530,322.7,336,316.5,326.65,451041,0
2023-03-21T00:00:00+0530,328.25,335.95,327.35,330.1,126496,0
2023-03-22T00:00:00+0530,330.5,334.75,327.05,328.1,78072,0
2023-03-23T00:00:00+0530,328.95,333.95,326.7,331.8,123960,0
2023-03-24T00:00:00+0530,328,331.15,325.45,327.75,66452,0
2023-03-27T00:00:00+0530,328.55,349.05,327.25,336.05,483147,0
2023-03-28T00:00:00+0530,337.75,337.75,321.35,326.1,76255,0
2023-03-29T00:00:00+0530,329.4,332.65,320.1,324.7,196608,0
2023-03-31T00:00:00+0530,325.75,331.75,322.85,325.25,75873,0
2023-04-03T00:00:00+0530,326.85,331.5,326.3,329.8,59836,0
2023-04-05T00:00:00+0530,331.4,338.1,326.05,327.5,105293,0
2023-04-06T00:00:00+0530,328.1,334.45,326.8,331.15,78582,0
2023-04-10T00:00:00+0530,335.4,336.95,329.8,333.75,91215,0
2023-04-11T00:00:00+0530,333.8,340,331.2,333.25,74634,0
2023-04-12T00:00:00+0530,334.95,337,327.5,331.15,106538,0
2023-04-13T00:00:00+0530,332.2,335.7,328.05,329.1,98023,0
2023-04-17T00:00:00+0530,331.4,331.75,324.55,325.55,165229,0
2023-04-18T00:00:00+0530,326.25,329.1,318,319.25,120252,0
2023-04-19T00:00:00+0530,321.85,323.2,314.6,315.5,120591,0
2023-04-20T00:00:00+0530,317.95,319.45,312,313,69970,0
2023-04-21T00:00:00+0530,315.35,317.1,307.3,310,119673,0
2023-04-24T00:00:00+0530,312,318,310.25,311.6,245993,0
2023-04-25T00:00:00+0530,314.35,315.75,308.15,309.35,96265,0
2023-04-26T00:00:00+0530,310.9,314.75,306.4,310.95,228964,0
2023-04-27T00:00:00+0530,311.9,315,311,314.4,86209,0
2023-04-28T00:00:00+0530,315.05,325.45,313.7,323.45,159267,0
2023-05-02T00:00:00+0530,323.45,326,318.45,322.15,93219,0
2023-05-03T00:00:00+0530,324.9,332.2,321.45,329.45,272032,0
2023-05-04T00:00:00+0530,330.75,334.4,327.6,329.75,55787,0
2023-05-05T00:00:00+0530,330.9,334.95,324.15,332.9,85666,0
2023-05-08T00:00:00+0530,332.9,338.9,330.1,338.3,98160,0
2023-05-09T00:00:00+0530,338.3,343.3,334.15,336.15,144097,0
2023-05-10T00:00:00+0530,337.8,338.7,330.65,332.3,44537,0
2023-05-11T00:00:00+0530,333.8,343.1,332.65,342.05,67559,0
2023-05-12T00:00:00+0530,342.05,357.6,335.9,354.05,165585,0
2023-05-15T00:00:00+0530,351,359.8,350.8,352.25,97354,0
2023-05-16T00:00:00+0530,351.4,357.95,348.6,356.25,45217,0
2023-05-17T00:00:00+0530,356.95,358.95,350.3,351.65,23371,0
2023-05-18T00:00:00+0530,353,362.85,348,353.75,52683,0
2023-05-19T00:00:00+0530,353.45,353.45,342.25,351.1,34982,0
2023-05-22T00:00:00+0530,352.5,352.5,345.9,347.8,21458,0
2023-05-23T00:00:00+0530,347.9,363.15,331.8,340.15,399324,0
2023-05-24T00:00:00+0530,335.05,345,328.3,339.75,128097,0
2023-05-25T00:00:00+0530,339.75,349.15,335.05,336.25,38295,0
2023-05-26T00:00:00+0530,336.35,337.35,329.1,334.8,72786,0
2023-05-29T00:00:00+0530,336.5,345,334.8,336.25,61542,0
2023-05-30T00:00:00+0530,336.05,340,330.9,333.1,52025,0
2023-05-31T00:00:00+0530,333.65,362.2,330,352.15,118770,0
2023-06-01T00:00:00+0530,351.9,353.45,342.75,344.3,86016,0
2023-06-02T00:00:00+0530,344.3,354.1,341.6,352.15,66186,0
2023-06-05T00:00:00+0530,351.05,351.05,331.3,333.35,426432,0
2023-06-06T00:00:00+0530,335,339.95,327.3,331.2,362010,0
2023-06-07T00:00:00+0530,332.9,339,328,329.15,169623,0
2023-06-08T00:00:00+0530,330.9,332.65,328.5,329.55,57928,0
2023-06-09T00:00:00+0530,329.5,334.9,326.05,329.65,151416,0
2023-06-12T00:00:00+0530,333.85,333.85,329.05,330.95,99235,0
2023-06-13T00:00:00+0530,332.5,333,320.2,321.8,255251,0
2023-06-14T00:00:00+0530,323.45,324.65,320.1,322.05,80509,0
2023-06-15T00:00:00+0530,322.4,333.15,322.4,329.3,164031,0
2023-06-16T00:00:00+0530,332.1,333.5,329.9,330.55,105278,0
2023-06-19T00:00:00+0530,332,336.5,329.25,330.85,154176,0
2023-06-20T00:00:00+0530,330.85,333.55,328,329.75,100662,0
2023-06-21T00:00:00+0530,331.4,331.4,326.05,328.35,65193,0
2023-06-22T00:00:00+0530,329.7,329.9,320,321.05,87243,0
2023-06-23T00:00:00+0530,318,323.55,316.1,319.9,64102,0
2023-06-26T00:00:00+0530,319.9,332.5,318.4,329.4,142443,0
2023-06-27T00:00:00+0530,330.8,332.7,324.15,326.5,71560,0
2023-06-28T00:00:00+0530,327,330.95,325.05,326.15,44322,0
2023-06-30T00:00:00+0530,327.05,330,325.3,326.95,76462,0
2023-07-03T00:00:00+0530,327.05,334,327.05,329.35,85926,0
2023-07-04T00:00:00+0530,331.3,331.85,325,327.65,60934,0
2023-07-05T00:00:00+0530,328.9,333.55,328.25,329.55,86534,0
2023-07-06T00:00:00+0530,330.9,331,325,326.6,77457,0
2023-07-07T00:00:00+0530,326.6,329.95,324.1,324.8,78529,0
2023-07-10T00:00:00+0530,326.3,326.4,315,320.65,43343,0
2023-07-11T00:00:00+0530,321.3,331.3,317.85,322.65,282394,0
2023-07-12T00:00:00+0530,322.95,328,321.1,325.45,92888,0
2023-07-13T00:00:00+0530,327,327.9,321.85,323.3,35167,0
2023-07-14T00:00:00+0530,324,326,322,322.95,37556,0
2023-07-17T00:00:00+0530,323,332,323,330.25,119005,0
2023-07-18T00:00:00+0530,332,332,325.7,328.85,94887,0
2023-07-19T00:00:00+0530,331.7,332.25,328.55,329.75,66507,0
2023-07-20T00:00:00+0530,330.75,333.5,326.95,331.8,101148,0
2023-07-21T00:00:00+0530,330.35,339.95,330.35,332.05,184324,0
2023-07-24T00:00:00+0530,333.75,336.15,329,329.8,51757,0
2023-07-25T00:00:00+0530,330,335.05,315.3,322.85,458346,0
2023-07-26T00:00:00+0530,324,332.1,316,317,986902,0
2023-07-27T00:00:00+0530,318.05,324.95,317.05,317.85,112164,0
2023-07-28T00:00:00+0530,319.95,321.75,316.95,318.55,75582,0
2023-07-31T00:00:00+0530,317,325,315,317.15,191950,0
2023-08-01T00:00:00+0530,317.5,321.35,314.1,314.8,129149,0
2023-08-02T00:00:00+0530,315.25,317.9,311.8,313.65,84262,0
2023-08-03T00:00:00+0530,313.65,325.3,312.2,324,238400,0
2023-08-04T00:00:00+0530,327.85,328.9,321.45,324.3,109157,0
2023-08-07T00:00:00+0530,325.95,327.9,318.9,321.75,182135,0
2023-08-08T00:00:00+0530,323,325.8,318.05,319.55,396391,0
2023-08-09T00:00:00+0530,321.05,343.95,321,341.65,766491,0
2023-08-10T00:00:00+0530,346,346.9,337.8,345.05,266870,0
2023-08-11T00:00:00+0530,346.1,352.6,340,341.7,177420,0
2023-08-14T00:00:00+0530,340.05,343.35,334,342.3,73770,0
2023-08-16T00:00:00+0530,338.2,341.1,333.65,339.3,59782,0
2023-08-17T00:00:00+0530,340.4,343.1,333,335.45,89803,0
2023-08-18T00:00:00+0530,335.45,340.9,327.2,329,76135,0
2023-08-21T00:00:00+0530,330,333,328,329.35,55035,0
2023-08-22T00:00:00+0530,330.05,336.6,330.05,335.55,65134,0
2023-08-23T00:00:00+0530,336.95,337,328.8,330.5,84698,0
2023-08-24T00:00:00+0530,332,336.3,327.65,329.65,70377,0
2023-08-25T00:00:00+0530,329.4,331,321.3,323.65,94919,0
2023-08-28T00:00:00+0530,324,330.15,322,323.25,73443,0
2023-08-29T00:00:00+0530,324.25,327.55,320.75,321.7,127029,0
2023-08-30T00:00:00+0530,322.05,327.85,318.3,319.2,170389,0
2023-08-31T00:00:00+0530,320.65,323,315.1,317.25,100300,0
2023-09-01T00:00:00+0530,318,322.8,309.5,311.85,327089,0
