date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,60.05,61,58.95,59.85,75541,0
2023-01-03T00:00:00+0530,59.25,61.65,59.25,59.95,85248,0
2023-01-04T00:00:00+0530,60.3,60.6,59.6,60,88018,0
2023-01-05T00:00:00+0530,60,60.3,58.55,58.85,39809,0
2023-01-06T00:00:00+0530,59.15,59.2,56.85,57.7,75645,0
2023-01-09T00:00:00+0530,58.6,58.95,56.9,57.2,72401,0
2023-01-10T00:00:00+0530,57.2,58.45,56.8,57.85,40161,0
2023-01-11T00:00:00+0530,57.25,58.95,57.25,58.7,33904,0
2023-01-12T00:00:00+0530,58.15,59.15,57.8,58.5,65357,0
2023-01-13T00:00:00+0530,58.7,58.95,56.25,56.7,187559,0
2023-01-16T00:00:00+0530,57.75,57.75,56.3,56.55,236013,0
2023-01-17T00:00:00+0530,56.8,56.9,55.55,56.25,260319,0
2023-01-18T00:00:00+0530,56.25,58.55,56.25,57.05,168956,0
2023-01-19T00:00:00+0530,56.85,56.95,55.1,55.35,92827,0
2023-01-20T00:00:00+0530,55.5,56.35,55,55.3,31724,0
2023-01-23T00:00:00+0530,56,56,54.7,54.7,88045,0
2023-01-24T00:00:00+0530,55.3,55.3,54.05,54.2,57297,0
2023-01-25T00:00:00+0530,54.25,54.8,53.3,54.25,44753,0
2023-01-27T00:00:00+0530,55,55,52.9,53.1,55767,0
2023-01-30T00:00:00+0530,52.55,53.8,52.55,52.8,27122,0
2023-01-31T00:00:00+0530,53.4,54.8,52.8,54.2,24817,0
2023-02-01T00:00:00+0530,54.75,54.75,51.5,52.55,65745,0
2023-02-02T00:00:00+0530,52.5,52.95,51.65,52.4,69238,0
2023-02-03T00:00:00+0530,52.85,52.85,50.45,51.7,52918,0
2023-02-06T00:00:00+0530,52.35,52.35,51.05,51.45,29347,0
2023-02-07T00:00:00+0530,52.15,53.2,49.1,52.2,70483,0
2023-02-08T00:00:00+0530,52.3,53,51.5,52,30454,0
2023-02-09T00:00:00+0530,52.7,52.7,51.7,52.2,53500,0
2023-02-10T00:00:00+0530,52.8,53.5,51.75,52.2,37562,0
2023-02-13T00:00:00+0530,50.25,51,47.15,48.4,152883,0
2023-02-14T00:00:00+0530,49.6,49.6,47.2,47.95,76895,0
2023-02-15T00:00:00+0530,48.25,48.6,46.9,47.15,47829,0
2023-02-16T00:00:00+0530,47.8,48,45.75,47.3,113768,0
2023-02-17T00:00:00+0530,47.4,47.5,45.15,45.95,109925,0
2023-02-20T00:00:00+0530,46.5,46.5,44.85,45.35,107302,0
2023-02-21T00:00:00+0530,45.85,46.3,44.5,45.75,61257,0
2023-02-22T00:00:00+0530,46.25,46.25,43.55,44.55,101373,0
2023-02-23T00:00:00+0530,44.15,46.5,42.6,45.55,114092,0
2023-02-24T00:00:00+0530,46.15,47.5,45,45.3,66268,0
2023-02-27T00:00:00+0530,45.9,45.9,44.4,44.45,57405,0
2023-02-28T00:00:00+0530,44.5,48.05,44,47.2,189880,0
2023-03-01T00:00:00+0530,47.2,48.3,45.85,46.6,77132,0
2023-03-02T00:00:00+0530,47.25,47.45,46,46.15,49732,0
2023-03-03T00:00:00+0530,46.15,46.9,44.55,45.15,104485,0
2023-03-06T00:00:00+0530,45,46.5,45,45.55,64510,0
2023-03-08T00:00:00+0530,45.5,45.65,43.8,44.95,55046,0
2023-03-09T00:00:00+0530,45.55,45.8,44.35,44.75,72302,0
