date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,33.4,34.4,33,33.5,10170,0
2023-01-03T00:00:00+0530,33.7,33.7,32.5,33.1,10640,0
2023-01-04T00:00:00+0530,33.3,33.3,32,32,37420,0
2023-01-05T00:00:00+0530,32,32.8,31.2,32.4,7030,0
2023-01-06T00:00:00+0530,32.5,32.5,30.8,32,23290,0
2023-01-09T00:00:00+0530,31,32,30.8,30.8,7860,0
2023-01-10T00:00:00+0530,31.5,32,29.3,29.6,72240,0
2023-01-11T00:00:00+0530,29.6,30.8,28.5,30.4,28140,0
2023-01-12T00:00:00+0530,29.6,29.8,28.9,29.3,28070,0
2023-01-13T00:00:00+0530,29.4,30.6,28.4,30.2,29760,0
2023-01-16T00:00:00+0530,30.8,30.8,29,29.1,18580,0
2023-01-17T00:00:00+0530,29.1,29.8,29,29.6,12720,0
2023-01-18T00:00:00+0530,31.1,31.1,30,31.1,45470,0
2023-01-19T00:00:00+0530,32.6,32.6,32.6,32.6,12980,0
2023-01-20T00:00:00+0530,34.2,34.2,34.2,34.2,18150,0
2023-01-23T00:00:00+0530,36,36,35.3,36,140110,0
2023-01-24T00:00:00+0530,37.8,37.8,37.8,37.8,67460,0
2023-01-25T00:00:00+0530,39.6,39.6,39.1,39.6,270230,0
2023-01-27T00:00:00+0530,41.6,41.6,37.7,41.5,373730,0
2023-01-30T00:00:00+0530,43,43.6,42.3,43.6,426010,0
2023-01-31T00:00:00+0530,45.8,45.8,45.8,45.8,64630,0
2023-02-01T00:00:00+0530,48,48,43.6,46.9,426440,0
2023-02-02T00:00:00+0530,47,47.6,44.6,44.6,162130,0
2023-02-03T00:00:00+0530,42.3,42.3,42.3,42.3,36670,0
2023-02-06T00:00:00+0530,42.3,44.5,40.2,40.4,523160,0
2023-02-07T00:00:00+0530,40,40.7,38.7,39.8,99380,0
2023-02-08T00:00:00+0530,40.5,40.9,38.5,40,90060,0
2023-02-09T00:00:00+0530,40,40,38.1,38.4,102430,0
2023-02-10T00:00:00+0530,38.4,38.4,36.5,37.7,161040,0
2023-02-13T00:00:00+0530,37.6,37.6,35.8,36.8,129650,0
2023-02-14T00:00:00+0530,36.2,36.2,35,35,23640,0
2023-02-15T00:00:00+0530,33.2,33.2,33.2,33.2,37140,0
2023-02-16T00:00:00+0530,31.6,34.3,31.6,32.5,227310,0
2023-02-17T00:00:00+0530,32.4,32.6,30.8,31.4,181220,0
2023-02-20T00:00:00+0530,30.6,31.5,29.8,30.5,79330,0
2023-02-21T00:00:00+0530,30,30.9,29,29.9,83690,0
2023-02-22T00:00:00+0530,30.1,30.1,28.4,28.6,82510,0
2023-02-23T00:00:00+0530,28.6,30,28.2,29.8,64420,0
2023-02-24T00:00:00+0530,30.8,30.9,29,29.8,29160,0
2023-02-27T00:00:00+0530,29.8,29.8,28.4,29.2,30650,0
2023-02-28T00:00:00+0530,29.3,29.5,28.5,29.1,11910,0
2023-03-01T00:00:00+0530,28.9,30,28.8,29.7,5640,0
2023-03-02T00:00:00+0530,30,30.9,29.7,30.5,12830,0
2023-03-03T00:00:00+0530,30.9,31.1,30,30.6,6400,0
2023-03-06T00:00:00+0530,30.9,30.9,30,30.2,32630,0
2023-03-08T00:00:00+0530,30.3,30.7,29.9,30.4,15250,0
2023-03-09T00:00:00+0530,30.1,30.1,29,30,25740,0
2023-03-10T00:00:00+0530,29.8,29.8,29,29.3,19830,0
2023-03-13T00:00:00+0530,29,29.2,27.8,28,20120,0
2023-03-14T00:00:00+0530,27.5,27.8,27.2,27.3,17540,0
2023-03-15T00:00:00+0530,27.3,28.7,26.5,28.4,25260,0
2023-03-16T00:00:00+0530,27.5,28,27.3,27.9,20080,0
2023-03-17T00:00:00+0530,27.9,27.9,27.2,27.3,16120,0
2023-03-20T00:00:00+0530,27.3,27.3,26.2,26.5,11660,0
2023-03-21T00:00:00+0530,27.5,27.5,26,26.7,27950,0
2023-03-22T00:00:00+0530,27,27,25.4,26,49760,0
2023-03-23T00:00:00+0530,25.8,25.8,24.7,24.8,67210,0
2023-03-24T00:00:00+0530,24,24.5,23.5,24.4,106730,0
2023-03-27T00:00:00+0530,24.3,24.3,23.2,23.3,61960,0
2023-03-28T00:00:00+0530,23.9,23.9,22.2,22.2,33150,0
2023-03-29T00:00:00+0530,21.1,22.4,21.1,21.1,66020,0
2023-03-31T00:00:00+0530,21,21.7,20.3,20.9,80290,0
2023-04-03T00:00:00+0530,21,21.9,21,21.9,15060,0
2023-04-05T00:00:00+0530,23,23,23,23,320,0
2023-04-06T00:00:00+0530,24.1,24.1,24.1,24.1,11230,0
2023-04-10T00:00:00+0530,25.3,25.3,25.3,25.3,5360,0
2023-04-11T00:00:00+0530,26.6,26.6,26.6,26.6,3890,0
2023-04-12T00:00:00+0530,27.9,27.9,25.4,26,380720,0
2023-04-13T00:00:00+0530,26.8,26.8,25.7,26.2,32670,0
2023-04-17T00:00:00+0530,26.6,26.6,25.2,25.8,29650,0
2023-04-18T00:00:00+0530,26,26.6,25,25.1,12100,0
2023-04-19T00:00:00+0530,25.5,26,25.1,25.6,13020,0
2023-04-20T00:00:00+0530,26.7,26.9,25.9,26.8,63650,0
2023-04-21T00:00:00+0530,27,28.1,27,28.1,17720,0
2023-04-24T00:00:00+0530,29.5,29.5,29.3,29.5,26630,0
2023-04-25T00:00:00+0530,30,30.8,29,29.4,32260,0
2023-04-26T00:00:00+0530,29.4,30.4,29.2,29.7,20520,0
2023-04-27T00:00:00+0530,30.2,30.8,29,29,10960,0
2023-04-28T00:00:00+0530,30,30.1,29.6,30.1,6630,0
2023-05-02T00:00:00+0530,29,30.8,29,29.6,6080,0
2023-05-03T00:00:00+0530,29.6,29.6,28.1,28.5,42070,0
2023-05-04T00:00:00+0530,28.4,29.9,28.4,28.9,23190,0
2023-05-05T00:00:00+0530,28.9,28.9,28,28,14960,0
2023-05-08T00:00:00+0530,28.6,28.9,27.3,27.6,9310,0
2023-05-09T00:00:00+0530,28.9,28.9,27.5,28.3,10770,0
2023-05-10T00:00:00+0530,29,29,27.4,28.1,7530,0
2023-05-11T00:00:00+0530,28.1,28.1,27.2,27.5,7360,0
2023-05-12T00:00:00+0530,28.5,28.5,27.2,27.4,13150,0
2023-05-15T00:00:00+0530,27.6,27.9,27,27,12380,0
2023-05-16T00:00:00+0530,27.8,27.8,26.8,27,15600,0
2023-05-17T00:00:00+0530,27,27.5,26.7,26.9,7850,0
2023-05-18T00:00:00+0530,27,27.7,26.7,26.9,14700,0
2023-05-19T00:00:00+0530,26.9,27.5,25.8,26.6,9800,0
2023-05-22T00:00:00+0530,27.1,27.9,27.1,27.9,19560,0
2023-05-23T00:00:00+0530,29,29,26.5,26.5,38640,0
2023-05-24T00:00:00+0530,25.2,26,25.2,25.3,71040,0
2023-05-25T00:00:00+0530,25.2,26.5,24.6,26,155240,0
2023-05-26T00:00:00+0530,27.3,27.3,25.8,26.4,31490,0
2023-05-29T00:00:00+0530,27,27.4,25.3,25.5,31000,0
2023-05-30T00:00:00+0530,25.5,25.8,24.4,25.1,30030,0
2023-05-31T00:00:00+0530,26.2,26.2,24.9,25.3,42640,0
2023-06-01T00:00:00+0530,25.9,25.9,25.3,25.4,12610,0
2023-06-02T00:00:00+0530,25.2,26.7,25.2,26.3,345520,0
2023-06-05T00:00:00+0530,26.8,26.9,25.2,25.6,48620,0
2023-06-06T00:00:00+0530,25.6,26,25,25.2,5900,0
2023-06-07T00:00:00+0530,26,26.3,25.4,26.1,32880,0
2023-06-08T00:00:00+0530,26.1,26.5,24.2,25.5,37490,0
2023-06-09T00:00:00+0530,26.9,27.5,25.6,25.8,43420,0
2023-06-12T00:00:00+0530,25.3,26,24.7,25,91760,0
2023-06-13T00:00:00+0530,25.3,27.4,24.8,27.4,328020,0
2023-06-14T00:00:00+0530,29.5,30.2,28.8,30.2,164270,0
2023-06-15T00:00:00+0530,31,31.1,29.2,30.1,323450,0
2023-06-16T00:00:00+0530,30.1,30.3,29.2,29.7,88940,0
2023-06-19T00:00:00+0530,29.7,30,27.2,27.7,92060,0
2023-06-20T00:00:00+0530,28.3,28.5,27.7,28.2,22050,0
2023-06-21T00:00:00+0530,28.2,28.2,26.3,26.5,70370,0
2023-06-22T00:00:00+0530,27.6,27.6,26.1,26.5,60680,0
2023-06-23T00:00:00+0530,27,27,25.6,25.9,44510,0
2023-06-26T00:00:00+0530,26.1,26.1,25,25.3,67460,0
2023-06-27T00:00:00+0530,26,26.3,25.3,26,43480,0
2023-06-28T00:00:00+0530,26,26.6,25.5,26.2,43440,0
2023-06-30T00:00:00+0530,26.1,26.5,25.6,25.6,33930,0
2023-07-03T00:00:00+0530,25.6,25.6,24.4,24.4,72680,0
2023-07-04T00:00:00+0530,24.1,25.6,23.1,24.7,105450,0
2023-07-05T00:00:00+0530,24.7,25.4,24.5,25.3,12410,0
2023-07-06T00:00:00+0530,25.3,25.3,24.5,25.3,14710,0
2023-07-07T00:00:00+0530,25.3,25.3,24,24.3,69300,0
2023-07-10T00:00:00+0530,24.8,24.8,24,24.3,27180,0
2023-07-11T00:00:00+0530,23.7,25.3,23.5,25,20520,0
2023-07-12T00:00:00+0530,25.5,25.5,24.6,25.1,7360,0
2023-07-13T00:00:00+0530,24.9,24.9,23.9,24.1,28010,0
2023-07-14T00:00:00+0530,25,25,23.3,24,19680,0
2023-07-17T00:00:00+0530,24.7,24.7,23.9,23.9,29530,0
2023-07-18T00:00:00+0530,24.7,24.7,23.2,23.8,22980,0
2023-07-19T00:00:00+0530,23,24.3,23,24,17760,0
2023-07-20T00:00:00+0530,24,24.2,23.3,23.9,14200,0
2023-07-21T00:00:00+0530,23.7,23.9,23.2,23.7,9320,0
2023-07-24T00:00:00+0530,24.5,24.6,23.1,23.2,27540,0
2023-07-25T00:00:00+0530,23.5,24.4,23.5,24.2,80720,0
2023-07-26T00:00:00+0530,24.7,24.7,23.8,24.4,27580,0
2023-07-27T00:00:00+0530,24.1,24.7,24,24.5,17990,0
2023-07-28T00:00:00+0530,25,25,23.5,24,63390,0
2023-07-31T00:00:00+0530,24,24.5,23.5,23.8,33830,0
2023-08-01T00:00:00+0530,24.1,24.2,23.2,23.6,15370,0
2023-08-02T00:00:00+0530,23.7,24.2,23.7,24,57460,0
2023-08-03T00:00:00+0530,24.5,24.5,24,24.1,1090,0
