date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,15.43,15.62,15.1,15.62,533524,0
2023-01-03T00:00:00+0530,16.34,16.38,16.05,16.38,196391,0
2023-01-04T00:00:00+0530,17.19,17.19,15.67,16.91,796610,0
2023-01-09T00:00:00+0530,16.05,16.05,16.05,16.05,26305,0
2023-01-10T00:00:00+0530,15.29,15.29,15.29,15.29,42068,0
2023-01-11T00:00:00+0530,14.53,14.53,14.53,14.53,125050,0
2023-01-12T00:00:00+0530,13.82,13.82,13.82,13.82,110057,0
2023-01-13T00:00:00+0530,13.15,14.48,13.15,14.48,415641,0
2023-01-16T00:00:00+0530,14.01,15.2,13.96,15.15,232860,0
2023-01-17T00:00:00+0530,15.15,15.29,14.39,14.39,133697,0
2023-01-18T00:00:00+0530,13.68,14.82,13.68,13.77,256536,0
2023-01-19T00:00:00+0530,13.77,14.01,13.11,13.2,199757,0
2023-01-20T00:00:00+0530,13.11,13.68,12.82,13.49,116711,0
2023-01-23T00:00:00+0530,13.49,13.49,12.87,13.15,92104,0
2023-01-24T00:00:00+0530,13.2,13.63,12.92,13.3,100585,0
2023-01-25T00:00:00+0530,13.3,13.53,13.01,13.11,74510,0
2023-01-27T00:00:00+0530,12.96,13.25,12.54,12.77,90511,0
2023-01-30T00:00:00+0530,12.16,13.39,12.16,13.2,142291,0
2023-01-31T00:00:00+0530,12.87,13.39,12.68,13.01,81206,0
2023-02-01T00:00:00+0530,13.25,13.25,12.58,12.87,106443,0
2023-02-02T00:00:00+0530,12.96,13.06,12.35,12.58,123469,0
2023-02-03T00:00:00+0530,12.58,12.82,11.97,12.63,122336,0
2023-02-06T00:00:00+0530,12.54,12.63,12.06,12.54,130043,0
2023-02-07T00:00:00+0530,12.25,12.77,12.06,12.25,111280,0
2023-02-08T00:00:00+0530,12.06,12.82,12.01,12.82,157224,0
2023-02-09T00:00:00+0530,12.44,13.06,12.3,12.44,168721,0
2023-02-10T00:00:00+0530,12.54,12.96,12.25,12.68,83601,0
2023-02-13T00:00:00+0530,12.39,12.68,12.11,12.49,71141,0
2023-02-14T00:00:00+0530,12.44,12.92,12.2,12.54,43977,0
2023-02-15T00:00:00+0530,12.63,13.06,12.35,12.49,130900,0
2023-02-16T00:00:00+0530,12.63,13.06,12.39,12.44,89004,0
2023-02-17T00:00:00+0530,12.58,12.82,12.06,12.63,39671,0
2023-02-20T00:00:00+0530,12.63,12.92,12.01,12.49,108380,0
2023-02-21T00:00:00+0530,12.35,12.73,12.3,12.39,50475,0
2023-02-22T00:00:00+0530,12.49,12.58,12.06,12.2,50151,0
2023-02-23T00:00:00+0530,12.35,12.58,12.11,12.25,35627,0
2023-02-24T00:00:00+0530,12.25,12.35,11.63,11.87,97896,0
2023-02-27T00:00:00+0530,11.3,11.68,11.3,11.3,100683,0
2023-02-28T00:00:00+0530,11.3,11.3,10.73,10.78,163674,0
2023-03-01T00:00:00+0530,10.92,11.3,10.69,11.3,89324,0
2023-03-02T00:00:00+0530,11.35,11.82,11.16,11.73,81892,0
2023-03-03T00:00:00+0530,12.2,12.2,11.54,11.68,83259,0
2023-03-06T00:00:00+0530,11.78,12.16,11.45,11.87,159678,0
2023-03-08T00:00:00+0530,11.54,12.35,11.54,12.11,79120,0
2023-03-09T00:00:00+0530,12.3,12.39,11.97,12.2,60199,0
2023-03-10T00:00:00+0530,12.35,12.35,11.78,11.82,164555,0
2023-03-13T00:00:00+0530,11.78,11.78,11.26,11.35,89497,0
2023-03-14T00:00:00+0530,11.35,11.59,10.78,10.92,75686,0
2023-03-15T00:00:00+0530,10.92,11.45,10.5,10.73,110737,0
2023-03-16T00:00:00+0530,10.64,10.69,10.31,10.4,193964,0
2023-03-17T00:00:00+0530,10.78,10.88,10.4,10.59,107477,0
2023-03-20T00:00:00+0530,10.78,10.97,10.31,10.45,186172,0
2023-03-21T00:00:00+0530,10.5,10.88,10.26,10.5,81459,0
2023-03-22T00:00:00+0530,10.78,10.78,10.35,10.45,72363,0
2023-03-23T00:00:00+0530,10.35,10.54,9.93,10.02,164566,0
2023-03-24T00:00:00+0530,9.88,10.16,9.55,9.55,208254,0
2023-03-27T00:00:00+0530,9.21,9.31,9.07,9.07,156504,0
2023-03-28T00:00:00+0530,8.74,8.83,8.64,8.64,117610,0
2023-03-29T00:00:00+0530,8.64,8.79,8.22,8.36,274386,0
2023-03-31T00:00:00+0530,8.41,8.74,8.36,8.74,64564,0
2023-04-03T00:00:00+0530,9.12,9.17,8.93,9.17,53883,0
