date,open,high,low,close,volume,empty
2024-12-30T00:00:00+0530,18.6,19.5,18.6,19.5,1995,0
2024-12-31T00:00:00+0530,20.45,20.45,20.45,20.45,1050,0
2025-01-01T00:00:00+0530,21.45,21.45,21.45,21.45,210,0
2025-01-02T00:00:00+0530,22.5,22.5,22.5,22.5,105,0
2025-01-03T00:00:00+0530,23.6,23.6,23.6,23.6,420,0
2025-01-06T00:00:00+0530,24.75,24.75,24.75,24.75,105,0
2025-01-07T00:00:00+0530,25.95,25.95,25.95,25.95,210,0
2025-01-13T00:00:00+0530,27.2,27.2,27.2,27.2,3045,0
2025-01-27T00:00:00+0530,27.7,27.7,27.7,27.7,420,0
2025-02-03T00:00:00+0530,28.25,28.25,28.25,28.25,525,0
2025-02-17T00:00:00+0530,28.8,28.8,28.8,28.8,840,0
2025-03-03T00:00:00+0530,29.35,29.35,29.35,29.35,1470,0
2025-03-04T00:00:00+0530,29.9,29.9,29.9,29.9,525,0
2025-03-05T00:00:00+0530,30.45,30.45,30.45,30.45,840,0
2025-03-06T00:00:00+0530,31.05,31.05,31.05,31.05,420,0
2025-03-07T00:00:00+0530,31.65,31.65,31.65,31.65,315,0
2025-03-12T00:00:00+0530,32.25,32.25,32.25,32.25,420,0
2025-03-17T00:00:00+0530,32.85,32.85,32.85,32.85,420,0
2025-03-18T00:00:00+0530,33.5,33.5,33.5,33.5,105,0
2025-03-19T00:00:00+0530,34.15,34.15,34.15,34.15,210,0
2025-03-20T00:00:00+0530,34.8,34.8,34.8,34.8,105,0
2025-03-24T00:00:00+0530,35.45,35.45,35.45,35.45,105,0
2025-03-25T00:00:00+0530,36.15,36.15,36.15,36.15,210,0
2025-03-26T00:00:00+0530,36.85,36.85,36.85,36.85,525,0
2025-03-27T00:00:00+0530,37.55,37.55,37.55,37.55,105,0
2025-03-28T00:00:00+0530,38.3,38.3,38.3,38.3,1155,0
2025-04-03T00:00:00+0530,39.05,39.05,39.05,39.05,945,0
2025-04-04T00:00:00+0530,39.8,39.8,39.8,39.8,1155,0
2025-04-07T00:00:00+0530,40.55,40.55,40.55,40.55,2100,0
2025-04-11T00:00:00+0530,41.35,41.35,41.35,41.35,210,0
2025-04-15T00:00:00+0530,42.15,42.15,42.15,42.15,315,0
2025-04-16T00:00:00+0530,42.95,42.95,42.95,42.95,105,0
2025-04-17T00:00:00+0530,43.8,43.8,43.8,43.8,105,0
2025-04-21T00:00:00+0530,44.65,44.65,44.65,44.65,630,0
2025-04-22T00:00:00+0530,45.5,45.5,45.5,45.5,105,0
2025-04-23T00:00:00+0530,46.4,46.4,46.4,46.4,210,0
2025-04-24T00:00:00+0530,47.3,47.3,47.3,47.3,210,0
2025-04-29T00:00:00+0530,48.2,48.2,48.2,48.2,315,0
2025-04-30T00:00:00+0530,49.15,49.15,49.15,49.15,105,0
2025-05-02T00:00:00+0530,50.1,50.1,50.1,50.1,105,0
2025-05-05T00:00:00+0530,51.1,51.1,51.1,51.1,210,0
2025-05-06T00:00:00+0530,52.1,52.1,52.1,52.1,525,0
2025-05-07T00:00:00+0530,53.1,53.1,53.1,53.1,315,0
2025-05-12T00:00:00+0530,54.15,54.15,54.15,54.15,1260,0
2025-05-13T00:00:00+0530,55.2,55.2,55.2,55.2,105,0
2025-05-15T00:00:00+0530,56.3,56.3,56.3,56.3,210,0
2025-05-19T00:00:00+0530,57.4,57.4,57.4,57.4,525,0
2025-05-21T00:00:00+0530,58.5,58.5,58.5,58.5,105,0
2025-05-22T00:00:00+0530,59.65,59.65,59.65,59.65,315,0
2025-05-23T00:00:00+0530,60.8,60.8,60.8,60.8,105,0
2025-05-27T00:00:00+0530,62,62,62,62,315,0
2025-05-29T00:00:00+0530,63.2,63.2,63.2,63.2,315,0
2025-06-04T00:00:00+0530,64.45,64.45,64.45,64.45,210,0
2025-06-05T00:00:00+0530,65.7,65.7,65.7,65.7,105,0
2025-06-09T00:00:00+0530,67,67,67,67,105,0
2025-06-10T00:00:00+0530,68.3,68.3,68.3,68.3,2415,0
2025-06-11T00:00:00+0530,69.65,69.65,69.65,69.65,630,0
2025-06-12T00:00:00+0530,71,71,71,71,420,0
2025-06-13T00:00:00+0530,72.4,72.4,72.4,72.4,210,0
2025-06-16T00:00:00+0530,73.8,73.8,73.8,73.8,105,0
2025-06-17T00:00:00+0530,75.25,75.25,75.25,75.25,210,0
2025-06-20T00:00:00+0530,76.75,76.75,76.75,76.75,315,0
2025-06-25T00:00:00+0530,78.25,78.25,78.25,78.25,105,0
2025-06-26T00:00:00+0530,79.8,79.8,79.8,79.8,105,0
2025-06-27T00:00:00+0530,81.35,81.35,81.35,81.35,105,0
2025-06-30T00:00:00+0530,82.95,82.95,82.95,82.95,525,0
2025-07-01T00:00:00+0530,82.95,84.6,82.95,84.6,315,0
2025-07-02T00:00:00+0530,86.25,86.25,86.25,86.25,105,0
2025-07-03T00:00:00+0530,87.95,87.95,87.95,87.95,105,0
2025-07-04T00:00:00+0530,89.7,89.7,89.7,89.7,210,0
2025-07-07T00:00:00+0530,91.45,91.45,91.45,91.45,105,0
2025-07-08T00:00:00+0530,93.25,93.25,93.25,93.25,735,0
2025-07-09T00:00:00+0530,95.1,95.1,95.1,95.1,630,0
2025-07-10T00:00:00+0530,97,97,97,97,525,0
2025-07-11T00:00:00+0530,98.9,98.9,98.9,98.9,105,0
2025-07-14T00:00:00+0530,100.85,100.85,100.85,100.85,105,0
2025-07-15T00:00:00+0530,102.85,102.85,102.85,102.85,105,0
2025-07-16T00:00:00+0530,104.9,104.9,104.9,104.9,105,0
2025-07-17T00:00:00+0530,106.95,106.95,106.95,106.95,105,0
2025-07-18T00:00:00+0530,109.05,109.05,109.05,109.05,210,0
2025-07-21T00:00:00+0530,111.2,111.2,111.2,111.2,105,0
2025-07-23T00:00:00+0530,113.4,113.4,113.4,113.4,105,0
2025-07-24T00:00:00+0530,115.65,115.65,115.65,115.65,210,0
2025-07-25T00:00:00+0530,117.95,117.95,117.95,117.95,630,0
2025-07-28T00:00:00+0530,120.3,120.3,120.3,120.3,105,0
2025-07-29T00:00:00+0530,122.7,122.7,122.7,122.7,210,0
2025-07-30T00:00:00+0530,125.15,125.15,125.15,125.15,105,0
2025-07-31T00:00:00+0530,127.65,127.65,127.65,127.65,105,0
2025-08-01T00:00:00+0530,130.2,130.2,130.2,130.2,105,0
2025-08-05T00:00:00+0530,132.8,132.8,132.8,132.8,105,0
2025-08-06T00:00:00+0530,135.45,135.45,135.45,135.45,105,0
2025-08-07T00:00:00+0530,138.15,138.15,138.15,138.15,315,0
2025-08-08T00:00:00+0530,140.9,140.9,140.9,140.9,420,0
2025-08-11T00:00:00+0530,143.7,143.7,143.7,143.7,105,0
2025-08-12T00:00:00+0530,146.55,146.55,146.55,146.55,105,0
2025-08-13T00:00:00+0530,149.45,149.45,149.45,149.45,840,0
2025-08-14T00:00:00+0530,152.4,152.4,146.5,146.5,6300,0
2025-08-18T00:00:00+0530,143.6,143.6,143.6,143.6,630,0
2025-08-19T00:00:00+0530,140.75,140.75,140.75,140.75,210,0
2025-08-20T00:00:00+0530,137.95,137.95,137.95,137.95,315,0
2025-08-21T00:00:00+0530,135.2,135.2,135.2,135.2,210,0
2025-08-22T00:00:00+0530,132.5,132.5,132.5,132.5,315,0
2025-08-25T00:00:00+0530,129.85,129.85,129.85,129.85,315,0
2025-08-26T00:00:00+0530,127.25,127.25,127.25,127.25,105,0
2025-09-01T00:00:00+0530,124.7,124.7,124.7,124.7,315,0
2025-09-02T00:00:00+0530,122.2,122.2,122.2,122.2,105,0
2025-09-03T00:00:00+0530,119.75,119.75,119.75,119.75,105,0
2025-09-04T00:00:00+0530,117.35,117.35,117.35,117.35,105,0
2025-09-05T00:00:00+0530,115,119.65,115,119.65,16800,0
