date,open,high,low,close,volume,empty
2024-06-18T00:00:00+0530,138.1,165.72,135,165.72,96460326,0
2024-06-19T00:00:00+0530,183,197.5,180,184.86,47885517,0
2024-06-20T00:00:00+0530,183.7,183.7,166,167.77,16561844,0
2024-06-21T00:00:00+0530,169.5,177.16,168.53,169,7135032,0
2024-06-24T00:00:00+0530,169.95,170,165,166.57,3288704,0
2024-06-25T00:00:00+0530,168.9,169.9,158.05,160.22,6464163,0
2024-06-26T00:00:00+0530,160,164,154.5,162.6,5644494,0
2024-06-27T00:00:00+0530,160.75,163.65,158.6,161.95,2282773,0
2024-06-28T00:00:00+0530,161.1,161.47,156.2,156.95,1435015,0
2024-07-01T00:00:00+0530,157.1,161.6,155.2,158.67,1993969,0
2024-07-02T00:00:00+0530,159.08,160.99,155.25,157.69,1502932,0
2024-07-03T00:00:00+0530,157.5,159.47,155.5,156.39,1259854,0
2024-07-04T00:00:00+0530,157.2,164.76,157.2,163.93,4571493,0
2024-07-05T00:00:00+0530,169,176.67,165.05,170.43,8706904,0
2024-07-08T00:00:00+0530,172.8,175.9,169.08,171.32,2745380,0
2024-07-09T00:00:00+0530,173,180,169.2,171.48,4257694,0
2024-07-10T00:00:00+0530,172.89,173.81,165,168.41,2048025,0
2024-07-11T00:00:00+0530,169.45,173,168.5,170.49,1299027,0
2024-07-12T00:00:00+0530,172,180.98,170.55,172.22,5471582,0
2024-07-15T00:00:00+0530,174,174.5,167.48,171.94,1929505,0
2024-07-16T00:00:00+0530,172.49,181.7,170.35,173.24,5610496,0
2024-07-18T00:00:00+0530,174,178.3,171.07,173.11,2505710,0
2024-07-19T00:00:00+0530,173,179.2,169.5,170.78,2880377,0
2024-07-22T00:00:00+0530,169.1,174.85,166.61,172.14,1526691,0
2024-07-23T00:00:00+0530,174,176.9,156.91,170.93,2631932,0
2024-07-24T00:00:00+0530,174,178,171.4,171.96,1860288,0
2024-07-25T00:00:00+0530,170.71,175.5,170.5,173.36,808342,0
2024-07-26T00:00:00+0530,175.23,196.44,175.23,177.12,12199704,0
2024-07-29T00:00:00+0530,181.45,184.7,179,181.05,2515578,0
2024-07-30T00:00:00+0530,181,182.85,175.65,176.2,1589937,0
2024-07-31T00:00:00+0530,177.04,177.8,173.25,173.66,1040201,0
2024-08-01T00:00:00+0530,174.45,175.09,169.23,169.67,1067832,0
2024-08-02T00:00:00+0530,172.8,178.3,172.5,176.66,2725884,0
2024-08-05T00:00:00+0530,161.96,172,161.65,167.03,1747360,0
2024-08-06T00:00:00+0530,170.9,172.84,162.44,163.81,873695,0
2024-08-07T00:00:00+0530,167.2,168.89,162.92,165.46,652264,0
2024-08-08T00:00:00+0530,166.15,169.35,165.09,166.12,673607,0
2024-08-09T00:00:00+0530,168.3,168.69,162.63,163.13,700103,0
2024-08-12T00:00:00+0530,163.95,164.99,159.15,160.58,728610,0
2024-08-13T00:00:00+0530,161.1,163.68,156.82,157.89,627709,0
2024-08-14T00:00:00+0530,158.84,159.25,153,153.62,593658,0
