date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,73.15,75.5,73,74.9,591325,0
2023-01-03T00:00:00+0530,74.95,75.9,74.55,75.05,302847,0
2023-01-04T00:00:00+0530,75.45,75.8,74.6,75.4,340075,0
2023-01-05T00:00:00+0530,75.4,76.9,74.45,75.4,598897,0
2023-01-06T00:00:00+0530,76.15,84,74.9,78.85,3662564,0
2023-01-09T00:00:00+0530,79.1,82,77.65,79.2,904145,0
2023-01-10T00:00:00+0530,78.9,80,77.35,79.7,290440,0
2023-01-11T00:00:00+0530,80,80,77.55,79.05,413654,0
2023-01-12T00:00:00+0530,79.8,79.8,77.4,78.35,132818,0
2023-01-13T00:00:00+0530,78,79.6,77.9,78.8,136990,0
2023-01-16T00:00:00+0530,79.1,79.1,76.2,76.6,311534,0
2023-01-17T00:00:00+0530,76.6,76.65,75.1,75.8,137869,0
2023-01-18T00:00:00+0530,75.4,77.4,74.5,76.55,121480,0
2023-01-19T00:00:00+0530,76.55,76.55,75.3,76.1,77267,0
2023-01-20T00:00:00+0530,76.1,76.7,75.2,76,164524,0
2023-01-23T00:00:00+0530,76.3,76.5,74.15,75.75,250887,0
2023-01-24T00:00:00+0530,75.6,76.8,74.8,76.1,259525,0
2023-01-25T00:00:00+0530,76.15,76.35,74.4,76.1,210366,0
2023-01-27T00:00:00+0530,76.5,76.5,72.05,73.35,230119,0
2023-01-30T00:00:00+0530,73,74.5,71.2,72.15,307870,0
2023-01-31T00:00:00+0530,73.2,73.2,72.15,72.4,91977,0
2023-02-01T00:00:00+0530,72.9,74.2,72.55,73.25,135495,0
2023-02-02T00:00:00+0530,73.45,75,72.05,72.45,264252,0
2023-02-03T00:00:00+0530,71.35,73.2,69.15,72.2,534015,0
2023-02-06T00:00:00+0530,71.1,72.05,70.2,71.7,173259,0
2023-02-07T00:00:00+0530,72.1,72.1,70.55,71.75,75143,0
2023-02-08T00:00:00+0530,71,71.55,70.35,70.8,63616,0
2023-02-09T00:00:00+0530,71,71.05,70.05,70.3,49571,0
2023-02-10T00:00:00+0530,70.05,70.65,68.5,69.1,107735,0
2023-02-13T00:00:00+0530,69,69.3,67.25,68.3,213349,0
2023-02-14T00:00:00+0530,68.25,68.35,66.5,67.85,91727,0
2023-02-15T00:00:00+0530,66.55,72,66.55,69.9,146703,0
2023-02-16T00:00:00+0530,69.9,71,68.75,69.6,93758,0
