date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,10.95,11.8,10.95,11.3,6176965,0
2023-01-03T00:00:00+0530,11.35,11.55,10.95,11.25,3287145,0
2023-01-04T00:00:00+0530,11.25,11.35,10.85,10.95,2058010,0
2023-01-05T00:00:00+0530,11.05,11.35,10.85,10.9,1795335,0
2023-01-06T00:00:00+0530,11.05,11.1,10.7,10.85,1114995,0
2023-01-09T00:00:00+0530,11.25,11.3,10.5,10.7,1581415,0
2023-01-10T00:00:00+0530,10.85,11.3,10.75,11.1,2461600,0
2023-01-11T00:00:00+0530,11.1,11.45,10.9,11,1731975,0
2023-01-12T00:00:00+0530,11.05,12.05,10.9,11.15,5973640,0
2023-01-13T00:00:00+0530,11.2,11.35,11,11.1,1983825,0
2023-01-16T00:00:00+0530,11.2,11.45,11.05,11.1,995735,0
2023-01-17T00:00:00+0530,11.1,11.35,10.9,10.95,749475,0
2023-01-18T00:00:00+0530,11.05,11.05,10.85,10.85,811945,0
2023-01-19T00:00:00+0530,10.95,11.1,10.8,10.85,804915,0
2023-01-20T00:00:00+0530,10.8,11.15,10.8,10.9,698095,0
2023-01-23T00:00:00+0530,11.1,11.1,10.85,10.9,531860,0
2023-01-24T00:00:00+0530,11,11.25,10.85,10.85,837265,0
2023-01-25T00:00:00+0530,10.85,11.1,10.65,11,1173555,0
2023-01-27T00:00:00+0530,11.1,11.1,9.85,10.05,1479175,0
2023-01-30T00:00:00+0530,10.15,10.95,9.85,10.7,1936455,0
2023-01-31T00:00:00+0530,10.7,10.95,10.5,10.75,617130,0
2023-02-01T00:00:00+0530,10.9,11.3,10.15,10.35,1873130,0
2023-02-02T00:00:00+0530,10.5,10.7,10.25,10.3,484840,0
2023-02-03T00:00:00+0530,10.45,10.45,9.8,10.15,1131160,0
2023-02-06T00:00:00+0530,10.2,10.7,10.05,10.3,1663465,0
2023-02-07T00:00:00+0530,10.4,10.4,10.1,10.25,286745,0
2023-02-08T00:00:00+0530,10.25,10.6,10.15,10.2,624210,0
2023-02-09T00:00:00+0530,10.25,10.55,10,10.5,629345,0
2023-02-10T00:00:00+0530,10.55,11,10.4,10.9,898345,0
2023-02-13T00:00:00+0530,11,11.5,10.65,10.75,2251840,0
2023-02-14T00:00:00+0530,10.95,11.2,10.6,10.7,1309905,0
2023-02-15T00:00:00+0530,10.8,10.8,10.3,10.45,400950,0
2023-02-16T00:00:00+0530,10.6,10.7,10.3,10.4,554455,0
2023-02-17T00:00:00+0530,10.55,10.6,10.35,10.4,199390,0
2023-02-20T00:00:00+0530,10.5,11.1,10.5,10.6,840625,0
2023-02-21T00:00:00+0530,10.7,10.85,10.45,10.5,388090,0
2023-02-22T00:00:00+0530,10.5,10.55,10.2,10.45,288875,0
2023-02-23T00:00:00+0530,10.4,10.5,10.25,10.3,136045,0
2023-02-24T00:00:00+0530,10.3,10.6,10.15,10.4,234845,0
2023-02-27T00:00:00+0530,10.45,10.45,9.85,9.95,685160,0
2023-02-28T00:00:00+0530,9.95,10.05,9.85,10,468125,0
2023-03-01T00:00:00+0530,10,10.05,9.85,9.85,1234760,0
2023-03-02T00:00:00+0530,9.85,9.95,9.75,9.85,256715,0
2023-03-03T00:00:00+0530,9.9,10.2,9.9,10.05,2458050,0
2023-03-06T00:00:00+0530,10.1,10.2,9.6,9.8,1632725,0
2023-03-08T00:00:00+0530,9.9,10,9.7,9.9,671460,0
2023-03-09T00:00:00+0530,9.95,10.1,9.85,9.85,405135,0
2023-03-10T00:00:00+0530,9.75,9.85,9.65,9.8,208675,0
2023-03-13T00:00:00+0530,9.8,10,9.45,9.7,770525,0
2023-03-14T00:00:00+0530,9.7,9.75,9.45,9.45,1729530,0
2023-03-15T00:00:00+0530,9.5,9.8,9.4,9.45,140830,0
2023-03-16T00:00:00+0530,9.55,9.55,8.95,9.3,672995,0
2023-03-17T00:00:00+0530,9.3,9.5,9.2,9.3,96650,0
2023-03-20T00:00:00+0530,9.15,9.2,8.8,8.85,592960,0
2023-03-21T00:00:00+0530,8.85,9.35,8.85,9.05,232175,0
2023-03-22T00:00:00+0530,9.15,9.25,9,9.1,132430,0
2023-03-23T00:00:00+0530,9,9.3,9,9.25,153170,0
2023-03-24T00:00:00+0530,9.05,9.4,8.9,9,596995,0
2023-03-27T00:00:00+0530,9,9.15,8.8,8.9,230795,0
2023-03-28T00:00:00+0530,8.8,8.9,8.4,8.75,655940,0
2023-03-29T00:00:00+0530,8.65,9.2,8.65,9.1,404705,0
2023-03-31T00:00:00+0530,9.3,9.35,8.85,9.1,481640,0
2023-04-03T00:00:00+0530,9.55,9.55,9.1,9.35,458525,0
2023-04-05T00:00:00+0530,9.15,10.25,9.15,10,1779795,0
2023-04-06T00:00:00+0530,10.15,10.2,9.75,9.9,279100,0
2023-04-10T00:00:00+0530,10.05,10.1,9.6,9.65,329395,0
2023-04-11T00:00:00+0530,9.65,9.8,9.6,9.75,241250,0
2023-04-12T00:00:00+0530,9.9,10.4,9.6,10,1270940,0
2023-04-13T00:00:00+0530,10,10,9.75,9.8,221040,0
2023-04-17T00:00:00+0530,9.9,10.15,9.6,10.05,419105,0
2023-04-18T00:00:00+0530,9.9,10.1,9.8,10.05,721560,0
2023-04-19T00:00:00+0530,10.05,10.1,9.9,10.1,339785,0
2023-04-20T00:00:00+0530,10.2,10.35,9.85,9.95,691725,0
2023-04-21T00:00:00+0530,10,10.05,9.65,9.75,222400,0
2023-04-24T00:00:00+0530,9.8,10.55,9.75,10.4,2148790,0
2023-04-25T00:00:00+0530,10.45,10.7,10.15,10.6,1257990,0
2023-04-26T00:00:00+0530,10.7,11.65,10.45,11.55,4715615,0
2023-04-27T00:00:00+0530,11.65,11.75,11.15,11.55,1805515,0
2023-04-28T00:00:00+0530,11.6,12.7,11.4,11.95,6248780,0
2023-05-02T00:00:00+0530,11.95,12.4,11.95,12.2,1365865,0
2023-05-03T00:00:00+0530,12.2,12.3,11.6,11.75,1248970,0
2023-05-04T00:00:00+0530,11.8,12.3,11.7,11.95,1977545,0
2023-05-05T00:00:00+0530,12.05,12.55,11.8,11.9,1518545,0
2023-05-08T00:00:00+0530,12,14.3,11.85,14.3,18140400,0
2023-05-09T00:00:00+0530,15.1,17.1,14.95,16.35,55985435,0
2023-05-10T00:00:00+0530,16.35,16.5,14.95,15.25,13767000,0
2023-05-11T00:00:00+0530,15.65,16.35,15.25,15.75,8170075,0
2023-05-12T00:00:00+0530,15.95,16.35,15.7,16.1,3538240,0
2023-05-15T00:00:00+0530,16.25,16.55,15.75,15.85,2866825,0
2023-05-16T00:00:00+0530,15.85,16,15.3,15.45,2218600,0
2023-05-17T00:00:00+0530,15.55,16,15.1,15.35,2490585,0
2023-05-18T00:00:00+0530,15.35,16.1,15.35,15.6,2390615,0
2023-05-19T00:00:00+0530,15.7,16.05,15.45,15.9,2006890,0
2023-05-22T00:00:00+0530,16.1,17.5,16.1,17.5,5882615,0
2023-05-23T00:00:00+0530,17.8,18.2,16.65,17.65,2828210,0
2023-05-24T00:00:00+0530,17.3,18.3,17,17.55,2296705,0
2023-05-25T00:00:00+0530,17.45,18.2,16.9,17,1819380,0
2023-05-26T00:00:00+0530,17.1,17.2,16.3,16.4,949740,0
2023-05-29T00:00:00+0530,16.4,16.6,15.85,16.25,1077745,0
2023-05-30T00:00:00+0530,16.45,17.05,16.45,16.9,1554145,0
2023-05-31T00:00:00+0530,16.9,17,16.1,16.9,913725,0
2023-06-01T00:00:00+0530,16.75,16.8,16.2,16.3,559765,0
2023-06-02T00:00:00+0530,16,16.8,15.6,16.15,1307130,0
2023-06-05T00:00:00+0530,16.1,16.4,15.6,16.25,290250,0
2023-06-06T00:00:00+0530,16.25,16.25,15.85,16.05,254895,0
2023-06-07T00:00:00+0530,16.05,16.15,15.45,15.6,538010,0
2023-06-08T00:00:00+0530,15.6,16,15.4,15.4,552680,0
2023-06-09T00:00:00+0530,15.55,15.6,14.65,15.4,1010545,0
2023-06-12T00:00:00+0530,15.4,15.8,15.05,15.15,761310,0
2023-06-13T00:00:00+0530,15.3,15.8,15.1,15.2,639600,0
2023-06-14T00:00:00+0530,15.2,15.5,15.1,15.2,405090,0
2023-06-15T00:00:00+0530,15.25,15.35,15,15.1,525055,0
2023-06-16T00:00:00+0530,15.15,15.4,14.8,15.1,462560,0
2023-06-19T00:00:00+0530,15.3,15.7,15.05,15.2,513205,0
2023-06-20T00:00:00+0530,15.45,15.45,14.85,15.2,741120,0
