date,open,high,low,close,volume,empty
2024-03-13T00:00:00+0530,209,213.75,181.3,184.8,7820382,0
2024-03-14T00:00:00+0530,180,203.3,180,196.9,2351531,0
2024-03-15T00:00:00+0530,199,202.9,193.5,194.75,1184924,0
2024-03-18T00:00:00+0530,197.2,204.35,193.2,194.55,919607,0
2024-03-19T00:00:00+0530,194.55,197.4,191,191.5,302699,0
2024-03-20T00:00:00+0530,194.4,195.55,186.05,187.7,243211,0
2024-03-21T00:00:00+0530,190.5,192,186.05,186.8,306828,0
2024-03-22T00:00:00+0530,186.25,190,185.8,186.55,238824,0
2024-03-26T00:00:00+0530,183.05,186.9,177.05,179.1,447595,0
2024-03-27T00:00:00+0530,182.7,183.9,174.1,175.95,503276,0
2024-03-28T00:00:00+0530,177,177.4,171.35,172.25,382165,0
2024-04-01T00:00:00+0530,172.25,186.2,172.25,184.85,459878,0
2024-04-02T00:00:00+0530,184.55,197,183,193.5,598279,0
2024-04-03T00:00:00+0530,195,231.25,192.65,228.85,3741377,0
2024-04-04T00:00:00+0530,234.75,242.95,227,234.8,2411766,0
2024-04-05T00:00:00+0530,234.75,240.4,228.1,232.45,661158,0
2024-04-08T00:00:00+0530,235.9,236.9,217.4,221.65,455603,0
2024-04-09T00:00:00+0530,224,234.6,220.1,229.8,468996,0
2024-04-10T00:00:00+0530,234.85,234.85,224.9,226.45,285667,0
2024-04-12T00:00:00+0530,226.5,231,223.05,225.35,304471,0
2024-04-15T00:00:00+0530,220,223,205,217.55,373751,0
2024-04-16T00:00:00+0530,213,225,212.55,221.85,271075,0
2024-04-18T00:00:00+0530,224.75,227,218.25,220.05,234138,0
2024-04-19T00:00:00+0530,218,223.5,214.8,221.25,183127,0
2024-04-22T00:00:00+0530,224.6,233.9,223,231.9,701013,0
2024-04-23T00:00:00+0530,234.6,240.45,231,236.65,494793,0
2024-04-24T00:00:00+0530,238,267.85,232.05,263.3,2456201,0
2024-04-25T00:00:00+0530,264.8,273.8,254.1,255.7,1883270,0
2024-04-26T00:00:00+0530,258,261.5,250,250.6,311590,0
2024-04-29T00:00:00+0530,252.65,272.3,251.15,267.85,708087,0
2024-04-30T00:00:00+0530,269.65,274.5,265,265.6,331566,0
2024-05-02T00:00:00+0530,266.9,266.9,259.1,261.45,163358,0
2024-05-03T00:00:00+0530,262.7,264.65,253.6,258.4,187409,0
2024-05-06T00:00:00+0530,258.4,262.8,245.85,248.35,202599,0
2024-05-07T00:00:00+0530,249.35,257.95,249.3,255.6,210304,0
2024-05-08T00:00:00+0530,256,262.95,250,257.5,239409,0
2024-05-09T00:00:00+0530,243.95,248.95,229,233.8,557678,0
2024-05-10T00:00:00+0530,233,233,221.2,230.75,275289,0
2024-05-13T00:00:00+0530,231,243,223.7,240.1,304453,0
2024-05-14T00:00:00+0530,241.95,249.95,238,244.5,161678,0
2024-05-15T00:00:00+0530,244.95,253.75,240.15,246.75,151042,0
2024-05-16T00:00:00+0530,247.85,249.2,241,242.25,80315,0
2024-05-17T00:00:00+0530,242.25,244,239.55,240.1,66220,0
2024-05-18T00:00:00+0530,241.3,244,236,240.7,44488,0
2024-05-21T00:00:00+0530,240.7,240.8,233.9,234.95,121022,0
2024-05-22T00:00:00+0530,236,239,232.3,232.9,62459,0
2024-05-23T00:00:00+0530,233.45,237,229.6,233.55,136088,0
2024-05-24T00:00:00+0530,231.4,232.85,228,229.5,119300,0
2024-05-27T00:00:00+0530,231.45,232.5,225,226.05,133971,0
