date,open,high,low,close,volume,empty
2025-02-14T00:00:00+0530,1589.9,1589.9,1510.4,1510.4,458,0
2025-02-17T00:00:00+0530,1434.9,1434.9,1434.9,1434.9,701,0
2025-02-18T00:00:00+0530,1363.15,1363.15,1363.15,1363.15,754,0
2025-02-19T00:00:00+0530,1295,1295,1295,1295,2175,0
2025-02-20T00:00:00+0530,1231,1359.75,1230.25,1352.7,30545,0
2025-02-21T00:00:00+0530,1399.8,1399.8,1305,1320.6,3159,0
2025-02-24T00:00:00+0530,1310,1350,1254.6,1274.65,3663,0
2025-02-25T00:00:00+0530,1278,1336.5,1274.9,1276.25,6701,0
2025-02-27T00:00:00+0530,1279,1314.9,1255,1275.85,6308,0
2025-02-28T00:00:00+0530,1270.7,1313,1240,1246.75,11674,0
2025-03-03T00:00:00+0530,1299,1299,1199.4,1203,5939,0
2025-03-04T00:00:00+0530,1240,1240,1151.05,1190.9,6870,0
2025-03-05T00:00:00+0530,1163,1226.5,1163,1191.8,8204,0
2025-03-06T00:00:00+0530,1220,1220,1171.1,1178.05,11712,0
2025-03-07T00:00:00+0530,1183.1,1385,1182,1356.95,16299,0
2025-03-10T00:00:00+0530,1365,1394.95,1308.25,1348.1,5756,0
2025-03-11T00:00:00+0530,1327.95,1343.25,1232.05,1256.55,8537,0
2025-03-12T00:00:00+0530,1244.4,1350,1240.05,1317.1,17682,0
2025-03-13T00:00:00+0530,1308.7,1324.5,1271,1283.7,15687,0
2025-03-17T00:00:00+0530,1290.15,1330,1260.05,1298.2,10270,0
2025-03-18T00:00:00+0530,1298,1307.9,1262.75,1274.6,7374,0
2025-03-19T00:00:00+0530,1296.75,1341.9,1260.05,1301.5,9167,0
2025-03-20T00:00:00+0530,1302.3,1321.95,1265,1274.75,7289,0
2025-03-21T00:00:00+0530,1284.55,1310,1281.15,1301.75,6211,0
2025-03-24T00:00:00+0530,1310,1369.95,1276,1350.25,15255,0
2025-03-25T00:00:00+0530,1351.4,1392.5,1272,1299.45,21208,0
2025-03-26T00:00:00+0530,1291,1375,1249.9,1263.1,5149,0
2025-03-27T00:00:00+0530,1251,1284.9,1251,1268.1,3139,0
2025-03-28T00:00:00+0530,1280.05,1343.35,1251.1,1255.25,3547,0
2025-04-01T00:00:00+0530,1255.9,1274.85,1216.5,1239.9,11761,0
2025-04-02T00:00:00+0530,1249.5,1251.1,1194.95,1200.25,6913,0
2025-04-03T00:00:00+0530,1200.4,1223,1183,1189.3,8344,0
2025-04-04T00:00:00+0530,1178,1184,1135,1139.55,10729,0
2025-04-07T00:00:00+0530,1076,1115.1,1020,1097.95,15890,0
2025-04-08T00:00:00+0530,1093.45,1128.7,1084.05,1100,4064,0
2025-04-09T00:00:00+0530,1083.5,1120.15,1067.55,1086.35,12388,0
2025-04-11T00:00:00+0530,1090,1110.95,1086,1089.7,7330,0
2025-04-15T00:00:00+0530,1089.7,1300,1089.7,1275.7,27057,0
2025-04-16T00:00:00+0530,1300,1309,1250,1276,11039,0
2025-04-17T00:00:00+0530,1275,1324.9,1245,1279,9728,0
2025-04-21T00:00:00+0530,1261,1330,1261,1287.4,9682,0
2025-04-22T00:00:00+0530,1289.4,1374,1281,1337.8,8462,0
2025-04-23T00:00:00+0530,1337.8,1400,1308.5,1332.8,9140,0
2025-04-24T00:00:00+0530,1341.4,1370,1321,1347.6,7244,0
2025-04-25T00:00:00+0530,1355.1,1480,1345,1444.6,29647,0
2025-04-28T00:00:00+0530,1390.5,1495,1390.5,1447.8,10432,0
2025-04-29T00:00:00+0530,1438.9,1549,1438.9,1483.1,13478,0
2025-04-30T00:00:00+0530,1495,1539,1461.5,1486.7,7429,0
2025-05-02T00:00:00+0530,1465,1491.9,1439.1,1455.4,4447,0
2025-05-05T00:00:00+0530,1440,1465.1,1428.5,1457.5,2577,0
