date,open,high,low,close,volume,empty
2024-04-08T00:00:00+0530,167,175.35,158.65,173.25,1779600,0
2024-04-09T00:00:00+0530,164.65,164.65,164.6,164.6,13200,0
2024-04-10T00:00:00+0530,156.4,156.4,156.4,156.4,7200,0
2024-04-12T00:00:00+0530,148.6,156,148.6,148.9,406800,0
2024-04-15T00:00:00+0530,143,146.9,141.45,141.85,168000,0
2024-04-16T00:00:00+0530,134.75,148.85,134.75,147.6,111600,0
2024-04-18T00:00:00+0530,150,154.95,143,153.2,130800,0
2024-04-19T00:00:00+0530,152.5,157,147,156.95,34800,0
2024-04-22T00:00:00+0530,153,154.9,149.1,151.9,58800,0
2024-04-23T00:00:00+0530,152.15,159.45,148,159.45,190800,0
2024-04-24T00:00:00+0530,159,159,145,152.3,110400,0
2024-04-25T00:00:00+0530,147.1,150,145,147,48000,0
2024-04-26T00:00:00+0530,150.8,151,146,148.65,45600,0
2024-04-29T00:00:00+0530,151.9,156,150,151.95,142800,0
2024-04-30T00:00:00+0530,152.1,152.1,145,145.95,43200,0
2024-05-02T00:00:00+0530,150.4,152.5,146.15,146.25,26400,0
2024-05-03T00:00:00+0530,147.5,149.95,147.25,147.3,42000,0
2024-05-06T00:00:00+0530,149.95,149.95,144.1,144.1,28800,0
2024-05-07T00:00:00+0530,144.1,146.1,138.05,140.4,31200,0
2024-05-08T00:00:00+0530,140,142.6,137.2,137.7,32400,0
2024-05-09T00:00:00+0530,139.3,139.5,135.5,135.75,34800,0
2024-05-10T00:00:00+0530,135.75,153,135.75,149.6,84000,0
2024-05-13T00:00:00+0530,159,159,144.05,152.85,120000,0
2024-05-14T00:00:00+0530,154.95,158.75,149.1,158,90000,0
2024-05-15T00:00:00+0530,159.95,161.5,155,155.5,60000,0
2024-05-16T00:00:00+0530,158,182,157,175.2,457200,0
2024-05-17T00:00:00+0530,179.55,182.85,166.05,170.7,195600,0
2024-05-18T00:00:00+0530,174,177.8,173.45,175.9,51600,0
2024-05-21T00:00:00+0530,177,177,170,170.1,38400,0
2024-05-22T00:00:00+0530,170,170,159.05,161.6,60000,0
2024-05-23T00:00:00+0530,164.9,164.9,158.5,159.65,40800,0
2024-05-24T00:00:00+0530,157.25,163.75,157.25,161.25,90000,0
2024-05-27T00:00:00+0530,165,172.75,162,169.05,116400,0
2024-05-28T00:00:00+0530,159,165,143,157.2,193200,0
2024-05-29T00:00:00+0530,155,160,152.6,155,33600,0
2024-05-30T00:00:00+0530,160,161,150,155.25,44400,0
2024-05-31T00:00:00+0530,152,155,150,154,31200,0
2024-06-03T00:00:00+0530,163.5,163.5,150,152.35,62400,0
2024-06-04T00:00:00+0530,152.35,152.35,135,142.5,62400,0
2024-06-05T00:00:00+0530,145,148,135.05,143.65,34800,0
2024-06-06T00:00:00+0530,151.9,155,144.95,145.25,60000,0
2024-06-07T00:00:00+0530,151.8,153.85,147,147,18000,0
2024-06-10T00:00:00+0530,153,153,150,150.35,80400,0
2024-06-11T00:00:00+0530,153.95,153.95,148,148.6,27600,0
2024-06-12T00:00:00+0530,149.5,153,149.5,152.95,14400,0
2024-06-13T00:00:00+0530,154,154,150,150.8,42000,0
2024-06-14T00:00:00+0530,150.1,150.5,147.3,150,115200,0
2024-06-18T00:00:00+0530,152,167.3,150,157.65,277200,0
2024-06-19T00:00:00+0530,162.95,189.15,161.7,181.75,1288800,0
2024-06-20T00:00:00+0530,187,218.1,179.75,218.1,975600,0
2024-06-21T00:00:00+0530,239.9,239.9,239.9,239.9,39600,0
2024-06-24T00:00:00+0530,263.85,263.85,263.85,263.85,39600,0
2024-06-25T00:00:00+0530,285,290.2,270,290.2,1267200,0
2024-06-26T00:00:00+0530,304.7,304.7,304.7,304.7,76800,0
2024-06-27T00:00:00+0530,319.9,319.9,289.5,294.4,908400,0
2024-06-28T00:00:00+0530,304.3,304.3,279.7,280.25,366000,0
2024-07-01T00:00:00+0530,280,294.25,268.25,294.25,336000,0
2024-07-02T00:00:00+0530,308.95,308.95,308.95,308.95,58800,0
2024-07-03T00:00:00+0530,324.35,324.35,307.6,314.65,612000,0
2024-07-04T00:00:00+0530,329,329,301,322.75,231600,0
2024-07-05T00:00:00+0530,328,328,306.65,306.65,177600,0
2024-07-08T00:00:00+0530,297,321.95,291.35,318.6,547200,0
2024-07-09T00:00:00+0530,314.95,319.9,302.7,302.7,136800,0
2024-07-10T00:00:00+0530,302.7,306,287.6,287.6,105600,0
2024-07-11T00:00:00+0530,290,301.95,289,298.8,249600,0
2024-07-12T00:00:00+0530,306,308.7,290,296.6,97200,0
2024-07-15T00:00:00+0530,304.9,306.1,281.8,283.8,84000,0
2024-07-16T00:00:00+0530,274.1,287.7,269.65,269.75,58800,0
2024-07-18T00:00:00+0530,283.2,283.2,275,283.2,138000,0
2024-07-19T00:00:00+0530,296,296,270.55,286.4,74400,0
2024-07-22T00:00:00+0530,280,288.7,272.1,285.3,110400,0
2024-07-23T00:00:00+0530,286,286,271.05,275,70800,0
2024-07-24T00:00:00+0530,272.55,280,265.05,269.75,46800,0
2024-07-25T00:00:00+0530,261,270,257.3,267.15,26400,0
2024-07-26T00:00:00+0530,276.15,279.5,261,271.05,42000,0
2024-07-29T00:00:00+0530,271,271,265,265,22800,0
2024-07-30T00:00:00+0530,252,264,252,260.35,33600,0
2024-07-31T00:00:00+0530,251.1,258,247.35,255.75,68400,0
2024-08-01T00:00:00+0530,255,259.95,243,244.45,44400,0
2024-08-02T00:00:00+0530,240,255,232.25,252,51600,0
2024-08-05T00:00:00+0530,242,244,239.4,239.4,21600,0
2024-08-06T00:00:00+0530,235.25,241,227.45,227.45,42000,0
2024-08-07T00:00:00+0530,227.45,238.8,220.05,238.8,40800,0
2024-08-08T00:00:00+0530,247.5,250.4,240.05,241.5,44400,0
2024-08-09T00:00:00+0530,235,245,234,241.4,16800,0
2024-08-12T00:00:00+0530,248.85,253.45,248,253.45,82800,0
2024-08-13T00:00:00+0530,265.7,265.7,242.15,247.5,33600,0
2024-08-14T00:00:00+0530,247.5,254,240,250,25200,0
2024-08-16T00:00:00+0530,256.1,256.1,242,248.1,38400,0
2024-08-19T00:00:00+0530,248.1,260.5,240.3,260.5,39600,0
2024-08-20T00:00:00+0530,273.5,273.5,270.95,272.45,62400,0
2024-08-21T00:00:00+0530,270,270,259.05,260.15,28800,0
2024-08-22T00:00:00+0530,273.15,273.15,272.95,273.15,26400,0
2024-08-23T00:00:00+0530,286.8,286.8,282,286.45,90000,0
2024-08-26T00:00:00+0530,285.5,298.95,277.05,282,51600,0
2024-08-27T00:00:00+0530,289.2,295,285,289,45600,0
2024-08-28T00:00:00+0530,289,289,274.55,274.55,82800,0
2024-08-29T00:00:00+0530,273.9,273.9,260.85,260.85,33600,0
2024-08-30T00:00:00+0530,265,268,251,259.7,42000,0
2024-09-02T00:00:00+0530,269.9,272.65,259,262.6,72000,0
2024-09-03T00:00:00+0530,261.95,267.4,249.55,255.35,64800,0
2024-09-04T00:00:00+0530,257,268.1,246,268.1,28800,0
2024-09-05T00:00:00+0530,281.5,281.5,273.25,281.5,116400,0
2024-09-06T00:00:00+0530,287.4,289.9,271.25,275.05,68400,0
2024-09-09T00:00:00+0530,275.1,282,264.9,264.95,45600,0
2024-09-10T00:00:00+0530,273.1,273.4,266,273,24000,0
2024-09-11T00:00:00+0530,273,273,259.35,259.45,26400,0
2024-09-12T00:00:00+0530,260,264.7,253,262.65,43200,0
2024-09-13T00:00:00+0530,262.65,262.65,257.1,257.7,21600,0
2024-09-16T00:00:00+0530,257.7,266.85,249,251.3,62400,0
2024-09-17T00:00:00+0530,258,258.95,250,250.8,57600,0
2024-09-18T00:00:00+0530,250,254.8,238.3,238.95,79200,0
2024-09-19T00:00:00+0530,243,243,227,234.3,42000,0
2024-09-20T00:00:00+0530,242.6,246,237.25,239.65,51600,0
2024-09-23T00:00:00+0530,240,242.75,236.85,240.4,34800,0
2024-09-24T00:00:00+0530,240,242,232.5,236.05,31200,0
2024-09-25T00:00:00+0530,234,247.7,234,237,63600,0
2024-09-26T00:00:00+0530,237,248.85,235,248.5,64800,0
2024-09-27T00:00:00+0530,248.85,248.85,238,239.55,38400,0
2024-09-30T00:00:00+0530,239,248,235.05,239,39600,0
2024-10-01T00:00:00+0530,239,247,239,239.25,12000,0
2024-10-03T00:00:00+0530,239,251.2,237.5,247.15,50400,0
2024-10-04T00:00:00+0530,245,247.5,242,243.25,14400,0
2024-10-07T00:00:00+0530,235.25,235.25,231.1,231.1,31200,0
2024-10-08T00:00:00+0530,220.1,232.5,219.55,231.25,75600,0
2024-10-09T00:00:00+0530,227,238,227,234.1,30000,0
2024-10-10T00:00:00+0530,245.8,245.8,245.8,245.8,13200,0
2024-10-11T00:00:00+0530,258.05,258.05,255,258.05,150000,0
2024-10-14T00:00:00+0530,270.95,270.95,263.1,270.1,109200,0
2024-10-15T00:00:00+0530,282.7,283.6,273,281.1,72000,0
2024-10-16T00:00:00+0530,276,282,267.05,267.05,70800,0
2024-10-17T00:00:00+0530,258,259.5,253.7,253.7,80400,0
2024-10-18T00:00:00+0530,244.05,254.9,242.4,250.5,68400,0
