date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,101.9,103.75,98.45,103.75,85294,0
2023-01-03T00:00:00+0530,106,108.85,103,107.65,235642,0
2023-01-04T00:00:00+0530,106.3,106.8,102.3,102.3,216403,0
2023-01-05T00:00:00+0530,100,107.4,97.7,105.55,253817,0
2023-01-06T00:00:00+0530,106.95,106.95,102.6,102.95,69314,0
2023-01-09T00:00:00+0530,106.85,106.85,101,102.7,54141,0
2023-01-10T00:00:00+0530,104.4,107,101.05,105.3,81220,0
2023-01-11T00:00:00+0530,103.35,110.55,103.35,110.55,215512,0
2023-01-12T00:00:00+0530,112,116.05,112,116.05,318845,0
2023-01-13T00:00:00+0530,117.95,121.85,117,121.85,313025,0
2023-01-16T00:00:00+0530,127.5,127.9,117.15,119.4,544451,0
2023-01-17T00:00:00+0530,120.15,124.75,120.15,122.4,233826,0
2023-01-18T00:00:00+0530,125,128.5,124.75,128.5,485900,0
2023-01-19T00:00:00+0530,126.1,133.9,124.15,130.4,311185,0
2023-01-20T00:00:00+0530,131,135,127.5,131.2,169232,0
2023-01-23T00:00:00+0530,134.8,134.8,125.1,125.7,150396,0
2023-01-24T00:00:00+0530,128.7,129.4,122.05,126.6,244230,0
2023-01-25T00:00:00+0530,127.55,131.9,125,130.1,246313,0
2023-01-27T00:00:00+0530,133.1,135,124.5,131.5,285372,0
2023-01-30T00:00:00+0530,132,133.85,128.25,129.6,58984,0
2023-01-31T00:00:00+0530,130.1,131.9,128.2,130,52872,0
2023-02-01T00:00:00+0530,129.75,134.65,123.5,123.5,173216,0
2023-02-02T00:00:00+0530,121.25,128.9,121.25,126.9,50160,0
2023-02-03T00:00:00+0530,129,129,120.55,125.65,83204,0
2023-02-06T00:00:00+0530,130.7,130.7,123.05,124.7,38884,0
2023-02-07T00:00:00+0530,127.5,130.9,126.1,130.7,130753,0
2023-02-08T00:00:00+0530,132,133.7,128.4,129.95,64025,0
2023-02-09T00:00:00+0530,128.8,131.9,127.1,128.4,49683,0
2023-02-10T00:00:00+0530,129.45,131.55,128,128.8,47596,0
2023-02-13T00:00:00+0530,128.8,131.9,127.55,128.4,56614,0
2023-02-14T00:00:00+0530,129,134.5,122,122.4,413588,0
2023-02-15T00:00:00+0530,122.9,125.95,119,122.05,135092,0
2023-02-16T00:00:00+0530,123.1,127.4,122.05,123.8,121172,0
2023-02-17T00:00:00+0530,125.95,126.2,118,120.45,65116,0
2023-02-20T00:00:00+0530,120.9,126.45,120.9,126.45,58110,0
2023-02-21T00:00:00+0530,130.65,132.75,130.05,132.05,148035,0
2023-02-22T00:00:00+0530,128.95,129.45,125.55,125.9,94525,0
2023-02-23T00:00:00+0530,128.5,130.65,125.95,128,43093,0
2023-02-24T00:00:00+0530,131.5,131.5,128.2,128.55,25416,0
2023-02-27T00:00:00+0530,129.65,129.65,123.15,126.05,41328,0
2023-02-28T00:00:00+0530,125.65,127.1,122.25,123.6,31948,0
2023-03-01T00:00:00+0530,126.8,126.9,123.75,124.3,41515,0
2023-03-02T00:00:00+0530,124.35,126,123.5,124.4,32255,0
2023-03-03T00:00:00+0530,123.5,126.65,123.45,125.7,78032,0
2023-03-06T00:00:00+0530,124.3,128.7,124.3,124.95,36890,0
2023-03-08T00:00:00+0530,123.2,126.8,123.2,126.15,31740,0
2023-03-09T00:00:00+0530,127.5,131.4,125.45,130.25,100909,0
2023-03-10T00:00:00+0530,129.5,136.75,127,136.75,310634,0
2023-03-13T00:00:00+0530,141,143,135.25,139.2,519683,0
2023-03-14T00:00:00+0530,139.2,142.75,132.25,132.25,84866,0
2023-03-15T00:00:00+0530,130,132,125.65,128.85,162875,0
2023-03-16T00:00:00+0530,127.2,128.35,123.5,125.85,102781,0
2023-03-17T00:00:00+0530,128.75,129.6,126.35,129.2,39247,0
2023-03-20T00:00:00+0530,125.1,129.8,124.1,127.2,68756,0
2023-03-21T00:00:00+0530,128.4,128.5,122.25,125.35,55182,0
2023-03-22T00:00:00+0530,125.35,129.5,125.35,128.75,47680,0
2023-03-23T00:00:00+0530,129.8,134,128.2,132.75,88183,0
2023-03-24T00:00:00+0530,131.2,133.7,126.15,126.15,56236,0
2023-03-27T00:00:00+0530,126.9,126.9,119.85,119.85,53542,0
2023-03-28T00:00:00+0530,120.1,124.4,120.1,123.65,43311,0
2023-03-29T00:00:00+0530,122.1,127.75,121.45,125.85,52577,0
2023-03-31T00:00:00+0530,127.75,132.1,126.05,131.5,71737,0
2023-04-03T00:00:00+0530,133,138.05,131.65,138.05,251700,0
2023-04-05T00:00:00+0530,138.15,140.9,132.75,135.65,147948,0
2023-04-06T00:00:00+0530,134.3,140.8,134.3,139,109093,0
2023-04-10T00:00:00+0530,143.8,143.8,135.9,137.75,96641,0
2023-04-11T00:00:00+0530,137.75,139.4,134.25,135.6,54329,0
2023-04-12T00:00:00+0530,136.3,138,133,133.55,40033,0
2023-04-13T00:00:00+0530,134.35,136,129.95,131.6,45600,0
2023-04-17T00:00:00+0530,131.6,143.9,128.45,141.25,220955,0
2023-04-18T00:00:00+0530,142.15,143.7,136.3,139.4,164723,0
2023-04-19T00:00:00+0530,141.75,153.3,140.95,153.3,639481,0
2023-04-20T00:00:00+0530,153.75,168.6,153.3,168.6,880421,0
2023-04-21T00:00:00+0530,177,177,160.2,160.25,1044369,0
2023-04-24T00:00:00+0530,160.95,168.25,159.8,168.25,112720,0
2023-04-25T00:00:00+0530,175.4,176.65,162.6,165.5,623816,0
2023-04-26T00:00:00+0530,161.2,173.75,158.8,173.75,387499,0
2023-04-27T00:00:00+0530,178,182.35,168.15,173,233819,0
2023-04-28T00:00:00+0530,174.8,178.9,170.25,174.35,99220,0
2023-05-02T00:00:00+0530,176.9,176.9,171.1,171.8,67882,0
2023-05-03T00:00:00+0530,170.1,174.4,169.05,170.7,67013,0
2023-05-04T00:00:00+0530,173.2,173.2,167.8,169.5,68901,0
2023-05-05T00:00:00+0530,172,177.95,171,177.6,196729,0
