date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,94,97.95,92.3,96.5,13626,0
2023-01-03T00:00:00+0530,96.95,104.8,96,103,63716,0
2023-01-04T00:00:00+0530,103.4,103.85,100.75,101,16593,0
2023-01-05T00:00:00+0530,101,102.6,98.05,99.85,13087,0
2023-01-06T00:00:00+0530,98,106,98,100,18216,0
2023-01-09T00:00:00+0530,103.05,105.05,100,101.1,10328,0
2023-01-10T00:00:00+0530,101.95,105,98.7,101.65,30905,0
2023-01-11T00:00:00+0530,102.25,103,99.8,101.35,10079,0
2023-01-12T00:00:00+0530,114.35,121.6,108.55,113.45,874292,0
2023-01-13T00:00:00+0530,110.55,111.35,105.6,106.7,65319,0
2023-01-16T00:00:00+0530,106.9,114.6,104.35,107.7,128492,0
2023-01-17T00:00:00+0530,108.55,111.1,105.65,109.2,34940,0
2023-01-18T00:00:00+0530,109.75,113.55,105.85,107.25,43288,0
2023-01-19T00:00:00+0530,108,108.55,103.95,104.6,23554,0
2023-01-20T00:00:00+0530,105.55,105.55,100.15,101.15,16286,0
2023-01-23T00:00:00+0530,102,103.75,98.05,98.95,25135,0
2023-01-24T00:00:00+0530,100.35,100.85,98.1,99.4,8936,0
2023-01-25T00:00:00+0530,99.05,100.7,93.5,94.95,36679,0
2023-01-27T00:00:00+0530,95.8,108.9,94.85,100.45,279485,0
2023-01-30T00:00:00+0530,100.4,102.45,95.2,96.85,22726,0
2023-01-31T00:00:00+0530,98,101.95,97.5,101,24383,0
2023-02-01T00:00:00+0530,101,101.05,97,97.55,12618,0
2023-02-02T00:00:00+0530,97.3,101.8,95.1,96.8,42448,0
2023-02-03T00:00:00+0530,96.3,97.35,93,94.2,15022,0
2023-02-06T00:00:00+0530,95.5,96.75,94.15,95.3,7458,0
2023-02-07T00:00:00+0530,96.65,96.75,94.65,95.7,8465,0
2023-02-08T00:00:00+0530,98,98,95.45,97.3,16958,0
2023-02-09T00:00:00+0530,98.75,98.75,93,93.9,17153,0
2023-02-10T00:00:00+0530,95,96.35,93.3,95.15,6366,0
2023-02-13T00:00:00+0530,94,94,82.6,85,56696,0
2023-02-14T00:00:00+0530,85,88.8,80.55,84.7,40600,0
2023-02-15T00:00:00+0530,84.95,90.6,84.95,89,12408,0
2023-02-16T00:00:00+0530,90.25,90.9,85.6,86.85,6365,0
2023-02-17T00:00:00+0530,85.35,90.6,84.15,88.5,13326,0
2023-02-20T00:00:00+0530,85.6,89.25,85.6,88.1,11463,0
2023-02-21T00:00:00+0530,87.8,88.75,85.25,86.65,12090,0
2023-02-22T00:00:00+0530,85,85.95,82.1,84.5,9500,0
2023-02-23T00:00:00+0530,83.05,85.5,82.8,83.2,7398,0
2023-02-24T00:00:00+0530,83.4,84.75,81.65,82.25,12170,0
2023-02-27T00:00:00+0530,83.45,88.5,80.4,84.85,47873,0
2023-02-28T00:00:00+0530,85,88.9,82.55,83.85,27601,0
2023-03-01T00:00:00+0530,85.05,88,83.45,85.25,14839,0
2023-03-02T00:00:00+0530,86.45,86.55,83.75,85.3,5412,0
2023-03-03T00:00:00+0530,85.5,87.95,83.9,84.9,11015,0
2023-03-06T00:00:00+0530,87.9,87.9,84.7,85.8,6231,0
2023-03-08T00:00:00+0530,87.05,87.05,82.85,84.25,10571,0
2023-03-09T00:00:00+0530,85.25,93.65,82.2,85.05,63831,0
2023-03-10T00:00:00+0530,85.35,86.25,83.5,83.95,11163,0
2023-03-13T00:00:00+0530,85.15,85.15,82,82.65,6142,0
2023-03-14T00:00:00+0530,83.5,83.5,82,82.85,6336,0
2023-03-15T00:00:00+0530,83.05,83.45,81.5,81.9,2816,0
2023-03-16T00:00:00+0530,81.9,82.9,80.25,81.35,5781,0
2023-03-17T00:00:00+0530,81.5,82.45,80,81.1,5681,0
2023-03-20T00:00:00+0530,81,83.25,76.85,80.15,13974,0
2023-03-21T00:00:00+0530,81.3,81.75,79,79.55,5924,0
2023-03-22T00:00:00+0530,80.65,81.4,79.1,79.85,1369,0
2023-03-23T00:00:00+0530,79.85,80.9,79,79.45,6023,0
2023-03-24T00:00:00+0530,80,80.4,78,78.25,6982,0
2023-03-27T00:00:00+0530,79,79.35,77,77,5969,0
2023-03-28T00:00:00+0530,77,78.15,73,74.5,15338,0
2023-03-29T00:00:00+0530,73,75.6,73,73.7,9590,0
2023-03-31T00:00:00+0530,78.7,84.35,75.3,82.4,34185,0
2023-04-03T00:00:00+0530,82,82.5,80.2,81.25,4996,0
2023-04-05T00:00:00+0530,82.45,93.45,81.95,87.35,128776,0
2023-04-06T00:00:00+0530,88.5,88.5,84.25,85.35,10467,0
2023-04-10T00:00:00+0530,86.55,86.55,82,83.25,11970,0
2023-04-11T00:00:00+0530,84,84,81.9,82.8,7641,0
2023-04-12T00:00:00+0530,83.95,83.95,81.95,82.75,4729,0
2023-04-13T00:00:00+0530,83.5,87.45,82.25,85.45,15530,0
2023-04-17T00:00:00+0530,86.6,86.6,84.05,85.1,1635,0
2023-04-18T00:00:00+0530,85.95,86.3,84.4,86.05,2057,0
2023-04-19T00:00:00+0530,86,86,84,84.5,8121,0
2023-04-20T00:00:00+0530,85,101.4,84,91,154078,0
2023-04-21T00:00:00+0530,91.95,92.35,89.3,89.75,9043,0
2023-04-24T00:00:00+0530,90.1,96,89,92.25,33221,0
2023-04-25T00:00:00+0530,92.3,95.7,92.25,94.05,14192,0
2023-04-26T00:00:00+0530,92.4,96,92.35,93.35,15810,0
2023-04-27T00:00:00+0530,92.25,94.7,92.05,92.6,8149,0
2023-04-28T00:00:00+0530,91.15,95.75,91.15,93.65,12137,0
2023-05-02T00:00:00+0530,92.25,94.45,91.3,91.85,11777,0
2023-05-03T00:00:00+0530,91.25,93.85,91,92,5143,0
2023-05-04T00:00:00+0530,93.35,93.8,91.05,91.95,6606,0
2023-05-05T00:00:00+0530,91,93.25,91,91.45,2824,0
2023-05-08T00:00:00+0530,92.7,92.7,89.7,90.6,6818,0
2023-05-09T00:00:00+0530,91.95,92,88.5,89.3,8519,0
2023-05-10T00:00:00+0530,90.5,90.5,85.2,85.9,24346,0
2023-05-11T00:00:00+0530,87.4,88.7,85.9,86.8,12000,0
2023-05-12T00:00:00+0530,88.7,88.7,85.8,87,5940,0
2023-05-15T00:00:00+0530,87.8,87.8,85.6,86.35,2519,0
2023-05-16T00:00:00+0530,88,88,85.6,87.05,4331,0
2023-05-17T00:00:00+0530,88.4,88.4,86.05,87.65,4208,0
2023-05-18T00:00:00+0530,87.65,89.55,85.5,88.7,8668,0
2023-05-19T00:00:00+0530,87.7,89,87.1,88.2,6263,0
2023-05-22T00:00:00+0530,89,89.4,86.5,87.4,6912,0
2023-05-23T00:00:00+0530,87.9,88.9,87.1,88.3,3119,0
2023-05-24T00:00:00+0530,91,91,85.95,86.8,6365,0
2023-05-25T00:00:00+0530,90.75,90.85,86.05,86.7,3754,0
