date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,43.2,43.25,42.85,42.85,10744,0
2023-01-03T00:00:00+0530,44.9,44.95,43.3,44.95,132511,0
2023-01-04T00:00:00+0530,47.15,47.15,47.15,47.15,68046,0
2023-01-05T00:00:00+0530,49.5,49.5,44.85,46.15,139673,0
2023-01-06T00:00:00+0530,47.6,47.6,47.5,47.5,10744,0
2023-01-09T00:00:00+0530,45.25,45.25,45.2,45.2,10744,0
2023-01-10T00:00:00+0530,47.3,47.3,47.3,47.3,3581,0
2023-01-12T00:00:00+0530,45,45.45,44.95,44.95,14325,0
2023-01-13T00:00:00+0530,47.15,47.15,47.15,47.15,7163,0
2023-01-16T00:00:00+0530,45,45,45,45,25070,0
2023-01-18T00:00:00+0530,43.3,43.3,43.3,43.3,7163,0
2023-01-20T00:00:00+0530,41.55,41.55,41.1,41.1,17907,0
2023-01-23T00:00:00+0530,39.1,41.15,39.1,39.1,28651,0
2023-01-27T00:00:00+0530,37.65,38.1,37.15,38.1,17907,0
2023-01-31T00:00:00+0530,36.4,39.4,36.35,38.1,25070,0
2023-02-01T00:00:00+0530,36.45,36.45,36.45,36.45,3581,0
2023-02-03T00:00:00+0530,38.15,38.15,34.7,34.8,14325,0
2023-02-06T00:00:00+0530,36.55,36.55,36.55,36.55,10744,0
2023-02-08T00:00:00+0530,38.35,38.35,38.35,38.35,3581,0
2023-02-09T00:00:00+0530,40.25,40.25,40.25,40.25,3581,0
2023-02-10T00:00:00+0530,37,37,36.9,37,55800,0
2023-02-14T00:00:00+0530,36.9,36.9,36.9,36.9,3100,0
2023-02-15T00:00:00+0530,35.05,35.2,35.05,35.15,12400,0
2023-02-16T00:00:00+0530,33.4,35,33.4,35,12400,0
2023-02-20T00:00:00+0530,36.75,36.75,36.75,36.75,3100,0
2023-02-22T00:00:00+0530,34.95,38.55,34.95,38.55,6200,0
2023-02-28T00:00:00+0530,36.65,36.65,36.65,36.65,6200,0
2023-03-10T00:00:00+0530,35.65,37,35.65,36.3,68200,0
2023-03-13T00:00:00+0530,34.5,34.5,34.5,34.5,46500,0
2023-03-14T00:00:00+0530,34.5,35,34.5,34.85,40300,0
2023-03-15T00:00:00+0530,33.25,33.25,33.25,33.25,12400,0
2023-03-16T00:00:00+0530,34.8,34.9,34.8,34.85,6200,0
2023-03-20T00:00:00+0530,33.1,36.55,33.1,34.3,40300,0
2023-03-21T00:00:00+0530,33.2,35,32.6,32.6,31000,0
2023-03-22T00:00:00+0530,32,32,32,32,6200,0
2023-03-23T00:00:00+0530,33.2,33.4,33.2,33.4,9300,0
2023-03-24T00:00:00+0530,33,33,31.75,32.95,24800,0
2023-03-27T00:00:00+0530,32.05,32.7,31.5,31.85,18600,0
2023-03-29T00:00:00+0530,30.25,30.25,30.25,30.25,12400,0
2023-03-31T00:00:00+0530,28.75,28.75,28.75,28.75,49600,0
2023-04-03T00:00:00+0530,27.35,30.15,27.35,30,145700,0
2023-04-05T00:00:00+0530,31.5,31.5,31,31.5,83700,0
2023-04-06T00:00:00+0530,33.05,33.05,33.05,33.05,3100,0
2023-04-10T00:00:00+0530,34.7,34.7,34.7,34.7,3100,0
2023-04-11T00:00:00+0530,36.4,36.4,36.4,36.4,6200,0
2023-04-12T00:00:00+0530,38.2,38.2,38.2,38.2,6200,0
2023-04-13T00:00:00+0530,40.1,40.1,36.3,38.35,368900,0
2023-04-17T00:00:00+0530,39.4,40.25,39.4,40.25,77500,0
2023-04-18T00:00:00+0530,42,42.25,40.1,42.2,46500,0
2023-04-19T00:00:00+0530,40.1,40.1,40.1,40.1,18600,0
2023-04-20T00:00:00+0530,38.9,40.5,38.9,40,15500,0
2023-04-21T00:00:00+0530,41.85,41.85,40.05,41,9300,0
2023-04-24T00:00:00+0530,40.3,41.5,40.3,41.5,15500,0
2023-04-26T00:00:00+0530,41.15,41.15,40.9,40.9,12400,0
2023-04-27T00:00:00+0530,40.7,40.7,40.65,40.65,9300,0
2023-05-02T00:00:00+0530,40.55,42.1,39.5,42.1,27900,0
2023-05-03T00:00:00+0530,40.15,41.85,40.15,41.85,9300,0
2023-05-04T00:00:00+0530,41.85,42.5,41.85,42.45,9300,0
2023-05-05T00:00:00+0530,41.25,42.75,41.1,42.15,18600,0
2023-05-08T00:00:00+0530,40.65,42,40.5,41.6,21700,0
2023-05-09T00:00:00+0530,42,42,42,42,3100,0
2023-05-10T00:00:00+0530,42.95,42.95,42.95,42.95,3100,0
