date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,323,324.9,313.15,314.85,184938,0
2023-01-03T00:00:00+0530,315.15,323.7,314,316.3,184069,0
2023-01-04T00:00:00+0530,317,322,315,317.1,131498,0
2023-01-05T00:00:00+0530,321,324.5,314,316.2,260857,0
2023-01-06T00:00:00+0530,319,321.35,309,310.4,177098,0
2023-01-09T00:00:00+0530,313.05,318.35,307.05,311.2,271999,0
2023-01-10T00:00:00+0530,312.5,315.6,306.05,309,137738,0
2023-01-11T00:00:00+0530,309.9,317.75,308,311.4,211843,0
2023-01-12T00:00:00+0530,313.9,321,312.05,316.6,263477,0
2023-01-13T00:00:00+0530,318.85,320.6,312.35,314.4,148770,0
2023-01-16T00:00:00+0530,314.6,319.4,313.05,317.85,250819,0
2023-01-17T00:00:00+0530,319,325,314.2,315.3,438747,0
2023-01-18T00:00:00+0530,316.9,328.15,316.55,323.85,420875,0
2023-01-19T00:00:00+0530,323.5,325.5,316,318.15,255613,0
2023-01-20T00:00:00+0530,319.55,325,318,322.5,143228,0
2023-01-23T00:00:00+0530,324.85,334.9,323.6,329.55,276636,0
2023-01-24T00:00:00+0530,332,333,311.65,314.2,405697,0
2023-01-25T00:00:00+0530,316,316.8,300.85,307.95,253987,0
2023-01-27T00:00:00+0530,308,313.05,288.1,298.75,225177,0
2023-01-30T00:00:00+0530,294.5,306.65,290.2,294.05,89519,0
2023-01-31T00:00:00+0530,298,317,293.05,313.4,919465,0
2023-02-01T00:00:00+0530,316.5,321.95,300,305.3,229907,0
2023-02-02T00:00:00+0530,304.9,313,300,305.8,91761,0
2023-02-03T00:00:00+0530,307.5,311,300,307.1,116726,0
2023-02-06T00:00:00+0530,307.1,313,304.8,311.25,161753,0
2023-02-07T00:00:00+0530,313,316.3,300.1,305.35,196477,0
2023-02-08T00:00:00+0530,309.6,310,304.3,306.3,77931,0
2023-02-09T00:00:00+0530,307.85,330,305,327,497733,0
2023-02-10T00:00:00+0530,326,335.5,312.55,315.25,668190,0
2023-02-13T00:00:00+0530,321.9,323.45,314.6,316,226585,0
2023-02-14T00:00:00+0530,314,319,309.45,312.55,106077,0
2023-02-15T00:00:00+0530,309.7,315.5,308,312.75,120303,0
2023-02-16T00:00:00+0530,315.6,316.9,309.8,313.15,78063,0
2023-02-17T00:00:00+0530,312.85,315.15,310,313.8,87126,0
