date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,97.8,101,97.55,100.35,375687,0
2023-01-03T00:00:00+0530,100.45,102,100,100.6,301896,0
2023-01-04T00:00:00+0530,100.85,101.55,98.85,99.65,314208,0
2023-01-05T00:00:00+0530,100.2,103.1,99.25,101.4,648288,0
2023-01-06T00:00:00+0530,101.65,102.6,100,100.85,511704,0
2023-01-09T00:00:00+0530,101.35,102.05,99.65,100.25,296100,0
2023-01-10T00:00:00+0530,100.4,101,99.45,99.85,217359,0
2023-01-11T00:00:00+0530,100.3,100.65,97.25,97.85,305100,0
2023-01-12T00:00:00+0530,98.25,98.65,94.35,95.4,701523,0
2023-01-13T00:00:00+0530,95.75,96.55,95,95.35,378738,0
2023-01-16T00:00:00+0530,97.45,97.45,95,96.15,834264,0
2023-01-17T00:00:00+0530,96.45,99.8,87.8,98.15,1587177,0
2023-01-18T00:00:00+0530,102.2,105.4,100.45,101.45,1499736,0
2023-01-19T00:00:00+0530,101.55,101.55,97.8,98.95,390735,0
2023-01-20T00:00:00+0530,99.95,100.25,95.6,96.15,219930,0
2023-01-23T00:00:00+0530,96.15,96.35,93.55,94,216405,0
2023-01-24T00:00:00+0530,93.6,101.75,92.75,100.15,629244,0
2023-01-25T00:00:00+0530,100,102.65,100,100.25,382230,0
2023-01-27T00:00:00+0530,100.8,100.8,93.35,94.15,510804,0
2023-01-30T00:00:00+0530,94.2,100.75,92.25,94.85,671580,0
2023-01-31T00:00:00+0530,96.65,106.45,95.55,105.35,2497674,0
2023-02-01T00:00:00+0530,106,110.65,98.9,100.1,2843964,0
2023-02-02T00:00:00+0530,100,106.65,98.75,105.85,1297164,0
2023-02-03T00:00:00+0530,106.45,108.15,101.15,103.05,1072002,0
2023-02-06T00:00:00+0530,103.15,110.2,102.25,108.8,2408985,0
2023-02-07T00:00:00+0530,110.55,113.35,108.65,109.05,3465876,0
2023-02-08T00:00:00+0530,110,110.65,105.15,109.45,1212468,0
2023-02-09T00:00:00+0530,108.85,110.5,107.75,108.95,573522,0
2023-02-10T00:00:00+0530,108.8,109.85,105.55,105.85,747690,0
2023-02-13T00:00:00+0530,106.65,106.85,100.45,101.5,1078932,0
2023-02-14T00:00:00+0530,102.05,104,93.15,95.55,1069404,0
2023-02-15T00:00:00+0530,95.85,100.85,93.85,99.35,1044888,0
2023-02-16T00:00:00+0530,99.35,101.65,99.2,101,568404,0
2023-02-17T00:00:00+0530,100,101.75,98.75,100.2,418923,0
2023-02-20T00:00:00+0530,100.65,100.75,96.45,96.95,411534,0
2023-02-21T00:00:00+0530,97.8,98.85,96.05,96.75,339852,0
2023-02-22T00:00:00+0530,96.15,98.65,94.5,95.2,562158,0
2023-02-23T00:00:00+0530,95.6,97.65,94,95.55,389619,0
2023-02-24T00:00:00+0530,96,98.35,94.65,97.75,432030,0
2023-02-27T00:00:00+0530,98.2,98.45,94.5,95.85,326418,0
2023-02-28T00:00:00+0530,96.35,96.85,95.15,96.25,287724,0
