date,open,high,low,close,volume,empty
2023-05-26T00:00:00+0530,118.8,118.8,112.9,112.9,1004000,0
2023-05-29T00:00:00+0530,107.25,107.25,107.25,107.25,66000,0
2023-05-30T00:00:00+0530,101.9,101.9,101.9,101.9,16000,0
2023-05-31T00:00:00+0530,96.8,96.8,96.8,96.8,86000,0
2023-06-01T00:00:00+0530,96,101.6,96,101.6,890000,0
2023-06-02T00:00:00+0530,100.6,106.6,97.1,105.15,360000,0
2023-06-05T00:00:00+0530,102,110.4,100.15,110.4,214000,0
2023-06-06T00:00:00+0530,115.7,115.9,111.35,115.45,316000,0
2023-06-07T00:00:00+0530,111.1,115.85,109.7,109.7,152000,0
2023-06-08T00:00:00+0530,110,115.15,106.05,115.15,228000,0
2023-06-09T00:00:00+0530,120,138.15,119,136.55,1108000,0
2023-06-12T00:00:00+0530,136,136,126,128.75,226000,0
2023-06-13T00:00:00+0530,132,141.35,130,133.7,340000,0
2023-06-14T00:00:00+0530,134,136.5,130,134.05,186000,0
2023-06-15T00:00:00+0530,131.65,143.9,131.65,136.15,132000,0
2023-06-16T00:00:00+0530,137.8,140,132.1,134.9,138000,0
2023-06-19T00:00:00+0530,137,144,135.5,141.35,216000,0
2023-06-20T00:00:00+0530,148.25,168.5,148.1,166.9,628000,0
2023-06-21T00:00:00+0530,174.3,174.4,154,158.55,292000,0
2023-06-22T00:00:00+0530,159.05,161.5,148,156.3,144000,0
2023-06-23T00:00:00+0530,158,158,145,153.85,82000,0
2023-06-26T00:00:00+0530,151,174,151,165.9,166000,0
2023-06-27T00:00:00+0530,170.95,177.85,167,170.65,146000,0
2023-06-28T00:00:00+0530,170.65,173.5,165,170.3,100000,0
2023-06-30T00:00:00+0530,170,175.85,170,173.2,76000,0
2023-07-03T00:00:00+0530,178,183,174.05,178.9,98000,0
2023-07-04T00:00:00+0530,183,187.5,172,174.4,98000,0
2023-07-05T00:00:00+0530,174,174.15,170,170,62000,0
2023-07-06T00:00:00+0530,166,170.5,164,165.75,82000,0
2023-07-07T00:00:00+0530,162.25,162.25,159,159.9,66000,0
2023-07-10T00:00:00+0530,165.5,167,163,165.05,206000,0
2023-07-11T00:00:00+0530,165.25,167,160,160,42000,0
2023-07-12T00:00:00+0530,157.25,158,148,154.45,94000,0
2023-07-13T00:00:00+0530,159,159,148.9,151.95,58000,0
2023-07-14T00:00:00+0530,152,152,149,150.8,62000,0
2023-07-17T00:00:00+0530,152,165.1,151.55,160.7,132000,0
2023-07-18T00:00:00+0530,160.5,162,155,156.7,32000,0
2023-07-19T00:00:00+0530,156.8,161.95,155,156.15,40000,0
2023-07-20T00:00:00+0530,156,163,155,159.75,52000,0
2023-07-21T00:00:00+0530,160,169.9,159,167.45,108000,0
2023-07-24T00:00:00+0530,166.05,181,166.05,178.05,96000,0
2023-07-25T00:00:00+0530,180,182.75,173.1,174.8,44000,0
2023-07-26T00:00:00+0530,179.95,195,178.05,194,184000,0
2023-07-27T00:00:00+0530,199.95,200,187.15,187.8,84000,0
2023-07-28T00:00:00+0530,191.8,194,188.1,193.9,32000,0
2023-07-31T00:00:00+0530,196.95,196.95,187,190.65,44000,0
2023-08-01T00:00:00+0530,187.4,191,186.8,187.75,42000,0
2023-08-02T00:00:00+0530,185.2,188.95,181.6,182.2,40000,0
2023-08-03T00:00:00+0530,185,187.5,181.55,184.1,18000,0
2023-08-04T00:00:00+0530,183.5,189,183,188.15,46000,0
2023-08-07T00:00:00+0530,190,200,185,197.45,92000,0
2023-08-08T00:00:00+0530,206,225,206,219.9,188000,0
2023-08-09T00:00:00+0530,220,224,192,195.4,104000,0
2023-08-10T00:00:00+0530,200.9,205,194,195.05,78000,0
2023-08-11T00:00:00+0530,193.5,205,189,201.3,64000,0
2023-08-14T00:00:00+0530,204,228.5,202,219.4,104000,0
2023-08-16T00:00:00+0530,228.1,256,228.1,253.45,246000,0
2023-08-17T00:00:00+0530,266.9,268,242,244.9,136000,0
2023-08-18T00:00:00+0530,242,277,240,272.6,114000,0
2023-08-21T00:00:00+0530,272.6,275,268.5,273,100000,0
2023-08-22T00:00:00+0530,280,290,274.25,281.55,102000,0
2023-08-23T00:00:00+0530,285,299,285,293.8,70000,0
2023-08-24T00:00:00+0530,293.9,299,289.05,291.45,56000,0
2023-08-25T00:00:00+0530,283.35,283.35,275,280.5,40000,0
2023-08-28T00:00:00+0530,280,281.5,266,280.25,48000,0
2023-08-29T00:00:00+0530,277,280,265,269.5,76000,0
2023-08-30T00:00:00+0530,265,288,265,272,40000,0
2023-08-31T00:00:00+0530,274.3,282,273.75,281,18000,0
2023-09-01T00:00:00+0530,285,285,276.75,278.5,14000,0
2023-09-04T00:00:00+0530,274.5,280,270,272,34000,0
2023-09-05T00:00:00+0530,265,270.55,260,260,28000,0
2023-09-06T00:00:00+0530,258,258,233.1,251.65,78000,0
2023-09-07T00:00:00+0530,252,254,252,254,4000,0
2023-09-08T00:00:00+0530,254,262,254,260,8000,0
2023-09-11T00:00:00+0530,272,272,256,256,34000,0
2023-09-12T00:00:00+0530,250,250,237,244.1,34000,0
2023-09-13T00:00:00+0530,240,250,217.7,247,68000,0
2023-09-14T00:00:00+0530,245,249,242,248.5,8000,0
2023-09-15T00:00:00+0530,248.5,259.4,244,254.35,16000,0
2023-09-18T00:00:00+0530,250,250,235,236.2,64000,0
2023-09-20T00:00:00+0530,238,241.9,223,241.9,20000,0
2023-09-22T00:00:00+0530,232,232,224.15,228.9,22000,0
2023-09-25T00:00:00+0530,228.9,232.05,225,227.4,22000,0
2023-09-26T00:00:00+0530,225,225,202,208.8,160000,0
2023-09-27T00:00:00+0530,210,230,209,222.7,96000,0
2023-09-28T00:00:00+0530,223.2,239,220.05,227.1,36000,0
2023-09-29T00:00:00+0530,227.1,236,225.5,235,48000,0
2023-10-03T00:00:00+0530,235,235,225.25,227,46000,0
2023-10-04T00:00:00+0530,197.1,221,196.3,220,16000,0
2023-10-05T00:00:00+0530,220,220,220,220,4000,0
2023-10-06T00:00:00+0530,220.6,227,220.5,221.8,14000,0
2023-10-09T00:00:00+0530,222,222,213,213,4000,0
2023-10-10T00:00:00+0530,221,225,219,225,10000,0
2023-10-11T00:00:00+0530,225,230,225,227,32000,0
2023-10-12T00:00:00+0530,227,227,221.85,223,10000,0
2023-10-13T00:00:00+0530,219.5,223.55,217,223.55,24000,0
2023-10-16T00:00:00+0530,229,229,220,220,12000,0
2023-10-17T00:00:00+0530,225,225,215.05,218,38000,0
2023-10-18T00:00:00+0530,220,220,208,211.9,66000,0
2023-10-19T00:00:00+0530,210,219,209,219,24000,0
2023-10-20T00:00:00+0530,219,220,216,216,10000,0
2023-10-23T00:00:00+0530,215,215,203,203.85,42000,0
2023-10-25T00:00:00+0530,206.35,207,197.75,199,24000,0
2023-10-26T00:00:00+0530,199,216.9,199,215,24000,0
2023-10-27T00:00:00+0530,216,228,215,225.5,64000,0
2023-10-30T00:00:00+0530,241,241,229.95,235.55,100000,0
2023-10-31T00:00:00+0530,244.9,249,235,239.75,32000,0
2023-11-01T00:00:00+0530,242.55,248,237,240.35,24500,0
2023-11-02T00:00:00+0530,241.5,246.8,238,240.4,58000,0
2023-11-03T00:00:00+0530,243,265,220,234.15,278500,0
2023-11-06T00:00:00+0530,242.9,243,220.2,222.8,217000,0
2023-11-07T00:00:00+0530,222,227.85,218,220.9,73000,0
2023-11-08T00:00:00+0530,220,228.3,220,223.35,48500,0
2023-11-09T00:00:00+0530,225,225,217,219,41500,0
2023-11-10T00:00:00+0530,223.3,241,222.7,234.55,130500,0
2023-11-12T00:00:00+0530,240,248,240,242.2,56500,0
2023-11-13T00:00:00+0530,245,247.75,240.05,241.7,37000,0
2023-11-15T00:00:00+0530,245,250,245,248.3,47500,0
2023-11-16T00:00:00+0530,250,250,242,242.95,18500,0
2023-11-17T00:00:00+0530,248.4,248.45,241.05,241.55,16500,0
2023-11-20T00:00:00+0530,243.15,243.15,226,236.7,73500,0
2023-11-21T00:00:00+0530,236.8,244.05,233.4,234.9,34000,0
2023-11-22T00:00:00+0530,233.05,235,231.1,232.35,30500,0
2023-11-23T00:00:00+0530,232,232,228.25,229.4,43500,0
2023-11-24T00:00:00+0530,230.5,230.5,225,228.5,34500,0
2023-11-28T00:00:00+0530,233.15,233.15,225,228.05,69000,0
2023-11-29T00:00:00+0530,228.05,228.05,225,226.5,20000,0
2023-11-30T00:00:00+0530,229.6,233.95,225,226.85,21500,0
2023-12-01T00:00:00+0530,231.95,232,222.45,222.5,23000,0
2023-12-04T00:00:00+0530,228.7,228.7,224,224.7,39000,0
2023-12-05T00:00:00+0530,222.25,224,215,220.1,43500,0
2023-12-06T00:00:00+0530,219.9,227,219.9,222.65,28000,0
2023-12-07T00:00:00+0530,222.65,225.5,220.25,221.8,20000,0
2023-12-08T00:00:00+0530,221.8,239.05,217.95,227.95,84500,0
2023-12-11T00:00:00+0530,233.5,234,225.5,227.15,19500,0
2023-12-12T00:00:00+0530,232.95,233,228,229.35,23500,0
2023-12-13T00:00:00+0530,229.35,232.4,226.45,229.55,15500,0
2023-12-14T00:00:00+0530,232,235,225.1,226.35,26500,0
2023-12-15T00:00:00+0530,232.75,232.8,228,228.1,31000,0
2023-12-18T00:00:00+0530,230,233.95,221,230.9,56500,0
2023-12-19T00:00:00+0530,231,232.95,229,230.95,20500,0
2023-12-20T00:00:00+0530,232,232.65,212,217.8,37500,0
2023-12-21T00:00:00+0530,217.8,235,217.8,229.55,20000,0
2023-12-22T00:00:00+0530,226.35,228,221.25,223,11000,0
2023-12-26T00:00:00+0530,222,223.9,217.55,222.95,15500,0
2023-12-27T00:00:00+0530,231.95,231.95,221.05,223.8,16000,0
2023-12-28T00:00:00+0530,223,224,214.7,219.95,31500,0
2023-12-29T00:00:00+0530,216.25,221,216.25,220,13500,0
2024-01-01T00:00:00+0530,219.2,223.5,218,219.95,22500,0
2024-01-02T00:00:00+0530,223.9,223.9,216.2,218.75,28000,0
2024-01-03T00:00:00+0530,221.95,222.2,216,219,17000,0
2024-01-04T00:00:00+0530,222.65,222.75,216.3,221.7,38000,0
2024-01-05T00:00:00+0530,220.05,227,220,221.85,15500,0
2024-01-08T00:00:00+0530,222,243.4,222,237.5,87000,0
2024-01-09T00:00:00+0530,237.55,249.5,237.55,242.05,43000,0
2024-01-10T00:00:00+0530,242,250,240.1,249,31000,0
2024-01-11T00:00:00+0530,250.2,265,250.2,256.65,53500,0
2024-01-12T00:00:00+0530,255.5,260,237.2,241.1,65500,0
2024-01-15T00:00:00+0530,244.95,247,236,236.85,19500,0
2024-01-16T00:00:00+0530,231,238.5,230,231.45,20500,0
2024-01-17T00:00:00+0530,230.05,240.75,230,233.6,17000,0
2024-01-18T00:00:00+0530,241.95,243.6,230,232.55,28000,0
2024-01-19T00:00:00+0530,237,238,232.85,235.55,23000,0
2024-01-20T00:00:00+0530,255,255,232,236.3,24000,0
2024-01-23T00:00:00+0530,252,252,231.2,233.8,27000,0
2024-01-24T00:00:00+0530,235.95,255.8,235.95,241.05,45500,0
2024-01-25T00:00:00+0530,245,245,230.55,233.8,29000,0
2024-01-29T00:00:00+0530,244.4,280.55,239.95,280.55,237500,0
2024-01-30T00:00:00+0530,294.8,305,283.5,289.8,143000,0
2024-01-31T00:00:00+0530,292,298.65,268,275.8,125500,0
2024-02-01T00:00:00+0530,270.5,290,266,281.45,88500,0
2024-02-02T00:00:00+0530,285,302,273,280.35,65000,0
2024-02-05T00:00:00+0530,279.05,289.4,260.65,266.65,49500,0
2024-02-06T00:00:00+0530,267,272,250.5,271.15,55000,0
2024-02-07T00:00:00+0530,265,279,251.2,257.2,47500,0
2024-02-08T00:00:00+0530,257.2,267,257.2,261,21500,0
2024-02-09T00:00:00+0530,261,261,245.2,250.4,33000,0
2024-02-12T00:00:00+0530,248,248,232.6,238.6,23500,0
2024-02-13T00:00:00+0530,240,251,238.95,251,14000,0
2024-02-14T00:00:00+0530,252.5,256.8,240.1,240.65,33000,0
2024-02-15T00:00:00+0530,244,264,244,262.85,27500,0
2024-02-16T00:00:00+0530,263,270,262.1,264.05,13000,0
2024-02-19T00:00:00+0530,264.95,283.75,264.95,275.5,41500,0
2024-02-20T00:00:00+0530,266,277,266,273.65,19000,0
2024-02-21T00:00:00+0530,270,270,254,257.65,28000,0
2024-02-22T00:00:00+0530,253.05,263.5,253,257.35,14500,0
2024-02-23T00:00:00+0530,256.1,269.8,251.8,263,32500,0
2024-02-26T00:00:00+0530,263,269.85,258,259.05,20000,0
2024-02-27T00:00:00+0530,258,258.9,250.1,254.6,20000,0
2024-02-28T00:00:00+0530,252,252.25,240.4,247.3,19500,0
2024-02-29T00:00:00+0530,258,258,240,252.15,20000,0
2024-03-01T00:00:00+0530,251.5,256.8,250,253.7,13000,0
2024-03-04T00:00:00+0530,264.95,264.95,247.6,250.4,21000,0
2024-03-05T00:00:00+0530,257.4,260.1,234.9,238.4,54500,0
2024-03-06T00:00:00+0530,233.8,237.4,217.85,227.05,43000,0
2024-03-07T00:00:00+0530,234,267.5,234,260,73500,0
2024-03-11T00:00:00+0530,258,260,241,245.95,34500,0
2024-03-12T00:00:00+0530,240,240,225,230.55,41000,0
2024-03-13T00:00:00+0530,231,231,203.15,209.3,47500,0
2024-03-14T00:00:00+0530,204,237,203.5,233,76000,0
2024-03-15T00:00:00+0530,220.2,228.75,216,228.75,9000,0
2024-03-18T00:00:00+0530,225,229.95,224,228,13500,0
2024-03-19T00:00:00+0530,224,229,222,222,11500,0
2024-03-20T00:00:00+0530,225,230,225,229.35,7000,0
2024-03-21T00:00:00+0530,239,245,235.05,242.05,26500,0
2024-03-22T00:00:00+0530,235.7,249,235.7,240.5,8500,0
2024-03-26T00:00:00+0530,239.75,245.45,236,239.5,17500,0
2024-03-27T00:00:00+0530,239.5,239.5,210,222.3,40000,0
2024-03-28T00:00:00+0530,219,229,219,222.6,43000,0
2024-04-01T00:00:00+0530,232,241.8,228,233,27000,0
2024-04-02T00:00:00+0530,235.4,241.35,234,240.2,9500,0
2024-04-03T00:00:00+0530,241.35,243,230,236,19000,0
2024-04-04T00:00:00+0530,236.05,236.5,229,230.9,16500,0
2024-04-05T00:00:00+0530,228,237.65,228,232.95,12000,0
2024-04-08T00:00:00+0530,234,236.5,230,232,5500,0
2024-04-09T00:00:00+0530,235,235.1,231,231,8500,0
2024-04-10T00:00:00+0530,227.55,231.6,227,228.25,11500,0
2024-04-12T00:00:00+0530,232,232,225.3,225.3,7500,0
2024-04-15T00:00:00+0530,220,228,218,225.75,10500,0
2024-04-16T00:00:00+0530,222.4,227.7,218,221.2,32500,0
2024-04-18T00:00:00+0530,222,228,216.5,224.25,22500,0
2024-04-19T00:00:00+0530,224.25,226.8,217.5,221.8,21500,0
2024-04-22T00:00:00+0530,221.8,226,219,221.75,15500,0
2024-04-23T00:00:00+0530,221.1,225,220,220.95,14500,0
2024-04-24T00:00:00+0530,222,226,219.5,220,29000,0
2024-04-25T00:00:00+0530,223,232,222,231.6,27500,0
2024-04-26T00:00:00+0530,241.65,241.65,233.75,233.75,24500,0
2024-04-29T00:00:00+0530,233,254,227.85,245,34500,0
2024-04-30T00:00:00+0530,245,294,241,286.3,214500,0
2024-05-02T00:00:00+0530,279,279,252.25,261.6,100000,0
2024-05-03T00:00:00+0530,255,255,241.05,241.9,50000,0
2024-05-06T00:00:00+0530,235.85,235.85,227,231.65,38500,0
2024-05-07T00:00:00+0530,231,231,225.15,228.6,17500,0
2024-05-08T00:00:00+0530,232,234,226,228,12500,0
2024-05-09T00:00:00+0530,229,230,225.1,226.05,14500,0
2024-05-10T00:00:00+0530,226,230,223,225,20000,0
2024-05-13T00:00:00+0530,214.25,224.9,214.25,221,13000,0
2024-05-14T00:00:00+0530,222,239.95,216.05,237,35000,0
2024-05-15T00:00:00+0530,236,253,236,244.7,56500,0
2024-05-16T00:00:00+0530,244.7,251.5,244,248.05,52000,0
2024-05-17T00:00:00+0530,259.5,259.5,247.25,252.25,33500,0
2024-05-18T00:00:00+0530,258,258,248.55,249.05,5500,0
2024-05-21T00:00:00+0530,244,244.25,230,233.95,24000,0
2024-05-22T00:00:00+0530,233.95,236,232,236,4000,0
2024-05-23T00:00:00+0530,230.1,239.5,220.4,223.35,52000,0
2024-05-24T00:00:00+0530,226.6,230,218,222.25,18000,0
2024-05-27T00:00:00+0530,231.9,231.9,222.5,226,13000,0
2024-05-28T00:00:00+0530,254,254,218,223.1,95500,0
2024-05-29T00:00:00+0530,233.9,233.9,215.2,217.95,67000,0
2024-05-30T00:00:00+0530,225,225,215,217.65,34500,0
2024-05-31T00:00:00+0530,210.3,219.45,206,211,48500,0
2024-06-03T00:00:00+0530,215.15,215.15,205,207.95,36500,0
2024-06-04T00:00:00+0530,207.95,207.95,191.2,196.75,63000,0
2024-06-05T00:00:00+0530,205,205,191,197.6,36500,0
2024-06-06T00:00:00+0530,200,206,193.75,195.9,50000,0
2024-06-07T00:00:00+0530,196.35,214.8,196.35,207.8,43000,0
2024-06-10T00:00:00+0530,215.85,230,209.95,225.75,123000,0
2024-06-11T00:00:00+0530,227,229,223.5,227.7,31000,0
2024-06-12T00:00:00+0530,227,227,215,215.9,74000,0
2024-06-13T00:00:00+0530,217.9,233.8,210,214.85,302500,0
2024-06-14T00:00:00+0530,217,220,208,210.4,104500,0
2024-06-18T00:00:00+0530,210.25,212.1,207.5,207.85,65500,0
2024-06-19T00:00:00+0530,209.5,223.95,207,218.95,132000,0
2024-06-20T00:00:00+0530,220,222,215,217.2,94000,0
2024-06-21T00:00:00+0530,216.25,219.2,215.25,217.1,100000,0
2024-06-24T00:00:00+0530,217,223.9,217,219.45,98000,0
2024-06-25T00:00:00+0530,219,254,217,239.35,266000,0
2024-06-26T00:00:00+0530,239.35,261,234,253,277000,0
2024-06-27T00:00:00+0530,260,277,260,273.9,358500,0
