date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,164,164,149.85,151.1,111000,0
2023-01-03T00:00:00+0530,150.5,166.2,149,166.2,285000,0
2023-01-04T00:00:00+0530,173,182.8,168.75,182.8,639000,0
2023-01-05T00:00:00+0530,184,187,174.2,178.25,192000,0
2023-01-06T00:00:00+0530,175.25,181,171.1,177.3,96000,0
2023-01-09T00:00:00+0530,182.65,182.65,171.85,172.45,78000,0
2023-01-10T00:00:00+0530,172.05,172.05,165,166.85,72000,0
2023-01-11T00:00:00+0530,163.95,173.8,161.95,169,51000,0
2023-01-12T00:00:00+0530,166,171.15,164.25,166.35,60000,0
2023-01-13T00:00:00+0530,170,170,166.05,168.8,39000,0
2023-01-16T00:00:00+0530,174.85,174.85,171,171,12000,0
2023-01-17T00:00:00+0530,170,172.7,170,172.6,12000,0
2023-01-18T00:00:00+0530,174.9,179.7,173,177.05,57000,0
2023-01-19T00:00:00+0530,176.35,179,176.35,179,15000,0
2023-01-20T00:00:00+0530,179.8,179.8,173.85,176,69000,0
2023-01-23T00:00:00+0530,175.2,184,170.5,180.35,108000,0
2023-01-24T00:00:00+0530,182.1,183.95,178,178.95,66000,0
2023-01-25T00:00:00+0530,181.85,181.85,171.55,172.65,51000,0
2023-01-27T00:00:00+0530,166.5,166.5,164.2,164.2,24000,0
2023-01-30T00:00:00+0530,162,162,159,159.35,45000,0
2023-01-31T00:00:00+0530,162.9,162.9,159.55,160.65,15000,0
2023-02-01T00:00:00+0530,161.6,164,152.65,152.65,78000,0
2023-02-02T00:00:00+0530,154.95,154.95,149.85,150.2,15000,0
2023-02-06T00:00:00+0530,146,156.1,145.5,156.1,33000,0
2023-02-07T00:00:00+0530,153,153,153,153,3000,0
2023-02-08T00:00:00+0530,152.95,155.05,147.15,153.1,30000,0
2023-02-09T00:00:00+0530,153.2,164.95,153.2,158.85,24000,0
2023-02-10T00:00:00+0530,158.1,158.1,155,156,20000,0
2023-02-13T00:00:00+0530,153.05,153.05,149,150.45,12000,0
2023-02-14T00:00:00+0530,146,146,143,143.4,15000,0
2023-02-15T00:00:00+0530,141.6,147,141.6,147,6000,0
2023-02-16T00:00:00+0530,145.05,148,145,146.1,13000,0
2023-02-17T00:00:00+0530,146.5,148,146,146,7000,0
2023-02-20T00:00:00+0530,142.2,144,142.2,144,6000,0
2023-02-21T00:00:00+0530,146.2,146.5,140,144,11000,0
2023-02-22T00:00:00+0530,142.85,145.9,140,142.65,12000,0
2023-02-23T00:00:00+0530,140.85,141,137.4,140.7,29000,0
2023-02-24T00:00:00+0530,139,139,137,137,4000,0
2023-02-27T00:00:00+0530,135,136,127.65,133.45,19000,0
2023-02-28T00:00:00+0530,133.7,135,133,134.25,5000,0
2023-03-01T00:00:00+0530,136,140,132.85,139.9,10000,0
2023-03-02T00:00:00+0530,139.7,146.5,139.7,140.9,14000,0
2023-03-03T00:00:00+0530,139,144.9,138,144.9,23000,0
2023-03-06T00:00:00+0530,148,159.35,148,159.25,32000,0
2023-03-08T00:00:00+0530,161.9,167.3,161.9,166.8,21000,0
2023-03-09T00:00:00+0530,169.2,169.2,161.5,164.4,17000,0
2023-03-10T00:00:00+0530,164,164,156,159.85,17000,0
2023-03-13T00:00:00+0530,153.15,156.3,144.85,145.5,36000,0
2023-03-14T00:00:00+0530,149.2,152.2,140,143.3,28000,0
2023-03-15T00:00:00+0530,149.65,150,149,149,5000,0
2023-03-16T00:00:00+0530,144,144,138.05,142,16000,0
2023-03-17T00:00:00+0530,141.6,141.6,138,140.5,20000,0
2023-03-20T00:00:00+0530,137,137,132.1,134.45,36000,0
2023-03-21T00:00:00+0530,134.45,140.95,134.45,140.95,10000,0
2023-03-22T00:00:00+0530,144.1,144.1,135,138,24000,0
2023-03-23T00:00:00+0530,137.95,143.4,137.95,141,13000,0
2023-03-24T00:00:00+0530,140,140,135.85,135.85,2000,0
2023-03-27T00:00:00+0530,135.4,135.4,130.85,132,21000,0
2023-03-28T00:00:00+0530,134.7,136,133.05,133.35,11000,0
2023-03-29T00:00:00+0530,134,134,129.85,129.85,24000,0
2023-03-31T00:00:00+0530,139,139,134,135.2,9000,0
2023-04-03T00:00:00+0530,138.7,142,138.7,141,4000,0
2023-04-05T00:00:00+0530,139.05,141,134,141,7000,0
2023-04-06T00:00:00+0530,143,143.9,137.55,139.05,6000,0
2023-04-10T00:00:00+0530,139,139,139,139,1000,0
2023-04-11T00:00:00+0530,142,148.9,142,147.6,13000,0
2023-04-12T00:00:00+0530,145,147.45,145,147.4,3000,0
2023-04-13T00:00:00+0530,147.45,157,147.45,150,22000,0
2023-04-17T00:00:00+0530,157,164.85,157,162.45,32000,0
2023-04-18T00:00:00+0530,154.2,160,154.2,160,10000,0
2023-04-19T00:00:00+0530,160,160,156,156.75,7000,0
2023-04-20T00:00:00+0530,160,162,156,162,40000,0
2023-04-21T00:00:00+0530,169,169,160,160,43000,0
2023-04-24T00:00:00+0530,156.3,160,154.65,159,13000,0
2023-04-25T00:00:00+0530,154.35,157.95,154.35,157.95,6000,0
2023-04-26T00:00:00+0530,159.9,171,159.9,164,34000,0
2023-04-27T00:00:00+0530,162.15,170,162,162.9,72000,0
2023-04-28T00:00:00+0530,162.9,170,162.9,169.15,20000,0
2023-05-02T00:00:00+0530,172,172.15,165.5,167.3,77000,0
2023-05-03T00:00:00+0530,166.2,168.65,166,168.65,16000,0
2023-05-04T00:00:00+0530,168.15,184.4,166.05,180.05,325000,0
2023-05-05T00:00:00+0530,179.25,186,176.85,180,33000,0
2023-05-08T00:00:00+0530,184.2,184.2,179.55,180.4,48000,0
2023-05-09T00:00:00+0530,180.45,180.45,173.5,173.5,31000,0
2023-05-10T00:00:00+0530,175,193.15,175,179.45,328000,0
2023-05-11T00:00:00+0530,181.6,185,177,182.6,39000,0
2023-05-12T00:00:00+0530,182.35,183,180,180.1,28000,0
2023-05-15T00:00:00+0530,180,181,173.3,175,31000,0
2023-05-16T00:00:00+0530,175,175,173,173,9000,0
2023-05-17T00:00:00+0530,174.9,180.35,172.8,179.15,22000,0
2023-05-18T00:00:00+0530,180.5,184,179.15,180.4,50000,0
2023-05-19T00:00:00+0530,179.85,179.85,177,177,9000,0
2023-05-22T00:00:00+0530,176.6,190,176.6,184.55,76000,0
2023-05-23T00:00:00+0530,186.2,192.2,185.5,187.15,47000,0
2023-05-24T00:00:00+0530,187,190.2,185.4,185.4,35000,0
2023-05-25T00:00:00+0530,189.6,194,185,193.2,89000,0
2023-05-26T00:00:00+0530,194,194,187.5,192.45,44000,0
2023-05-29T00:00:00+0530,195,205,189,191.8,151000,0
2023-05-30T00:00:00+0530,192.55,198.9,192.5,193.25,36000,0
2023-05-31T00:00:00+0530,185.1,200,185.1,194.55,37000,0
2023-06-01T00:00:00+0530,196.2,201.9,195,196.55,70000,0
2023-06-02T00:00:00+0530,196.4,199.15,195,198.75,14000,0
2023-06-05T00:00:00+0530,195,195,185.4,193.2,52000,0
2023-06-06T00:00:00+0530,193.2,193.2,188.8,189.5,12000,0
2023-06-07T00:00:00+0530,188.05,190,185.9,186.15,21000,0
2023-06-08T00:00:00+0530,185.35,186,174,183.5,66000,0
2023-06-09T00:00:00+0530,181.1,186.2,181,181.85,31000,0
2023-06-12T00:00:00+0530,180.7,181.6,176.85,178.7,19000,0
2023-06-13T00:00:00+0530,178.7,184.95,178.7,184.45,16000,0
2023-06-14T00:00:00+0530,181,183.75,181,183.75,4000,0
2023-06-15T00:00:00+0530,183.8,183.8,180,180,12000,0
2023-06-16T00:00:00+0530,180.05,187,180.05,187,17000,0
2023-06-19T00:00:00+0530,190,191.15,186,189.9,15000,0
2023-06-20T00:00:00+0530,188,193.5,188,191.95,28000,0
2023-06-21T00:00:00+0530,192,192,185,185,18000,0
2023-06-22T00:00:00+0530,185.6,189,184,185,24000,0
2023-06-23T00:00:00+0530,185,185,182,182.35,7000,0
2023-06-26T00:00:00+0530,180.35,181.95,180.35,180.75,7000,0
2023-06-27T00:00:00+0530,180,186,180,181,9000,0
2023-06-28T00:00:00+0530,181,183.95,181,183.95,2000,0
2023-06-30T00:00:00+0530,184,184.5,180,180,9000,0
2023-07-03T00:00:00+0530,184.95,184.95,180,180,7000,0
2023-07-04T00:00:00+0530,180,181,177,180.65,6000,0
2023-07-05T00:00:00+0530,180.5,181,176.55,177,9000,0
2023-07-06T00:00:00+0530,177.55,178,170.85,178,12000,0
2023-07-07T00:00:00+0530,178,179.8,175,179.8,9000,0
2023-07-10T00:00:00+0530,175.8,181,175.3,177.6,9000,0
2023-07-11T00:00:00+0530,178,184.9,177,182,13000,0
