date,open,high,low,close,volume,empty
2024-02-19T00:00:00+0530,48.77,49.74,48.02,48.46,5640,0
2024-02-20T00:00:00+0530,49.67,49.67,47.53,48.91,13587,0
2024-02-21T00:00:00+0530,50.13,51.38,48.04,48.32,7252,0
2024-02-22T00:00:00+0530,48.7,49,47.88,48.39,4092,0
2024-02-23T00:00:00+0530,49.48,49.48,47.21,48.32,4929,0
2024-02-26T00:00:00+0530,48.97,48.98,47.65,48.21,4560,0
2024-02-27T00:00:00+0530,47.5,48.89,47.5,48.08,4331,0
2024-02-28T00:00:00+0530,48.68,48.68,47.25,47.68,4750,0
2024-02-29T00:00:00+0530,48.27,48.27,46.03,47.15,8505,0
2024-03-01T00:00:00+0530,48.32,48.5,46.71,48.22,9155,0
2024-03-02T00:00:00+0530,48.95,48.95,46.6,48.57,424,0
2024-03-04T00:00:00+0530,49.54,49.54,47.65,48.36,1781,0
2024-03-05T00:00:00+0530,49.56,49.56,47,47.23,5252,0
2024-03-06T00:00:00+0530,48.91,48.91,46.2,46.61,6844,0
2024-03-07T00:00:00+0530,47.54,48.38,45.6,47.9,5719,0
2024-03-11T00:00:00+0530,49.91,49.91,47.4,47.53,1611,0
2024-03-12T00:00:00+0530,49.68,49.68,46.31,46.73,2436,0
2024-03-13T00:00:00+0530,47,49.1,45.9,46.5,7079,0
2024-03-14T00:00:00+0530,47.27,49,44.1,47.78,3336,0
2024-03-15T00:00:00+0530,47.3,48.56,46,47.91,1415,0
2024-03-18T00:00:00+0530,48.48,48.48,46.5,47.22,2252,0
2024-03-19T00:00:00+0530,47.22,47.94,45.6,46.03,8755,0
2024-03-20T00:00:00+0530,46.03,48.2,45.5,46.15,823917,0
2024-03-21T00:00:00+0530,47.55,47.93,46.19,46.62,1733,0
2024-03-22T00:00:00+0530,46.62,47.32,46.4,47.25,1823,0
2024-03-26T00:00:00+0530,48.2,48.2,46.4,47.56,1333,0
2024-03-27T00:00:00+0530,48.48,48.48,47.08,48.19,3194,0
2024-03-28T00:00:00+0530,48.4,48.75,47.3,48.3,404445,0
