date,open,high,low,close,volume,empty
2025-06-16T00:00:00+0530,41.2,41.9,38.37,39.46,3812025,0
2025-06-17T00:00:00+0530,39.12,39.69,38.1,38.45,1799971,0
2025-06-18T00:00:00+0530,38.11,39.39,37.75,38.96,4471280,0
2025-06-19T00:00:00+0530,38.79,39.69,36.15,36.99,2243796,0
2025-06-20T00:00:00+0530,37,38.5,36.25,37.08,1117197,0
2025-06-23T00:00:00+0530,36.55,38.77,36.55,37.84,1258474,0
2025-06-24T00:00:00+0530,38.78,40.4,38.35,39.98,4602494,0
2025-06-25T00:00:00+0530,40.01,41.8,40.01,40.45,742308,0
2025-06-26T00:00:00+0530,40.5,45.42,40.5,44.49,5265794,0
2025-06-27T00:00:00+0530,44.81,51.2,44.81,49.01,6060762,0
2025-06-30T00:00:00+0530,49.94,50.75,48.6,50.01,2750745,0
2025-07-01T00:00:00+0530,50.2,54.49,50.2,54.12,5670645,0
2025-07-02T00:00:00+0530,54.94,54.94,52.4,54.08,2540677,0
2025-07-03T00:00:00+0530,54.4,56.85,53.6,55.64,5395740,0
2025-07-04T00:00:00+0530,56.5,57.5,55.5,57.18,3827550,0
2025-07-07T00:00:00+0530,57.5,58.49,55.37,57.34,2690322,0
2025-07-08T00:00:00+0530,57.8,57.95,55.1,56.27,1695967,0
2025-07-09T00:00:00+0530,56.5,56.89,54.91,55.24,1423749,0
2025-07-10T00:00:00+0530,55.69,60.4,55.25,59.99,3959013,0
2025-07-11T00:00:00+0530,60.45,60.5,57.85,58.69,1854763,0
2025-07-14T00:00:00+0530,58.1,58.29,56,56.72,965648,0
2025-07-15T00:00:00+0530,56.95,57.2,55.71,56.06,516539,0
2025-07-16T00:00:00+0530,56.1,56.3,54.75,54.97,3281689,0
2025-07-17T00:00:00+0530,55.74,55.74,52,52.65,1020868,0
2025-07-18T00:00:00+0530,53,54.69,52.16,53.63,820691,0
2025-07-21T00:00:00+0530,54.7,57.3,53,56.87,1045732,0
2025-07-22T00:00:00+0530,57.39,57.58,56.1,56.42,388988,0
2025-07-23T00:00:00+0530,56.95,57.4,56.21,57.15,228352,0
2025-07-24T00:00:00+0530,57.43,57.43,53.8,54.22,579366,0
2025-07-25T00:00:00+0530,54,55.1,52.75,53.05,518363,0
2025-07-28T00:00:00+0530,52.25,53.5,51,51.37,494957,0
2025-07-29T00:00:00+0530,52.45,53.89,50.2,53.56,467797,0
2025-07-30T00:00:00+0530,53.6,53.6,51.05,52.66,587963,0
2025-07-31T00:00:00+0530,51.25,54.85,50.51,52.79,559866,0
2025-08-01T00:00:00+0530,53.48,53.48,47.6,49.41,703779,0
2025-08-04T00:00:00+0530,50.99,51.4,48.8,49.68,555459,0
2025-08-05T00:00:00+0530,50.21,51.42,49.52,50.23,157374,0
2025-08-06T00:00:00+0530,50.8,51.16,48.8,49.52,311632,0
2025-08-07T00:00:00+0530,48.84,50,47.1,49.92,322069,0
2025-08-08T00:00:00+0530,49.78,50.04,48.1,49.19,311042,0
2025-08-11T00:00:00+0530,48.4,49.15,48,48.54,222769,0
2025-08-12T00:00:00+0530,48.54,49.4,48.01,48.18,149606,0
2025-08-13T00:00:00+0530,48.89,51.9,48.5,49.99,918700,0
2025-08-14T00:00:00+0530,50.95,51.5,49,49.53,333085,0
2025-08-18T00:00:00+0530,50.93,51.2,48.3,49.45,119600,0
2025-08-19T00:00:00+0530,49.51,50.11,49,49.88,320905,0
2025-08-20T00:00:00+0530,49.56,50.45,49.1,49.62,214844,0
2025-08-21T00:00:00+0530,50.39,50.75,49.51,50.46,284385,0
2025-08-22T00:00:00+0530,50.75,50.88,49.02,49.2,125539,0
2025-08-25T00:00:00+0530,49.2,49.99,46.85,46.97,308267,0
2025-08-26T00:00:00+0530,47.57,47.57,44.5,44.99,413400,0
2025-08-28T00:00:00+0530,44.99,45.98,44,44.65,409935,0
2025-08-29T00:00:00+0530,44.7,45.4,43.73,43.82,246822,0
2025-09-01T00:00:00+0530,44.06,44.86,43.89,44.18,194533,0
2025-09-02T00:00:00+0530,44.6,45.76,44.11,44.52,114456,0
2025-09-03T00:00:00+0530,44.21,45.45,43.36,44.19,215831,0
2025-09-04T00:00:00+0530,44.32,44.97,42.5,42.89,316447,0
2025-09-05T00:00:00+0530,43.85,43.85,41.4,41.9,412462,0
