date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,1651.05,1658.3,1640.1,1644.05,11606,0
2023-01-03T00:00:00+0530,1644.2,1685,1644.2,1654.35,17204,0
2023-01-04T00:00:00+0530,1667.6,1667.6,1631,1640.8,17889,0
2023-01-05T00:00:00+0530,1642.65,1649.4,1614.2,1618.75,14156,0
2023-01-06T00:00:00+0530,1612,1626.9,1600,1607.7,15102,0
2023-01-09T00:00:00+0530,1644,1644,1595,1599.2,21803,0
2023-01-10T00:00:00+0530,1610,1610,1580,1584.6,25162,0
2023-01-11T00:00:00+0530,1591.3,1591.3,1542.05,1546.15,66726,0
2023-01-12T00:00:00+0530,1557.7,1557.7,1521.05,1528.4,55697,0
2023-01-13T00:00:00+0530,1542.2,1550,1515,1517.85,34597,0
2023-01-16T00:00:00+0530,1531.7,1532.15,1515,1520.25,31428,0
2023-01-17T00:00:00+0530,1529.5,1537.95,1519,1530.05,18259,0
2023-01-18T00:00:00+0530,1534.85,1537.65,1521.1,1524.55,21331,0
2023-01-19T00:00:00+0530,1532,1532,1515,1518.75,14856,0
2023-01-20T00:00:00+0530,1518.8,1525,1511,1513.25,15704,0
2023-01-23T00:00:00+0530,1521.2,1521.2,1465.25,1474.45,47923,0
2023-01-24T00:00:00+0530,1482.2,1485,1470,1478.15,20045,0
2023-01-25T00:00:00+0530,1471.2,1479,1465,1468.4,19112,0
2023-01-27T00:00:00+0530,1481.4,1481.4,1415.2,1462.55,40648,0
2023-01-30T00:00:00+0530,1463,1480.9,1430.3,1443.95,20665,0
2023-01-31T00:00:00+0530,1447,1478.95,1441,1463.45,21103,0
2023-02-01T00:00:00+0530,1471.9,1511.5,1463.45,1478.9,23013,0
2023-02-02T00:00:00+0530,1473,1499.85,1449.25,1454.2,13393,0
2023-02-03T00:00:00+0530,1461,1461.85,1424,1439.15,19519,0
2023-02-06T00:00:00+0530,1446.7,1468.3,1435.1,1458.85,12593,0
2023-02-07T00:00:00+0530,1471.75,1472.25,1450.1,1458.5,19406,0
2023-02-08T00:00:00+0530,1466,1468.6,1452.05,1457.5,20911,0
2023-02-09T00:00:00+0530,1457.9,1469.9,1407,1421.75,36745,0
2023-02-10T00:00:00+0530,1311,1370,1311,1340.55,172964,0
2023-02-13T00:00:00+0530,1345.2,1406.6,1342.85,1384.3,90775,0
2023-02-14T00:00:00+0530,1380,1389,1360,1382.25,28779,0
2023-02-15T00:00:00+0530,1380,1380,1364.95,1371.95,18214,0
2023-02-16T00:00:00+0530,1379.95,1400.3,1379.95,1393.65,19183,0
2023-02-17T00:00:00+0530,1393.65,1398.4,1381.1,1389,13027,0
2023-02-20T00:00:00+0530,1399.85,1399.85,1375.1,1382.2,12422,0
2023-02-21T00:00:00+0530,1376,1394.9,1361.25,1370.55,14558,0
2023-02-22T00:00:00+0530,1369.2,1382.75,1353.25,1370.5,18682,0
2023-02-23T00:00:00+0530,1366,1370.85,1350,1364.45,22142,0
2023-02-24T00:00:00+0530,1364.45,1374.3,1340,1342.3,18157,0
2023-02-27T00:00:00+0530,1326,1336.85,1298.05,1305.65,33763,0
2023-02-28T00:00:00+0530,1300,1308,1270,1273.15,35323,0
2023-03-01T00:00:00+0530,1274,1356.9,1274,1333,100823,0
2023-03-02T00:00:00+0530,1336,1346,1318,1328.4,26854,0
2023-03-03T00:00:00+0530,1326,1335.4,1317.8,1321.9,22106,0
2023-03-06T00:00:00+0530,1328.65,1343.75,1320.5,1324.45,26282,0
2023-03-08T00:00:00+0530,1308.05,1333.95,1308.05,1319.4,23167,0
2023-03-09T00:00:00+0530,1319,1334.6,1312,1316.2,24730,0
2023-03-10T00:00:00+0530,1320.7,1327,1304,1323,18059,0
2023-03-13T00:00:00+0530,1310.7,1328.9,1290,1299.15,23703,0
2023-03-14T00:00:00+0530,1300,1305.95,1280,1283.5,15288,0
2023-03-15T00:00:00+0530,1290.3,1296,1275,1279.45,17024,0
2023-03-16T00:00:00+0530,1279,1288.4,1254.4,1257.2,56858,0
2023-03-17T00:00:00+0530,1268.8,1278,1254.5,1260.55,18739,0
2023-03-20T00:00:00+0530,1272.25,1300,1251,1277.55,51599,0
2023-03-21T00:00:00+0530,1288.2,1302,1278.6,1289.8,78022,0
2023-03-22T00:00:00+0530,1294,1304.45,1261.1,1271.75,38010,0
2023-03-23T00:00:00+0530,1270,1285,1249.9,1260.7,41579,0
2023-03-24T00:00:00+0530,1263,1271.25,1238.1,1240.6,22050,0
2023-03-27T00:00:00+0530,1236,1240.6,1187,1190.45,57252,0
2023-03-28T00:00:00+0530,1196.7,1198,1150,1158.3,80870,0
2023-03-29T00:00:00+0530,1158,1165.7,1125.15,1128.95,81200,0
2023-03-31T00:00:00+0530,1139.85,1195.95,1111,1161.15,103430,0
2023-04-03T00:00:00+0530,1180,1238.2,1176.55,1214.55,125601,0
2023-04-05T00:00:00+0530,1226.55,1234.4,1210,1215,35655,0
2023-04-06T00:00:00+0530,1215,1233.8,1206.5,1217.1,50112,0
2023-04-10T00:00:00+0530,1218,1241.9,1211,1219.75,32006,0
2023-04-11T00:00:00+0530,1228.75,1228.75,1215,1219.2,15701,0
2023-04-12T00:00:00+0530,1219.2,1224.95,1212,1215.1,17679,0
2023-04-13T00:00:00+0530,1222,1222.9,1212.25,1215.1,17309,0
2023-04-17T00:00:00+0530,1221.5,1221.5,1195,1201.75,25635,0
2023-04-18T00:00:00+0530,1208.1,1216,1206.05,1214.2,8667,0
2023-04-19T00:00:00+0530,1214.2,1249.75,1214,1224,42307,0
2023-04-20T00:00:00+0530,1234,1405,1229.65,1368.1,2061142,0
2023-04-21T00:00:00+0530,1359,1372.7,1311,1342.4,332949,0
2023-04-24T00:00:00+0530,1348.6,1358,1329.1,1344.85,73809,0
2023-04-25T00:00:00+0530,1342.5,1348,1320,1328.3,44240,0
2023-04-26T00:00:00+0530,1338,1368.9,1321.15,1350.2,37977,0
2023-04-27T00:00:00+0530,1349.95,1375,1333.05,1360.6,68300,0
2023-04-28T00:00:00+0530,1366,1377.8,1350.55,1362.1,42263,0
2023-05-02T00:00:00+0530,1374,1469.85,1370.05,1414.65,347890,0
2023-05-03T00:00:00+0530,1422.1,1463.7,1402.85,1430.4,96625,0
2023-05-04T00:00:00+0530,1450,1460,1416.5,1428.8,62150,0
2023-05-05T00:00:00+0530,1454.85,1458.95,1430.05,1440.7,59612,0
2023-05-08T00:00:00+0530,1440,1459,1431.55,1439.1,56713,0
2023-05-09T00:00:00+0530,1444,1546.65,1444,1499.45,496667,0
2023-05-10T00:00:00+0530,1504,1535,1500.6,1520.2,72675,0
2023-05-11T00:00:00+0530,1520.2,1537.5,1490,1503.5,39228,0
2023-05-12T00:00:00+0530,1507,1513,1465.6,1474.1,32101,0
2023-05-15T00:00:00+0530,1470,1505.15,1470,1488.5,45381,0
2023-05-16T00:00:00+0530,1501,1508.45,1490,1494.15,25735,0
2023-05-17T00:00:00+0530,1497,1511.05,1448,1473.3,36904,0
2023-05-18T00:00:00+0530,1477,1489.95,1448.05,1452.35,23368,0
2023-05-19T00:00:00+0530,1462.55,1462.55,1424.1,1446.25,25945,0
2023-05-22T00:00:00+0530,1445,1464,1436,1445.45,21593,0
2023-05-23T00:00:00+0530,1454,1474.95,1442.1,1467.35,28046,0
2023-05-24T00:00:00+0530,1464,1498,1464,1484.65,42101,0
2023-05-25T00:00:00+0530,1490.5,1492.5,1466.15,1471.9,17925,0
2023-05-26T00:00:00+0530,1460,1460,1417.15,1430.55,72101,0
2023-05-29T00:00:00+0530,1444,1515,1440.15,1466.05,189699,0
2023-05-30T00:00:00+0530,1466.05,1481.8,1432.6,1451.85,167832,0
2023-05-31T00:00:00+0530,1450,1501.05,1446.05,1481.9,94226,0
2023-06-01T00:00:00+0530,1481.9,1533,1481.9,1505.7,89640,0
2023-06-02T00:00:00+0530,1505.7,1524,1500,1508.1,60099,0
2023-06-05T00:00:00+0530,1514.8,1528.8,1501.25,1516.6,45394,0
2023-06-06T00:00:00+0530,1518,1524.6,1494.05,1496.65,34219,0
2023-06-07T00:00:00+0530,1500,1517.6,1500,1505.55,20506,0
2023-06-08T00:00:00+0530,1515,1532,1495,1499.45,29764,0
2023-06-09T00:00:00+0530,1508,1512.9,1481,1494.05,16947,0
2023-06-12T00:00:00+0530,1490,1501.9,1473.45,1480.45,23168,0
2023-06-13T00:00:00+0530,1493.2,1499.9,1476.75,1482.55,26448,0
2023-06-14T00:00:00+0530,1485,1519,1476.65,1506.4,35154,0
2023-06-15T00:00:00+0530,1515,1525,1500,1505.8,25131,0
2023-06-16T00:00:00+0530,1500,1519,1495.05,1510.45,28981,0
2023-06-19T00:00:00+0530,1519,1600,1496.7,1544.15,186723,0
2023-06-20T00:00:00+0530,1542,1565,1535,1559.8,41091,0
2023-06-21T00:00:00+0530,1570,1574,1540,1555.55,27210,0
2023-06-22T00:00:00+0530,1555.55,1563.35,1521,1525.45,26629,0
2023-06-23T00:00:00+0530,1538.7,1538.7,1485,1489.75,35770,0
2023-06-26T00:00:00+0530,1489.75,1510.4,1483.4,1506.85,19819,0
2023-06-27T00:00:00+0530,1506.85,1523.1,1488.05,1506.75,23318,0
2023-06-28T00:00:00+0530,1510,1514.65,1494,1498.2,17915,0
2023-06-30T00:00:00+0530,1506.1,1526,1499.9,1508.85,29218,0
2023-07-03T00:00:00+0530,1520,1522.9,1485.9,1504.25,28451,0
2023-07-04T00:00:00+0530,1512.2,1517.75,1499.1,1501.1,16190,0
2023-07-05T00:00:00+0530,1501.1,1520,1494.05,1499.25,27033,0
2023-07-06T00:00:00+0530,1495,1504.95,1494,1500.7,19289,0
2023-07-07T00:00:00+0530,1502.5,1502.5,1493.65,1498.55,15697,0
2023-07-10T00:00:00+0530,1503,1503,1469.3,1475.65,33588,0
2023-07-11T00:00:00+0530,1487.85,1499.8,1478.6,1492.75,20633,0
2023-07-12T00:00:00+0530,1500.6,1500.6,1475.35,1483.3,21303,0
2023-07-13T00:00:00+0530,1491.1,1499.2,1452,1457,32995,0
2023-07-14T00:00:00+0530,1474,1487,1466.65,1484.25,24838,0
2023-07-17T00:00:00+0530,1492.1,1515.55,1486.25,1498.7,30603,0
2023-07-18T00:00:00+0530,1480,1494.75,1479.05,1482.8,23873,0
2023-07-19T00:00:00+0530,1488,1499.5,1477,1487.15,22820,0
2023-07-20T00:00:00+0530,1485,1494.85,1470,1478,20902,0
2023-07-21T00:00:00+0530,1466,1485,1457.25,1470.55,20795,0
2023-07-24T00:00:00+0530,1483.35,1491.7,1450.45,1481.2,25324,0
2023-07-25T00:00:00+0530,1493.7,1508.05,1470.1,1491.5,40891,0
2023-07-26T00:00:00+0530,1499.4,1609,1481,1558.2,793673,0
2023-07-27T00:00:00+0530,1571,1719.55,1571,1611.5,1305123,0
2023-07-28T00:00:00+0530,1626,1626,1542.85,1554.9,288349,0
2023-07-31T00:00:00+0530,1576.65,1620,1558.05,1596.5,182688,0
2023-08-01T00:00:00+0530,1596.5,1641,1596.5,1611.8,143679,0
2023-08-02T00:00:00+0530,1614.5,1640,1576.6,1591.15,79081,0
2023-08-03T00:00:00+0530,1590,1604,1566.65,1580.6,51342,0
2023-08-04T00:00:00+0530,1593,1594.9,1569.95,1578.1,39774,0
2023-08-07T00:00:00+0530,1586.4,1589.4,1554.55,1563.65,38005,0
2023-08-08T00:00:00+0530,1566,1599.95,1549.95,1567.8,38716,0
2023-08-09T00:00:00+0530,1575,1614.9,1568.45,1579.9,80860,0
2023-08-10T00:00:00+0530,1580,1595,1578.05,1584.1,30583,0
2023-08-11T00:00:00+0530,1590.5,1597.8,1565,1583.25,33175,0
2023-08-14T00:00:00+0530,1580,1583.85,1463.1,1487.4,183269,0
2023-08-16T00:00:00+0530,1473.9,1480,1444,1449.2,90067,0
